Time	BodyY	BodyZ	BodyX	
0.347	0.05798001	-0.1130842	3.148364E-08	
0.348	0.05824045	-0.113192	3.088786E-08	
0.349	0.05849692	-0.1133014	3.027028E-08	
0.35	0.05874896	-0.1134117	2.963088E-08	
0.351	0.05899615	-0.1135228	2.896973E-08	
0.352	0.05923805	-0.113634	2.828694E-08	
0.353	0.05947428	-0.1137451	2.758271E-08	
0.354	0.05970442	-0.1138558	2.685919E-08	
0.355	0.05992812	-0.1139658	2.611816E-08	
0.356	0.06014501	-0.1140748	2.536087E-08	
0.357	0.06035475	-0.1141827	2.45882E-08	
0.358	0.06055703	-0.1142891	2.380099E-08	
0.359	0.06075153	-0.114394	2.299996E-08	
0.36	0.06093798	-0.1144971	2.218587E-08	
0.361	0.06111611	-0.1145983	2.135948E-08	
0.362	0.06128567	-0.1146974	2.052161E-08	
0.363	0.06144646	-0.1147945	1.967313E-08	
0.364	0.06159826	-0.1148892	1.881487E-08	
0.365	0.06174089	-0.1149816	1.794766E-08	
0.366	0.0618742	-0.1150715	1.707238E-08	
0.367	0.06199804	-0.115159	1.61899E-08	
0.368	0.06211229	-0.1152438	1.530316E-08	
0.369	0.06221686	-0.115326	1.441452E-08	
0.37	0.06231167	-0.1154056	1.35257E-08	
0.371	0.06239665	-0.1154824	1.263808E-08	
0.372	0.06247178	-0.1155564	1.175288E-08	
0.373	0.06253703	-0.1156278	1.087117E-08	
0.374	0.06259241	-0.1156963	9.993974E-09	
0.375	0.06263793	-0.1157621	9.122324E-09	
0.376	0.06267364	-0.1158251	8.257206E-09	
0.377	0.06269959	-0.1158853	7.399557E-09	
0.378	0.06271586	-0.1159428	6.550351E-09	
0.379	0.06272254	-0.1159975	5.71052E-09	
0.38	0.06271974	-0.1160496	4.880943E-09	
0.381	0.06270759	-0.116099	4.0624E-09	
0.382	0.06268621	-0.1161458	3.255746E-09	
0.383	0.06265578	-0.11619	2.461784E-09	
0.384	0.06261646	-0.1162317	1.681274E-09	
0.385	0.06256843	-0.1162709	9.14968E-10	
0.386	0.06251188	-0.1163078	1.635876E-10	
0.387	0.06244704	-0.1163422	-5.722145E-10	
0.388	0.0623741	-0.1163745	-1.29182E-09	
0.389	0.0622933	-0.1164045	-1.994622E-09	
0.39	0.06220489	-0.1164325	-2.680072E-09	
0.391	0.06210911	-0.1164584	-3.347659E-09	
0.392	0.06200622	-0.1164824	-3.99694E-09	
0.393	0.06189648	-0.1165046	-4.627456E-09	
0.394	0.06178017	-0.116525	-5.238774E-09	
0.395	0.06165755	-0.1165437	-5.830575E-09	
0.396	0.06152892	-0.1165609	-6.402556E-09	
0.397	0.06139455	-0.1165767	-6.954453E-09	
0.398	0.06125476	-0.1165911	-7.486047E-09	
0.399	0.06110982	-0.1166042	-7.997099E-09	
0.4	0.06096003	-0.1166162	-8.487406E-09	
0.401	0.0608057	-0.1166272	-8.956866E-09	
0.402	0.06064711	-0.1166373	-9.405465E-09	
