Time	Vm	Vth	
0.0562	-0.03850962	-38.01149	
0.0563	-0.03834112	-37.96662	
0.0564	-0.03817595	-37.9217	
0.0565	-0.03801406	-37.87675	
0.0566	-0.03785537	-37.83178	
0.0567	0	-37.78679	
0.0568	-0.03818212	-37.74368	
0.0569	-0.0386252	-37.70232	
0.057	-0.0390318	-37.66259	
0.0571	-0.03940444	-37.62437	
0.0572	-0.03974545	-37.58755	
0.0573	-0.04005695	-37.55202	
0.0574	-0.04034092	-37.5177	
0.0575	-0.04059917	-37.48449	
0.0576	-0.04083341	-37.4523	
0.0577	-0.04104517	-37.42107	
0.0578	-0.04123592	-37.39072	
0.0579	-0.04140698	-37.36118	
0.058	-0.0415596	-37.33239	
0.0581	-0.04169495	-37.30429	
0.0582	-0.0418141	-37.27683	
0.0583	-0.04191805	-37.24995	
0.0584	-0.04200774	-37.22361	
0.0585	-0.04208405	-37.19775	
0.0586	-0.04214779	-37.17235	
0.0587	-0.04219972	-37.14735	
0.0588	-0.04224057	-37.12272	
0.0589	-0.042271	-37.09843	
0.059	-0.04229164	-37.07444	
0.0591	-0.04230308	-37.05072	
0.0592	-0.04230588	-37.02725	
0.0593	-0.04230055	-37.004	
0.0594	-0.0422876	-36.98093	
0.0595	-0.04226747	-36.95804	
0.0596	-0.04224061	-36.9353	
0.0597	-0.04220742	-36.91268	
0.0598	-0.0421683	-36.89017	
0.0599	-0.0421236	-36.86775	
0.06	-0.04207368	-36.84541	
0.0601	-0.04201886	-36.82312	
0.0602	-0.04195945	-36.80088	
0.0603	-0.04189574	-36.77867	
0.0604	-0.041828	-36.75648	
0.0605	-0.04175651	-36.7343	
0.0606	-0.0416815	-36.71211	
0.0607	-0.04160323	-36.68991	
0.0608	-0.0415219	-36.66769	
0.0609	-0.04143774	-36.64544	
0.061	-0.04135094	-36.62315	
0.0611	-0.04126169	-36.60081	
0.0612	-0.04117018	-36.57843	
0.0613	-0.04107659	-36.55599	
0.0614	-0.04098106	-36.53349	
0.0615	-0.04088376	-36.51091	
0.0616	-0.04078485	-36.48827	
0.0617	-0.04068446	-36.46556	
0.0618	-0.04058272	-36.44276	
0.0619	-0.04047978	-36.41989	
0.062	-0.04037573	-36.39693	
0.0621	-0.04027071	-36.37389	
0.0622	-0.04016482	-36.35077	
0.0623	-0.04005817	-36.32755	
0.0624	-0.03995085	-36.30424	
0.0625	-0.03984297	-36.28085	
0.0626	-0.03973461	-36.25736	
0.0627	-0.03962585	-36.23378	
0.0628	-0.03951679	-36.21011	
0.0629	-0.0394075	-36.18635	
0.063	-0.03929805	-36.1625	
0.0631	-0.03918852	-36.13856	
0.0632	-0.03907896	-36.11453	
0.0633	-0.03896945	-36.09042	
0.0634	-0.03886005	-36.06621	
0.0635	-0.0387508	-36.04192	
0.0636	-0.03864178	-36.01755	
0.0637	-0.03853302	-35.9931	
0.0638	-0.03842459	-35.96857	
0.0639	-0.03831651	-35.94395	
0.064	-0.03820884	-35.91927	
0.0641	-0.03810162	-35.8945	
0.0642	-0.0379949	-35.86966	
0.0643	-0.03788869	-35.84476	
0.06439999	-0.03778305	-35.81978	
0.0645	-0.03767801	-35.79474	
0.0646	-0.03757359	-35.76964	
0.0647	-0.03746982	-35.74448	
0.0648	-0.03736673	-35.71926	
0.0649	-0.03726436	-35.69399	
0.065	-0.03716272	-35.66866	
0.0651	-0.03706183	-35.64329	
0.0652	-0.03696172	-35.61787	
0.0653	-0.0368624	-35.5924	
0.0654	-0.0367639	-35.5669	
0.0655	-0.03666623	-35.54136	
0.0656	-0.03656941	-35.51578	
0.0657	-0.03647345	-35.49017	
0.0658	-0.03637837	-35.46453	
0.0659	-0.03628417	-35.43887	
0.066	-0.03619087	-35.41318	
0.0661	-0.03609849	-35.38747	
0.0662	-0.03600702	-35.36175	
0.0663	-0.03591648	-35.33601	
0.0664	-0.03582687	-35.31026	
0.0665	-0.0357382	-35.2845	
0.06659999	-0.03565048	-35.25874	
0.0667	-0.03556371	-35.23297	
0.0668	-0.0354779	-35.2072	
0.0669	-0.03539304	-35.18143	
0.067	-0.03530915	-35.15568	
0.0671	-0.03522622	-35.12993	
0.0672	-0.03514426	-35.10419	
0.0673	0	-35.07847	
0.0674	-0.03566877	-35.05481	
0.0675	-0.03622768	-35.03305	
0.0676	-0.03674328	-35.01305	
0.0677	-0.03721859	-34.99467	
0.0678	-0.03765639	-34.97778	
0.0679	-0.03805923	-34.96226	
0.068	-0.03842948	-34.94799	
0.0681	-0.0387693	-34.93489	
0.0682	-0.03908069	-34.92284	
0.0683	-0.03936552	-34.91176	
0.0684	-0.0396255	-34.90157	
0.0685	-0.03986223	-34.89219	
0.0686	-0.04007717	-34.88354	
0.0687	-0.04027171	-34.87556	
0.06879999	-0.0404471	-34.86819	
0.0689	-0.04060456	-34.86135	
0.069	-0.04074517	-34.85501	
0.0691	-0.04086997	-34.8491	
0.0692	-0.04097991	-34.84357	
0.0693	-0.04107591	-34.83839	
0.0694	-0.0411588	-34.83351	
0.0695	-0.04122936	-34.82889	
0.0696	-0.04128833	-34.82449	
0.0697	-0.0413364	-34.82027	
0.0698	-0.04137423	-34.81621	
0.0699	-0.04140241	-34.81227	
0.07	-0.04142153	-34.80844	
0.07009999	-0.04143212	-34.80467	
0.0702	-0.04143468	-34.80095	
0.0703	-0.0414297	-34.79725	
0.0704	-0.04141762	-34.79354	
0.0705	-0.04139887	-34.78983	
0.0706	-0.04137385	-34.78607	
0.0707	-0.04134293	-34.78226	
0.0708	-0.04130647	-34.77837	
0.0709	-0.04126482	-34.77441	
0.07099999	-0.04121829	-34.77034	
0.0711	-0.04116718	-34.76616	
0.0712	-0.04111179	-34.76185	
0.0713	-0.04105237	-34.75741	
0.0714	-0.0409892	-34.75283	
0.0715	-0.04092251	-34.74809	
0.0716	-0.04085254	-34.74319	
0.0717	-0.0407795	-34.73812	
0.0718	-0.04070361	-34.73288	
0.0719	-0.04062507	-34.72745	
0.072	-0.04054406	-34.72183	
0.0721	-0.04046075	-34.71603	
0.0722	-0.04037534	-34.71002	
0.07229999	-0.04028796	-34.70382	
0.0724	-0.04019879	-34.69741	
0.0725	-0.04010796	-34.69079	
0.0726	-0.04001562	-34.68396	
0.0727	-0.0399219	-34.67692	
0.0728	-0.03982692	-34.66967	
0.0729	-0.03973081	-34.6622	
0.073	-0.03963367	-34.65452	
0.0731	-0.03953562	-34.64662	
0.07319999	-0.03943677	-34.63851	
0.0733	-0.0393372	-34.63018	
0.0734	-0.03923702	-34.62163	
0.0735	-0.03913632	-34.61287	
0.0736	-0.03903517	-34.60389	
0.0737	-0.03893367	-34.5947	
0.0738	-0.03883189	-34.58529	
0.0739	-0.03872989	-34.57568	
0.074	-0.03862775	-34.56585	
0.0741	-0.03852555	-34.55582	
0.0742	-0.03842333	-34.54559	
0.0743	-0.03832116	-34.53514	
0.0744	-0.0382191	-34.52451	
0.07449999	-0.0381172	-34.51366	
0.0746	-0.0380155	-34.50263	
0.0747	-0.03791407	-34.4914	
0.0748	-0.03781294	-34.47998	
0.0749	-0.03771216	-34.46838	
0.075	-0.03761178	-34.45659	
0.0751	-0.03751182	-34.44462	
0.0752	-0.03741233	-34.43247	
0.0753	-0.03731334	-34.42015	
0.07539999	-0.03721488	-34.40765	
0.0755	-0.03711699	-34.39499	
0.0756	-0.03701969	-34.38217	
0.0757	-0.03692301	-34.36918	
0.0758	-0.03682698	-34.35603	
0.0759	-0.03673161	-34.34274	
0.076	-0.03663694	-34.32928	
0.0761	-0.03654299	-34.31569	
0.0762	-0.03644976	-34.30195	
0.0763	-0.03635729	-34.28807	
0.0764	-0.03626559	-34.27406	
0.0765	-0.03617467	-34.25991	
0.0766	-0.03608456	-34.24564	
0.07669999	-0.03599526	-34.23124	
0.0768	-0.03590678	-34.21672	
0.0769	-0.03581914	-34.20208	
0.077	-0.03573234	-34.18733	
0.0771	-0.0356464	-34.17247	
0.0772	-0.03556133	-34.15751	
0.0773	-0.03547712	-34.14244	
0.0774	-0.0353938	-34.12727	
0.0775	-0.03531136	-34.11201	
0.07759999	-0.03522981	-34.09666	
0.0777	-0.03514915	-34.08121	
0.0778	-0.03506939	-34.06569	
0.0779	-0.03499053	-34.05008	
0.078	-0.03491258	-34.0344	
0.0781	-0.03483552	-34.01864	
0.0782	-0.03475938	-34.00281	
0.0783	-0.03468414	-33.98691	
0.0784	-0.0346098	-33.97095	
0.0785	-0.03453637	-33.95493	
0.0786	-0.03446385	-33.93885	
0.0787	-0.03439222	-33.92272	
0.0788	-0.03432149	-33.90654	
0.07889999	-0.03425167	-33.89031	
0.079	-0.03418274	-33.87403	
0.0791	-0.03411471	-33.85772	
0.0792	-0.03404756	-33.84137	
0.0793	-0.0339813	-33.82498	
0.0794	-0.03391593	-33.80856	
0.0795	-0.03385143	-33.79211	
0.0796	-0.03378779	-33.77563	
0.0797	0	-33.75914	
0.07979999	-0.03437481	-33.74474	
0.0799	-0.03497583	-33.73228	
0.08	-0.03553152	-33.72161	
0.0801	-0.03604503	-33.71257	
0.0802	-0.03651924	-33.70504	
0.0803	-0.03695684	-33.69889	
0.0804	-0.03736026	-33.69401	
0.0805	-0.03773178	-33.69028	
0.0806	-0.03807349	-33.68761	
0.0807	-0.03838732	-33.68591	
0.0808	-0.03867508	-33.68508	
0.0809	-0.03893841	-33.68505	
0.081	-0.03917887	-33.68573	
0.08109999	-0.03939789	-33.68706	
0.0812	-0.03959679	-33.68897	
0.0813	-0.03977682	-33.6914	
0.0814	-0.03993914	-33.69429	
0.0815	-0.04008482	-33.69759	
0.0816	-0.04021486	-33.70124	
0.0817	-0.0403302	-33.7052	
0.0818	-0.04043173	-33.70942	
0.0819	-0.04052026	-33.71386	
0.08199999	-0.04059657	-33.71849	
0.0821	-0.04066138	-33.72327	
0.0822	-0.04071537	-33.72816	
0.0823	-0.04075917	-33.73313	
0.0824	-0.04079338	-33.73815	
0.0825	-0.04081856	-33.7432	
0.0826	-0.04083525	-33.74825	
0.0827	-0.04084394	-33.75328	
0.0828	-0.0408451	-33.75826	
0.0829	-0.04083918	-33.76316	
0.083	-0.04082659	-33.76799	
0.0831	-0.04080774	-33.77271	
0.0832	-0.04078299	-33.77731	
0.08329999	-0.0407527	-33.78177	
0.0834	-0.0407172	-33.78609	
0.0835	-0.04067681	-33.79024	
0.0836	-0.04063183	-33.79421	
0.0837	-0.04058254	-33.798	
0.0838	-0.04052922	-33.80159	
0.0839	-0.04047211	-33.80497	
0.084	-0.04041146	-33.80814	
0.0841	-0.04034751	-33.81109	
0.08419999	-0.04028046	-33.8138	
0.0843	-0.04021053	-33.81628	
0.0844	-0.04013791	-33.81852	
0.0845	-0.04006279	-33.82052	
0.0846	-0.03998535	-33.82226	
0.0847	-0.03990576	-33.82375	
0.0848	-0.03982418	-33.82498	
0.0849	-0.03974076	-33.82595	
0.085	-0.03965565	-33.82665	
0.0851	-0.03956899	-33.82709	
0.0852	-0.0394809	-33.82726	
0.0853	-0.03939153	-33.82716	
0.0854	-0.03930097	-33.8268	
0.08549999	-0.03920936	-33.82616	
0.0856	-0.03911679	-33.82525	
0.0857	-0.03902338	-33.82407	
0.0858	-0.03892921	-33.82263	
0.0859	-0.03883439	-33.82092	
0.086	-0.03873901	-33.81893	
0.0861	-0.03864314	-33.81668	
0.0862	-0.03854686	-33.81417	
0.0863	-0.03845026	-33.81139	
0.08639999	-0.0383534	-33.80835	
0.0865	-0.03825636	-33.80505	
0.0866	-0.03815921	-33.8015	
0.0867	-0.038062	-33.79769	
0.08679999	-0.0379648	-33.79362	
0.0869	-0.03786765	-33.78931	
