Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.133	-0.8543774	0	0	0	0	-0.1133034	0	0	1.492235	
0.134	-0.8526235	0	0	0	0	-0.1140785	0	0	1.492121	
0.135	-0.850861	0	0	0	0	-0.114852	0	0	1.492006	
0.136	-0.8490899	0	0	0	0	-0.1156239	0	0	1.49189	
0.137	-0.847311	0	0	0	0	-0.1163942	0	0	1.491774	
0.138	-0.8455243	0	0	0	0	-0.1171629	0	0	1.491657	
0.139	-0.843729	0	0	0	0	-0.1179299	0	0	1.491539	
0.14	-0.841925	0	0	0	0	-0.1186953	0	0	1.49142	
0.141	-0.8401141	0	0	0	0	-0.119459	0	0	1.4913	
0.142	-0.8382954	0	0	0	0	-0.1202211	0	0	1.49118	
0.143	-0.8364688	0	0	0	0	-0.1209815	0	0	1.491059	
0.144	-0.8346344	0	0	0	0	-0.1217403	0	0	1.490937	
0.145	-0.832793	0	0	0	0	-0.1224974	0	0	1.490815	
0.146	-0.8309438	0	0	0	0	-0.1232528	0	0	1.490692	
0.147	-0.8290876	0	0	0	0	-0.1240065	0	0	1.490568	
0.148	-0.8272243	0	0	0	0	-0.1247585	0	0	1.490443	
0.149	-0.8253532	0	0	0	0	-0.1255088	0	0	1.490318	
0.15	-0.8234751	0	0	0	0	-0.1262575	0	0	1.490191	
0.151	-0.8215907	0	0	0	0	-0.1270044	0	0	1.490064	
0.152	-0.8196993	0	0	0	0	-0.1277495	0	0	1.489936	
0.153	-0.8178008	0	0	0	0	-0.128493	0	0	1.489808	
0.154	-0.8158954	0	0	0	0	-0.1292347	0	0	1.489679	
0.155	-0.8139836	0	0	0	0	-0.1299747	0	0	1.489549	
0.156	-0.8120657	0	0	0	0	-0.1307129	0	0	1.489418	
0.157	-0.8101414	0	0	0	0	-0.1314494	0	0	1.489287	
0.158	-0.8082102	0	0	0	0	-0.1321842	0	0	1.489154	
0.159	-0.8062735	0	0	0	0	-0.1329171	0	0	1.489022	
0.16	-0.8043305	0	0	0	0	-0.1336483	0	0	1.488888	
0.161	-0.8023813	0	0	0	0	-0.1343778	0	0	1.488754	
0.162	-0.8004258	0	0	0	0	-0.1351054	0	0	1.488618	
0.163	-0.7984649	0	0	0	0	-0.1358313	0	0	1.488483	
0.164	-0.7964985	0	0	0	0	-0.1365554	0	0	1.488346	
0.165	-0.7945266	0	0	0	0	-0.1372777	0	0	1.488209	
0.166	-0.7925485	0	0	0	0	-0.1379982	0	0	1.488071	
0.167	-0.7905649	0	0	0	0	-0.1387169	0	0	1.487932	
0.168	-0.7885767	0	0	0	0	-0.1394338	0	0	1.487793	
0.169	-0.7865821	0	0	0	0	-0.1401489	0	0	1.487652	
0.17	-0.7845829	0	0	0	0	-0.1408621	0	0	1.487512	
0.171	-0.7825789	0	0	0	0	-0.1415736	0	0	1.48737	
0.172	-0.7805696	0	0	0	0	-0.1422832	0	0	1.487228	
0.173	-0.7785547	0	0	0	0	-0.142991	0	0	1.487085	
0.174	-0.776536	0	0	0	0	-0.1436969	0	0	1.486941	
0.175	-0.7745118	0	0	0	0	-0.144401	0	0	1.486797	
0.176	-0.7724836	0	0	0	0	-0.1451033	0	0	1.486651	
