Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0.153	-2.843275	0	1.677144	-4.161225	2.393389	0	
0.154	-2.843843	0	1.676182	-4.162035	2.391981	0	
0.155	-2.844413	0	1.675213	-4.162849	2.390564	0	
0.156	-2.844988	0	1.674238	-4.163669	2.389137	0	
0.157	-2.845565	0	1.673256	-4.164494	2.3877	0	
0.158	-2.846146	0	1.672268	-4.165323	2.386254	0	
0.159	-2.846731	0	1.671273	-4.166157	2.384798	0	
0.16	-2.847318	0	1.670272	-4.166996	2.383332	0	
0.161	-2.847909	0	1.669264	-4.167839	2.381858	0	
0.162	-2.848504	0	1.66825	-4.168687	2.380373	0	
0.163	-2.849102	0	1.667229	-4.16954	2.378879	0	
0.164	-2.849703	0	1.666202	-4.170398	2.377376	0	
0.165	-2.850307	0	1.665168	-4.171261	2.375863	0	
0.166	-2.850915	0	1.664127	-4.172128	2.37434	0	
0.167	-2.851526	0	1.66308	-4.172999	2.372808	0	
0.168	-2.85214	0	1.662026	-4.173876	2.371265	0	
0.169	-2.852758	0	1.660966	-4.174757	2.369714	0	
0.17	-2.853379	0	1.659899	-4.175643	2.368153	0	
0.171	-2.854003	0	1.658826	-4.176534	2.366582	0	
0.172	-2.854631	0	1.657746	-4.177429	2.365001	0	
0.173	-2.855262	0	1.656659	-4.178329	2.363411	0	
0.174	-2.855896	0	1.655566	-4.179234	2.361811	0	
0.175	-2.856534	0	1.654466	-4.180143	2.360202	0	
0.176	-2.857175	0	1.65336	-4.181057	2.358582	0	
0.177	-2.857819	0	1.652246	-4.181976	2.356954	0	
0.178	-2.858466	0	1.651127	-4.182899	2.355315	0	
0.179	-2.859117	0	1.65	-4.183827	2.353667	0	
0.18	-2.85977	0	1.648867	-4.18476	2.352009	0	
0.181	-2.860427	0	1.647728	-4.185697	2.350341	0	
0.182	-2.861088	0	1.646581	-4.186639	2.348664	0	
0.183	-2.861751	0	1.645428	-4.187585	2.346977	0	
0.184	-2.862418	0	1.644269	-4.188536	2.34528	0	
0.185	-2.863088	0	1.643103	-4.189491	2.343574	0	
0.186	-2.863761	0	1.64193	-4.190451	2.341857	0	
0.187	-2.864437	0	1.64075	-4.191416	2.340131	0	
0.188	-2.865116	0	1.639564	-4.192385	2.338395	0	
0.189	-2.865799	0	1.638371	-4.193358	2.336649	0	
0.19	-2.866485	0	1.637171	-4.194336	2.334894	0	
0.191	-2.867174	0	1.635965	-4.195319	2.333129	0	
0.192	-2.867866	0	1.634752	-4.196306	2.331354	0	
0.193	-2.868561	0	1.633532	-4.197297	2.329569	0	
0.194	-2.869259	0	1.632305	-4.198293	2.327774	0	
0.195	-2.869961	0	1.631072	-4.199294	2.32597	0	
0.196	-2.870666	0	1.629832	-4.200298	2.324155	0	
0.197	-2.871373	0	1.628585	-4.201307	2.322331	0	
0.198	-2.872084	0	1.627332	-4.202321	2.320497	0	
0.199	-2.872798	0	1.626071	-4.203339	2.318653	0	
0.2	-2.873516	0	1.624804	-4.204361	2.316799	0	
0.201	-2.874236	0	1.623531	-4.205388	2.314936	0	
0.202	-2.874959	0	1.62225	-4.206419	2.313062	0	
0.203	-2.875685	0	1.620963	-4.207455	2.311179	0	
0.204	-2.876414	0	1.619669	-4.208495	2.309285	0	
0.205	-2.877147	0	1.618368	-4.209539	2.307382	0	
0.206	-2.877882	0	1.61706	-4.210588	2.305469	0	
0.207	-2.878621	0	1.615746	-4.211641	2.303546	0	
0.208	-2.879362	0	1.614424	-4.212698	2.301613	0	
0.209	-2.880107	0	1.613096	-4.213759	2.29967	0	
0.21	-2.880854	0	1.611761	-4.214825	2.297716	0	
0.211	-2.881605	0	1.61042	-4.215895	2.295753	0	
0.212	-2.882359	0	1.609071	-4.216969	2.293781	0	
0.213	-2.883115	0	1.607715	-4.218048	2.291798	0	
0.214	-2.883875	0	1.606353	-4.219131	2.289805	0	
0.215	-2.884637	0	1.604984	-4.220217	2.287802	0	
0.216	-2.885403	0	1.603608	-4.221308	2.285789	0	
0.217	-2.886171	0	1.602225	-4.222404	2.283766	0	
0.218	-2.886942	0	1.600836	-4.223503	2.281733	0	
0.219	-2.887717	0	1.599439	-4.224607	2.279689	0	
0.22	-2.888494	0	1.598036	-4.225714	2.277636	0	
0.221	-2.889274	0	1.596625	-4.226826	2.275573	0	
0.222	-2.890057	0	1.595208	-4.227942	2.273499	0	
0.223	-2.890843	0	1.593784	-4.229062	2.271416	0	
0.224	-2.891632	0	1.592353	-4.230186	2.269322	0	
0.225	-2.892424	0	1.590915	-4.231315	2.267219	0	
0.226	-2.893219	0	1.58947	-4.232447	2.265105	0	
0.227	-2.894016	0	1.588018	-4.233583	2.262981	0	
0.228	-2.894816	0	1.586559	-4.234724	2.260847	0	
0.229	-2.895619	0	1.585093	-4.235868	2.258702	0	
0.23	-2.896425	0	1.58362	-4.237016	2.256548	0	
0.231	-2.897233	0	1.58214	-4.238169	2.254383	0	
0.232	-2.898045	0	1.580654	-4.239325	2.252208	0	
0.233	-2.898859	0	1.57916	-4.240485	2.250023	0	
