Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.08000001	0.05115632	0.05108967	0.05118638	0.05150534	0.05172294	0.05144778	0.05154935	0.05162951	0.05128879	0.05148426	0.05132373	0.05162051	0.05076	0.05163411	0.05122241	0.05112054	0.05117552	0.05112508	0.05168297	0.05084284	0.05180865	0.05111963	0.05122177	0.05111582	0.05105481	
0.082	0.05141783	0.05129056	0.05139574	0.05164549	0.0518041	0.05164905	0.05182115	0.0517543	0.05148051	0.05159108	0.05143853	0.05176612	0.05095488	0.05175991	0.0513378	0.0513617	0.05129978	0.0512637	0.0518148	0.05113035	0.05201037	0.05128105	0.05147207	0.05122425	0.05119402	
0.08400001	0.0516298	0.05149121	0.05151073	0.05182273	0.05194701	0.05184972	0.05205439	0.05187204	0.0516367	0.05174616	0.05155917	0.05202665	0.05120881	0.05189001	0.05151297	0.05150758	0.05143571	0.0515299	0.05192519	0.05136556	0.05222959	0.05139793	0.05165086	0.05146552	0.05143443	
0.086	0.05177981	0.05166116	0.05158579	0.05204109	0.05203679	0.05201442	0.05217745	0.05196448	0.05188903	0.05182948	0.05168419	0.05216121	0.05136911	0.0520481	0.05159575	0.05167926	0.05167235	0.05169679	0.05198643	0.05150979	0.05239779	0.05152924	0.05184149	0.05162936	0.05167054	
0.08800001	0.0518863	0.05171648	0.05165409	0.05218598	0.0521537	0.05212449	0.05228238	0.05213961	0.05199526	0.0520632	0.05174424	0.0523923	0.05143946	0.05222611	0.05164908	0.05187452	0.05181535	0.05181376	0.05220764	0.05166648	0.05254405	0.051628	0.05189165	0.05184542	0.05185595	
0.09	0.05196634	0.05180266	0.05178767	0.05226698	0.05225391	0.05215926	0.05235043	0.05225479	0.05218087	0.05222515	0.05180037	0.05248716	0.05151127	0.05232343	0.05174168	0.05208744	0.05199998	0.05202219	0.05236975	0.05190097	0.05273778	0.0517486	0.05205035	0.05192719	0.05195457	
0.09200001	0.05200117	0.05194303	0.05193457	0.05231953	0.05245043	0.05231806	0.05237799	0.05245824	0.05229582	0.05243581	0.05187032	0.05256834	0.05166167	0.05235284	0.05193917	0.05215321	0.05213177	0.0522237	0.05250103	0.05208843	0.05276542	0.05194397	0.05224897	0.05211085	0.05204652	
0.094	0.05207431	0.05207395	0.05204823	0.05242364	0.05249121	0.05241357	0.05248581	0.05259663	0.05246649	0.05250743	0.05201063	0.05274479	0.05170314	0.05247601	0.05203239	0.05232022	0.05226204	0.05226485	0.0525276	0.05221154	0.05277412	0.05211262	0.05239897	0.05213234	0.05223833	
0.096	0.05224642	0.05220657	0.05211674	0.0524483	0.05250603	0.05247037	0.05255212	0.05273863	0.05265224	0.0526192	0.05214952	0.05284515	0.05190328	0.05265154	0.05220892	0.05248299	0.05243304	0.05235272	0.05259126	0.05238002	0.05279051	0.05221746	0.05241028	0.05218826	0.05226139	
0.098	0.05233394	0.05240261	0.05212516	0.05256817	0.05258351	0.0525363	0.0526	0.05282822	0.05267646	0.05274929	0.05233908	0.05285984	0.05209705	0.05277494	0.05225032	0.0526206	0.05245263	0.0524573	0.05270974	0.05242844	0.05295557	0.05233195	0.05248591	0.05230032	0.05231842	
0.1	0.05245704	0.05247273	0.05223424	0.05260028	0.05261242	0.05257506	0.05270142	0.05297668	0.05270059	0.05274855	0.05252372	0.05296884	0.05221067	0.05277454	0.05240169	0.05265731	0.05244964	0.05259142	0.05271558	0.05258078	0.05313307	0.05249218	0.05249534	0.05241665	0.05245514	
0.102	0.0525509	0.05249284	0.0523746	0.05275354	0.05269378	0.05265827	0.05268707	0.05299603	0.05282901	0.05282096	0.05266667	0.05306206	0.0523684	0.05284888	0.05251017	0.05281703	0.05255433	0.05276535	0.05289105	0.05274213	0.05324876	0.05266685	0.05263323	0.05253229	0.05251323	
0.104	0.05267859	0.05262656	0.05247657	0.05273045	0.05270351	0.05264267	0.05284766	0.05312888	0.05284095	0.05282125	0.05282554	0.05314491	0.05236631	0.05294364	0.05262387	0.05293621	0.05260076	0.05279495	0.05295552	0.05281532	0.05329553	0.0527585	0.05265441	0.05269465	0.05264903	
0.106	0.05271257	0.0526885	0.05254335	0.05274107	0.05276598	0.05274193	0.05285103	0.05318094	0.0528503	0.052814	0.05281015	0.05317353	0.05242018	0.05307517	0.05266495	0.05296447	0.05276762	0.05279734	0.05310101	0.05287576	0.05339226	0.05275455	0.05274362	0.05272763	0.05273991	
0.108	0.05273408	0.05265732	0.05267646	0.05281014	0.05285203	0.0527205	0.05300537	0.05324835	0.0528708	0.05286724	0.05293246	0.05326616	0.0524715	0.05312573	0.05263687	0.05302148	0.05279066	0.05294118	0.05318026	0.0528776	0.05349241	0.05282119	0.05275529	0.05283716	0.05288326	
0.11	0.05272338	0.05269146	0.0527827	0.05278833	0.05298149	0.0528201	0.0530222	0.05339456	0.05298273	0.05296402	0.05309211	0.05328918	0.05245529	0.05319288	0.05263518	0.05304199	0.05290145	0.0530254	0.05333742	0.05289623	0.05347645	0.05290024	0.05283392	0.05293227	0.05294818	
0.112	0.05285917	0.05284778	0.05278739	0.05282705	0.05312363	0.05290973	0.0529805	0.05352386	0.05308112	0.05293599	0.05313073	0.05332045	0.05246386	0.05324342	0.05279041	0.05314596	0.05298954	0.05302317	0.0533786	0.05293508	0.05357692	0.05294242	0.05286236	0.05289368	0.05291514	
0.114	0.05285897	0.05281219	0.05279278	0.05278939	0.05321898	0.05296044	0.05300216	0.05348012	0.0531675	0.05292565	0.05322037	0.05336331	0.05262679	0.05333309	0.05294789	0.05312846	0.05298827	0.05306257	0.05350623	0.05295705	0.05368815	0.05291442	0.05297934	0.05302245	0.05300146	
0.116	0.05295504	0.0529584	0.05286164	0.05292973	0.05318053	0.05302317	0.05308863	0.05353729	0.05320079	0.05290993	0.05317653	0.05347527	0.05267229	0.05344528	0.05303003	0.05313671	0.05307224	0.05309469	0.05353043	0.05292697	0.05380202	0.05299645	0.05303923	0.05302517	0.05301036	
0.118	0.05303617	0.0529236	0.05299471	0.05294687	0.05314224	0.05315954	0.05306976	0.0535192	0.05318795	0.05289201	0.05323362	0.05341982	0.05278252	0.05351654	0.05314551	0.05315322	0.05304007	0.05310239	0.05366152	0.05298266	0.05376903	0.05299866	0.05311603	0.05297315	0.05300915	
0.12	0.0530945	0.0530148	0.05309944	0.05292408	0.05315192	0.05320419	0.05309909	0.05347984	0.05332002	0.05297178	0.05330933	0.05341692	0.0527992	0.05348711	0.05318961	0.05315004	0.05307084	0.05322213	0.05369724	0.05308698	0.05378538	0.05303455	0.05307439	0.05297642	0.05312504	
0.122	0.05316703	0.05300542	0.05306989	0.05291699	0.05315926	0.05314326	0.05311454	0.05347136	0.05342623	0.05298067	0.05330325	0.0533641	0.05280405	0.05361671	0.05331471	0.05323663	0.05306436	0.05319966	0.05374893	0.05309603	0.0538806	0.0531248	0.05301873	0.0530129	0.05311352	
0.124	0.05322079	0.05294524	0.05310802	0.05298842	0.05326345	0.05311189	0.05312968	0.05359901	0.05351909	0.05306743	0.05336221	0.05340084	0.05277072	0.05358847	0.05339547	0.05327474	0.05316215	0.05325861	0.05369279	0.05312383	0.0539355	0.05312041	0.05301806	0.05310985	0.05324538	
0.126	0.05317738	0.05291456	0.05322484	0.05298224	0.05335703	0.05306509	0.0532213	0.05370641	0.05350619	0.05316785	0.05347845	0.05338645	0.05286219	0.05351906	0.05350601	0.05340987	0.05319113	0.05326616	0.05377873	0.05315067	0.05391184	0.05311019	0.05311836	0.05312169	0.05335854	
0.128	0.05316726	0.0529034	0.05329649	0.05293962	0.05340933	0.05301462	0.05323884	0.05375811	0.05346029	0.05328904	0.0534895	0.05336577	0.05285628	0.0534819	0.05346721	0.05349883	0.05318049	0.05331992	0.05387966	0.05322112	0.05402684	0.05314611	0.05316916	0.05313928	0.05329528	
0.13	0.05311204	0.052963	0.05341819	0.05296978	0.05343242	0.05302425	0.05321415	0.05374893	0.05348676	0.05334622	0.05354641	0.05334042	0.0529605	0.05349793	0.05355338	0.05361162	0.05327398	0.0532668	0.05390453	0.05335182	0.054131	0.0531023	0.0531048	0.0532593	0.05322538	
0.132	0.05317174	0.05298489	0.05350889	0.05294902	0.05339755	0.05312687	0.05323722	0.05380359	0.05355876	0.0534004	0.05359355	0.05331464	0.05294785	0.05360039	0.05364694	0.05363239	0.05337614	0.05329575	0.05388654	0.05338778	0.05405851	0.05309209	0.05308522	0.05338192	0.05318382	
0.134	0.05313033	0.05305282	0.0534324	0.05291291	0.05345506	0.05307541	0.05320037	0.05385276	0.05364586	0.05335877	0.0536252	0.05332671	0.05293701	0.05360096	0.05374634	0.05360289	0.05338584	0.05325545	0.0538419	0.05351103	0.05414012	0.0531868	0.05316159	0.05333842	0.05317928	
0.136	0.05312408	0.0531528	0.05354072	0.05291213	0.05355268	0.05304042	0.05312737	0.05377919	0.05375411	0.05330831	0.05364045	0.05342238	0.0529239	0.05361789	0.05380026	0.05355308	0.05340382	0.05334833	0.05391546	0.05361319	0.05416472	0.053198	0.05311219	0.05338859	0.05316585	
0.138	0.05322802	0.05308073	0.05363926	0.05284069	0.05356088	0.05314182	0.05309407	0.05375354	0.05370416	0.05341667	0.05357138	0.05352069	0.05296969	0.0536914	0.05386907	0.05361637	0.05343448	0.05339828	0.05389105	0.05362793	0.05420929	0.05322441	0.05322739	0.05333876	0.05309868	
0.14	0.05329482	0.05307031	0.0537146	0.05284938	0.05365553	0.05323231	0.05309657	0.05372458	0.05379306	0.05350475	0.05369114	0.0536154	0.05293883	0.05363122	0.05389026	0.05359842	0.05348749	0.05332973	0.05399809	0.05372778	0.05421758	0.05320968	0.053154	0.05329594	0.05310634	
0.142	0.05333484	0.0530122	0.05382078	0.05291518	0.05366802	0.05324928	0.0530967	0.05376056	0.05383342	0.05356919	0.05373212	0.05353507	0.05293734	0.05358976	0.05400341	0.05366828	0.05351292	0.05334918	0.05394503	0.05371068	0.05414281	0.05328913	0.05312219	0.05339199	0.05306565	
0.144	0.05325415	0.05299623	0.05378919	0.05296712	0.05368952	0.05326764	0.05302932	0.05382069	0.05385878	0.05365023	0.05384941	0.05362329	0.0530233	0.05363521	0.0540549	0.05377949	0.05346413	0.05329897	0.05393641	0.05378028	0.05423056	0.05330015	0.05319368	0.05333846	0.05315868	
0.146	0.05323182	0.05305798	0.05383264	0.05306606	0.05378184	0.05321449	0.05299002	0.05376793	0.0539257	0.05367078	0.0538695	0.05357554	0.05304706	0.05364044	0.05408043	0.05376903	0.05352613	0.05325255	0.05388484	0.05387149	0.05429477	0.05338361	0.05322545	0.05330104	0.05311342	
0.148	0.05315574	0.05310878	0.05387675	0.05313502	0.05386461	0.05330983	0.05300236	0.05377097	0.05385969	0.05363629	0.05390579	0.05358693	0.05315265	0.05359863	0.05402547	0.05378932	0.05349207	0.05328025	0.05393215	0.05395277	0.05434268	0.05340671	0.05321417	0.05327059	0.05305321	
0.15	0.05316768	0.05311538	0.05385787	0.05306462	0.05387203	0.05330719	0.05308796	0.05381244	0.05395321	0.05360231	0.05401766	0.05360243	0.05324858	0.05355452	0.05413047	0.05383417	0.05349776	0.05337992	0.05390285	0.05404767	0.0542536	0.05351547	0.05333085	0.05321226	0.05315483	
