Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0.0808	1	0	-0.006299022	0.09338021	-0.3527181	-0.3583932	-0.07	0.02450244	
0.0812	1	0	-0.00586448	0.09380843	-0.3526375	-0.358368	-0.07	0.02450244	
0.0816	1	0	-0.005427894	0.09423859	-0.3525556	-0.3583418	-0.07	0.02560195	
0.08199999	1	0	-0.004989279	0.09467071	-0.3524723	-0.3583145	-0.07	0.02560195	
0.0824	1	0	-0.004548615	0.09510476	-0.3523879	-0.3582862	-0.07	0.02560195	
0.0828	1	0	-0.004105929	0.09554075	-0.3523021	-0.3582569	-0.07	0.02560195	
0.0832	1	0	-0.003661206	0.09597869	-0.3522151	-0.3582267	-0.07	0.02560195	
0.0836	1	0	-0.003214449	0.09641857	-0.3521269	-0.3581955	-0.07	0.02648156	
0.084	1	0	-0.00276567	0.09686036	-0.3520375	-0.3581633	-0.07	0.02648156	
0.0844	1	0	-0.002314854	0.09730409	-0.3519469	-0.3581301	-0.07	0.02648156	
0.0848	1	0	-0.001862022	0.09774975	-0.351855	-0.358096	-0.07	0.02648156	
0.0852	1	0	-0.001407167	0.09819733	-0.3517621	-0.358061	-0.07	0.02648156	
0.0856	1	0	-0.0009502888	0.09864683	-0.3516679	-0.358025	-0.07	0.02718525	
0.086	1	0	-0.0004914016	0.09909824	-0.3515726	-0.3579882	-0.07	0.02718525	
0.08639999	1	0	-3.049672E-05	0.09955157	-0.3514761	-0.3579504	-0.07	0.02718525	
0.08679999	1	0	0.0004324257	0.1000068	-0.3513785	-0.3579118	-0.07	0.02718525	
0.0872	1	0	0.0008973599	0.1004639	-0.3512797	-0.3578722	-0.07	0.02718525	
0.0876	1	0	0.001364297	0.100923	-0.3511799	-0.3578319	-0.07	0.0277482	
0.088	1	0	0.001833254	0.1013839	-0.351079	-0.3577907	-0.07	0.0277482	
0.0884	1	0	0.002304208	0.1018468	-0.3509769	-0.3577486	-0.07	0.0277482	
0.0888	1	0	0.002777168	0.1023115	-0.3508738	-0.3577057	-0.07	0.0277482	
0.0892	1	0	0.003252122	0.1027782	-0.3507697	-0.357662	-0.07	0.0277482	
0.0896	1	0	0.003729075	0.1032467	-0.3506645	-0.3576176	-0.07	0.02819856	
0.09	1	0	0.004208026	0.1037171	-0.3505583	-0.3575723	-0.07	0.02819856	
0.0904	1	0	0.004688967	0.1041894	-0.3504511	-0.3575263	-0.07	0.02819856	
0.09079999	1	0	0.005171886	0.1046635	-0.3503429	-0.3574795	-0.07	0.02819856	
0.09119999	1	0	0.005656817	0.1051396	-0.3502337	-0.3574321	-0.07	0.02819856	
0.0916	1	0	0.006143722	0.1056175	-0.3501236	-0.3573838	-0.07	0.02855884	
0.092	1	0	0.006632605	0.1060973	-0.3500124	-0.3573349	-0.07	0.02855884	
0.0924	1	0	0.007123464	0.1065789	-0.3499004	-0.3572853	-0.07	0.02855884	
0.0928	1	0	0.007616305	0.1070624	-0.3497875	-0.357235	-0.07	0.02855884	
0.0932	1	0	0.008111119	0.1075478	-0.3496735	-0.357184	-0.07	0.02855884	
0.0936	1	0	0.008607909	0.108035	-0.3495588	-0.3571324	-0.07	0.02884708	
0.094	1	0	0.009106663	0.1085241	-0.349443	-0.3570801	-0.07	0.02884708	
0.0944	1	0	0.009607396	0.109015	-0.3493265	-0.3570272	-0.07	0.02884708	
0.0948	1	0	0.01011009	0.1095077	-0.3492091	-0.3569737	-0.07	0.02884708	
0.09519999	1	0	0.01061475	0.1100024	-0.3490909	-0.3569196	-0.07	0.02884708	
0.09559999	1	0	0.01112137	0.1104988	-0.3489718	-0.3568649	-0.07	0.02907766	
0.096	1	0	0.01162994	0.1109971	-0.3488519	-0.3568096	-0.07	0.02907766	
0.0964	1	0	0.01214046	0.1114972	-0.3487312	-0.3567537	-0.07	0.02907766	
