Time	Tension	Length	Ia	II	
2.161	31.55771	0.3343886	65.09173	26.92969	
2.162	31.55974	0.3343879	65.09376	26.92941	
2.163	31.54946	0.3343872	65.08347	26.93038	
2.164	31.52617	0.3343866	65.06019	26.93264	
2.165	31.48984	0.3343859	65.02386	26.93621	
2.166	31.45159	0.3343852	64.9856	26.93996	
2.167	31.4472	0.3343846	64.98122	26.94034	
2.168	31.46314	0.334384	64.99716	26.93868	
2.169	31.48849	0.3343833	65.02251	26.93608	
2.17	31.51497	0.3343826	65.049	26.93336	
2.171	31.5368	0.3343819	65.07082	26.93111	
2.172	31.55013	0.3343813	65.08416	26.92972	
2.173	31.55246	0.3343807	65.08648	26.92942	
2.174	31.54245	0.33438	65.07647	26.93036	
2.175	31.51943	0.3343794	65.05345	26.93259	
2.176	31.4833	0.3343787	65.01731	26.93614	
2.177	31.44532	0.3343781	64.97934	26.93987	
2.178	31.44113	0.3343774	64.97515	26.94023	
2.179	31.45731	0.3343768	64.99133	26.93855	
2.18	31.48296	0.3343762	65.01698	26.93592	
2.181	31.50975	0.3343756	65.04377	26.93318	
2.182	31.53184	0.3343749	65.06586	26.9309	
2.183	31.54543	0.3343743	65.07945	26.92949	
2.184	31.54802	0.3343737	65.08205	26.92917	
2.185	31.53822	0.3343731	65.07224	26.93008	
2.186	31.51545	0.3343725	65.04947	26.9323	
2.187	31.4795	0.3343718	65.01351	26.93583	
2.188	31.44169	0.3343712	64.97572	26.93955	
2.189	31.43773	0.3343706	64.97175	26.93988	
2.19	31.4542	0.33437	64.98821	26.93818	
2.191	31.48004	0.3343694	65.01406	26.93554	
2.192	31.50702	0.3343688	65.04105	26.93278	
2.193	31.52936	0.3343682	65.06338	26.93048	
2.194	31.54316	0.3343676	65.07718	26.92904	
2.195	31.54596	0.3343671	65.07998	26.92871	
2.196	31.53632	0.3343664	65.07034	26.92961	
2.197	31.51373	0.3343659	65.04775	26.93181	
2.198	31.47801	0.3343653	65.01204	26.93533	
2.199	31.44041	0.3343647	64.97443	26.93903	
2.2	31.43666	0.3343642	64.97067	26.93935	
2.201	31.45331	0.3343636	64.98734	26.93763	
2.202	31.47935	0.3343631	65.01337	26.93497	
2.203	31.50657	0.3343625	65.0406	26.9322	
2.204	31.52912	0.334362	65.06315	26.92989	
2.205	31.54307	0.3343614	65.07708	26.92844	
