Time	Body_X	Body_Y	Body_Z	Joint_1	
0.129	-1.650121E-05	-0.08099128	-1.500049	-0.0809913	
0.13	-1.675904E-05	-0.08225676	-1.50005	-0.08225679	
0.131	-1.701887E-05	-0.08353207	-1.500051	-0.08353209	
0.132	-1.72807E-05	-0.08481717	-1.500052	-0.08481719	
0.133	-1.754453E-05	-0.08611209	-1.500053	-0.08611211	
0.134	-1.781036E-05	-0.08741682	-1.500054	-0.08741684	
0.135	-1.807818E-05	-0.08873136	-1.500054	-0.08873138	
0.136	-1.8348E-05	-0.0900557	-1.500055	-0.09005573	
0.137	-1.861983E-05	-0.09138986	-1.500056	-0.09138989	
0.138	-1.889365E-05	-0.09273383	-1.500057	-0.09273385	
0.139	-1.916947E-05	-0.09408761	-1.500058	-0.09408763	
0.14	-1.944729E-05	-0.0954512	-1.500059	-0.09545122	
0.141	-1.97271E-05	-0.09682459	-1.500059	-0.09682462	
0.142	-2.000892E-05	-0.0982078	-1.50006	-0.09820782	
0.143	-2.029273E-05	-0.09960082	-1.500061	-0.09960084	
0.144	-2.057855E-05	-0.1010036	-1.500062	-0.1010037	
0.145	-2.086636E-05	-0.1024163	-1.500063	-0.1024163	
0.146	-2.115617E-05	-0.1038387	-1.500064	-0.1038388	
0.147	-2.144798E-05	-0.105271	-1.500064	-0.105271	
0.148	-2.174178E-05	-0.1067131	-1.500065	-0.1067131	
0.149	-2.203759E-05	-0.1081649	-1.500066	-0.108165	
0.15	-2.233539E-05	-0.1096266	-1.500067	-0.1096266	
0.151	-2.26352E-05	-0.1110981	-1.500068	-0.1110981	
0.152	-2.2937E-05	-0.1125794	-1.500069	-0.1125795	
0.153	-2.32408E-05	-0.1140705	-1.50007	-0.1140706	
0.154	-2.35466E-05	-0.1155715	-1.500071	-0.1155715	
0.155	-2.38544E-05	-0.1170822	-1.500072	-0.1170822	
0.156	-2.41642E-05	-0.1186028	-1.500073	-0.1186028	
0.157	-2.447599E-05	-0.1201331	-1.500074	-0.1201331	
0.158	-2.478979E-05	-0.1216733	-1.500075	-0.1216733	
0.159	-2.510558E-05	-0.1232233	-1.500075	-0.1232233	
0.16	-2.542337E-05	-0.124783	-1.500076	-0.1247831	
0.161	-2.574316E-05	-0.1263526	-1.500077	-0.1263527	
0.162	-2.606495E-05	-0.127932	-1.500078	-0.1279321	
0.163	-2.638874E-05	-0.1295213	-1.500079	-0.1295213	
0.164	-2.671453E-05	-0.1311203	-1.50008	-0.1311203	
0.165	-2.704231E-05	-0.1327291	-1.500081	-0.1327292	
0.166	-2.73721E-05	-0.1343478	-1.500082	-0.1343478	
0.167	-2.770388E-05	-0.1359762	-1.500083	-0.1359763	
