Time	Y	
0.546	-0.3971693	
0.5470001	-0.398511	
0.548	-0.3998532	
0.549	-0.4011957	
0.55	-0.4025387	
0.551	-0.403882	
0.552	-0.4052258	
0.553	-0.4065699	
0.554	-0.4079145	
0.555	-0.4092594	
0.5560001	-0.4106047	
0.557	-0.4119503	
0.558	-0.4132964	
0.559	-0.4146429	
0.56	-0.4159896	
0.561	-0.4173368	
0.562	-0.4186843	
0.563	-0.4200323	
0.564	-0.4213805	
0.565	-0.4227292	
0.566	-0.4240781	
0.567	-0.4254275	
0.568	-0.4267772	
0.569	-0.4281272	
0.5700001	-0.4294776	
0.571	-0.4308283	
0.572	-0.4321794	
0.573	-0.4335308	
0.574	-0.4348826	
0.575	-0.4362347	
0.576	-0.4375871	
0.577	-0.4389399	
0.578	-0.440293	
0.5790001	-0.4416464	
0.58	-0.4430001	
0.581	-0.4443542	
0.582	-0.4457086	
0.583	-0.4470633	
0.5840001	-0.4484183	
0.585	-0.4497737	
0.586	-0.4511293	
0.587	-0.4524853	
0.588	-0.4538416	
0.589	-0.4551982	
0.59	-0.4565551	
0.591	-0.4579123	
0.592	-0.4592698	
0.5930001	-0.4606276	
0.594	-0.4619856	
0.595	-0.463344	
0.596	-0.4647027	
0.597	-0.4660616	
0.598	-0.4674208	
0.599	-0.4687803	
0.6	-0.4701401	
0.601	-0.4715002	
0.6020001	-0.4728606	
0.603	-0.4742212	
0.604	-0.4755822	
0.605	-0.4769434	
0.606	-0.4783049	
0.6070001	-0.4796666	
0.608	-0.4810286	
0.609	-0.4823909	
0.61	-0.4837535	
0.611	-0.4851163	
0.612	-0.4864794	
0.613	-0.4878427	
0.614	-0.4892063	
0.615	-0.4905702	
0.6160001	-0.4919343	
0.617	-0.4932986	
0.618	-0.4946632	
0.619	-0.4960281	
0.62	-0.4973932	
0.6210001	-0.4987586	
0.622	-0.5001242	
0.623	-0.5014901	
0.624	-0.5028561	
0.625	-0.5042225	
0.626	-0.505589	
0.627	-0.5069558	
0.628	-0.5083229	
0.629	-0.5096902	
0.6300001	-0.5110577	
0.631	-0.5124254	
0.632	-0.5137933	
0.633	-0.5151615	
0.634	-0.51653	
0.6350001	-0.5178986	
0.636	-0.5192674	
0.637	-0.5206365	
0.638	-0.5220058	
0.6390001	-0.5233753	
0.64	-0.524745	
0.641	-0.526115	
0.642	-0.5274851	
0.643	-0.5288555	
0.6440001	-0.5302261	
0.645	-0.5315968	
0.646	-0.5329679	
0.647	-0.5343391	
0.648	-0.5357105	
0.649	-0.5370821	
0.65	-0.5384539	
0.651	-0.5398259	
0.652	-0.5411981	
0.6530001	-0.5425705	
0.654	-0.5439431	
0.655	-0.5453159	
0.656	-0.5466889	
0.657	-0.5480621	
0.6580001	-0.5494355	
0.659	-0.5508091	
0.66	-0.5521829	
0.661	-0.5535568	
0.6620001	-0.5549309	
0.663	-0.5563052	
0.664	-0.5576797	
0.665	-0.5590543	
0.666	-0.5604292	
0.6670001	-0.5618042	
0.668	-0.5631794	
0.669	-0.5645549	
0.67	-0.5659304	
0.671	-0.5673062	
0.6720001	-0.5686821	
0.673	-0.5700582	
0.674	-0.5714344	
0.675	-0.5728108	
0.6760001	-0.5741875	
0.677	-0.5755642	
0.678	-0.5769411	
0.679	-0.5783182	
0.68	-0.5796955	
0.6810001	-0.5810729	
0.682	-0.5824505	
0.683	-0.5838282	
0.684	-0.5852062	
0.6850001	-0.5865842	
0.686	-0.5879624	
0.687	-0.5893408	
0.688	-0.5907193	
0.689	-0.592098	
0.6900001	-0.5934768	
0.691	-0.5948558	
0.692	-0.596235	
0.693	-0.5976142	
0.694	-0.5989937	
0.6950001	-0.6003733	
0.696	-0.601753	
0.697	-0.6031329	
0.698	-0.6045129	
0.6990001	-0.6058931	
0.7	-0.6072733	
