Time	A1	A2	A3	A4	A5	A6	
38.1	0	0	0	0	0.06744617	1.097629E-05	
38.102	0	0	0	0	0.06735629	1.096166E-05	
38.104	0	0	0	0	0.06726652	1.094707E-05	
38.106	0	0	0	0	0.06717688	1.093249E-05	
38.108	0	0	0	0	0.06708741	1.091794E-05	
38.11	0	0	0	0	0.066998	1.090339E-05	
38.112	0	0	0	0	0.06690878	1.088887E-05	
38.114	0	0	0	0	0.06681955	1.087436E-05	
38.116	0	0	0	0	0.06673056	1.085985E-05	
38.118	0	0	0	0	0.06664163	1.084538E-05	
38.12	0	0	0	0	0.06655282	1.083093E-05	
38.122	0	0	0	0	0.06646419	1.08165E-05	
38.124	0	0	0	0	0.06637555	1.080208E-05	
38.126	0	0	0	0	0.06628716	1.078768E-05	
38.128	0	0	0	0	0.06619889	1.077331E-05	
38.13	0	0	0	0	0.06611067	1.075894E-05	
38.132	0	0	0	0	0.06602257	1.074461E-05	
38.134	0	0	0	0	0.0659346	1.073029E-05	
38.136	0	0	0	0	0.06584674	1.071598E-05	
38.138	0	0	0	0	0.065759	1.07017E-05	
38.14	0	0	0	0	0.06567138	1.068744E-05	
38.142	0	0	0	0	0.06558388	1.06732E-05	
38.144	0	0	0	0	0.0654965	1.065897E-05	
38.146	0	0	0	0	0.06540924	1.064476E-05	
38.148	0	0	0	0	0.0653221	1.063057E-05	
38.15	0	0	0	0	0.06523508	1.06164E-05	
38.152	0	0	0	0	0.06514812	1.060225E-05	
38.154	0	0	0	0	0.06506127	1.058812E-05	
38.156	0	0	0	0	0.06497461	1.0574E-05	
38.158	0	0	0	0	0.064888	1.055992E-05	
38.16	0	0	0	0	0.06480157	1.054585E-05	
38.162	0	0	0	0	0.06471521	1.053181E-05	
38.164	0	0	0	0	0.06462902	1.051778E-05	
38.166	0	0	0	0	0.06454289	1.050377E-05	
38.168	0	0	0	0	0.06445688	1.048977E-05	
38.17	0	0	0	0	0.06437099	1.04758E-05	
38.172	0	0	0	0	0.06428522	1.046184E-05	
38.174	0	0	0	0	0.06419957	1.044792E-05	
38.176	0	0	0	0	0.06411403	1.0434E-05	
38.178	0	0	0	0	0.06402856	1.04201E-05	
38.18	0	0	0	0	0.06394327	1.040624E-05	
38.182	0	0	0	0	0.06385803	1.039237E-05	
38.184	0	0	0	0	0.06377298	1.037852E-05	
38.186	0	0	0	0	0.06368792	1.03647E-05	
38.188	0	0	0	0	0.0636031	1.03509E-05	
38.19	0	0	0	0	0.06351835	1.033711E-05	
38.192	0	0	0	0	0.06343371	1.032336E-05	
38.194	0	0	0	0	0.06334925	1.030962E-05	
38.196	0	0	0	0	0.06326479	1.029589E-05	
38.198	0	0	0	0	0.06318057	1.02822E-05	
38.2	0	0	0	0	0.06309634	1.026849E-05	
38.202	0	0	0	0	0.0630123	1.025483E-05	
38.204	0	0	0	0	0.06292838	1.02412E-05	
38.206	0	0	0	0	0.06284451	1.022755E-05	
38.208	0	0	0	0	0.06276077	1.021393E-05	
38.21	0	0	0	0	0.0626772	1.020032E-05	
38.212	0	0	0	0	0.06259364	1.018675E-05	
38.214	0	0	0	0	0.06251031	1.01732E-05	
38.216	0	0	0	0	0.06242698	1.015964E-05	
38.218	0	0	0	0	0.06234384	1.014611E-05	
38.22	0	0	0	0	0.06226081	1.013262E-05	
38.222	0	0	0	0	0.06217784	1.01191E-05	
38.224	0	0	0	0	0.06209499	1.010563E-05	
38.226	0	0	0	0	0.06201226	1.009219E-05	
38.228	0	0	0	0	0.06192958	1.007873E-05	
38.23	0	0	0	0	0.06184703	1.006529E-05	
38.232	0	0	0	0	0.06176466	1.005188E-05	
38.234	0	0	0	0	0.06168228	1.003851E-05	
38.236	0	0	0	0	0.06160015	1.002512E-05	
38.238	0	0	0	0	0.06151801	1.001176E-05	
38.24	0	0	0	0	0.06143606	9.998417E-06	
38.242	0	0	0	0	0.06135422	9.985102E-06	
38.244	0	0	0	0	0.06127244	9.971787E-06	
38.246	0	0	0	0	0.06119078	9.95852E-06	
38.248	0	0	0	0	0.0611093	9.945266E-06	
38.25	0	0	0	0	0.06102782	9.932024E-06	
38.252	0	0	0	0	0.06094658	9.918782E-06	
38.254	0	0	0	0	0.06086534	9.905569E-06	
38.256	0	0	0	0	0.06078422	9.892352E-06	
38.258	0	0	0	0	0.06070322	9.879182E-06	
38.26	0	0	0	0	0.06062233	9.866013E-06	
38.262	0	0	0	0	0.06054157	9.852873E-06	
38.264	0	0	0	0	0.06046087	9.839747E-06	
38.266	0	0	0	0	0.06038034	9.826621E-06	
38.268	0	0	0	0	0.06029987	9.813524E-06	
38.27	0	0	0	0	0.06021953	9.800457E-06	
38.272	0	0	0	0	0.0601393	9.787389E-06	
38.274	0	0	0	0	0.06005913	9.77435E-06	
38.276	0	0	0	0	0.05997914	9.761308E-06	
38.278	0	0	0	0	0.05989915	9.748317E-06	
38.28	0	0	0	0	0.0598194	9.735337E-06	
38.282	0	0	0	0	0.05973965	9.722356E-06	
38.284	0	0	0	0	0.05966008	9.709423E-06	
38.286	0	0	0	0	0.05958056	9.696501E-06	
38.288	0	0	0	0	0.05950117	9.683565E-06	
38.29	0	0	0	0	0.0594219	9.670672E-06	
38.292	0	0	0	0	0.05934268	9.657779E-06	
38.294	0	0	0	0	0.05926365	9.644915E-06	
38.296	0	0	0	0	0.05918467	9.632051E-06	
38.298	0	0	0	0	0.05910581	9.619249E-06	
38.3	0	0	0	0	0.05902708	9.606447E-06	
38.302	0	0	0	0	0.0589484	9.593656E-06	
38.304	0	0	0	0	0.0588699	9.580865E-06	
38.306	0	0	0	0	0.0587914	9.568088E-06	
38.308	0	0	0	0	0.05871314	9.555341E-06	
38.31	0	0	0	0	0.05863488	9.542626E-06	
38.312	0	0	0	0	0.05855674	9.529926E-06	
38.314	0	0	0	0	0.05847871	9.517218E-06	
38.316	0	0	0	0	0.05840081	9.504543E-06	
38.318	0	0	0	0	0.05832297	9.491883E-06	
38.32	0	0	0	0	0.0582453	9.479205E-06	
38.322	0	0	0	0	0.05816764	9.466592E-06	
38.324	0	0	0	0	0.05809015	9.453976E-06	
38.326	0	0	0	0	0.05801278	9.441388E-06	
38.328	0	0	0	0	0.05793542	9.428801E-06	
38.33	0	0	0	0	0.05785823	9.416224E-06	
38.332	0	0	0	0	0.0577811	9.403699E-06	
38.334	0	0	0	0	0.05770415	9.391155E-06	
38.336	0	0	0	0	0.05762726	9.37864E-06	
38.338	0	0	0	0	0.05755043	9.366155E-06	
38.34	0	0	0	0	0.05747378	9.353651E-06	
38.342	0	0	0	0	0.05739719	9.341213E-06	
38.344	0	0	0	0	0.05732077	9.328774E-06	
38.346	0	0	0	0	0.05724436	9.316329E-06	
38.348	0	0	0	0	0.05716807	9.303916E-06	
38.35	0	0	0	0	0.05709195	9.291518E-06	
38.352	0	0	0	0	0.05701584	9.279134E-06	
38.354	0	0	0	0	0.0569399	9.26678E-06	
38.356	0	0	0	0	0.05686402	9.254425E-06	
38.358	0	0	0	0	0.05678827	9.2421E-06	
38.36	0	0	0	0	0.05671257	9.229774E-06	
38.362	0	0	0	0	0.05663699	9.217478E-06	
38.364	0	0	0	0	0.05656153	9.205211E-06	
38.366	0	0	0	0	0.05648613	9.192929E-06	
38.368	0	0	0	0	0.05641085	9.180672E-06	
38.37	0	0	0	0	0.05633569	9.168434E-06	
38.372	0	0	0	0	0.05626059	9.156225E-06	
38.374	0	0	0	0	0.05618566	9.144016E-06	
38.376	0	0	0	0	0.0561108	9.131836E-06	
38.378	0	0	0	0	0.05603606	9.119653E-06	
38.38	0	0	0	0	0.05596137	9.107502E-06	
38.382	0	0	0	0	0.05588681	9.095365E-06	
38.384	0	0	0	0	0.05581236	9.083225E-06	
38.386	0	0	0	0	0.05573803	9.071118E-06	
38.388	0	0	0	0	0.05566376	9.059026E-06	
38.39	0	0	0	0	0.05558962	9.046962E-06	
38.392	0	0	0	0	0.05551553	9.034895E-06	
38.394	0	0	0	0	0.05544156	9.022846E-06	
38.396	0	0	0	0	0.05536765	9.010844E-06	
38.398	0	0	0	0	0.05529386	8.998821E-06	
38.4	0	0	0	0	0.05522019	8.98683E-06	
38.402	0	0	0	0	0.05514657	8.974854E-06	
38.404	0	0	0	0	0.05507314	8.962892E-06	
