Time	II	Ia	Length	
0.505	155.0566	76.2159	0.5	
0.506	155.0442	76.25384	0.5	
0.507	155.0318	76.29164	0.5	
0.508	155.0195	76.32934	0.5	
0.509	155.0072	76.3669	0.5	
0.51	154.9949	76.40434	0.5	
0.511	154.9827	76.44167	0.5	
0.512	154.9706	76.47887	0.5	
0.513	154.9584	76.51595	0.5	
0.514	154.9463	76.5529	0.5	
0.515	154.9343	76.58974	0.5	
0.516	154.9222	76.62646	0.5	
0.517	154.9103	76.66306	0.5	
0.518	154.8983	76.69954	0.5	
0.519	154.8864	76.73589	0.5	
0.52	154.8746	76.77213	0.5	
0.521	154.8628	76.80825	0.5	
0.522	154.851	76.84425	0.5	
0.523	154.8392	76.88012	0.5	
0.524	154.8275	76.91589	0.5	
0.525	154.8159	76.95153	0.5	
0.526	154.8042	76.98705	0.5	
0.527	154.7926	77.02245	0.5	
0.528	154.7811	77.05775	0.5	
0.529	154.7696	77.09291	0.5	
0.53	154.7581	77.12797	0.5	
0.531	154.7467	77.1629	0.5	
0.532	154.7353	77.19772	0.5	
0.533	154.7239	77.23242	0.5	
0.534	154.7126	77.26701	0.5	
0.535	154.7013	77.30148	0.5	
0.536	154.6901	77.33582	0.5	
0.537	154.6789	77.37006	0.5	
0.538	154.6677	77.40418	0.5	
0.539	154.6566	77.43819	0.5	
0.54	154.6455	77.47208	0.5	
0.541	154.6344	77.50586	0.5	
0.542	154.6234	77.53952	0.5	
0.543	154.6125	77.57307	0.5	
0.544	154.6015	77.6065	0.5	
0.545	154.5906	77.63982	0.5	
0.546	154.5797	77.67303	0.5	
0.547	154.5689	77.70613	0.5	
0.548	154.5581	77.73911	0.5	
0.549	154.5474	77.77197	0.5	
0.55	154.5366	77.80473	0.5	
0.551	154.5259	77.83737	0.5	
0.552	154.5153	77.86991	0.5	
0.553	154.5047	77.90232	0.5	
0.554	154.4941	77.93464	0.5	
0.555	154.4836	77.96684	0.5	
0.556	154.4731	77.99892	0.5	
0.557	154.4626	78.0309	0.5	
0.558	154.4522	78.06276	0.5	
0.559	154.4418	78.09452	0.5	
0.56	154.4314	78.12616	0.5	
0.561	154.4211	78.1577	0.5	
0.562	154.4108	78.18913	0.5	
0.563	154.4006	78.22045	0.5	
0.564	154.3904	78.25166	0.5	
0.565	154.3802	78.28277	0.5	
0.566	154.37	78.31376	0.5	
0.567	154.3599	78.34464	0.5	
0.568	154.3499	78.37542	0.5	
0.569	154.3398	78.40609	0.5	
0.57	154.3298	78.43665	0.5	
0.571	154.3199	78.46712	0.5	
0.572	154.3099	78.49747	0.5	
0.573	154.3	78.52771	0.5	
0.574	154.2902	78.55785	0.5	
0.575	154.2803	78.58788	0.5	
0.576	154.2705	78.61781	0.5	
0.577	154.2608	78.64763	0.5	
0.578	154.2511	78.67735	0.5	
0.579	154.2413	78.70696	0.5	
0.58	154.2317	78.73647	0.5	
0.581	154.2221	78.76588	0.5	
0.582	154.2125	78.79517	0.5	
0.583	154.2029	78.82437	0.5	
0.584	154.1934	78.85347	0.5	
0.585	154.1839	78.88245	0.5	
0.586	154.1745	78.91135	0.5	
0.587	154.1651	78.94013	0.5	
0.588	154.1557	78.96881	0.5	
0.589	154.1463	78.9974	0.5	
0.59	154.137	79.02588	0.5	
0.591	154.1277	79.05426	0.5	
0.592	154.1184	79.08253	0.5	
0.593	154.1092	79.11071	0.5	
0.594	154.1	79.13879	0.5	
0.595	154.0909	79.16677	0.5	
0.596	154.0818	79.19466	0.5	
0.597	154.0727	79.22243	0.5	
0.598	154.0636	79.25011	0.5	
0.599	154.0546	79.27769	0.5	
0.6	154.0456	79.30517	0.5	
0.601	154.0366	79.33255	0.5	
0.602	154.0277	79.35983	0.5	
0.603	154.0188	79.38703	0.5	
0.604	154.0099	79.41412	0.5	
0.605	154.0011	79.44111	0.5	
0.606	153.9923	79.468	0.5	
0.607	153.9835	79.4948	0.5	
0.608	153.9748	79.5215	0.5	
0.609	153.9661	79.54811	0.5	
0.61	153.9574	79.57462	0.5	
0.611	153.9488	79.60104	0.5	
0.612	153.9401	79.62736	0.5	
0.613	153.9316	79.65359	0.5	
0.614	153.923	79.67971	0.5	
0.615	153.9145	79.70574	0.5	
0.616	153.906	79.73169	0.5	
0.617	153.8975	79.75753	0.5	
0.618	153.8891	79.78328	0.5	
0.619	153.8807	79.80894	0.5	
0.62	153.8723	79.83451	0.5	
0.621	153.864	79.85999	0.5	
0.622	153.8557	79.88537	0.5	
0.623	153.8474	79.91066	0.5	
0.624	153.8392	79.93585	0.5	
0.625	153.831	79.96095	0.5	
0.626	153.8228	79.98597	0.5	
0.627	153.8146	80.01089	0.5	
0.628	153.8065	80.03572	0.5	
0.629	153.7984	80.06046	0.5	
0.63	153.7903	80.08512	0.5	
0.631	153.7823	80.10968	0.5	
0.632	153.7743	80.13414	0.5	
0.633	153.7663	80.15852	0.5	
0.634	153.7583	80.18282	0.5	
0.635	153.7504	80.20702	0.5	
0.636	153.7425	80.23114	0.5	
0.637	153.7347	80.25516	0.5	
0.638	153.7268	80.2791	0.5	
0.639	153.719	80.30295	0.5	
0.64	153.7113	80.32671	0.5	
0.641	153.7035	80.35039	0.5	
0.642	153.6958	80.37397	0.5	
0.643	153.6881	80.39748	0.5	
0.644	153.6804	80.42089	0.5	
0.645	153.6728	80.44421	0.5	
0.646	153.6652	80.46746	0.5	
0.647	153.6576	80.49062	0.5	
0.648	153.6501	80.51369	0.5	
0.649	153.6425	80.53667	0.5	
0.65	153.635	80.55958	0.5	
0.651	153.6276	80.5824	0.5	
0.652	153.6201	80.60513	0.5	
0.653	153.6127	80.62778	0.5	
0.654	153.6053	80.65034	0.5	
0.655	153.598	80.67282	0.5	
0.656	153.5907	80.69521	0.5	
0.657	153.5834	80.71754	0.5	
0.658	153.5761	80.73976	0.5	
0.659	153.5688	80.76191	0.5	
0.66	153.5616	80.78397	0.5	
0.661	153.5544	80.80596	0.5	
0.662	153.5472	80.82787	0.5	
0.663	153.5401	80.84969	0.5	
0.664	153.533	80.87143	0.5	
0.665	153.5259	80.89309	0.5	
0.666	153.5188	80.91467	0.5	
0.667	153.5118	80.93617	0.5	
0.668	153.5048	80.9576	0.5	
0.669	153.4978	80.97894	0.5	
0.67	153.4908	81.00019	0.5	
0.671	153.4839	81.02137	0.5	
0.672	153.477	81.04247	0.5	
0.673	153.4701	81.0635	0.5	
0.674	153.4633	81.08443	0.5	
0.675	153.4565	81.1053	0.5	
0.676	153.4496	81.12609	0.5	
0.677	153.4429	81.1468	0.5	
0.678	153.4361	81.16743	0.5	
0.679	153.4294	81.18799	0.5	
0.68	153.4227	81.20847	0.5	
0.681	153.416	81.22887	0.5	
0.682	153.4093	81.24919	0.5	
0.683	153.4027	81.26945	0.5	
