Time	Angle	
1.454	0.9876779	
1.455	0.987796	
1.456	0.9879126	
1.457	0.9880276	
1.458	0.988141	
1.459	0.9882528	
1.46	0.9883629	
1.461	0.9884714	
1.462	0.9885783	
1.463	0.9886835	
1.464	0.9887871	
1.465	0.988889	
1.466	0.9889894	
1.467	0.9890879	
1.468	0.9891849	
1.469	0.9892801	
1.47	0.9893739	
1.471	0.9894659	
1.472	0.9895563	
1.473	0.9896451	
1.474	0.9897323	
1.475	0.9898178	
1.476	0.9899018	
1.477	0.989984	
1.478	0.9900646	
1.479	0.9901435	
1.48	0.9902208	
1.481	0.9902966	
1.482	0.9903705	
1.483	0.9904429	
1.484	0.9905137	
1.485	0.9905828	
1.486	0.9906502	
1.487	0.9907161	
1.488	0.9907802	
1.489	0.9908429	
1.49	0.9909038	
1.491	0.9909631	
1.492	0.9910207	
1.493	0.9910767	
1.494	0.991131	
1.495	0.9911838	
1.496	0.991235	
1.497	0.9912845	
1.498	0.9913323	
1.499	0.9913784	
1.5	0.9914229	
1.501	0.9914658	
1.502	0.9915071	
1.503	0.9915466	
1.504	0.9915847	
1.505	0.991621	
1.506	0.9916557	
1.507	0.9916889	
1.508	0.9917203	
1.509	0.9917501	
1.51	0.9917783	
1.511	0.9918049	
1.512	0.9918297	
1.513	0.9918529	
1.514	0.9918745	
1.515	0.9918945	
1.516	0.991913	
1.517	0.9919297	
1.518	0.9919446	
1.519	0.9919581	
1.52	0.9919698	
1.521	0.9919801	
1.522	0.9919886	
1.523	0.9919955	
1.524	0.9920006	
1.525	0.9920043	
1.526	0.9920062	
1.527	0.9920066	
1.528	0.9920053	
1.529	0.9920023	
1.53	0.9919977	
1.531	0.9919913	
1.532	0.9919834	
1.533	0.9919738	
1.534	0.9919627	
1.535	0.99195	
1.536	0.9919356	
1.537	0.9919194	
1.538	0.9919018	
1.539	0.9918825	
1.54	0.9918616	
1.541	0.9918389	
1.542	0.9918147	
1.543	0.9917887	
1.544	0.9917611	
1.545	0.991732	
1.546	0.9917012	
1.547	0.9916687	
1.548	0.9916346	
1.549	0.9915989	
1.55	0.9915615	
1.551	0.9915226	
1.552	0.991482	
1.553	0.9914397	
1.554	0.9913957	
1.555	0.9913501	
1.556	0.9913027	
1.557	0.9912539	
1.558	0.9912034	
1.559	0.9911513	
1.56	0.9910975	
1.561	0.991042	
1.562	0.990985	
1.563	0.9909263	
1.564	0.9908661	
1.565	0.990804	
1.566	0.9907404	
1.567	0.9906753	
1.568	0.9906085	
1.569	0.99054	
1.57	0.9904698	
1.571	0.990398	
1.572	0.9903246	
1.573	0.9902495	
1.574	0.9901727	
1.575	0.9900944	
1.576	0.9900144	
1.577	0.9899328	
1.578	0.9898496	
1.579	0.9897648	
1.58	0.9896781	
1.581	0.9895899	
1.582	0.9895	
1.583	0.9894086	
1.584	0.9893155	
1.585	0.9892207	
1.586	0.9891243	
1.587	0.9890262	
1.588	0.9889266	
1.589	0.9888254	
1.59	0.9887225	
1.591	0.988618	
1.592	0.9885118	
1.593	0.988404	
1.594	0.9882944	
1.595	0.9881834	
1.596	0.9880707	
1.597	0.9879563	
1.598	0.9878404	
1.599	0.9877228	
1.6	0.9876035	
1.601	0.9874827	
1.602	0.9873601	
1.603	0.987236	
1.604	0.9871104	
1.605	0.9869829	
1.606	0.9868538	
1.607	0.9867231	
1.608	0.9865909	
1.609	0.986457	
1.61	0.9863213	
1.611	0.9861842	
1.612	0.9860453	
1.613	0.9859049	
1.614	0.9857628	
1.615	0.9856189	
1.616	0.9854735	
1.617	0.9853266	
1.618	0.9851779	
1.619	0.9850278	
1.62	0.984876	
1.621	0.9847223	
1.622	0.984567	
1.623	0.9844102	
1.624	0.9842518	
1.625	0.9840919	
1.626	0.9839301	
1.627	0.9837667	
1.628	0.9836019	
1.629	0.9834352	
1.63	0.9832671	
1.631	0.9830973	
1.632	0.9829257	
1.633	0.9827527	
1.634	0.9825779	
1.635	0.9824015	
1.636	0.9822235	
1.637	0.9820439	
1.638	0.9818627	
1.639	0.9816797	
1.64	0.9814952	
1.641	0.9813091	
1.642	0.9811214	
1.643	0.980932	
1.644	0.9807409	
1.645	0.9805483	
1.646	0.980354	
1.647	0.980158	
1.648	0.9799605	
1.649	0.9797613	
1.65	0.9795606	
1.651	0.979358	
1.652	0.9791541	
1.653	0.9789484	
1.654	0.978741	
1.655	0.9785321	
1.656	0.9783217	
1.657	0.9781095	
1.658	0.9778958	
1.659	0.9776804	
1.66	0.9774633	
1.661	0.9772447	
1.662	0.9770245	
1.663	0.9768025	
1.664	0.976579	
1.665	0.9763539	
1.666	0.9761272	
1.667	0.9758987	
1.668	0.9756688	
1.669	0.9754372	
1.67	0.9752041	
1.671	0.9749691	
1.672	0.9747326	
1.673	0.9744945	
1.674	0.9742547	
1.675	0.9740133	
1.676	0.9737703	
1.677	0.9735256	
1.678	0.9732794	
1.679	0.9730316	
1.68	0.9727821	
1.681	0.9725311	
1.682	0.9722785	
