Time	Angle	
1.418	1.260623	
1.419	1.260875	
1.42	1.261126	
1.421	1.261375	
1.422	1.261622	
1.423	1.261868	
1.424	1.262111	
1.425	1.262352	
1.426	1.262592	
1.427	1.26283	
1.428	1.263066	
1.429	1.2633	
1.43	1.263532	
1.431	1.263762	
1.432	1.263991	
1.433	1.264217	
1.434	1.264442	
1.435	1.264665	
1.436	1.264886	
1.437	1.265105	
1.438	1.265322	
1.439	1.265537	
1.44	1.265751	
1.441	1.265962	
1.442	1.266172	
1.443	1.26638	
1.444	1.266586	
1.445	1.26679	
1.446	1.266992	
1.447	1.267193	
1.448	1.267391	
1.449	1.267588	
1.45	1.267783	
1.451	1.267976	
1.452	1.268167	
1.453	1.268356	
1.454	1.268543	
1.455	1.268729	
1.456	1.268912	
1.457	1.269094	
1.458	1.269274	
1.459	1.269452	
1.46	1.269628	
1.461	1.269802	
1.462	1.269974	
1.463	1.270144	
1.464	1.270313	
1.465	1.27048	
1.466	1.270645	
1.467	1.270808	
1.468	1.270969	
1.469	1.271128	
1.47	1.271285	
1.471	1.271441	
1.472	1.271594	
1.473	1.271746	
1.474	1.271896	
1.475	1.272043	
1.476	1.27219	
1.477	1.272334	
1.478	1.272476	
1.479	1.272617	
1.48	1.272755	
1.481	1.272892	
1.482	1.273027	
1.483	1.27316	
1.484	1.273291	
1.485	1.27342	
1.486	1.273547	
1.487	1.273673	
1.488	1.273796	
1.489	1.273918	
1.49	1.274038	
1.491	1.274156	
1.492	1.274272	
1.493	1.274386	
1.494	1.274498	
1.495	1.274609	
1.496	1.274717	
1.497	1.274824	
1.498	1.274929	
1.499	1.275032	
1.5	1.275133	
1.501	1.275232	
1.502	1.27533	
1.503	1.275425	
1.504	1.275519	
1.505	1.27561	
1.506	1.2757	
1.507	1.275788	
1.508	1.275874	
1.509	1.275958	
1.51	1.276041	
1.511	1.276121	
1.512	1.2762	
1.513	1.276276	
1.514	1.276351	
1.515	1.276424	
1.516	1.276495	
1.517	1.276564	
1.518	1.276631	
1.519	1.276697	
1.52	1.276761	
1.521	1.276822	
1.522	1.276882	
1.523	1.27694	
1.524	1.276996	
1.525	1.27705	
1.526	1.277103	
1.527	1.277153	
1.528	1.277202	
1.529	1.277248	
1.53	1.277293	
1.531	1.277336	
1.532	1.277377	
1.533	1.277416	
1.534	1.277453	
1.535	1.277489	
1.536	1.277522	
1.537	1.277554	
1.538	1.277584	
1.539	1.277612	
1.54	1.277638	
1.541	1.277662	
1.542	1.277684	
1.543	1.277704	
1.544	1.277723	
1.545	1.27774	
1.546	1.277754	
1.547	1.277767	
1.548	1.277778	
