Time	Body_X	Body_Y	Body_Z	Joint_1	
0.207	-4.037489E-05	-0.1981681	-0.1501212	-0.1981681	
0.208	-4.02288E-05	-0.197451	-0.1501207	-0.1974511	
0.209	-4.00847E-05	-0.1967438	-0.1501203	-0.1967438	
0.21	-3.99426E-05	-0.1960463	-0.1501199	-0.1960464	
0.211	-3.980251E-05	-0.1953587	-0.1501194	-0.1953588	
0.212	-3.966441E-05	-0.1946809	-0.150119	-0.194681	
0.213	-3.952831E-05	-0.1940129	-0.1501186	-0.194013	
0.214	-3.939421E-05	-0.1933547	-0.1501182	-0.1933548	
0.215	-3.926211E-05	-0.1927063	-0.1501178	-0.1927064	
0.216	-3.9132E-05	-0.1920678	-0.1501174	-0.1920678	
0.217	-3.90039E-05	-0.191439	-0.150117	-0.1914391	
0.218	-3.88778E-05	-0.1908201	-0.1501167	-0.1908201	
0.219	-3.875369E-05	-0.1902109	-0.1501163	-0.190211	
0.22	-3.863158E-05	-0.1896116	-0.1501159	-0.1896116	
0.221	-3.851147E-05	-0.189022	-0.1501156	-0.1890221	
0.222	-3.839336E-05	-0.1884423	-0.1501152	-0.1884424	
0.223	-3.827725E-05	-0.1878724	-0.1501149	-0.1878725	
0.224	-3.816313E-05	-0.1873123	-0.1501145	-0.1873124	
0.225	-3.805101E-05	-0.186762	-0.1501142	-0.1867621	
0.226	-3.79409E-05	-0.1862216	-0.1501139	-0.1862216	
0.227	-3.783278E-05	-0.1856909	-0.1501135	-0.185691	
0.228	-3.772666E-05	-0.1851701	-0.1501132	-0.1851701	
0.229	-3.762254E-05	-0.184659	-0.1501129	-0.1846591	
0.23	-3.752042E-05	-0.1841578	-0.1501126	-0.1841578	
0.231	-3.74203E-05	-0.1836664	-0.1501123	-0.1836664	
0.232	-3.732217E-05	-0.1831848	-0.150112	-0.1831848	
0.233	-3.722605E-05	-0.182713	-0.1501117	-0.182713	
0.234	-3.713192E-05	-0.182251	-0.1501114	-0.182251	
0.235	-3.703979E-05	-0.1817988	-0.1501111	-0.1817988	
0.236	-3.694967E-05	-0.1813564	-0.1501109	-0.1813564	
0.237	-3.686154E-05	-0.1809238	-0.1501106	-0.1809239	
0.238	-3.67754E-05	-0.1805011	-0.1501103	-0.1805011	
