Time	FF	Vm	Ie	
0.492	0	-0.06919122	0	
0.494	0	-0.06924514	0	
0.496	0	-0.06929547	0	
0.498	0	-0.06934243	0	
0.5	0	-0.06938627	4E-09	
0.502	0.02780404	-0.06676052	4E-09	
0.504	0.06392214	-0.06430982	4E-09	
0.506	0.09725454	-0.0620225	4E-09	
0.508	0.1279907	-0.05988766	4E-09	
0.5100001	0.1563075	-0.05789515	4E-09	
0.512	0.1823698	-0.05603547	4E-09	
0.514	0.2063316	-0.05429978	4E-09	
0.516	0.2283366	-0.05267979	4E-09	
0.518	0.2485187	-0.0511678	4E-09	
0.52	0.2670031	-0.04975662	4E-09	
0.522	0.2839064	-0.04843951	4E-09	
0.524	0.2993375	-0.04721021	4E-09	
0.526	0.313398	-0.04606286	4E-09	
0.528	0.3261827	-0.04499201	4E-09	
0.53	0.3377799	-0.04399254	4E-09	
0.532	0.3482723	-0.0430597	4E-09	
0.534	0.3577367	-0.04218905	4E-09	
0.536	0.3662449	-0.04137645	4E-09	
0.538	0.3738639	-0.04061802	4E-09	
0.54	0.3806563	-0.03991015	4E-09	
0.5420001	0.3866803	-0.03924948	4E-09	
0.544	0.3919902	-0.03863285	4E-09	
0.546	0.3966368	-0.03805732	4E-09	
0.548	0.4006673	-0.03752017	4E-09	
0.55	0.404126	-0.03701882	4E-09	
0.552	0.4070538	-0.0365509	4E-09	
0.554	0.4094893	-0.03611417	4E-09	
0.5560001	0.4114681	-0.03570656	4E-09	
0.558	0.4130238	-0.03532613	4E-09	
0.56	0.4141873	-0.03497105	4E-09	
0.562	0.4149876	-0.03463965	4E-09	
0.564	0.4154519	-0.03433034	4E-09	
0.566	0.4156053	-0.03404165	4E-09	
0.568	0.4154713	-0.03377221	4E-09	
0.5700001	0.415072	-0.03352073	4E-09	
0.572	0.4144277	-0.03328601	4E-09	
0.574	0.4135574	-0.03306695	4E-09	
0.576	0.4124788	-0.03286248	4E-09	
0.578	0.4112086	-0.03267165	4E-09	
0.58	0.4097621	-0.03249354	4E-09	
0.582	0.4081536	-0.03232731	4E-09	
0.5840001	0.4063966	-0.03217215	4E-09	
0.586	0.4045034	-0.03202734	4E-09	
0.588	0.4024857	-0.03189218	4E-09	
0.59	0.4003543	-0.03176604	4E-09	
0.592	0.3981192	-0.0316483	4E-09	
0.594	0.3957897	-0.03153842	4E-09	
0.596	0.3933747	-0.03143585	4E-09	
0.598	0.3908821	-0.03134013	4E-09	
0.6	0.3883196	-0.03125079	0	
0.6020001	0.3460921	-0.03383407	0	
0.604	0.3068423	-0.03624513	0	
