Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
1.601	0.02475194	0.1245102	0	0.02255036	
1.6015	0.02539929	0.1248811	0	0.02301488	
1.602	0.02604427	0.1251042	0	0.02347696	
1.6025	0.0266869	0.1251802	0	0.02393661	
1.603	0.02732717	0.12511	0	0.02439381	
1.6035	0.02796508	0.1248946	0	0.02484858	
1.604	0.02860064	0.1245356	0	0.02530092	
1.6045	0.02923384	0.1240343	0	0.02575082	
1.605	0.02986468	0.1233925	0	0.0261983	
1.6055	0.03049317	0.1226122	0	0.02664334	
1.606	0.03111931	0.1216955	0	0.02708596	
1.6065	0.03174308	0.1206447	0	0.02752616	
1.607	0.0323645	0.1194624	0	0.02796393	
1.6075	0.03298357	0.1181512	0	0.02839927	
1.608	0.03360027	0.1167142	0	0.0288322	
1.6085	0.03421462	0.1151542	0	0.02926271	
1.609	0.03482661	0.1134747	0	0.02969081	
1.6095	0.03543624	0.111679	0	0.03011648	
1.61	0.03604351	0.1097707	0	0.03053974	
1.6105	0.0366484	0.1077535	0	0.03096059	
1.611	0.03725094	0.1056314	0	0.03137903	
1.6115	0.03785111	0.1034084	0	0.03179505	
1.612	0.03844892	0.1010887	0	0.03220866	
1.6125	0.03904435	0.09867653	0	0.03261987	
1.613	0.03963741	0.09617638	0	0.03302867	
1.6135	0.04022809	0.0935928	0	0.03343506	
1.614	0.04081641	0.09093047	0	0.03383904	
1.6145	0.04140234	0.08819415	0	0.03424062	
1.615	0.04198588	0.0853887	0	0.0346398	
1.6155	0.04256705	0.08251908	0	0.03503657	
1.616	0.04314583	0.07959034	0	0.03543094	
1.6165	0.04372222	0.07660758	0	0.0358229	
1.617	0.04429622	0.07357597	0	0.03621247	
1.6175	0.04486781	0.07050075	0	0.03659963	
1.618	0.04543702	0.06738722	0	0.03698439	
1.6185	0.04600381	0.06424069	0	0.03736675	
1.619	0.04656821	0.06106652	0	0.03774671	
1.6195	0.0471302	0.05787013	0	0.03812426	
1.62	0.04768977	0.05465691	0	0.03849943	
1.6205	0.04824693	0.05143231	0	0.03887218	
1.621	0.04880168	0.04820174	0	0.03924254	
1.6215	0.049354	0.04497065	0	0.0396105	
1.622	0.04990389	0.04174445	0	0.03997605	
1.6225	0.05045136	0.03852855	0	0.04033921	
1.623	0.05099639	0.03532835	0	0.04069997	
1.6235	0.05153898	0.03214918	0	0.04105832	
1.624	0.05207914	0.02899637	0	0.04141427	
1.6245	0.05261685	0.02587518	0	0.04176782	
1.625	0.05315211	0.02279084	0	0.04211897	
1.6255	0.05368492	0.01974849	0	0.04246771	
1.626	0.05421528	0.01675324	0	0.04281405	
1.6265	0.05474317	0.01381009	0	0.04315799	
1.627	0.05526861	0.01092398	0	0.04349952	
1.6275	0.05579158	0.008099767	0	0.04383864	
1.628	0.05631207	0.005342192	0	0.04417536	
1.6285	0.0568301	0.002655907	0	0.04450966	
1.629	0.05734565	4.545497E-05	0	0.04484157	
1.6295	0.05785871	-0.002484739	0	0.04517105	
1.63	0.05836929	-0.004930369	0	0.04549813	
1.6305	0.05887739	-0.00728726	0	0.04582279	
1.631	0.05938299	-0.009551369	0	0.04614504	
1.6315	0.05988609	-0.01171879	0	0.04646487	
1.632	0.0603867	-0.01378578	0	0.04678229	
1.6325	0.0608848	-0.01574871	0	0.04709729	
1.633	0.06138041	-0.01760415	0	0.04740986	
1.6335	0.0618735	-0.0193488	0	0.04772002	
1.634	0.06236408	-0.02097954	0	0.04802775	
1.6345	0.06285216	-0.02249341	0	0.04833306	
1.635	0.06333771	-0.02388762	0	0.04863594	
1.6355	0.06382074	-0.02515959	0	0.0489364	
