Time	Rotation	PendulumY	PendulumX	PendulumZ	
0.183	-0.1138061	-0.6964858	0.0804315	0	
0.184	-0.115006	-0.6963897	0.08127101	0	
0.185	-0.1162115	-0.6962922	0.08211418	0	
0.186	-0.1174223	-0.6961932	0.08296102	0	
0.187	-0.1186386	-0.6960928	0.08381149	0	
0.188	-0.1198603	-0.6959908	0.08466559	0	
0.189	-0.1210874	-0.6958874	0.0855233	0	
0.19	-0.1223198	-0.6957824	0.08638461	0	
0.191	-0.1235576	-0.695676	0.0872495	0	
0.192	-0.1248008	-0.6955679	0.08811795	0	
0.193	-0.1260492	-0.6954584	0.08898994	0	
0.194	-0.1273029	-0.6953472	0.08986547	0	
0.195	-0.1285619	-0.6952345	0.09074452	0	
0.196	-0.1298261	-0.6951202	0.09162705	0	
0.197	-0.1310956	-0.6950042	0.09251308	0	
0.198	-0.1323703	-0.6948867	0.09340257	0	
0.199	-0.1336502	-0.6947675	0.09429552	0	
0.2	-0.1349353	-0.6946468	0.09519189	0	
0.201	-0.1362256	-0.6945243	0.09609168	0	
0.202	-0.137521	-0.6944003	0.09699488	0	
0.203	-0.1388215	-0.6942745	0.09790146	0	
0.204	-0.1401271	-0.6941471	0.0988114	0	
0.205	-0.1414378	-0.6940179	0.0997247	0	
0.206	-0.1427536	-0.6938871	0.1006413	0	
0.207	-0.1440744	-0.6937545	0.1015613	0	
0.208	-0.1454003	-0.6936201	0.1024845	0	
0.209	-0.1467311	-0.6934841	0.103411	0	
0.21	-0.1480669	-0.6933463	0.1043408	0	
0.211	-0.1494077	-0.6932067	0.1052738	0	
0.212	-0.1507535	-0.6930654	0.1062101	0	
0.213	-0.1521042	-0.6929223	0.1071496	0	
0.214	-0.1534598	-0.6927773	0.1080922	0	
0.215	-0.1548202	-0.6926305	0.109038	0	
0.216	-0.1561855	-0.6924819	0.109987	0	
0.217	-0.1575557	-0.6923316	0.1109392	0	
0.218	-0.1589307	-0.6921793	0.1118944	0	
0.219	-0.1603105	-0.6920252	0.1128528	0	
0.22	-0.1616951	-0.6918692	0.1138142	0	
0.221	-0.1630845	-0.6917114	0.1147787	0	
0.222	-0.1644785	-0.6915516	0.1157462	0	
0.223	-0.1658774	-0.69139	0.1167168	0	
0.224	-0.1672809	-0.6912264	0.1176904	0	
0.225	-0.1686891	-0.6910609	0.1186669	0	
0.226	-0.1701019	-0.6908935	0.1196465	0	
0.227	-0.1715194	-0.6907241	0.120629	0	
0.228	-0.1729415	-0.6905528	0.1216144	0	
0.229	-0.1743682	-0.6903795	0.1226028	0	
0.23	-0.1757995	-0.6902042	0.123594	0	
0.231	-0.1772353	-0.6900269	0.1245881	0	
0.232	-0.1786757	-0.6898477	0.1255851	0	
0.233	-0.1801205	-0.6896665	0.1265849	0	
0.234	-0.1815699	-0.6894832	0.1275875	0	
0.235	-0.1830237	-0.6892979	0.1285929	0	
0.236	-0.184482	-0.6891105	0.1296011	0	
0.237	-0.1859447	-0.6889212	0.1306121	0	
0.238	-0.1874118	-0.6887297	0.1316258	0	
0.239	-0.1888832	-0.6885361	0.1326422	0	
0.24	-0.190359	-0.6883405	0.1336613	0	
0.241	-0.1918392	-0.6881428	0.1346831	0	
0.242	-0.1933236	-0.687943	0.1357076	0	
0.243	-0.1948124	-0.6877412	0.1367347	0	
0.244	-0.1963054	-0.6875371	0.1377644	0	
0.245	-0.1978027	-0.687331	0.1387967	0	
0.246	-0.1993042	-0.6871227	0.1398316	0	
0.247	-0.2008099	-0.6869122	0.140869	0	
0.248	-0.2023197	-0.6866996	0.141909	0	
0.249	-0.2038337	-0.6864849	0.1429514	0	
0.25	-0.2053519	-0.6862679	0.1439964	0	
0.251	-0.2068741	-0.6860487	0.1450439	0	
0.252	-0.2084005	-0.6858274	0.1460938	0	
0.253	-0.2099309	-0.6856039	0.1471461	0	
0.254	-0.2114653	-0.6853781	0.1482008	0	
0.255	-0.2130038	-0.6851501	0.149258	0	
0.256	-0.2145462	-0.68492	0.1503175	0	
0.257	-0.2160926	-0.6846875	0.1513793	0	
0.258	-0.217643	-0.6844528	0.1524435	0	
0.259	-0.2191973	-0.6842158	0.1535099	0	
0.26	-0.2207555	-0.6839766	0.1545787	0	
0.261	-0.2223175	-0.6837351	0.1556497	0	
0.262	-0.2238834	-0.6834914	0.1567229	0	
0.263	-0.2254531	-0.6832454	0.1577984	0	
0.264	-0.2270267	-0.682997	0.158876	0	
0.265	-0.228604	-0.6827464	0.1599559	0	
0.266	-0.230185	-0.6824934	0.1610378	0	
0.267	-0.2317698	-0.6822381	0.162122	0	
0.268	-0.2333583	-0.6819806	0.1632082	0	
0.269	-0.2349505	-0.6817206	0.1642965	0	
0.27	-0.2365463	-0.6814584	0.1653868	0	
0.271	-0.2381458	-0.6811937	0.1664792	0	
0.272	-0.2397489	-0.6809267	0.1675736	0	
0.273	-0.2413555	-0.6806573	0.16867	0	
0.274	-0.2429658	-0.6803856	0.1697684	0	
0.275	-0.2445795	-0.6801116	0.1708688	0	
0.276	-0.2461968	-0.6798351	0.171971	0	
0.277	-0.2478175	-0.6795563	0.1730752	0	
0.278	-0.2494418	-0.679275	0.1741812	0	
0.279	-0.2510695	-0.6789913	0.1752891	0	
0.28	-0.2527005	-0.6787053	0.1763989	0	
0.281	-0.254335	-0.6784168	0.1775104	0	
0.282	-0.2559728	-0.6781259	0.1786238	0	
0.283	-0.257614	-0.6778325	0.1797389	0	
0.284	-0.2592584	-0.6775367	0.1808558	0	
0.285	-0.2609062	-0.6772385	0.1819743	0	
0.286	-0.2625572	-0.6769379	0.1830946	0	
0.287	-0.2642115	-0.6766347	0.1842166	0	
0.288	-0.265869	-0.6763292	0.1853402	0	
0.289	-0.2675296	-0.6760212	0.1864654	0	
0.29	-0.2691934	-0.6757107	0.1875923	0	
0.291	-0.2708604	-0.6753978	0.1887207	0	
0.292	-0.2725305	-0.6750823	0.1898507	0	
0.293	-0.2742036	-0.6747644	0.1909822	0	
0.294	-0.2758798	-0.674444	0.1921152	0	
0.295	-0.2775591	-0.6741211	0.1932497	0	
0.296	-0.2792413	-0.6737957	0.1943857	0	
0.297	-0.2809266	-0.6734678	0.1955231	0	
0.298	-0.2826147	-0.6731374	0.196662	0	
0.299	-0.2843058	-0.6728045	0.1978022	0	
0.3	-0.2859999	-0.6724691	0.1989438	0	
0.301	-0.2876967	-0.6721312	0.2000867	0	
0.302	-0.2893966	-0.6717908	0.201231	0	
0.303	-0.2910991	-0.6714479	0.2023766	0	
0.304	-0.2928045	-0.6711024	0.2035234	0	
0.305	-0.2945125	-0.6707544	0.2046715	0	
0.306	-0.2962234	-0.6704039	0.2058208	0	
0.307	-0.297937	-0.6700508	0.2069714	0	
0.308	-0.2996533	-0.6696952	0.2081231	0	
0.309	-0.3013722	-0.669337	0.2092759	0	
0.31	-0.3030938	-0.6689764	0.2104299	0	
0.311	-0.304818	-0.6686131	0.211585	0	
0.312	-0.3065448	-0.6682473	0.2127412	0	
0.313	-0.3082741	-0.667879	0.2138984	0	
0.314	-0.310006	-0.6675081	0.2150567	0	
0.315	-0.3117404	-0.6671347	0.216216	0	
0.316	-0.3134773	-0.6667587	0.2173762	0	
0.317	-0.3152166	-0.6663802	0.2185374	0	
0.318	-0.3169583	-0.6659991	0.2196996	0	
0.319	-0.3187025	-0.6656155	0.2208627	0	
0.32	-0.3204491	-0.6652293	0.2220267	0	
0.321	-0.322198	-0.6648405	0.2231915	0	
0.322	-0.3239492	-0.6644492	0.2243572	0	
0.323	-0.3257026	-0.6640553	0.2255237	0	
0.324	-0.3274584	-0.6636589	0.2266909	0	
0.325	-0.3292164	-0.6632599	0.227859	0	
0.326	-0.3309766	-0.6628582	0.2290278	0	
0.327	-0.332739	-0.6624541	0.2301973	0	
0.328	-0.3345035	-0.6620474	0.2313675	0	
0.329	-0.3362702	-0.6616382	0.2325384	0	
0.33	-0.3380389	-0.6612263	0.2337099	0	
0.331	-0.3398098	-0.6608119	0.234882	0	
0.332	-0.3415827	-0.660395	0.2360548	0	
0.333	-0.3433576	-0.6599755	0.2372281	0	
0.334	-0.3451345	-0.6595533	0.2384019	0	
0.335	-0.3469133	-0.6591287	0.2395763	0	
0.336	-0.3486941	-0.6587015	0.2407512	0	
0.337	-0.3504768	-0.6582717	0.2419266	0	
0.338	-0.3522614	-0.6578394	0.2431023	0	
0.339	-0.3540479	-0.6574045	0.2442786	0	
0.34	-0.3558362	-0.656967	0.2454552	0	
0.341	-0.3576262	-0.656527	0.2466322	0	
0.342	-0.3594181	-0.6560845	0.2478095	0	
0.343	-0.3612116	-0.6556394	0.2489872	0	
0.344	-0.3630069	-0.6551918	0.2501652	0	
0.345	-0.3648039	-0.6547416	0.2513434	0	
0.346	-0.3666025	-0.6542889	0.2525219	0	
0.347	-0.3684028	-0.6538336	0.2537007	0	
0.348	-0.3702047	-0.6533758	0.2548796	0	
0.349	-0.3720081	-0.6529155	0.2560587	0	
0.35	-0.3738132	-0.6524526	0.257238	0	
0.351	-0.3756197	-0.6519873	0.2584174	0	
0.352	-0.3774277	-0.6515193	0.2595969	0	
0.353	-0.3792371	-0.6510489	0.2607765	0	
0.354	-0.381048	-0.650576	0.2619562	0	
0.355	-0.3828603	-0.6501005	0.2631359	0	
0.356	-0.384674	-0.6496226	0.2643156	0	
0.357	-0.386489	-0.6491421	0.2654953	0	
0.358	-0.3883054	-0.6486592	0.2666749	0	
0.359	-0.3901231	-0.6481737	0.2678545	0	
0.36	-0.391942	-0.6476858	0.269034	0	
0.361	-0.3937621	-0.6471954	0.2702134	0	
0.362	-0.3955835	-0.6467025	0.2713927	0	
0.363	-0.397406	-0.6462072	0.2725718	0	
0.364	-0.3992296	-0.6457093	0.2737507	0	
0.365	-0.4010544	-0.645209	0.2749294	0	
0.366	-0.4028803	-0.6447063	0.2761079	0	
0.367	-0.4047072	-0.6442011	0.2772861	0	
0.368	-0.4065352	-0.6436934	0.2784641	0	
0.369	-0.4083642	-0.6431834	0.2796417	0	
0.37	-0.4101942	-0.6426709	0.2808191	0	
0.371	-0.4120252	-0.6421559	0.2819961	0	
0.372	-0.413857	-0.6416386	0.2831727	0	
0.373	-0.4156897	-0.6411188	0.2843489	0	
0.374	-0.4175234	-0.6405966	0.2855247	0	
0.375	-0.4193578	-0.640072	0.2867	0	
0.376	-0.4211931	-0.6395451	0.2878749	0	
0.377	-0.4230291	-0.6390158	0.2890492	0	
0.378	-0.4248659	-0.6384841	0.2902231	0	
0.379	-0.4267034	-0.63795	0.2913964	0	
0.38	-0.4285416	-0.6374136	0.2925692	0	
0.381	-0.4303805	-0.6368748	0.2937414	0	
0.382	-0.43222	-0.6363336	0.2949129	0	
0.383	-0.4340602	-0.6357901	0.2960839	0	
0.384	-0.4359009	-0.6352443	0.2972542	0	
0.385	-0.4377422	-0.6346962	0.2984238	0	
0.386	-0.439584	-0.6341457	0.2995927	0	
0.387	-0.4414262	-0.633593	0.3007608	0	
0.388	-0.443269	-0.633038	0.3019283	0	
0.389	-0.4451121	-0.6324806	0.3030949	0	
0.39	-0.4469557	-0.631921	0.3042608	0	
0.391	-0.4487997	-0.6313592	0.3054259	0	
0.392	-0.450644	-0.6307951	0.3065901	0	
0.393	-0.4524886	-0.6302287	0.3077534	0	
0.394	-0.4543335	-0.6296601	0.3089158	0	
0.395	-0.4561787	-0.6290893	0.3100774	0	
0.396	-0.4580241	-0.6285162	0.311238	0	
0.397	-0.4598697	-0.627941	0.3123977	0	
0.398	-0.4617155	-0.6273635	0.3135564	0	
0.399	-0.4635615	-0.6267838	0.314714	0	
0.4	-0.4654076	-0.626202	0.3158707	0	
0.401	-0.4672537	-0.6256181	0.3170264	0	
0.402	-0.4690999	-0.6250319	0.3181809	0	
0.403	-0.4709461	-0.6244437	0.3193344	0	
0.404	-0.4727924	-0.6238533	0.3204868	0	
0.405	-0.4746386	-0.6232607	0.3216381	0	
0.406	-0.4764847	-0.6226661	0.3227882	0	
0.407	-0.4783308	-0.6220694	0.3239371	0	
0.408	-0.4801767	-0.6214706	0.3250848	0	
0.409	-0.4820225	-0.6208698	0.3262313	0	
0.41	-0.4838682	-0.6202668	0.3273766	0	
0.411	-0.4857136	-0.6196617	0.3285206	0	
0.412	-0.4875588	-0.6190547	0.3296634	0	
0.413	-0.4894038	-0.6184457	0.3308048	0	
0.414	-0.4912485	-0.6178346	0.3319449	0	
0.415	-0.4930929	-0.6172215	0.3330837	0	
0.416	-0.4949369	-0.6166065	0.3342211	0	
0.417	-0.4967805	-0.6159894	0.3353571	0	
0.418	-0.4986237	-0.6153705	0.3364917	0	
0.419	-0.5004666	-0.6147496	0.3376249	0	
0.42	-0.5023089	-0.6141267	0.3387566	0	
0.421	-0.5041509	-0.6135019	0.3398869	0	
0.422	-0.5059922	-0.6128752	0.3410157	0	
0.423	-0.5078331	-0.6122466	0.3421429	0	
0.424	-0.5096732	-0.6116161	0.3432686	0	
0.425	-0.5115129	-0.6109838	0.3443928	0	
0.426	-0.5133519	-0.6103496	0.3455154	0	
0.427	-0.5151903	-0.6097136	0.3466364	0	
0.428	-0.5170279	-0.6090758	0.3477558	0	
0.429	-0.5188649	-0.6084362	0.3488736	0	
0.43	-0.5207011	-0.6077947	0.3499897	0	
0.431	-0.5225365	-0.6071515	0.3511041	0	
0.432	-0.5243711	-0.6065065	0.3522169	0	
0.433	-0.5262049	-0.6058599	0.353328	0	
0.434	-0.5280379	-0.6052114	0.3544373	0	
0.435	-0.52987	-0.6045613	0.3555448	0	
0.436	-0.5317011	-0.6039094	0.3566507	0	
0.437	-0.5335314	-0.6032559	0.3577547	0	
0.438	-0.5353605	-0.6026006	0.3588569	0	
0.439	-0.5371888	-0.6019437	0.3599572	0	
0.44	-0.5390159	-0.6012852	0.3610558	0	
0.441	-0.5408421	-0.6006251	0.3621525	0	
