Time	A2	A3	A4	A5	A1	
0.364	0.002234913	1.236099E-06	1.244061E-06	0.002249307	0.0272268	
0.366	0.002233285	1.235199E-06	1.243155E-06	0.002247669	0.02720697	
0.368	0.002231633	1.234285E-06	1.242235E-06	0.002246006	0.02718684	
0.37	0.002229956	1.233358E-06	1.241302E-06	0.002244319	0.02716641	
0.372	0.002228256	1.232417E-06	1.240355E-06	0.002242608	0.0271457	
0.374	0.002226532	1.231464E-06	1.239395E-06	0.002240873	0.0271247	
0.376	0.002224786	1.230498E-06	1.238424E-06	0.002239116	0.02710343	
0.378	0.002223018	1.22952E-06	1.237439E-06	0.002237336	0.02708189	
0.38	0.002221229	1.22853E-06	1.236443E-06	0.002235535	0.02706009	
0.382	0.002219418	1.227529E-06	1.235435E-06	0.002233712	0.02703802	
0.384	0.002217586	1.226516E-06	1.234416E-06	0.002231869	0.02701571	
0.386	0.002215734	1.225492E-06	1.233385E-06	0.002230006	0.02699316	
0.388	0.002213863	1.224457E-06	1.232343E-06	0.002228123	0.02697036	
0.39	0.002211973	1.223411E-06	1.231291E-06	0.00222622	0.02694733	
0.392	0.002210064	1.222356E-06	1.230228E-06	0.002224299	0.02692408	
0.394	0.002208137	1.22129E-06	1.229156E-06	0.00222236	0.0269006	
0.396	0.002206192	1.220214E-06	1.228073E-06	0.002220402	0.02687691	
0.398	0.00220423	1.219129E-06	1.226981E-06	0.002218428	0.026853	
0.4	0.00220225	1.218034E-06	1.225879E-06	0.002216436	0.02682889	
0.402	0.002200255	1.21693E-06	1.224768E-06	0.002214427	0.02680458	
0.404	0.002198243	1.215817E-06	1.223648E-06	0.002212403	0.02678007	
0.406	0.002196216	1.214696E-06	1.22252E-06	0.002210362	0.02675537	
0.408	0.002194173	1.213566E-06	1.221383E-06	0.002208306	0.02673049	
0.41	0.002192115	1.212428E-06	1.220237E-06	0.002206235	0.02670542	
0.412	0.002190042	1.211282E-06	1.219084E-06	0.002204149	0.02668017	
0.414	0.002187956	1.210128E-06	1.217922E-06	0.002202049	0.02665475	
0.416	0.002185855	1.208966E-06	1.216753E-06	0.002199935	0.02662916	
0.418	0.002183741	1.207797E-06	1.215576E-06	0.002197808	0.02660341	
0.42	0.002181614	1.20662E-06	1.214392E-06	0.002195667	0.0265775	
0.422	0.002179474	1.205437E-06	1.213201E-06	0.002193513	0.02655143	
0.424	0.002177322	1.204246E-06	1.212003E-06	0.002191347	0.0265252	
