Time	AVm	BVm	BIa	Arm	JointPos	
1.7258	0.09993643	-0.05	6.645193E-17	-0.0004904997	6.645193E-10	
1.726	0.09993643	-0.05	6.649954E-17	-0.0004904997	6.649954E-10	
1.7262	0.09993643	-0.05	6.649954E-17	-0.0004904997	6.649954E-10	
1.7264	0.09993643	-0.05	6.649954E-17	-0.0004904997	6.649954E-10	
1.7266	0.09993643	-0.05	6.649954E-17	-0.0004904997	6.649954E-10	
1.7268	0.09993643	-0.05	6.649954E-17	-0.0004904997	6.649954E-10	
1.727	0.09993643	-0.05	6.654714E-17	-0.0004904997	6.654715E-10	
1.7272	0.09993643	-0.05	6.654714E-17	-0.0004904997	6.654715E-10	
1.7274	0.09993643	-0.05	6.654714E-17	-0.0004904997	6.654715E-10	
1.7276	0.09993643	-0.05	6.654714E-17	-0.0004904997	6.654715E-10	
1.7278	0.09993795	-0.05	6.654714E-17	-0.0004904997	6.654715E-10	
1.728	0.09993795	-0.05	6.659476E-17	-0.0004904997	6.659475E-10	
1.7282	0.09993795	-0.05	6.659476E-17	-0.0004904997	6.659475E-10	
1.7284	0.09993795	-0.05	6.659476E-17	-0.0004904997	6.659475E-10	
1.7286	0.09993795	-0.05	6.659476E-17	-0.0004904997	6.659475E-10	
1.7288	0.09993795	-0.05	6.659476E-17	-0.0004904997	6.659475E-10	
1.729	0.09993795	-0.05	6.664236E-17	-0.0004904997	6.664236E-10	
1.7292	0.09993795	-0.05	6.664236E-17	-0.0004904997	6.664236E-10	
1.7294	0.09993795	-0.05	6.664236E-17	-0.0004904997	6.664236E-10	
1.7296	0.09993795	-0.05	6.664236E-17	-0.0004904997	6.664236E-10	
1.7298	0.09993795	-0.05	6.664236E-17	-0.0004904997	6.664236E-10	
1.73	0.09993795	-0.05	6.668997E-17	-0.0004904997	6.668996E-10	
1.7302	0.09993944	-0.05	6.668997E-17	-0.0004904997	6.668996E-10	
1.7304	0.09993944	-0.05	6.668997E-17	-0.0004904997	6.668996E-10	
1.7306	0.09993944	-0.05	6.668997E-17	-0.0004904997	6.668996E-10	
1.7308	0.09993944	-0.05	6.668997E-17	-0.0004904997	6.668996E-10	
1.731	0.09993944	-0.05	6.673758E-17	-0.0004904997	6.673757E-10	
1.7312	0.09993944	-0.05	6.673758E-17	-0.0004904997	6.673757E-10	
1.7314	0.09993944	-0.05	6.673758E-17	-0.0004904997	6.673757E-10	
1.7316	0.09993944	-0.05	6.673758E-17	-0.0004904997	6.673757E-10	
1.7318	0.09993944	-0.05	6.673758E-17	-0.0004904997	6.673757E-10	
1.732	0.09993944	-0.05	6.678518E-17	-0.0004904997	6.678518E-10	
1.7322	0.09993944	-0.05	6.678518E-17	-0.0004904997	6.678518E-10	
1.7324	0.09993944	-0.05	6.678518E-17	-0.0004904997	6.678518E-10	
1.7326	0.0999409	-0.05	6.678518E-17	-0.0004904997	6.678518E-10	
1.7328	0.0999409	-0.05	6.678518E-17	-0.0004904997	6.678518E-10	
1.733	0.0999409	-0.05	6.683279E-17	-0.0004904997	6.683278E-10	
1.7332	0.0999409	-0.05	6.683279E-17	-0.0004904997	6.683278E-10	
1.7334	0.0999409	-0.05	6.683279E-17	-0.0004904997	6.683278E-10	
1.7336	0.0999409	-0.05	6.683279E-17	-0.0004904997	6.683278E-10	
1.7338	0.0999409	-0.05	6.683279E-17	-0.0004904997	6.683278E-10	
1.734	0.0999409	-0.05	6.688039E-17	-0.0004904997	6.688039E-10	
1.7342	0.0999409	-0.05	6.688039E-17	-0.0004904997	6.688039E-10	
1.7344	0.0999409	-0.05	6.688039E-17	-0.0004904997	6.688039E-10	
1.7346	0.0999409	-0.05	6.688039E-17	-0.0004904997	6.688039E-10	
1.7348	0.0999409	-0.05	6.688039E-17	-0.0004904997	6.688039E-10	
1.735	0.09994231	-0.05	6.6928E-17	-0.0004904997	6.6928E-10	
1.7352	0.09994231	-0.05	6.6928E-17	-0.0004904997	6.6928E-10	
1.7354	0.09994231	-0.05	6.6928E-17	-0.0004904997	6.6928E-10	
1.7356	0.09994231	-0.05	6.6928E-17	-0.0004904997	6.6928E-10	
1.7358	0.09994231	-0.05	6.6928E-17	-0.0004904997	6.6928E-10	
1.736	0.09994231	-0.05	6.69756E-17	-0.0004904997	6.69756E-10	
1.7362	0.09994231	-0.05	6.69756E-17	-0.0004904997	6.69756E-10	
1.7364	0.09994231	-0.05	6.69756E-17	-0.0004904997	6.69756E-10	
1.7366	0.09994231	-0.05	6.69756E-17	-0.0004904997	6.69756E-10	
1.7368	0.09994231	-0.05	6.69756E-17	-0.0004904997	6.69756E-10	
1.737	0.09994231	-0.05	6.702321E-17	-0.0004904997	6.702321E-10	
1.7372	0.09994231	-0.05	6.702321E-17	-0.0004904997	6.702321E-10	
1.7374	0.0999437	-0.05	6.702321E-17	-0.0004904997	6.702321E-10	
1.7376	0.0999437	-0.05	6.702321E-17	-0.0004904997	6.702321E-10	
1.7378	0.0999437	-0.05	6.702321E-17	-0.0004904997	6.702321E-10	
1.738	0.0999437	-0.05	6.707082E-17	-0.0004904997	6.707082E-10	
1.7382	0.0999437	-0.05	6.707082E-17	-0.0004904997	6.707082E-10	
1.7384	0.0999437	-0.05	6.707082E-17	-0.0004904997	6.707082E-10	
1.7386	0.0999437	-0.05	6.707082E-17	-0.0004904997	6.707082E-10	
1.7388	0.0999437	-0.05	6.707082E-17	-0.0004904997	6.707082E-10	
1.739	0.0999437	-0.05	6.711842E-17	-0.0004904997	6.711842E-10	
1.7392	0.0999437	-0.05	6.711842E-17	-0.0004904997	6.711842E-10	
1.7394	0.0999437	-0.05	6.711842E-17	-0.0004904997	6.711842E-10	
1.7396	0.0999437	-0.05	6.711842E-17	-0.0004904997	6.711842E-10	
1.7398	0.09994505	-0.05	6.711842E-17	-0.0004904997	6.711842E-10	
1.74	0.09994505	-0.05	6.716603E-17	-0.0004904997	6.716603E-10	
1.7402	0.09994505	-0.05	6.716603E-17	-0.0004904997	6.716603E-10	
1.7404	0.09994505	-0.05	6.716603E-17	-0.0004904997	6.716603E-10	
1.7406	0.09994505	-0.05	6.716603E-17	-0.0004904997	6.716603E-10	
1.7408	0.09994505	-0.05	6.716603E-17	-0.0004904997	6.716603E-10	
1.741	0.09994505	-0.05	6.721363E-17	-0.0004904997	6.721363E-10	
1.7412	0.09994505	-0.05	6.721363E-17	-0.0004904997	6.721363E-10	
1.7414	0.09994505	-0.05	6.721363E-17	-0.0004904997	6.721363E-10	
1.7416	0.09994505	-0.05	6.721363E-17	-0.0004904997	6.721363E-10	
1.7418	0.09994505	-0.05	6.721363E-17	-0.0004904997	6.721363E-10	
1.742	0.09994505	-0.05	6.726124E-17	-0.0004904997	6.726124E-10	
1.7422	0.09994636	-0.05	6.726124E-17	-0.0004904997	6.726124E-10	
1.7424	0.09994636	-0.05	6.726124E-17	-0.0004904997	6.726124E-10	
1.7426	0.09994636	-0.05	6.726124E-17	-0.0004904997	6.726124E-10	
1.7428	0.09994636	-0.05	6.726124E-17	-0.0004904997	6.726124E-10	
1.743	0.09994636	-0.05	6.730885E-17	-0.0004904997	6.730885E-10	
1.7432	0.09994636	-0.05	6.730885E-17	-0.0004904997	6.730885E-10	
1.7434	0.09994636	-0.05	6.730885E-17	-0.0004904997	6.730885E-10	
1.7436	0.09994636	-0.05	6.730885E-17	-0.0004904997	6.730885E-10	
1.7438	0.09994636	-0.05	6.730885E-17	-0.0004904997	6.730885E-10	
1.744	0.09994636	-0.05	6.735646E-17	-0.0004904997	6.735645E-10	
1.7442	0.09994636	-0.05	6.735646E-17	-0.0004904997	6.735645E-10	
1.7444	0.09994636	-0.05	6.735646E-17	-0.0004904997	6.735645E-10	
1.7446	0.09994765	-0.05	6.735646E-17	-0.0004904997	6.735645E-10	
1.7448	0.09994765	-0.05	6.735646E-17	-0.0004904997	6.735645E-10	
1.745	0.09994765	-0.05	6.740407E-17	-0.0004904997	6.740406E-10	
1.7452	0.09994765	-0.05	6.740407E-17	-0.0004904997	6.740406E-10	
1.7454	0.09994765	-0.05	6.740407E-17	-0.0004904997	6.740406E-10	
1.7456	0.09994765	-0.05	6.740407E-17	-0.0004904997	6.740406E-10	
1.7458	0.09994765	-0.05	6.740407E-17	-0.0004904997	6.740406E-10	
1.746	0.09994765	-0.05	6.745167E-17	-0.0004904997	6.745167E-10	
1.7462	0.09994765	-0.05	6.745167E-17	-0.0004904997	6.745167E-10	
1.7464	0.09994765	-0.05	6.745167E-17	-0.0004904997	6.745167E-10	
1.7466	0.09994765	-0.05	6.745167E-17	-0.0004904997	6.745167E-10	
1.7468	0.09994765	-0.05	6.745167E-17	-0.0004904997	6.745167E-10	
1.747	0.09994891	-0.05	6.749927E-17	-0.0004904997	6.749927E-10	
1.7472	0.09994891	-0.05	6.749927E-17	-0.0004904997	6.749927E-10	
1.7474	0.09994891	-0.05	6.749927E-17	-0.0004904997	6.749927E-10	
1.7476	0.09994891	-0.05	6.749927E-17	-0.0004904997	6.749927E-10	
1.7478	0.09994891	-0.05	6.749927E-17	-0.0004904997	6.749927E-10	
1.748	0.09994891	-0.05	6.754688E-17	-0.0004904997	6.754688E-10	
1.7482	0.09994891	-0.05	6.754688E-17	-0.0004904997	6.754688E-10	
1.7484	0.09994891	-0.05	6.754688E-17	-0.0004904997	6.754688E-10	
1.7486	0.09994891	-0.05	6.754688E-17	-0.0004904997	6.754688E-10	
1.7488	0.09994891	-0.05	6.754688E-17	-0.0004904997	6.754688E-10	
1.749	0.09994891	-0.05	6.759449E-17	-0.0004904997	6.759449E-10	
1.7492	0.09994891	-0.05	6.759449E-17	-0.0004904997	6.759449E-10	
1.7494	0.09995014	-0.05	6.759449E-17	-0.0004904997	6.759449E-10	
1.7496	0.09995014	-0.05	6.759449E-17	-0.0004904997	6.759449E-10	
1.7498	0.09995014	-0.05	6.759449E-17	-0.0004904997	6.759449E-10	
1.75	0.09995014	-0.05	6.764209E-17	-0.0004904997	6.764209E-10	
1.7502	0.09995014	-0.05	6.764209E-17	-0.0004904997	6.764209E-10	
1.7504	0.09995014	-0.05	6.764209E-17	-0.0004904997	6.764209E-10	
1.7506	0.09995014	-0.05	6.764209E-17	-0.0004904997	6.764209E-10	
1.7508	0.09995014	-0.05	6.764209E-17	-0.0004904997	6.764209E-10	
1.751	0.09995014	-0.05	6.76897E-17	-0.0004904997	6.76897E-10	
1.7512	0.09995014	-0.05	6.76897E-17	-0.0004904997	6.76897E-10	
1.7514	0.09995014	-0.05	6.76897E-17	-0.0004904997	6.76897E-10	
1.7516	0.09995014	-0.05	6.76897E-17	-0.0004904997	6.76897E-10	
1.7518	0.09995134	-0.05	6.76897E-17	-0.0004904997	6.76897E-10	
1.752	0.09995134	-0.05	6.77373E-17	-0.0004904997	6.77373E-10	
1.7522	0.09995134	-0.05	6.77373E-17	-0.0004904997	6.77373E-10	
1.7524	0.09995134	-0.05	6.77373E-17	-0.0004904997	6.77373E-10	
1.7526	0.09995134	-0.05	6.77373E-17	-0.0004904997	6.77373E-10	
1.7528	0.09995134	-0.05	6.77373E-17	-0.0004904997	6.77373E-10	
1.753	0.09995134	-0.05	6.778491E-17	-0.0004904997	6.778491E-10	
1.7532	0.09995134	-0.05	6.778491E-17	-0.0004904997	6.778491E-10	
1.7534	0.09995134	-0.05	6.778491E-17	-0.0004904997	6.778491E-10	
1.7536	0.09995134	-0.05	6.778491E-17	-0.0004904997	6.778491E-10	
1.7538	0.09995134	-0.05	6.778491E-17	-0.0004904997	6.778491E-10	
1.754	0.09995134	-0.05	6.783252E-17	-0.0004904997	6.783252E-10	
1.7542	0.09995251	-0.05	6.783252E-17	-0.0004904997	6.783252E-10	
1.7544	0.09995251	-0.05	6.783252E-17	-0.0004904997	6.783252E-10	
1.7546	0.09995251	-0.05	6.783252E-17	-0.0004904997	6.783252E-10	
1.7548	0.09995251	-0.05	6.783252E-17	-0.0004904997	6.783252E-10	
1.755	0.09995251	-0.05	6.788012E-17	-0.0004904997	6.788012E-10	
1.7552	0.09995251	-0.05	6.788012E-17	-0.0004904997	6.788012E-10	
1.7554	0.09995251	-0.05	6.788012E-17	-0.0004904997	6.788012E-10	
1.7556	0.09995251	-0.05	6.788012E-17	-0.0004904997	6.788012E-10	
1.7558	0.09995251	-0.05	6.788012E-17	-0.0004904997	6.788012E-10	
1.756	0.09995251	-0.05	6.792773E-17	-0.0004904997	6.792773E-10	
1.7562	0.09995251	-0.05	6.792773E-17	-0.0004904997	6.792773E-10	
1.7564	0.09995251	-0.05	6.792773E-17	-0.0004904997	6.792773E-10	
