Time	Body_2 X	Body_2 Z	Body_2 Y	
2.512	0.004729868	-0.2	-0.09934942	
2.513	0.004863331	-0.2	-0.1007137	
2.514	0.004999628	-0.2	-0.1020875	
2.515	0.005138799	-0.2	-0.1034709	
2.516	0.005280884	-0.2	-0.1048637	
2.517	0.005425923	-0.2	-0.106266	
2.518	0.005573957	-0.2	-0.1076777	
2.519	0.005725025	-0.2	-0.1090989	
2.52	0.005879169	-0.2	-0.1105296	
2.521	0.006036428	-0.2	-0.1119697	
2.522	0.006196843	-0.2	-0.1134193	
2.523	0.006360457	-0.2	-0.1148783	
2.524	0.006527313	-0.2	-0.1163467	
2.525	0.006697452	-0.2	-0.1178246	
2.526	0.006870919	-0.2	-0.1193118	
2.527	0.007047756	-0.2	-0.1208084	
2.528	0.007228007	-0.2	-0.1223144	
2.529	0.007411716	-0.2	-0.1238297	
2.53	0.007598925	-0.2	-0.1253545	
2.531	0.007789677	-0.2	-0.1268885	
2.532	0.007984018	-0.2	-0.1284319	
2.533	0.008181991	-0.2	-0.1299846	
2.534	0.008383641	-0.2	-0.1315467	
2.535	0.008589011	-0.2	-0.133118	
2.536	0.008798147	-0.2	-0.1346986	
2.537	0.009011094	-0.2	-0.1362885	
2.538	0.009227897	-0.2	-0.1378877	
2.539	0.0094486	-0.2	-0.1394961	
2.54	0.009673251	-0.2	-0.1411137	
2.541	0.009901896	-0.2	-0.1427406	
2.542	0.01013458	-0.2	-0.1443767	
2.543	0.01037135	-0.2	-0.1460219	
2.544	0.01061226	-0.2	-0.1476764	
2.545	0.01085735	-0.2	-0.1493401	
2.546	0.01110666	-0.2	-0.1510129	
2.547	0.01136026	-0.2	-0.1526948	
2.548	0.01161817	-0.2	-0.1543858	
2.549	0.01188046	-0.2	-0.156086	
2.55	0.01214716	-0.2	-0.1577953	
2.551	0.01241834	-0.2	-0.1595136	
2.552	0.01269403	-0.2	-0.161241	
2.553	0.01297428	-0.2	-0.1629774	
2.554	0.01325914	-0.2	-0.1647229	
