Time	Iext	
0.9440001	0	
0.946	0	
0.9480001	0	
0.95	0	
0.952	0	
0.9540001	0	
0.956	0	
0.9580001	0	
0.96	0	
0.9620001	0	
0.964	0	
0.966	0	
0.9680001	0	
0.97	0	
0.9720001	0	
0.974	0	
0.9760001	0	
0.978	0	
0.98	0	
0.9820001	0	
0.984	0	
0.9860001	0	
0.988	0	
0.9900001	0	
0.992	0	
0.994	0	
0.9960001	0	
0.998	0	
1	0	
