Time	Iext	
0.84	1E-08	
0.8420001	1E-08	
0.844	1E-08	
0.846	1E-08	
0.848	1E-08	
0.85	1E-08	
0.8520001	1E-08	
0.854	1E-08	
0.8560001	1E-08	
0.858	1E-08	
0.86	1E-08	
0.862	1E-08	
0.864	1E-08	
0.8660001	1E-08	
0.868	1E-08	
0.8700001	1E-08	
0.872	1E-08	
0.874	1E-08	
0.876	1E-08	
0.878	1E-08	
0.8800001	1E-08	
0.882	1E-08	
0.8840001	1E-08	
0.886	1E-08	
0.8880001	1E-08	
0.89	1E-08	
0.892	1E-08	
0.8940001	1E-08	
0.896	1E-08	
0.8980001	1E-08	
0.9	0	
0.9020001	0	
0.904	0	
0.906	0	
0.9080001	0	
0.91	0	
0.9120001	0	
0.914	0	
0.9160001	0	
0.918	0	
0.92	0	
0.9220001	0	
0.924	0	
0.9260001	0	
0.928	0	
0.9300001	0	
0.932	0	
0.934	0	
0.936	0	
0.938	0	
0.9400001	0	
0.942	0	
0.9440001	0	
0.946	0	
0.9480001	0	
0.95	0	
0.952	0	
0.9540001	0	
0.956	0	
0.9580001	0	
0.96	0	
0.9620001	0	
0.964	0	
0.966	0	
0.9680001	0	
0.97	0	
0.9720001	0	
0.974	0	
0.9760001	0	
0.978	0	
0.98	0	
0.9820001	0	
0.984	0	
0.9860001	0	
0.988	0	
0.9900001	0	
0.992	0	
0.994	0	
0.9960001	0	
0.998	0	
1	0	
