Time	Block_X	Block_Y	Block_Z	Rotation	
0.07250001	1.257622	-0.01863256	3.99002E-08	0.1225795	
0.07300001	1.256888	-0.01879698	4.129944E-08	0.1235714	
0.0735	1.256148	-0.01896027	4.27361E-08	0.1245632	
0.074	1.255401	-0.01912238	4.421087E-08	0.1255551	
0.0745	1.254647	-0.01928327	4.572446E-08	0.1265468	
0.075	1.253887	-0.01944291	4.727754E-08	0.1275385	
0.0755	1.25312	-0.01960126	4.887083E-08	0.1285301	
0.07600001	1.252346	-0.01975828	5.050506E-08	0.1295217	
0.07650001	1.251566	-0.01991393	5.218093E-08	0.1305133	
0.07700001	1.250779	-0.02006818	5.389919E-08	0.1315048	
0.0775	1.249985	-0.02022097	5.566055E-08	0.1324962	
0.078	1.249184	-0.02037229	5.746576E-08	0.1334876	
0.0785	1.248377	-0.02052208	5.931557E-08	0.1344789	
0.079	1.247563	-0.02067031	6.121073E-08	0.1354702	
0.0795	1.246743	-0.02081694	6.315201E-08	0.1364614	
0.08000001	1.245916	-0.02096193	6.514015E-08	0.1374526	
0.08050001	1.245082	-0.02110524	6.717595E-08	0.1384437	
0.081	1.244241	-0.02124684	6.926017E-08	0.1394347	
0.0815	1.243394	-0.02138668	7.139361E-08	0.1404257	
0.082	1.24254	-0.02152473	7.357706E-08	0.1414167	
0.0825	1.24168	-0.02166094	7.58113E-08	0.1424076	
0.083	1.240813	-0.02179527	7.809715E-08	0.1433985	
0.08350001	1.239939	-0.0219277	8.043542E-08	0.1443893	
0.08400001	1.239058	-0.02205818	8.282692E-08	0.14538	
0.08450001	1.238171	-0.02218666	8.527248E-08	0.1463707	
0.085	1.237278	-0.02231312	8.777292E-08	0.1473614	
0.0855	1.236377	-0.02243751	9.032908E-08	0.148352	
0.086	1.23547	-0.0225598	9.29418E-08	0.1493425	
0.0865	1.234557	-0.02267993	9.561193E-08	0.150333	
0.087	1.233636	-0.02279789	9.834032E-08	0.1513234	
0.08750001	1.23271	-0.02291362	1.011278E-07	0.1523138	
0.08800001	1.231776	-0.02302708	1.039753E-07	0.1533041	
0.0885	1.230836	-0.02313825	1.068836E-07	0.1542944	
0.089	1.22989	-0.02324708	1.098537E-07	0.1552847	
0.0895	1.228936	-0.02335352	1.128864E-07	0.1562748	
