Time	Block_X	Block_Y	Block_Z	Rotation	
0.1715	0	0.3553123	1	0.3203341	
0.172	0	0.3544686	1	0.3213313	
0.1725	0	0.3536225	1	0.3223285	
0.173	0	0.352774	1	0.3233257	
0.1735	0	0.351923	1	0.3243229	
0.174	0	0.3510695	1	0.3253202	
0.1745	0	0.3502135	1	0.3263173	
0.175	0	0.3493552	1	0.3273146	
0.1755	0	0.3484944	1	0.3283118	
0.176	0	0.3476311	1	0.329309	
0.1765	0	0.3467653	1	0.3303062	
0.177	0	0.3458972	1	0.3313034	
0.1775	0	0.3450265	1	0.3323006	
0.178	0	0.3441534	1	0.3332978	
0.1785	0	0.3432779	1	0.334295	
0.179	0	0.3423999	1	0.3352922	
0.1795	0	0.3415194	1	0.3362894	
0.18	0	0.3406365	1	0.3372867	
0.1805	0	0.3397512	1	0.3382839	
0.181	0	0.3388634	1	0.3392811	
0.1815	0	0.3379731	1	0.3402783	
0.182	0	0.3370804	1	0.3412755	
0.1825	0	0.3361852	1	0.3422728	
0.183	0	0.3352876	1	0.34327	
0.1835	0	0.3343876	1	0.3442672	
0.184	0	0.333485	1	0.3452644	
0.1845	0	0.3325801	1	0.3462617	
0.185	0	0.3316726	1	0.3472589	
0.1855	0	0.3307628	1	0.3482561	
0.186	0	0.3298504	1	0.3492533	
0.1865	0	0.3289357	1	0.3502505	
0.187	0	0.3280184	1	0.3512478	
0.1875	0	0.3270987	1	0.352245	
0.188	0	0.3261766	1	0.3532422	
0.1885	0	0.325252	1	0.3542395	
0.189	0	0.3243249	1	0.3552367	
0.1895	0	0.3233955	1	0.3562339	
0.19	0	0.3224635	1	0.3572312	
0.1905	0	0.3215291	1	0.3582284	
0.191	0	0.3205923	1	0.3592256	
0.1915	0	0.3196529	1	0.3602229	
0.192	0	0.3187112	1	0.3612201	
0.1925	0	0.317767	1	0.3622174	
0.193	0	0.3168203	1	0.3632146	
0.1935	0	0.3158712	1	0.3642118	
0.194	0	0.3149196	1	0.3652091	
0.1945	0	0.3139656	1	0.3662063	
0.195	0	0.3130091	1	0.3672036	
0.1955	0	0.3120502	1	0.3682008	
0.196	0	0.3110888	1	0.3691981	
0.1965	0	0.310125	1	0.3701953	
0.197	0	0.3091587	1	0.3711926	
0.1975	0	0.30819	1	0.3721898	
0.198	0	0.3072188	1	0.3731871	
0.1985	0	0.3062451	1	0.3741843	
0.199	0	0.305269	1	0.3751816	
0.1995	0	0.3042905	1	0.3761788	
0.2	0	0.3033095	1	0.3771761	
0.2005	0	0.302326	1	0.3781733	
0.201	0	0.3013401	1	0.3791706	
0.2015	0	0.3003518	1	0.3801678	
0.202	0	0.299361	1	0.3811651	
0.2025	0	0.2983677	1	0.3821624	
0.203	0	0.297372	1	0.3831596	
0.2035	0	0.2963738	1	0.3841569	
0.204	0	0.2953732	1	0.3851542	
0.2045	0	0.2943701	1	0.3861514	
0.205	0	0.2933646	1	0.3871487	
0.2055	0	0.2923566	1	0.388146	
0.206	0	0.2913462	1	0.3891432	
0.2065	0	0.2903333	1	0.3901405	
0.207	0	0.289318	1	0.3911378	
0.2075	0	0.2883002	1	0.3921351	
0.208	0	0.2872799	1	0.3931323	
0.2085	0	0.2862572	1	0.3941296	
0.209	0	0.2852321	1	0.3951269	
0.2095	0	0.2842045	1	0.3961242	
0.21	0	0.2831745	1	0.3971214	
0.2105	0	0.282142	1	0.3981187	
0.211	0	0.281107	1	0.399116	
0.2115	0	0.2800696	1	0.4001133	
0.212	0	0.2790297	1	0.4011106	
0.2125	0	0.2779874	1	0.4021078	
0.213	0	0.2769426	1	0.4031051	
0.2135	0	0.2758954	1	0.4041024	
0.214	0	0.2748457	1	0.4050997	
0.2145	0	0.2737936	1	0.406097	
0.215	0	0.2727391	1	0.4070943	
0.2155	0	0.271682	1	0.4080915	
0.216	0	0.2706226	1	0.4090889	
0.2165	0	0.2695606	1	0.4100862	
0.217	0	0.2684962	1	0.4110834	
0.2175	0	0.2674294	1	0.4120807	
0.218	0	0.2663601	1	0.413078	
0.2185	0	0.2652884	1	0.4140753	
0.219	0	0.2642142	1	0.4150726	
0.2195	0	0.2631375	1	0.4160699	
0.22	0	0.2620584	1	0.4170672	
0.2205	0	0.2609769	1	0.4180645	
0.221	0	0.2598929	1	0.4190618	
0.2215	0	0.2588064	1	0.4200591	
0.222	0	0.2577175	1	0.4210564	
0.2225	0	0.2566261	1	0.4220538	
0.223	0	0.2555323	1	0.4230511	
0.2235	0	0.254436	1	0.4240484	
0.224	0	0.2533373	1	0.4250457	
0.2245	0	0.2522362	1	0.426043	
0.225	0	0.2511325	1	0.4270403	
0.2255	0	0.2500264	1	0.4280376	
0.226	0	0.2489179	1	0.4290349	
0.2265	0	0.2478069	1	0.4300323	
0.227	0	0.2466935	1	0.4310296	
0.2275	0	0.2455776	1	0.4320269	
0.228	0	0.2444593	1	0.4330242	
0.2285	0	0.2433385	1	0.4340215	
0.229	0	0.2422152	1	0.4350189	
0.2295	0	0.2410895	1	0.4360162	
0.23	0	0.2399614	1	0.4370135	
0.2305	0	0.2388308	1	0.4380108	
0.231	0	0.2376977	1	0.4390081	
0.2315	0	0.2365622	1	0.4400055	
0.232	0	0.2354243	1	0.4410028	
0.2325	0	0.2342838	1	0.4420002	
0.233	0	0.233141	1	0.4429975	
0.2335	0	0.2319957	1	0.4439948	
0.234	0	0.2308479	1	0.4449922	
0.2345	0	0.2296977	1	0.4459895	
0.235	0	0.228545	1	0.4469868	
0.2355	0	0.2273899	1	0.4479842	
0.236	0	0.2262323	1	0.4489815	
0.2365	0	0.2250723	1	0.4499789	
0.237	0	0.2239098	1	0.4509762	
0.2375	0	0.2227448	1	0.4519735	
0.238	0	0.2215774	1	0.4529709	
0.2385	0	0.2204076	1	0.4539682	
0.239	0	0.2192353	1	0.4549656	
0.2395	0	0.2180606	1	0.4559629	
0.24	0	0.2168833	1	0.4569603	
0.2405	0	0.2157037	1	0.4579576	
0.241	0	0.2145216	1	0.458955	
0.2415	0	0.213337	1	0.4599523	
0.242	0	0.21215	1	0.4609497	
0.2425	0	0.2109606	1	0.4619471	
0.243	0	0.2097687	1	0.4629444	
0.2435	0	0.2085743	1	0.4639418	
0.244	0	0.2073775	1	0.4649391	
0.2445	0	0.2061782	1	0.4659365	
0.245	0	0.2049765	1	0.4669338	
0.2455	0	0.2037723	1	0.4679312	
0.246	0	0.2025657	1	0.4689286	
0.2465	0	0.2013566	1	0.4699259	
0.247	0	0.200145	1	0.4709233	
