Time	Block_X	Block_Y	Block_Z	Rotation	
0.086	0.2617054	0.9642752	-0.006673186	0.1522589	
0.0865	0.2612067	0.9638681	-0.006804671	0.1532574	
0.087	0.2607049	0.963459	-0.00693787	0.1542559	
0.08750001	0.2602001	0.9630476	-0.007072795	0.1552544	
0.08800001	0.2596922	0.9626341	-0.007209457	0.1562528	
0.0885	0.2591812	0.9622184	-0.007347868	0.1572513	
0.089	0.2586672	0.9618006	-0.007488038	0.1582497	
0.0895	0.2581501	0.9613806	-0.007629977	0.1592481	
0.09	0.25763	0.9609584	-0.007773697	0.1602466	
0.0905	0.2571069	0.9605341	-0.007919208	0.161245	
0.09100001	0.2565807	0.9601077	-0.008066522	0.1622434	
0.09150001	0.2560515	0.9596792	-0.008215649	0.1632418	
0.09200001	0.2555192	0.9592485	-0.008366601	0.1642401	
0.0925	0.2549839	0.9588157	-0.008519388	0.1652385	
0.093	0.2544456	0.9583808	-0.008674021	0.1662369	
0.0935	0.2539043	0.9579437	-0.00883051	0.1672352	
0.094	0.25336	0.9575046	-0.008988868	0.1682336	
0.09450001	0.2528127	0.9570632	-0.009149104	0.1692319	
0.09500001	0.2522624	0.9566199	-0.00931123	0.1702303	
0.09550001	0.2517091	0.9561743	-0.009475256	0.1712286	
0.096	0.2511528	0.9557267	-0.009641194	0.1722269	
0.0965	0.2505935	0.955277	-0.009809054	0.1732252	
0.097	0.2500313	0.9548251	-0.009978845	0.1742235	
0.0975	0.249466	0.9543713	-0.01015058	0.1752218	
0.098	0.2488978	0.9539152	-0.01032427	0.1762201	
0.09850001	0.2483266	0.9534572	-0.01049993	0.1772184	
0.09900001	0.2477525	0.952997	-0.01067756	0.1782166	
0.09950001	0.2471754	0.9525348	-0.01085718	0.1792149	
0.1	0.2465954	0.9520704	-0.01103879	0.1802131	
0.1005	0.2460124	0.951604	-0.01122242	0.1812114	
0.101	0.2454265	0.9511356	-0.01140806	0.1822096	
0.1015	0.2448376	0.950665	-0.01159573	0.1832078	
0.102	0.2442459	0.9501924	-0.01178545	0.1842061	
0.1025	0.2436512	0.9497177	-0.01197721	0.1852043	
0.103	0.2430535	0.949241	-0.01217104	0.1862025	
0.1035	0.242453	0.9487622	-0.01236694	0.1872007	
0.104	0.2418496	0.9482815	-0.01256492	0.1881988	
0.1045	0.2412432	0.9477986	-0.012765	0.189197	
0.105	0.240634	0.9473137	-0.01296718	0.1901952	
0.1055	0.2400219	0.9468268	-0.01317148	0.1911934	
