Time	Length	Position	2	
0.406	4.368134	0.6318694	0	
0.407	4.365644	0.6343603	0	
0.408	4.363152	0.6368524	0	
0.409	4.360658	0.6393456	0	
0.41	4.358164	0.6418399	0	
0.411	4.355669	0.6443352	0	
0.412	4.353173	0.6468316	0	
0.413	4.350676	0.6493289	0	
0.414	4.348177	0.6518273	0	
0.415	4.345677	0.6543267	0	
0.416	4.343177	0.6568269	0	
0.417	4.340677	0.6593281	0	
0.418	4.338175	0.6618301	0	
0.419	4.335672	0.664333	0	
0.42	4.333168	0.6668368	0	
0.421	4.330664	0.6693413	0	
0.422	4.328158	0.6718466	0	
0.423	4.325652	0.6743527	0	
0.424	4.323145	0.6768595	0	
0.425	4.320638	0.679367	0	
0.426	4.31813	0.6818752	0	
0.427	4.315621	0.684384	0	
0.428	4.313112	0.6868934	0	
0.429	4.310602	0.6894034	0	
0.43	4.308091	0.691914	0	
0.431	4.30558	0.6944252	0	
0.432	4.303068	0.6969368	0	
0.433	4.300556	0.699449	0	
0.434	4.298044	0.7019616	0	
0.435	4.29553	0.7044747	0	
0.436	4.293017	0.7069882	0	
0.437	4.290504	0.709502	0	
0.438	4.28799	0.7120163	0	
0.439	4.285475	0.7145309	0	
0.44	4.28296	0.7170458	0	
0.441	4.280445	0.719561	0	
0.442	4.27793	0.7220764	0	
0.443	4.275414	0.7245921	0	
0.444	4.272898	0.727108	0	
0.445	4.270382	0.7296241	0	
0.446	4.267866	0.7321404	0	
0.447	4.265349	0.7346568	0	
0.448	4.262833	0.7371733	0	
0.449	4.260316	0.7396898	0	
0.45	4.2578	0.7422065	0	
0.451	4.255283	0.7447231	0	
0.452	4.252767	0.7472398	0	
0.453	4.25025	0.7497565	0	
0.454	4.247733	0.7522731	0	
0.455	4.245217	0.7547897	0	
0.456	4.242701	0.7573062	0	
0.457	4.240185	0.7598226	0	
0.458	4.237669	0.7623388	0	
0.459	4.235152	0.7648549	0	
0.46	4.232636	0.7673708	0	
0.461	4.230121	0.7698865	0	
0.462	4.227605	0.7724019	0	
0.463	4.22509	0.7749171	0	
0.464	4.222575	0.777432	0	
0.465	4.220061	0.7799465	0	
0.466	4.217546	0.7824607	0	
0.467	4.215033	0.7849746	0	
0.468	4.212519	0.7874881	0	
0.469	4.210006	0.7900012	0	
0.47	4.207493	0.7925138	0	
0.471	4.204981	0.7950259	0	
0.472	4.202469	0.7975376	0	
0.473	4.199959	0.8000488	0	
0.474	4.197448	0.8025594	0	
0.475	4.194939	0.8050694	0	
0.476	4.192429	0.8075789	0	
0.477	4.18992	0.8100878	0	
0.478	4.187412	0.812596	0	
0.479	4.184905	0.8151036	0	
0.48	4.182398	0.8176105	0	
0.481	4.179892	0.8201167	0	
0.482	4.177386	0.8226222	0	
0.483	4.174881	0.8251269	0	
0.484	4.172377	0.8276308	0	
0.485	4.169874	0.8301339	0	
0.486	4.167372	0.8326362	0	
0.487	4.16487	0.8351376	0	
0.488	4.16237	0.8376381	0	
0.489	4.159871	0.8401378	0	
0.49	4.157372	0.8426365	0	
0.491	4.154874	0.8451343	0	
0.492	4.152378	0.8476312	0	
0.493	4.149881	0.850127	0	
0.494	4.147387	0.8526218	0	
0.495	4.144893	0.8551155	0	
0.496	4.142401	0.8576082	0	
0.497	4.139909	0.8600998	0	
0.498	4.137419	0.8625903	0	
0.499	4.13493	0.8650796	0	
0.5	4.132442	0.8675678	0	
0.501	4.129954	0.8700548	0	
0.502	4.127469	0.8725405	0	
0.503	4.124984	0.8750251	0	
0.504	4.1225	0.8775084	0	
0.505	4.120019	0.8799904	0	
0.506	4.117538	0.8824711	0	
0.507	4.115059	0.8849505	0	
0.508	4.112581	0.8874285	0	
0.509	4.110105	0.8899051	0	
0.5100001	4.107629	0.8923804	0	
0.511	4.105155	0.8948542	0	
0.512	4.102683	0.8973266	0	
0.513	4.100212	0.8997975	0	
0.514	4.097743	0.9022669	0	
0.515	4.095275	0.9047348	0	
0.516	4.092808	0.9072012	0	
0.517	4.090344	0.9096659	0	
0.518	4.087881	0.9121292	0	
0.5190001	4.085419	0.9145908	0	
0.52	4.082959	0.9170508	0	
0.521	4.080501	0.9195091	0	
0.522	4.078045	0.9219658	0	
0.523	4.07559	0.9244207	0	
0.524	4.073136	0.9268739	0	
0.525	4.070685	0.9293254	0	
0.526	4.068235	0.9317751	0	
0.527	4.065787	0.934223	0	
0.528	4.063341	0.9366691	0	
0.529	4.060897	0.9391134	0	
0.53	4.058455	0.9415558	0	
0.531	4.056014	0.9439963	0	
0.532	4.053576	0.946435	0	
0.5330001	4.051139	0.9488717	0	
0.534	4.048704	0.9513065	0	
0.535	4.046271	0.9537393	0	
0.536	4.04384	0.9561701	0	
0.537	4.041411	0.9585989	0	
0.538	4.038985	0.9610256	0	
0.539	4.036561	0.9634503	0	
0.54	4.034139	0.9658729	0	
0.541	4.031718	0.9682934	0	
0.5420001	4.0293	0.9707118	0	
0.543	4.026883	0.9731281	0	
0.544	4.024469	0.9755421	0	
0.545	4.022058	0.977954	0	
0.546	4.019648	0.9803637	0	
0.5470001	4.017241	0.9827711	0	
0.548	4.014835	0.9851763	0	
0.549	4.012432	0.9875792	0	
