Time	Rotation	
1.0244	0.0416647	
1.0248	0.04305107	
1.0252	0.04445875	
1.0256	0.04588767	
1.026	0.04733771	
1.0264	0.04880878	
1.0268	0.05030078	
1.0272	0.0518136	
1.0276	0.05334715	
1.028	0.05490131	
1.0284	0.05647598	
1.0288	0.05807103	
1.0292	0.05968637	
1.0296	0.06132189	
1.03	0.06297745	
1.0304	0.06465294	
1.0308	0.06634824	
1.0312	0.06806321	
1.0316	0.06979773	
1.032	0.07155167	
1.0324	0.07332488	
1.0328	0.07511724	
1.0332	0.07692861	
1.0336	0.07875884	
1.034	0.08060778	
1.0344	0.08247527	
1.0348	0.0843612	
1.0352	0.08626536	
1.0356	0.08818762	
1.036	0.09012782	
1.0364	0.09208578	
1.0368	0.09406133	
1.0372	0.0960543	
1.0376	0.0980645	
1.038	0.1000918	
1.0384	0.1021359	
1.0388	0.1041967	
1.0392	0.1062741	
1.0396	0.1083677	
1.04	0.1104774	
1.0404	0.1126029	
1.0408	0.1147442	
1.0412	0.1169009	
1.0416	0.1190728	
1.042	0.1212597	
1.0424	0.1234614	
1.0428	0.1256776	
1.0432	0.1279081	
1.0436	0.1301527	
1.044	0.132411	
1.0444	0.1346829	
1.0448	0.1369681	
1.0452	0.1392662	
1.0456	0.1415771	
1.046	0.1439005	
1.0464	0.146236	
1.0468	0.1485834	
1.0472	0.1509424	
1.0476	0.1533126	
1.048	0.1556939	
1.0484	0.1580857	
1.0488	0.1604879	
1.0492	0.1629001	
1.0496	0.165322	
1.05	0.1677532	
1.0504	0.1701934	
1.0508	0.1726422	
1.0512	0.1750992	
1.0516	0.1775641	
1.052	0.1800366	
1.0524	0.1825162	
1.0528	0.1850025	
1.0532	0.1874952	
1.0536	0.1899938	
1.054	0.192498	
1.0544	0.1950072	
1.0548	0.1975213	
1.0552	0.2000395	
1.0556	0.2025617	
1.056	0.2050871	
1.0564	0.2076155	
1.0568	0.2101465	
1.0572	0.2126794	
1.0576	0.2152139	
1.058	0.2177494	
1.0584	0.2202856	
1.0588	0.2228218	
1.0592	0.2253576	
1.0596	0.2278925	
1.06	0.230426	
1.0604	0.2329575	
1.0608	0.2354866	
1.0612	0.2380127	
1.0616	0.2405352	
1.062	0.2430537	
1.0624	0.2455676	
1.0628	0.2480762	
1.0632	0.2505792	
1.0636	0.2530759	
1.064	0.2555657	
1.0644	0.2580481	
1.0648	0.2605224	
1.0652	0.2629882	
1.0656	0.2654447	
1.066	0.2678915	
1.0664	0.2703279	
1.0668	0.2727533	
1.0672	0.2751671	
1.0676	0.2775687	
1.068	0.2799575	
1.0684	0.2823329	
1.0688	0.2846943	
1.0692	0.2870411	
1.0696	0.2893725	
1.07	0.2916882	
1.0704	0.2939872	
1.0708	0.2962693	
1.0712	0.2985335	
1.0716	0.3007793	
1.072	0.3030062	
1.0724	0.3052135	
1.0728	0.3074005	
1.0732	0.3095666	
1.0736	0.3117113	
1.074	0.3138338	
1.0744	0.3159337	
1.0748	0.3180102	
1.0752	0.3200628	
1.0756	0.3220908	
1.076	0.3240937	
1.0764	0.3260708	
1.0768	0.3280216	
1.0772	0.3299454	
1.0776	0.3318417	
1.078	0.3337099	
1.0784	0.3355494	
1.0788	0.3373597	
1.0792	0.3391402	
1.0796	0.3408903	
1.08	0.3426094	
1.0804	0.3442972	
1.0808	0.3459529	
1.0812	0.3475762	
1.0816	0.3491665	
1.082	0.3507231	
1.0824	0.3522458	
1.0828	0.353734	
1.0832	0.3551871	
1.0836	0.3566049	
1.084	0.3579868	
1.0844	0.3593323	
1.0848	0.3606411	
1.0852	0.3619126	
1.0856	0.3631466	
1.086	0.3643426	
1.0864	0.3655003	
1.0868	0.3666193	
1.0872	0.3676991	
1.0876	0.3687395	
1.088	0.3697402	
1.0884	0.3707008	
1.0888	0.371621	
1.0892	0.3725006	
1.0896	0.3733393	
1.09	0.3741367	
1.0904	0.3748928	
1.0908	0.3756073	
1.0912	0.37628	
1.0916	0.3769106	
1.092	0.377499	
1.0924	0.3780452	
1.0928	0.3785488	
1.0932	0.3790098	
1.0936	0.379428	
