Time	Bottom_A	Bottom_FF	Bottom_Length	Bottom_Tension	Top_A	Top_Length	Top_MN	Top_Tension	
1.1264	0	0	0	0	0.4239951	0.05397204	0.4239951	2.467547	
1.1268	0	0	0	0	0.4239951	0.05391645	0.4239951	2.437746	
1.1272	0	0	0	0	0.4239951	0.05386099	0.4239951	2.408071	
1.1276	0	0	0	0	0.4239951	0.05380566	0.4239952	2.378524	
1.128	0	0	0	0	0.4239952	0.05375052	0.4239952	2.349131	
1.1284	0	0	0	0	0.4239952	0.05369556	0.4239952	2.319886	
1.1288	0	0	0	0	0.4239952	0.05364081	0.4239952	2.290807	
1.1292	0	0	0	0	0.4239952	0.05358628	0.4239952	2.261898	
1.1296	0	0	0	0	0.4239952	0.053532	0.4239953	2.233171	
1.13	0	0	0	0	0.4239953	0.05347797	0.4239953	2.204629	
1.1304	0	0	0	0	0.4239953	0.05342424	0.4239953	2.17629	
1.1308	0	0	0	0	0.4239953	0.05337077	0.4239953	2.148147	
1.1312	0	0	0	0	0.4239953	0.05331764	0.4239953	2.120223	
1.1316	0	0	0	0	0.4239953	0.05326483	0.4239954	2.092519	
1.132	0	0	0	0	0.4239954	0.05321235	0.4239954	2.065039	
1.1324	0	0	0	0	0.4239954	0.05316023	0.4239954	2.037792	
1.1328	0	0	0	0	0.4239954	0.05310848	0.4239954	2.010786	
1.1332	0	0	0	0	0.4239954	0.05305712	0.4239954	1.984025	
1.1336	0	0	0	0	0.4239954	0.05300614	0.4239955	1.957516	
1.134	0	0	0	0	0.4239955	0.05295557	0.4239955	1.931259	
1.1344	0	0	0	0	0.4239955	0.05290543	0.4239955	1.905274	
1.1348	0	0	0	0	0.4239955	0.05285571	0.4239955	1.879549	
1.1352	0	0	0	0	0.4239955	0.05280643	0.4239955	1.854097	
1.1356	0	0	0	0	0.4239955	0.0527576	0.4239956	1.828923	
1.136	0	0	0	0	0.4239956	0.05270923	0.4239956	1.804031	
1.1364	0	0	0	0	0.4239956	0.05266133	0.4239956	1.77942	
1.1368	0	0	0	0	0.4239956	0.05261392	0.4239956	1.755107	
1.1372	0	0	0	0	0.4239956	0.05256698	0.4239956	1.731078	
1.1376	0	0	0	0	0.4239956	0.05252055	0.4239956	1.70735	
1.138	0	0	0	0	0.4239956	0.05247462	0.4239956	1.68392	
1.1384	0	0	0	0	0.4239956	0.05242919	0.4239956	1.660788	
1.1388	0	0	0	0	0.4239956	0.05238429	0.4239956	1.637968	
1.1392	0	0	0	0	0.4239956	0.0523399	0.4239956	1.61545	
1.1396	0	0	0	0	0.4239956	0.05229604	0.4239957	1.593241	
1.14	0	0	0	0	0.4239957	0.05225271	0.4239957	1.571342	
1.1404	0	0	0	0	0.4239957	0.05220992	0.4239957	1.549758	
1.1408	0	0	0	0	0.4239957	0.05216767	0.4239957	1.528487	
1.1412	0	0	0	0	0.4239957	0.05212597	0.4239957	1.507531	
1.1416	0	0	0	0	0.4239957	0.05208481	0.4239958	1.486893	
1.142	0	0	0	0	0.4239958	0.05204421	0.4239958	1.466572	
1.1424	0	0	0	0	0.4239958	0.05200417	0.4239958	1.446569	
1.1428	0	0	0	0	0.4239958	0.05196468	0.4239958	1.426886	
1.1432	0	0	0	0	0.4239958	0.05192574	0.4239958	1.407516	
1.1436	0	0	0	0	0.4239958	0.05188736	0.4239959	1.388466	
1.144	0	0	0	0	0.4239959	0.05184954	0.4239959	1.369736	
1.1444	0	0	0	0	0.4239959	0.05181229	0.4239959	1.351324	
1.1448	0	0	0	0	0.4239959	0.0517756	0.4239959	1.333233	
1.1452	0	0	0	0	0.4239959	0.05173947	0.4239959	1.315455	
1.1456	0	0	0	0	0.4239959	0.05170391	0.4239959	1.297996	
1.146	0	0	0	0	0.4239959	0.0516689	0.4239959	1.280851	
1.1464	0	0	0	0	0.4239959	0.05163446	0.4239959	1.264021	
1.1468	0	0	0	0	0.4239959	0.05160057	0.4239959	1.247505	
1.1472	0	0	0	0	0.4239959	0.05156725	0.4239959	1.231301	
1.1476	0	0	0	0	0.4239959	0.05153447	0.423996	1.215407	
1.148	0	0	0	0	0.423996	0.05150226	0.423996	1.199822	
