Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
1.6676	0.3899991	0	0.3899991	0	1.002059	0	0.0500204	
1.668	0.3899991	0	0.3899991	0	1.002056	0	0.0500204	
1.6684	0.3899991	0	0.3899991	0	1.002054	0	0.0500204	
1.6688	0.3899991	0	0.3899991	0	1.002051	0	0.0500204	
1.6692	0.3899991	0	0.3899991	0	1.002046	0	0.05002039	
1.6696	0.3899991	0	0.3899991	0	1.00204	0	0.05002039	
1.67	0.3899991	0	0.3899991	0	1.002032	0	0.05002037	
1.6704	0.3899991	0	0.3899991	0	1.002024	0	0.05002036	
1.6708	0.3899991	0	0.3899991	0	1.002012	0	0.05002034	
1.6712	0.3899991	0	0.3899991	0	1.002	0	0.05002033	
1.6716	0.3899991	0	0.3899991	0	1.001988	0	0.05002031	
1.672	0.3899991	0	0.3899991	0	1.001974	0	0.05002028	
1.6724	0.3899991	0	0.3899991	0	1.001959	0	0.05002026	
1.6728	0.3899991	0	0.3899991	0	1.001941	0	0.05002023	
1.6732	0.3899991	0	0.3899991	0	1.001928	0	0.05002021	
1.6736	0.3899991	0	0.3899991	0	1.001907	0	0.05002017	
1.674	0.3899991	0	0.3899991	0	1.00189	0	0.05002014	
1.6744	0.3899991	0	0.3899991	0	1.001867	0	0.0500201	
1.6748	0.3899991	0	0.3899991	0	1.001848	0	0.05002007	
1.6752	0.3899991	0	0.3899991	0	1.001823	0	0.05002002	
1.6756	0.3899991	0	0.3899991	0	1.001801	0	0.05001998	
1.676	0.3899991	0	0.3899991	0	1.001774	0	0.05001993	
1.6764	0.3899991	0	0.3899991	0	1.001752	0	0.05001989	
1.6768	0.3899991	0	0.3899991	0	1.001724	0	0.05001984	
1.6772	0.3899991	0	0.3899991	0	1.001697	0	0.05001979	
1.6776	0.3899991	0	0.3899991	0	1.001669	0	0.05001974	
1.678	0.3899991	0	0.3899991	0	1.001639	0	0.05001968	
1.6784	0.3899991	0	0.3899991	0	1.001608	0	0.05001962	
1.6788	0.3899991	0	0.3899991	0	1.001576	0	0.05001956	
1.6792	0.3899991	0	0.3899991	0	1.001545	0	0.0500195	
1.6796	0.3899991	0	0.3899991	0	1.001512	0	0.05001944	
1.68	0.3899991	0	0.3899991	0	1.001477	0	0.05001937	
1.6804	0.3899991	0	0.3899991	0	1.001441	0	0.05001931	
1.6808	0.3899991	0	0.3899991	0	1.001408	0	0.05001924	
1.6812	0.3899991	0	0.3899991	0	1.001372	0	0.05001917	
1.6816	0.3899991	0	0.3899991	0	1.001333	0	0.0500191	
1.682	0.3899991	0	0.3899991	0	1.001297	0	0.05001903	
1.6824	0.3899991	0	0.3899991	0	1.001256	0	0.05001895	
1.6828	0.3899991	0	0.3899991	0	1.00122	0	0.05001888	
1.6832	0.3899991	0	0.3899991	0	1.00118	0	0.0500188	
1.6836	0.3899991	0	0.3899991	0	1.001138	0	0.05001872	
1.684	0.3899991	0	0.3899991	0	1.001098	0	0.05001864	
1.6844	0.3899991	0	0.3899991	0	1.001056	0	0.05001856	
1.6848	0.3899991	0	0.3899991	0	1.001013	0	0.05001847	
1.6852	0.3899991	0	0.3899991	0	1.000971	0	0.05001839	
1.6856	0.3899991	0	0.3899991	0	1.00093	0	0.05001831	
1.686	0.3899991	0	0.3899991	0	1.000885	0	0.05001822	
1.6864	0.3899991	0	0.3899991	0	1.000842	0	0.05001813	
1.6868	0.3899991	0	0.3899991	0	1.000797	0	0.05001804	
1.6872	0.3899991	0	0.3899991	0	1.000752	0	0.05001795	
1.6876	0.3899991	0	0.3899991	0	1.000707	0	0.05001786	
1.688	0.3899991	0	0.3899991	0	1.000662	0	0.05001777	
1.6884	0.3899991	0	0.3899991	0	1.000616	0	0.05001768	
1.6888	0.3899991	0	0.3899991	0	1.000572	0	0.05001759	
1.6892	0.3899991	0	0.3899991	0	1.000523	0	0.05001749	
1.6896	0.3899991	0	0.3899991	0	1.000475	0	0.0500174	
1.69	0.3899991	0	0.3899991	0	1.000429	0	0.0500173	
1.6904	0.3899991	0	0.3899991	0	1.000382	0	0.05001721	
1.6908	0.3899991	0	0.3899991	0	1.000336	0	0.05001711	
1.6912	0.3899991	0	0.3899991	0	1.000288	0	0.05001702	
1.6916	0.3899991	0	0.3899991	0	1.00024	0	0.05001692	
1.692	0.3899991	0	0.3899991	0	1.000195	0	0.05001683	
1.6924	0.3899991	0	0.3899991	0	1.000148	0	0.05001673	
1.6928	0.3899991	0	0.3899991	0	1.000102	0	0.05001664	
1.6932	0.3899991	0	0.3899991	0	1.000051	0	0.05001653	
1.6936	0.3899991	0	0.3899991	0	1.000006	0	0.05001644	
1.694	0.3899991	0	0.3899991	0	0.9999591	0	0.05001634	
1.6944	0.3899991	0	0.3899991	0	0.9999104	0	0.05001624	
1.6948	0.3899991	0	0.3899991	0	0.9998636	0	0.05001615	
1.6952	0.3899991	0	0.3899991	0	0.9998187	0	0.05001605	
1.6956	0.3899991	0	0.3899991	0	0.9997721	0	0.05001596	
1.696	0.3899991	0	0.3899991	0	0.9997275	0	0.05001586	
1.6964	0.3899991	0	0.3899991	0	0.9996811	0	0.05001577	
1.6968	0.3899991	0	0.3899991	0	0.9996347	0	0.05001567	
1.6972	0.3899991	0	0.3899991	0	0.9995903	0	0.05001558	
1.6976	0.3899991	0	0.3899991	0	0.9995442	0	0.05001548	
1.698	0.3899991	0	0.3899991	0	0.9995	0	0.05001539	
1.6984	0.3899991	0	0.3899991	0	0.999454	0	0.05001529	
1.6988	0.3899991	0	0.3899991	0	0.9994119	0	0.0500152	
1.6992	0.3899991	0	0.3899991	0	0.9993661	0	0.0500151	
1.6996	0.3899991	0	0.3899991	0	0.9993241	0	0.05001501	
1.7	0.3899991	0	0.3899991	0	0.9992822	0	0.05001492	
1.7004	0.3899991	0	0.3899991	0	0.9992404	0	0.05001483	
1.7008	0.3899991	0	0.3899991	0	0.9991987	0	0.05001475	
1.7012	0.3899991	0	0.3899991	0	0.999157	0	0.05001466	
1.7016	0.3899991	0	0.3899991	0	0.9991192	0	0.05001457	
1.702	0.3899991	0	0.3899991	0	0.9990777	0	0.05001448	
1.7024	0.3899991	0	0.3899991	0	0.99904	0	0.0500144	
1.7028	0.3899991	0	0.3899991	0	0.9990005	0	0.05001432	
1.7032	0.3899991	0	0.3899991	0	0.998963	0	0.05001424	
1.7036	0.3899991	0	0.3899991	0	0.9989274	0	0.05001416	
1.704	0.3899991	0	0.3899991	0	0.99889	0	0.05001407	
1.7044	0.3899991	0	0.3899991	0	0.9988546	0	0.050014	
1.7048	0.3899991	0	0.3899991	0	0.9988192	0	0.05001392	
1.7052	0.3899991	0	0.3899991	0	0.9987876	0	0.05001385	
1.7056	0.3899991	0	0.3899991	0	0.9987523	0	0.05001377	
1.706	0.3899991	0	0.3899991	0	0.9987208	0	0.0500137	
1.7064	0.3899991	0	0.3899991	0	0.9986894	0	0.05001363	
1.7068	0.3899991	0	0.3899991	0	0.9986562	0	0.05001355	
1.7072	0.3899991	0	0.3899991	0	0.9986287	0	0.05001349	
1.7076	0.3899991	0	0.3899991	0	0.9985993	0	0.05001342	
