Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.128	-4E-09	0	7.199454E-10	1E-08	0	0.06950517	0	0.7255465	-4E-09	7.199454E-10	0	0.06950517	0	0	
0.13	-4E-09	0	7.255465E-10	1E-08	0	0.07011507	0	0.7310356	-4E-09	7.255465E-10	0	0.07011507	0	0	
0.132	-4E-09	0	7.310356E-10	1E-08	0	0.07071277	0	0.7364149	-4E-09	7.310356E-10	0	0.07071277	0	0	
0.134	-4E-09	0	7.364149E-10	1E-08	0	0.07129851	0	0.7416867	-4E-09	7.364149E-10	0	0.07129851	0	0	
0.136	-4E-09	0	7.416867E-10	1E-08	0	0.07187254	0	0.7468529	-4E-09	7.416867E-10	0	0.07187254	0	0	
0.138	-4E-09	0	7.468529E-10	1E-08	0	0.07243509	0	0.7519159	-4E-09	7.468529E-10	0	0.07243509	0	0	
0.14	-4E-09	0	7.519159E-10	1E-08	0	0.07298639	0	0.7568776	-4E-09	7.519159E-10	0	0.07298639	0	0	
0.142	-4E-09	0	7.568776E-10	1E-08	0	0.07352667	0	0.7617401	-4E-09	7.568776E-10	0	0.07352667	0	0	
0.144	-4E-09	0	7.617401E-10	1E-08	0	0.07405613	0	0.7665052	-4E-09	7.617401E-10	0	0.07405613	0	0	
0.146	-4E-09	0	7.665052E-10	1E-08	0	0.07457501	0	0.7711751	-4E-09	7.665052E-10	0	0.07457501	0	0	
0.148	-4E-09	0	7.711751E-10	1E-08	0	0.07508351	0	0.7757516	-4E-09	7.711751E-10	0	0.07508351	0	0	
0.15	-4E-09	0	7.757516E-10	1E-08	0	0.07558183	0	0.7802366	-4E-09	7.757516E-10	0	0.07558183	0	0	
0.152	-4E-09	0	7.802366E-10	1E-08	0	0.0760702	0	0.7846318	-4E-09	7.802366E-10	0	0.0760702	0	0	
0.154	-4E-09	0	7.846318E-10	1E-08	0	0.0765488	0	0.7889391	-4E-09	7.846318E-10	0	0.0765488	0	0	
0.156	-4E-09	0	7.889391E-10	1E-08	0	0.07701782	0	0.7931603	-4E-09	7.889391E-10	0	0.07701782	0	0	
0.158	-4E-09	0	7.931603E-10	1E-08	0	0.07747746	0	0.7972971	-4E-09	7.931603E-10	0	0.07747746	0	0	
0.16	-4E-09	0	7.972971E-10	1E-08	0	0.07792791	0	0.8013512	-4E-09	7.972971E-10	0	0.07792791	0	0	
0.162	-4E-09	0	8.013512E-10	1E-08	0	0.07836935	0	0.8053242	-4E-09	8.013512E-10	0	0.07836935	0	0	
0.164	-4E-09	0	8.053242E-10	1E-08	0	0.07880197	0	0.8092177	-4E-09	8.053242E-10	0	0.07880197	0	0	
0.166	-4E-09	0	8.092177E-10	1E-08	0	0.07922593	0	0.8130333	-4E-09	8.092177E-10	0	0.07922593	0	0	
0.168	-4E-09	0	8.130333E-10	1E-08	0	0.07964141	0	0.8167726	-4E-09	8.130333E-10	0	0.07964141	0	0	
0.17	-4E-09	0	8.167726E-10	1E-08	0	0.08004858	0	0.8204372	-4E-09	8.167726E-10	0	0.08004858	0	0	
0.172	-4E-09	0	8.204372E-10	1E-08	0	0.08044761	0	0.8240285	-4E-09	8.204372E-10	0	0.08044761	0	0	
0.174	-4E-09	0	8.240285E-10	1E-08	0	0.08083865	0	0.8275479	-4E-09	8.240285E-10	0	0.08083865	0	0	
0.176	-4E-09	0	8.275479E-10	1E-08	0	0.08122188	0	0.8309969	-4E-09	8.275479E-10	0	0.08122188	0	0	
0.178	-4E-09	0	8.309969E-10	1E-08	0	0.08159745	0	0.8343769	-4E-09	8.309969E-10	0	0.08159745	0	0	
0.18	-4E-09	0	8.343769E-10	1E-08	0	0.08196549	0	0.8376894	-4E-09	8.343769E-10	0	0.08196549	0	0	
0.182	-4E-09	0	8.376894E-10	1E-08	0	0.08232619	0	0.8409356	-4E-09	8.376894E-10	0	0.08232619	0	0	
0.184	-4E-09	0	8.409356E-10	1E-08	0	0.08267966	0	0.8441169	-4E-09	8.409356E-10	0	0.08267966	0	0	
0.186	-4E-09	0	8.441169E-10	1E-08	0	0.08302607	0	0.8472347	-4E-09	8.441169E-10	0	0.08302607	0	0	
0.188	-4E-09	0	8.472346E-10	1E-08	0	0.08336554	0	0.85029	-4E-09	8.472346E-10	0	0.08336554	0	0	
0.19	-4E-09	0	8.502899E-10	1E-08	0	0.08369823	0	0.8532841	-4E-09	8.502899E-10	0	0.08369823	0	0	
0.192	-4E-09	0	8.532841E-10	1E-08	0	0.08402427	0	0.8562185	-4E-09	8.532841E-10	0	0.08402427	0	0	
0.194	-4E-09	0	8.562184E-10	1E-08	0	0.08434378	0	0.8590941	-4E-09	8.562184E-10	0	0.08434378	0	0	
0.196	-4E-09	0	8.590941E-10	1E-08	0	0.08465692	0	0.8619123	-4E-09	8.590941E-10	0	0.08465692	0	0	
0.198	-4E-09	0	8.619122E-10	1E-08	0	0.08496378	0	0.864674	-4E-09	8.619122E-10	0	0.08496378	0	0	
0.2	0	0	8.646739E-10	1E-08	0	0.0852645	0	0.8673805	0	8.646739E-10	0	0.0852645	0	0	
0.202	0	0	8.673805E-10	1E-08	0	0.0855592	0	0.8700329	0	8.673805E-10	0	0.0855592	0	0	
0.204	0	0	8.700329E-10	1E-08	0	0.08584802	0	0.8726323	0	8.700329E-10	0	0.08584802	0	0	
0.206	0	0	8.726322E-10	1E-08	0	0.08613106	0	0.8751796	0	8.726322E-10	0	0.08613106	0	0	
0.208	0	0	8.751797E-10	1E-08	0	0.08640844	0	0.877676	0	8.751797E-10	0	0.08640844	0	0	
0.21	0	0	8.77676E-10	1E-08	0	0.08668028	0	0.8801225	0	8.77676E-10	0	0.08668028	0	0	
0.212	0	0	8.801225E-10	1E-08	0	0.08694667	0	0.88252	0	8.801225E-10	0	0.08694667	0	0	
0.214	0	0	8.8252E-10	1E-08	0	0.08720774	0	0.8848696	0	8.8252E-10	0	0.08720774	0	0	
