Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.68	0	5E-09	1.456456E-12	0	0.9999989	0.001292773	8.738744E-05	0	0	1.618287E-13	5E-09	0.000144565	0.9999989	8.738744E-05	
0.6810001	0	5E-09	1.310811E-12	0	0.999999	0.001176604	7.864869E-05	0	0	1.456458E-13	5E-09	0.000131565	0.999999	7.864869E-05	
0.682	0	5E-09	1.17973E-12	0	0.999999	0.001070741	7.078382E-05	0	0	1.310812E-13	5E-09	0.0001197193	0.999999	7.078382E-05	
0.683	0	5E-09	1.061757E-12	0	0.9999991	0.0009742843	6.370544E-05	0	0	1.179731E-13	5E-09	0.0001089271	0.9999991	6.370544E-05	
0.684	0	5E-09	9.55581E-13	0	0.9999992	0.0008864116	5.733489E-05	0	0	1.061758E-13	5E-09	9.909616E-05	0.9999992	5.733489E-05	
0.6850001	0	5E-09	8.600229E-13	0	0.9999993	0.0008063708	5.16014E-05	0	0	9.555821E-14	5E-09	9.014212E-05	0.9999993	5.16014E-05	
0.686	0	5E-09	7.740206E-13	0	0.9999993	0.0007334739	4.644126E-05	0	0	8.600237E-14	5E-09	8.198793E-05	0.9999993	4.644126E-05	
0.687	0	5E-09	6.966185E-13	0	0.9999994	0.0006670927	4.179714E-05	0	0	7.740213E-14	5E-09	7.456316E-05	0.9999994	4.179714E-05	
0.688	0	5E-09	6.269568E-13	0	0.9999995	0.000606653	3.761742E-05	0	0	6.966192E-14	5E-09	6.780346E-05	0.9999995	3.761742E-05	
0.689	0	5E-09	5.642611E-13	0	0.9999996	0.0005516303	3.385568E-05	0	0	6.269572E-14	5E-09	6.165007E-05	0.9999996	3.385568E-05	
0.6900001	0	5E-09	5.07835E-13	0	0.9999996	0.0005015456	3.047011E-05	0	0	5.642615E-14	5E-09	5.604932E-05	0.9999996	3.047011E-05	
0.691	0	5E-09	4.570515E-13	0	0.9999996	0.0004559616	2.74231E-05	0	0	5.078352E-14	5E-09	5.095223E-05	0.9999996	2.74231E-05	
0.692	0	5E-09	4.113464E-13	0	0.9999996	0.0004144789	2.468079E-05	0	0	4.570518E-14	5E-09	4.631405E-05	0.9999996	2.468079E-05	
0.693	0	5E-09	3.702117E-13	0	0.9999996	0.0003767331	2.221271E-05	0	0	4.113465E-14	5E-09	4.209399E-05	0.9999996	2.221271E-05	
0.694	0	5E-09	3.331905E-13	0	0.9999996	0.0003423917	1.999144E-05	0	0	3.702119E-14	5E-09	3.825481E-05	0.9999996	1.999144E-05	
0.6950001	0	5E-09	2.998715E-13	0	0.9999996	0.0003111512	1.799229E-05	0	0	3.331907E-14	5E-09	3.476252E-05	0.9999996	1.799229E-05	
0.696	0	5E-09	2.698843E-13	0	0.9999996	0.000282735	1.619306E-05	0	0	2.998716E-14	5E-09	3.158614E-05	0.9999996	1.619306E-05	
0.697	0	5E-09	2.428959E-13	0	0.9999996	0.0002568904	1.457376E-05	0	0	2.698844E-14	5E-09	2.86974E-05	0.9999996	1.457376E-05	
0.698	0	5E-09	2.186063E-13	0	0.9999996	0.0002333874	1.311638E-05	0	0	2.42896E-14	5E-09	2.607056E-05	0.9999996	1.311638E-05	
0.6990001	0	5E-09	1.967457E-13	0	0.9999996	0.0002120162	1.180474E-05	0	0	2.186064E-14	5E-09	2.368211E-05	0.9999996	1.180474E-05	
0.7	6E-09	5E-09	1.770711E-13	0	0.9999996	0.0001925853	1.062427E-05	0	6E-09	1.967458E-14	5E-09	2.151064E-05	0.9999996	1.062427E-05	
0.701	6E-09	5E-09	1.59364E-13	0	0.9999996	0.0001749204	0.06000957	0	6E-09	1.770712E-14	5E-09	1.953665E-05	0.9999996	0.06000957	
0.702	6E-09	5E-09	9.001433E-10	0	0.9999996	0.009158863	0.1140086	0	6E-09	1.00016E-10	5E-09	0.001017743	0.9999996	0.1140086	
0.703	6E-09	5E-09	1.710129E-09	0	0.9999996	0.02534427	0.1626078	0	6E-09	1.900144E-10	5E-09	0.002816113	0.9999996	0.1626078	
0.7040001	6E-09	5E-09	2.439116E-09	0	0.9999996	0.047201	0.206347	0	6E-09	2.71013E-10	5E-09	0.005244631	0.9999996	0.206347	
0.705	6E-09	5E-09	3.095204E-09	0	0.9999996	0.07343294	0.2457123	0	6E-09	3.439117E-10	5E-09	0.008159285	0.9999996	0.2457123	
0.706	6E-09	5E-09	3.685684E-09	0	0.9999996	0.1029465	0.2811411	0	6E-09	4.095206E-10	5E-09	0.01143856	0.9999996	0.2811411	
0.707	6E-09	5E-09	4.217115E-09	0	0.9999996	0.134823	0.313027	0	6E-09	4.685685E-10	5E-09	0.01498039	0.9999996	0.313027	
0.708	6E-09	5E-09	4.695403E-09	0	0.9999996	0.1682947	0.3417243	0	6E-09	5.217117E-10	5E-09	0.01869947	0.9999996	0.3417243	
