Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.183	0	0.4999998	0.04999998	-0.03999363	-4E-09	5E-09	
0.184	0	0.4999998	0.04999998	-0.03999427	-4E-09	5E-09	
0.185	0	0.4999998	0.04999998	-0.03999484	-4E-09	5E-09	
0.186	0	0.4999998	0.04999998	-0.03999536	-4E-09	5E-09	
0.187	0	0.4999998	0.04999998	-0.03999582	-4E-09	5E-09	
0.188	0	0.4999998	0.04999998	-0.03999624	-4E-09	5E-09	
0.189	0	0.4999998	0.04999998	-0.03999662	-4E-09	5E-09	
0.19	0	0.4999998	0.04999998	-0.03999696	-4E-09	5E-09	
0.191	0	0.4999998	0.04999998	-0.03999726	-4E-09	5E-09	
0.192	0	0.4999998	0.04999998	-0.03999753	-4E-09	5E-09	
0.193	0	0.4999998	0.04999998	-0.03999778	-4E-09	5E-09	
0.194	0	0.4999998	0.04999998	-0.039998	-4E-09	5E-09	
0.195	0	0.4999998	0.04999998	-0.0399982	-4E-09	5E-09	
0.196	0	0.4999998	0.04999998	-0.03999838	-4E-09	5E-09	
0.197	0	0.4999998	0.04999998	-0.03999854	-4E-09	5E-09	
0.198	0	0.4999998	0.04999998	-0.03999869	-4E-09	5E-09	
0.199	0	0.4999998	0.04999998	-0.03999882	-4E-09	5E-09	
0.2	0	0.4999998	0.04999998	-0.03999894	0	5E-09	
0.201	0	0.4999998	0.04999998	-0.03599904	0	5E-09	
0.202	0	0.4999998	0.04999998	-0.03239914	0	5E-09	
0.203	0	0.4999998	0.04999998	-0.02915923	0	5E-09	
0.204	0	0.4999998	0.04999998	-0.0262433	0	5E-09	
0.205	0	0.4999998	0.04999998	-0.02361897	0	5E-09	
0.206	0	0.4999998	0.04999998	-0.02125707	0	5E-09	
0.207	0	0.4999998	0.04999998	-0.01913137	0	5E-09	
0.208	0	0.4999998	0.04999998	-0.01721823	0	5E-09	
0.209	0	0.4999998	0.04999998	-0.01549641	0	5E-09	
0.21	0	0.4999998	0.04999998	-0.01394677	0	5E-09	
0.211	0	0.4999998	0.04999998	-0.01255209	0	5E-09	
0.212	0	0.4999998	0.04999998	-0.01129688	0	5E-09	
0.213	0	0.4999998	0.04999998	-0.01016719	0	5E-09	
0.214	0	0.4999998	0.04999998	-0.009150473	0	5E-09	
0.215	0	0.4999998	0.04999998	-0.008235426	0	5E-09	
0.216	0	0.4999998	0.04999998	-0.007411883	0	5E-09	
0.217	0	0.4999998	0.04999998	-0.006670695	0	5E-09	
0.218	0	0.4999998	0.04999998	-0.006003625	0	5E-09	
0.219	0	0.4999998	0.04999998	-0.005403263	0	5E-09	
0.22	0	0.4999998	0.04999998	-0.004862936	0	5E-09	
0.221	0	0.4999998	0.04999998	-0.004376642	0	5E-09	
0.222	0	0.4999998	0.04999998	-0.003938978	0	5E-09	
0.223	0	0.4999998	0.04999998	-0.00354508	0	5E-09	
0.224	0	0.4999998	0.04999998	-0.003190572	0	5E-09	
0.225	0	0.4999998	0.04999998	-0.002871515	0	5E-09	
0.226	0	0.4999998	0.04999998	-0.002584364	0	5E-09	
0.227	0	0.4999998	0.04999998	-0.002325927	0	5E-09	
0.228	0	0.4999998	0.04999998	-0.002093335	0	5E-09	
0.229	0	0.4999998	0.04999998	-0.001884001	0	5E-09	
0.23	0	0.4999998	0.04999998	-0.001695601	0	5E-09	
0.231	0	0.4999998	0.04999998	-0.001526041	0	5E-09	
0.232	0	0.4999998	0.04999998	-0.001373437	0	5E-09	
0.233	0	0.4999998	0.04999998	-0.001236093	0	5E-09	
0.234	0	0.4999998	0.04999998	-0.001112484	0	5E-09	
0.235	0	0.4999998	0.04999998	-0.001001236	0	5E-09	
0.236	0	0.4999998	0.04999998	-0.000901112	0	5E-09	
0.237	0	0.4999998	0.04999998	-0.0008110008	0	5E-09	
0.238	0	0.4999998	0.04999998	-0.0007299007	0	5E-09	
0.239	0	0.4999998	0.04999998	-0.0006569106	0	5E-09	
0.24	0	0.4999998	0.04999998	-0.0005912195	0	5E-09	
0.241	0	0.4999998	0.04999998	-0.0005320976	0	5E-09	
0.242	0	0.4999998	0.04999998	-0.0004788878	0	5E-09	
0.243	0	0.4999998	0.04999998	-0.000430999	0	5E-09	
0.244	0	0.4999998	0.04999998	-0.0003878991	0	5E-09	
0.245	0	0.4999998	0.04999998	-0.0003491092	0	5E-09	
0.246	0	0.4999998	0.04999998	-0.0003141983	0	5E-09	
0.247	0	0.4999998	0.04999998	-0.0002827785	0	5E-09	
0.248	0	0.4999998	0.04999998	-0.0002545006	0	5E-09	
0.249	0	0.4999998	0.04999998	-0.0002290505	0	5E-09	
0.25	0	0.4999998	0.04999998	-0.0002061455	0	5E-09	
0.251	0	0.4999998	0.04999998	-0.0001855309	0	5E-09	
0.252	0	0.4999998	0.04999998	-0.0001669778	0	5E-09	
0.253	0	0.4999998	0.04999998	-0.0001502801	0	5E-09	
0.254	0	0.4999998	0.04999998	-0.000135252	0	5E-09	
0.255	0	0.4999998	0.04999998	-0.0001217268	0	5E-09	
0.256	0	0.4999998	0.04999998	-0.0001095542	0	5E-09	
0.257	0	0.4999998	0.04999998	-9.859874E-05	0	5E-09	
0.258	0	0.4999998	0.04999998	-8.873887E-05	0	5E-09	
0.259	0	0.4999998	0.04999998	-7.986498E-05	0	5E-09	
0.26	0	0.4999998	0.04999998	-7.187848E-05	0	5E-09	
0.261	0	0.4999998	0.04999998	-6.469063E-05	0	5E-09	
0.262	0	0.4999998	0.04999998	-5.822157E-05	0	5E-09	
0.263	0	0.4999998	0.04999998	-5.239941E-05	0	5E-09	
0.264	0	0.4999998	0.04999998	-4.715947E-05	0	5E-09	
0.265	0	0.4999998	0.04999998	-4.244352E-05	0	5E-09	
0.266	0	0.4999998	0.04999998	-3.819917E-05	0	5E-09	
0.267	0	0.4999998	0.04999998	-3.437925E-05	0	5E-09	
0.268	0	0.4999998	0.04999998	-3.094133E-05	0	5E-09	
0.269	0	0.4999998	0.04999998	-2.784719E-05	0	5E-09	
0.27	0	0.4999998	0.04999998	-2.506247E-05	0	5E-09	
0.271	0	0.4999998	0.04999998	-2.255623E-05	0	5E-09	
0.272	0	0.4999998	0.04999998	-2.03006E-05	0	5E-09	
0.273	0	0.4999998	0.04999998	-1.827054E-05	0	5E-09	
0.274	0	0.4999998	0.04999998	-1.644349E-05	0	5E-09	
0.275	0	0.4999998	0.04999998	-1.479914E-05	0	5E-09	
0.276	0	0.4999998	0.04999998	-1.331922E-05	0	5E-09	
0.277	0	0.4999998	0.04999998	-1.19873E-05	0	5E-09	
0.278	0	0.4999998	0.04999998	-1.078857E-05	0	5E-09	
0.279	0	0.4999998	0.04999998	-9.709715E-06	0	5E-09	
0.28	0	0.4999998	0.04999998	-8.738743E-06	0	5E-09	
0.281	0	0.4999998	0.04999998	-7.864869E-06	0	5E-09	
0.282	0	0.4999998	0.04999998	-7.078382E-06	0	5E-09	
0.283	0	0.4999998	0.04999998	-6.370544E-06	0	5E-09	
0.284	0	0.4999998	0.04999998	-5.733489E-06	0	5E-09	
0.285	0	0.4999998	0.04999998	-5.16014E-06	0	5E-09	
0.286	0	0.4999998	0.04999998	-4.644126E-06	0	5E-09	
0.287	0	0.4999998	0.04999998	-4.179713E-06	0	5E-09	
0.288	0	0.4999998	0.04999998	-3.761742E-06	0	5E-09	
0.289	0	0.4999998	0.04999998	-3.385568E-06	0	5E-09	
0.29	0	0.4999998	0.04999998	-3.047011E-06	0	5E-09	
0.291	0	0.4999998	0.04999998	-2.74231E-06	0	5E-09	
0.292	0	0.4999998	0.04999998	-2.468079E-06	0	5E-09	
0.293	0	0.4999998	0.04999998	-2.221271E-06	0	5E-09	
0.294	0	0.4999998	0.04999998	-1.999144E-06	0	5E-09	
0.295	0	0.4999998	0.04999998	-1.799229E-06	0	5E-09	
0.296	0	0.4999998	0.04999998	-1.619306E-06	0	5E-09	
0.297	0	0.4999998	0.04999998	-1.457376E-06	0	5E-09	
0.298	0	0.4999998	0.04999998	-1.311638E-06	0	5E-09	
0.299	0	0.4999998	0.04999998	-1.180474E-06	0	5E-09	
0.3	0	0.4999998	0.04999998	-1.062427E-06	2E-09	5E-09	
0.301	0.02998566	0.4999998	0.04999998	0.001999044	2E-09	5E-09	
0.302	0.05698709	0.4970013	0.04970013	0.00379914	2E-09	5E-09	
0.303	0.08128838	0.4916024	0.04916024	0.005419225	2E-09	5E-09	
0.304	0.1031595	0.4843133	0.04843133	0.006877303	2E-09	5E-09	
0.305	0.1228436	0.4755661	0.04755661	0.008189573	2E-09	5E-09	
0.306	0.1405592	0.4657251	0.04657251	0.009370616	2E-09	5E-09	
0.307	0.1565033	0.4550966	0.04550966	0.01043355	2E-09	5E-09	
0.308	0.170853	0.4439366	0.04439366	0.0113902	2E-09	5E-09	
0.309	0.1837677	0.4324577	0.04324577	0.01225118	2E-09	5E-09	
0.31	0.1953909	0.4208351	0.04208351	0.01302606	2E-09	5E-09	
0.311	0.2058518	0.4092125	0.04092125	0.01372345	2E-09	5E-09	
0.312	0.2152666	0.3977061	0.03977061	0.01435111	2E-09	5E-09	
0.313	0.22374	0.3864088	0.03864088	0.014916	2E-09	5E-09	
0.314	0.231366	0.3753939	0.03753939	0.0154244	2E-09	5E-09	
0.315	0.2382294	0.364718	0.0364718	0.01588196	2E-09	5E-09	
0.316	0.2444065	0.3544232	0.03544232	0.01629376	2E-09	5E-09	
0.317	0.2499658	0.3445402	0.03445403	0.01666439	2E-09	5E-09	
0.318	0.2549692	0.3350896	0.03350896	0.01699795	2E-09	5E-09	
0.319	0.2594723	0.3260837	0.03260837	0.01729815	2E-09	5E-09	
0.32	0.263525	0.3175281	0.03175281	0.01756834	2E-09	5E-09	
0.321	0.2671725	0.3094228	0.03094228	0.0178115	2E-09	5E-09	
0.322	0.2704553	0.3017633	0.03017633	0.01803035	2E-09	5E-09	
0.323	0.2734098	0.2945414	0.02945414	0.01822732	2E-09	5E-09	
0.324	0.2760688	0.2877463	0.02877463	0.01840459	2E-09	5E-09	
0.325	0.2784619	0.2813648	0.02813648	0.01856413	2E-09	5E-09	
0.326	0.2806157	0.2753821	0.02753821	0.01870771	2E-09	5E-09	
0.327	0.2825541	0.2697823	0.02697823	0.01883694	2E-09	5E-09	
0.328	0.2842987	0.2645487	0.02645487	0.01895325	2E-09	5E-09	
0.329	0.2858689	0.2596639	0.02596639	0.01905792	2E-09	5E-09	
0.33	0.287282	0.2551107	0.02551107	0.01915213	2E-09	5E-09	
0.331	0.2885538	0.2508714	0.02508714	0.01923692	2E-09	5E-09	
0.332	0.2896984	0.2469289	0.02469289	0.01931323	2E-09	5E-09	
0.333	0.2907286	0.2432662	0.02432662	0.0193819	2E-09	5E-09	
0.334	0.2916557	0.2398667	0.02398667	0.01944371	2E-09	5E-09	
0.335	0.2924902	0.2367145	0.02367144	0.01949934	2E-09	5E-09	
0.336	0.2932411	0.233794	0.0233794	0.01954941	2E-09	5E-09	
0.337	0.293917	0.2310905	0.02310905	0.01959447	2E-09	5E-09	
0.338	0.2945253	0.2285897	0.02285897	0.01963502	2E-09	5E-09	
0.339	0.2950728	0.2262782	0.02262782	0.01967152	2E-09	5E-09	
0.34	0.2955655	0.2241431	0.02241431	0.01970437	2E-09	5E-09	
0.341	0.296009	0.2221723	0.02221723	0.01973393	2E-09	5E-09	
0.342	0.2964081	0.2203541	0.02203541	0.01976054	2E-09	5E-09	
0.343	0.2967673	0.2186779	0.02186779	0.01978448	2E-09	5E-09	
0.344	0.2970905	0.2171334	0.02171334	0.01980603	2E-09	5E-09	
0.345	0.2973815	0.215711	0.0215711	0.01982543	2E-09	5E-09	
0.346	0.2976433	0.2144018	0.02144017	0.01984289	2E-09	5E-09	
0.347	0.297879	0.2131972	0.02131972	0.0198586	2E-09	5E-09	
0.348	0.2980911	0.2120896	0.02120896	0.01987274	2E-09	5E-09	
0.349	0.298282	0.2110716	0.02110716	0.01988546	2E-09	5E-09	
0.35	0.2984537	0.2101362	0.02101362	0.01989692	2E-09	5E-09	
0.351	0.2986084	0.2092772	0.02092772	0.01990722	2E-09	5E-09	
0.352	0.2987475	0.2084887	0.02084887	0.0199165	2E-09	5E-09	
0.353	0.2988728	0.207765	0.0207765	0.01992485	2E-09	5E-09	
