Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.109	0.1938805	0	0	0	0	0.0217356	0	0	0.1011978	
0.11	0.1938375	0	0	0	0	0.0219334	0	0	0.1012198	
0.111	0.1937945	0	0	0	0	0.02213115	0	0	0.1012419	
0.112	0.1937508	0	0	0	0	0.02232885	0	0	0.1012642	
0.113	0.193707	0	0	0	0	0.02252652	0	0	0.1012868	
0.114	0.1936625	0	0	0	0	0.02272413	0	0	0.1013095	
0.115	0.193618	0	0	0	0	0.0229217	0	0	0.1013324	
0.116	0.1935727	0	0	0	0	0.02311923	0	0	0.1013555	
0.117	0.1935274	0	0	0	0	0.02331671	0	0	0.1013788	
0.118	0.1934821	0	0	0	0	0.02351413	0	0	0.1014024	
0.119	0.1934352	0	0	0	0	0.02371152	0	0	0.1014261	
0.12	0.1933891	0	0	0	0	0.02390885	0	0	0.10145	
0.121	0.1933422	0	0	0	0	0.02410614	0	0	0.1014741	
0.122	0.1932946	0	0	0	0	0.02430338	0	0	0.1014984	
0.123	0.1932469	0	0	0	0	0.02450057	0	0	0.1015229	
0.124	0.1931984	0	0	0	0	0.02469771	0	0	0.1015476	
0.125	0.19315	0	0	0	0	0.02489481	0	0	0.1015725	
0.126	0.1931016	0	0	0	0	0.02509185	0	0	0.1015976	
0.127	0.1930524	0	0	0	0	0.02528884	0	0	0.1016229	
0.128	0.1930024	0	0	0	0	0.02548578	0	0	0.1016483	
0.129	0.1929523	0	0	0	0	0.02568267	0	0	0.101674	
0.13	0.1929024	0	0	0	0	0.02587951	0	0	0.1016999	
0.131	0.1928516	0	0	0	0	0.0260763	0	0	0.101726	
0.132	0.1928	0	0	0	0	0.02627303	0	0	0.1017522	
0.133	0.1927485	0	0	0	0	0.02646971	0	0	0.1017787	
0.134	0.1926969	0	0	0	0	0.02666634	0	0	0.1018054	
0.135	0.1926445	0	0	0	0	0.02686292	0	0	0.1018322	
0.136	0.1925922	0	0	0	0	0.02705944	0	0	0.1018593	
0.137	0.1925391	0	0	0	0	0.02725591	0	0	0.1018865	
