Time	2	Acceleration	Damping	Length	Tension	Velocity	
0.193	0	8.219004	4.820293	4.820293	4.820293	1.813767	
0.194	0	8.200884	4.81848	4.81848	4.81848	1.821968	
0.195	0	8.182764	4.816658	4.816658	4.816658	1.830151	
0.196	0	8.164525	4.814827	4.814827	4.814827	1.838315	
0.197	0	8.146286	4.812989	4.812989	4.812989	1.846461	
0.198	0	8.127809	4.811143	4.811143	4.811143	1.854589	
0.199	0	8.10945	4.809288	4.809288	4.809288	1.862699	
0.2	0	8.090854	4.807425	4.807425	4.807425	1.87079	
0.201	0	8.072257	4.805555	4.805555	4.805555	1.878862	
0.202	0	8.053541	4.803676	4.803676	4.803676	1.886915	
0.203	0	8.034706	4.801789	4.801789	4.801789	1.89495	
0.204	0	8.015871	4.799894	4.799894	4.799894	1.902966	
0.205	0	7.996916	4.797991	4.797991	4.797991	1.910963	
0.206	0	7.977843	4.79608	4.79608	4.79608	1.918941	
0.207	0	7.958769	4.794161	4.794161	4.794161	1.926899	
0.208	0	7.939577	4.792234	4.792234	4.792234	1.934839	
0.209	0	7.920265	4.790299	4.790299	4.790299	1.942759	
0.21	0	7.900953	4.788357	4.788357	4.788357	1.95066	
0.211	0	7.881522	4.786406	4.786406	4.786406	1.958542	
0.212	0	7.862091	4.784447	4.784447	4.784447	1.966404	
0.213	0	7.842421	4.782481	4.782481	4.782481	1.974246	
0.214	0	7.822752	4.780507	4.780507	4.780507	1.982069	
0.215	0	7.803082	4.778525	4.778525	4.778525	1.989872	
0.216	0	7.783174	4.776535	4.776535	4.776535	1.997655	
0.217	0	7.763266	4.774537	4.774537	4.774537	2.005419	
0.218	0	7.743358	4.772532	4.772532	4.772532	2.013162	
0.219	0	7.723331	4.770519	4.770519	4.770519	2.020885	
0.22	0	7.703304	4.768497	4.768497	4.768497	2.028589	
0.221	0	7.683038	4.766469	4.766469	4.766469	2.036272	
0.222	0	7.662773	4.764433	4.764433	4.764433	2.043934	
0.223	0	7.642507	4.762389	4.762389	4.762389	2.051577	
0.224	0	7.622003	4.760337	4.760337	4.760337	2.059199	
0.225	0	7.601499	4.758278	4.758278	4.758278	2.0668	
0.226	0	7.580757	4.756211	4.756211	4.756211	2.074381	
0.227	0	7.560253	4.754137	4.754137	4.754137	2.081941	
0.228	0	7.53951	4.752055	4.752055	4.752055	2.089481	
0.229	0	7.518529	4.749966	4.749966	4.749966	2.096999	
0.23	0	7.497787	4.747869	4.747869	4.747869	2.104497	
0.231	0	7.476806	4.745764	4.745764	4.745764	2.111974	
0.232	0	7.455825	4.743652	4.743652	4.743652	2.11943	
0.233	0	7.434606	4.741533	4.741533	4.741533	2.126864	
0.234	0	7.413387	4.739406	4.739406	4.739406	2.134278	
0.235	0	7.392168	4.737271	4.737271	4.737271	2.14167	
0.236	0	7.37071	4.73513	4.73513	4.73513	2.149041	
0.237	0	7.349491	4.732981	4.732981	4.732981	2.15639	
0.238	0	7.327795	4.730824	4.730824	4.730824	2.163718	
0.239	0	7.306337	4.728661	4.728661	4.728661	2.171024	
0.24	0	7.284641	4.72649	4.72649	4.72649	2.178309	
0.241	0	7.262945	4.724311	4.724311	4.724311	2.185572	
0.242	0	7.241249	4.722126	4.722126	4.722126	2.192813	
0.243	0	7.219314	4.719933	4.719933	4.719933	2.200032	
0.244	0	7.19738	4.717733	4.717733	4.717733	2.20723	
0.245	0	7.175445	4.715526	4.715526	4.715526	2.214405	
0.246	0	7.153272	4.713311	4.713311	4.713311	2.221559	
0.247	0	7.131099	4.71109	4.71109	4.71109	2.22869	
0.248	0	7.108926	4.708861	4.708861	4.708861	2.235799	
0.249	0	7.086753	4.706625	4.706625	4.706625	2.242885	
0.25	0	7.064342	4.704382	4.704382	4.704382	2.24995	
0.251	0	7.041931	4.702132	4.702132	4.702132	2.256992	
0.252	0	7.019519	4.699875	4.699875	4.699875	2.264011	
0.253	0	6.99687	4.697611	4.697611	4.697611	2.271008	
0.254	0	6.97422	4.69534	4.69534	4.69534	2.277982	
0.255	0	6.95157	4.693062	4.693062	4.693062	2.284934	
0.256	0	6.928682	4.690777	4.690777	4.690777	2.291862	
0.257	0	6.905794	4.688486	4.688486	4.688486	2.298768	
0.258	0	6.882905	4.686187	4.686187	4.686187	2.305651	
0.259	0	6.860017	4.683881	4.683881	4.683881	2.312511	
0.26	0	6.836891	4.681569	4.681569	4.681569	2.319348	
0.261	0	6.813764	4.679249	4.679249	4.679249	2.326162	
0.262	0	6.790637	4.676923	4.676923	4.676923	2.332952	
0.263	0	6.767272	4.67459	4.67459	4.67459	2.33972	
0.264	0	6.743907	4.672251	4.672251	4.672251	2.346464	
0.265	0	6.720542	4.669904	4.669904	4.669904	2.353184	
0.266	0	6.697177	4.667551	4.667551	4.667551	2.359881	
0.267	0	6.673574	4.665191	4.665191	4.665191	2.366555	
0.268	0	6.649971	4.662825	4.662825	4.662825	2.373205	
0.269	0	6.626367	4.660451	4.660451	4.660451	2.379831	
0.27	0	6.602525	4.658072	4.658072	4.658072	2.386434	
0.271	0	6.578922	4.655685	4.655685	4.655685	2.393013	
0.272	0	6.554842	4.653292	4.653292	4.653292	2.399568	
0.273	0	6.531	4.650892	4.650892	4.650892	2.406099	
0.274	0	6.506919	4.648486	4.648486	4.648486	2.412606	
0.275	0	6.482839	4.646074	4.646074	4.646074	2.419088	
0.276	0	6.458759	4.643655	4.643655	4.643655	2.425547	
0.277	0	6.434679	4.641229	4.641229	4.641229	2.431982	
0.278	0	6.41036	4.638797	4.638797	4.638797	2.438392	
0.279	0	6.386041	4.636359	4.636359	4.636359	2.444778	
0.28	0	6.361722	4.633914	4.633914	4.633914	2.45114	
0.281	0	6.337165	4.631463	4.631463	4.631463	2.457477	
0.282	0	6.312608	4.629005	4.629005	4.629005	2.46379	
0.283	0	6.288051	4.626542	4.626542	4.626542	2.470078	
0.284	0	6.263494	4.624072	4.624072	4.624072	2.476341	
0.285	0	6.238698	4.621595	4.621595	4.621595	2.48258	
0.286	0	6.214141	4.619112	4.619112	4.619112	2.488794	
0.287	0	6.189107	4.616624	4.616624	4.616624	2.494983	
0.288	0	6.164312	4.614129	4.614129	4.614129	2.501148	
0.289	0	6.139278	4.611628	4.611628	4.611628	2.507287	
0.29	0	6.114482	4.60912	4.60912	4.60912	2.513401	
0.291	0	6.08921	4.606607	4.606607	4.606607	2.51949	
0.292	0	6.064176	4.604087	4.604087	4.604087	2.525555	
0.293	0	6.038904	4.601562	4.601562	4.601562	2.531594	
0.294	0	6.013631	4.59903	4.59903	4.59903	2.537607	
0.295	0	5.988359	4.596493	4.596493	4.596493	2.543596	
0.296	0	5.963087	4.593949	4.593949	4.593949	2.549559	
0.297	0	5.937576	4.591399	4.591399	4.591399	2.555496	
0.298	0	5.912065	4.588844	4.588844	4.588844	2.561408	
0.299	0	5.886554	4.586283	4.586283	4.586283	2.567295	
0.3	0	5.860805	4.583715	4.583715	4.583715	2.573156	
0.301	0	5.835294	4.581142	4.581142	4.581142	2.578991	
0.302	0	5.809545	4.578563	4.578563	4.578563	2.5848	
0.303	0	5.783796	4.575978	4.575978	4.575978	2.590584	
0.304	0	5.757808	4.573388	4.573388	4.573388	2.596342	
0.305	0	5.732059	4.570791	4.570791	4.570791	2.602074	
0.306	0	5.706071	4.568189	4.568189	4.568189	2.60778	
0.307	0	5.680084	4.565581	4.565581	4.565581	2.61346	
0.308	0	5.653858	4.562968	4.562968	4.562968	2.619114	
0.309	0	5.62787	4.560349	4.560349	4.560349	2.624742	
0.31	0	5.601644	4.557724	4.557724	4.557724	2.630344	
0.311	0	5.575418	4.555094	4.555094	4.555094	2.635919	
0.312	0	5.548954	4.552458	4.552458	4.552458	2.641468	
0.313	0	5.522727	4.549816	4.549816	4.549816	2.646991	
0.314	0	5.496263	4.547169	4.547169	4.547169	2.652487	
0.315	0	5.469799	4.544517	4.544517	4.544517	2.657957	
0.316	0	5.443334	4.541859	4.541859	4.541859	2.6634	
0.317	0	5.416631	4.539196	4.539196	4.539196	2.668817	
0.318	0	5.390167	4.536527	4.536527	4.536527	2.674207	
0.319	0	5.363464	4.533853	4.533853	4.533853	2.67957	
0.32	0	5.336523	4.531173	4.531173	4.531173	2.684907	
0.321	0	5.30982	4.528488	4.528488	4.528488	2.690217	
0.322	0	5.282878	4.525798	4.525798	4.525798	2.6955	
0.323	0	5.256176	4.523102	4.523102	4.523102	2.700756	
0.324	0	5.229234	4.520401	4.520401	4.520401	2.705985	
0.325	0	5.202055	4.517695	4.517695	4.517695	2.711187	
0.326	0	5.175113	4.514985	4.514985	4.514985	2.716362	
0.327	0	5.147933	4.512268	4.512268	4.512268	2.72151	
0.328	0	5.120754	4.509546	4.509546	4.509546	2.726631	
0.329	0	5.093574	4.50682	4.50682	4.50682	2.731725	
0.33	0	5.066394	4.504088	4.504088	4.504088	2.736791	
0.331	0	5.038976	4.501351	4.501351	4.501351	2.74183	
0.332	0	5.011559	4.49861	4.49861	4.49861	2.746841	
0.333	0	4.98414	4.495863	4.495863	4.495863	2.751826	
0.334	0	4.956722	4.493111	4.493111	4.493111	2.756782	
0.335	0	4.929304	4.490354	4.490354	4.490354	2.761712	
0.336	0	4.901648	4.487592	4.487592	4.487592	2.766613	
0.337	0	4.873991	4.484826	4.484826	4.484826	2.771487	
0.338	0	4.846334	4.482054	4.482054	4.482054	2.776334	
0.339	0	4.818678	4.479278	4.479278	4.479278	2.781152	
0.34	0	4.790783	4.476497	4.476497	4.476497	2.785943	
0.341	0	4.763126	4.473711	4.473711	4.473711	2.790706	
0.342	0	4.735231	4.47092	4.47092	4.47092	2.795441	
0.343	0	4.707336	4.468125	4.468125	4.468125	2.800149	
0.344	0	4.679441	4.465324	4.465324	4.465324	2.804828	
0.345	0	4.651308	4.46252	4.46252	4.46252	2.809479	
0.346	0	4.623175	4.45971	4.45971	4.45971	2.814103	
0.347	0	4.59528	4.456896	4.456896	4.456896	2.818698	
0.348	0	4.567146	4.454078	4.454078	4.454078	2.823265	
0.349	0	4.538774	4.451254	4.451254	4.451254	2.827804	
0.35	0	4.510641	4.448426	4.448426	4.448426	2.832314	
0.351	0	4.482269	4.445594	4.445594	4.445594	2.836797	
0.352	0	4.454136	4.442757	4.442757	4.442757	2.841251	
0.353	0	4.425764	4.439916	4.439916	4.439916	2.845677	
0.354	0	4.397154	4.43707	4.43707	4.43707	2.850074	
0.355	0	4.368782	4.43422	4.43422	4.43422	2.854443	
0.356	0	4.34041	4.431366	4.431366	4.431366	2.858783	
0.357	0	4.3118	4.428507	4.428507	4.428507	2.863095	
0.358	0	4.28319	4.425644	4.425644	4.425644	2.867378	
0.359	0	4.25458	4.422777	4.422777	4.422777	2.871633	
0.36	0	4.225969	4.419905	4.419905	4.419905	2.875859	
0.361	0	4.197121	4.417029	4.417029	4.417029	2.880056	
0.362	0	4.168272	4.414149	4.414149	4.414149	2.884224	
0.363	0	4.139662	4.411265	4.411265	4.411265	2.888364	
0.364	0	4.110813	4.408376	4.408376	4.408376	2.892474	
0.365	0	4.081964	4.405484	4.405484	4.405484	2.896556	
0.366	0	4.052877	4.402587	4.402587	4.402587	2.900609	
0.367	0	4.024029	4.399687	4.399687	4.399687	2.904633	
0.368	0	3.994941	4.396782	4.396782	4.396782	2.908628	
0.369	0	3.965854	4.393873	4.393873	4.393873	2.912594	
0.37	0	3.936767	4.390961	4.390961	4.390961	2.916531	
0.371	0	3.90768	4.388044	4.388044	4.388044	2.920439	
0.372	0	3.878593	4.385124	4.385124	4.385124	2.924317	
0.373	0	3.849268	4.3822	4.3822	4.3822	2.928166	
0.374	0	3.820181	4.379272	4.379272	4.379272	2.931987	
0.375	0	3.790855	4.376339	4.376339	4.376339	2.935777	
0.376	0	3.76153	4.373404	4.373404	4.373404	2.939539	
0.377	0	3.732204	4.370464	4.370464	4.370464	2.943271	
0.378	0	3.70264	4.367521	4.367521	4.367521	2.946974	
0.379	0	3.673315	4.364574	4.364574	4.364574	2.950647	
0.38	0	3.643751	4.361623	4.361623	4.361623	2.954291	
0.381	0	3.614425	4.358669	4.358669	4.358669	2.957905	
0.382	0	3.584862	4.355711	4.355711	4.355711	2.96149	
0.383	0	3.555298	4.352749	4.352749	4.352749	2.965045	
0.384	0	3.525495	4.349784	4.349784	4.349784	2.968571	
0.385	0	3.495931	4.346816	4.346816	4.346816	2.972067	
0.386	0	3.466367	4.343844	4.343844	4.343844	2.975533	
0.387	0	3.436565	4.340868	4.340868	4.340868	2.97897	
0.388	0	3.406763	4.337889	4.337889	4.337889	2.982377	
0.389	0	3.376961	4.334907	4.334907	4.334907	2.985754	
0.39	0	3.347158	4.331921	4.331921	4.331921	2.989101	
0.391	0	3.317356	4.328932	4.328932	4.328932	2.992418	
0.392	0	3.287315	4.32594	4.32594	4.32594	2.995705	
0.393	0	3.257513	4.322944	4.322944	4.322944	2.998963	
0.394	0	3.227472	4.319945	4.319945	4.319945	3.00219	
0.395	0	3.197431	4.316943	4.316943	4.316943	3.005388	
0.396	0	3.167629	4.313938	4.313938	4.313938	3.008555	
0.397	0	3.137588	4.310929	4.310929	4.310929	3.011693	
0.398	0	3.107309	4.307917	4.307917	4.307917	3.0148	
0.399	0	3.077268	4.304903	4.304903	4.304903	3.017878	
0.4	0	3.047228	4.301885	4.301885	4.301885	3.020925	
0.401	0	3.016948	4.298863	4.298863	4.298863	3.023942	
0.402	0	2.986669	4.29584	4.29584	4.29584	3.026928	
0.403	0	2.95639	4.292813	4.292813	4.292813	3.029885	
0.404	0	2.926111	4.289783	4.289783	4.289783	3.032811	
0.405	0	2.895832	4.28675	4.28675	4.28675	3.035707	
0.406	0	2.865553	4.283714	4.283714	4.283714	3.038572	
0.407	0	2.835274	4.280676	4.280676	4.280676	3.041408	
0.408	0	2.804756	4.277635	4.277635	4.277635	3.044212	
0.409	0	2.774477	4.27459	4.27459	4.27459	3.046987	
0.41	0	2.743959	4.271543	4.271543	4.271543	3.049731	
0.411	0	2.713442	4.268494	4.268494	4.268494	3.052444	
0.412	0	2.682924	4.265441	4.265441	4.265441	3.055127	
0.413	0	2.652406	4.262386	4.262386	4.262386	3.05778	
0.414	0	2.621889	4.259328	4.259328	4.259328	3.060401	
0.415	0	2.591371	4.256268	4.256268	4.256268	3.062993	
0.416	0	2.560854	4.253205	4.253205	4.253205	3.065554	
0.417	0	2.530098	4.250139	4.250139	4.250139	3.068084	
0.418	0	2.49958	4.247071	4.247071	4.247071	3.070583	
0.419	0	2.468824	4.244	4.244	4.244	3.073052	
0.42	0	2.438068	4.240928	4.240928	4.240928	3.07549	
0.421	0	2.407312	4.237852	4.237852	4.237852	3.077898	
0.422	0	2.376556	4.234774	4.234774	4.234774	3.080274	
0.423	0	2.3458	4.231694	4.231694	4.231694	3.08262	
0.424	0	2.315044	4.228611	4.228611	4.228611	3.084935	
0.425	0	2.284288	4.225526	4.225526	4.225526	3.087219	
0.426	0	2.253294	4.222439	4.222439	4.222439	3.089473	
0.427	0	2.222538	4.219349	4.219349	4.219349	3.091695	
0.428	0	2.191544	4.216258	4.216258	4.216258	3.093887	
0.429	0	2.160788	4.213164	4.213164	4.213164	3.096047	
0.43	0	2.129793	4.210068	4.210068	4.210068	3.098177	
0.431	0	2.098799	4.20697	4.20697	4.20697	3.100276	
