TimeSlice	Time	FB	P	Input	Analog	D	A	Analog_Ie	Analog_Vm
193	0.04825	0.308996	0	0	0	0	-0.0597027	0	-0.07
194	0.0485	0.308996	0	0	0	0	-0.0596996	0	-0.07
195	0.04875	0.308996	0	0	0	0	-0.0596967	0	-0.07
196	0.049	0.308996	0	0	0	0	-0.059694	0	-0.07
197	0.04925	0.308996	0	0	0	0	-0.0596913	0	-0.07
198	0.0495	0.308996	0	0	0	0	-0.0596888	0	-0.07
199	0.04975	0.321834	0	0	0	0	-0.0596865	0	-0.07
200	0.05	0.321834	0	0	0	0	-0.0596842	0	-0.07
201	0.05025	0.321834	0	0	0	0	-0.059682	0	-0.07
202	0.0505	0.321834	0	0	0	0	-0.05968	0	-0.07
203	0.05075	0.321834	0	0	0	0	-0.059678	0	-0.07
204	0.051	0.321834	0	0	0	0	-0.0596762	0	-0.07
205	0.05125	0.321834	0	0	0	0	-0.0596744	0	-0.07
206	0.0515	0.321834	0	0	0	0	-0.0596727	0	-0.07
207	0.05175	0.321834	0	0	0	0	-0.0596711	0	-0.07
208	0.052	0.321834	0	0	0	0	-0.0596696	0	-0.07
209	0.05225	0.33435	0	0	0	0	-0.0596682	0	-0.07
210	0.0525	0.33435	0	0	0	0	-0.0596668	0	-0.07
211	0.05275	0.33435	0	0	0	0	-0.0596655	0	-0.07
212	0.053	0.33435	0	0	0	0	-0.0596642	0	-0.07
213	0.05325	0.33435	0	0	0	0	-0.0596631	0	-0.07
214	0.0535	0.33435	0	0	0	0	-0.0596619	0	-0.07
215	0.05375	0.33435	0	0	0	0	-0.0596609	0	-0.07
216	0.054	0.33435	0	0	0	0	-0.0596599	0	-0.07
217	0.05425	0.33435	0	0	0	0	-0.0596589	0	-0.07
218	0.0545	0.33435	0	0	0	0	-0.059658	0	-0.07
219	0.05475	0.346554	0	0	0	0	-0.0596571	0	-0.07
220	0.055	0.346554	0	0	0	0	-0.0596563	0	-0.07
221	0.05525	0.346554	0	0	0	0	-0.0596555	0	-0.07
222	0.0555	0.346554	0	0	0	0	-0.0596547	0	-0.07
223	0.05575	0.346554	0	0	0	0	-0.059654	0	-0.07
224	0.056	0.346554	0	0	0	0	-0.0596533	0	-0.07
