Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.25	0.009750782	0	0	0	0	0.002450007	0	0	0.1003078	
0.251	0.00975	0	0	0	0	0.002459767	0	0	0.1003102	
0.252	0.00975	0	0	0	0	0.002469526	0	0	0.1003127	
0.253	0.00974922	0	0	0	0	0.002479285	0	0	0.1003152	
0.254	0.009748438	0	0	0	0	0.002489043	0	0	0.1003177	
0.255	0.009748438	0	0	0	0	0.002498802	0	0	0.1003202	
0.256	0.009747657	0	0	0	0	0.002508559	0	0	0.1003227	
0.257	0.009746876	0	0	0	0	0.002518316	0	0	0.1003252	
0.258	0.009746876	0	0	0	0	0.002528072	0	0	0.1003277	
0.259	0.009746094	0	0	0	0	0.002537828	0	0	0.1003303	
0.26	0.009746094	0	0	0	0	0.002547584	0	0	0.1003328	
0.261	0.009745313	0	0	0	0	0.002557339	0	0	0.1003354	
0.262	0.009744532	0	0	0	0	0.002567093	0	0	0.1003379	
0.263	0.009744532	0	0	0	0	0.002576847	0	0	0.1003405	
0.264	0.009743751	0	0	0	0	0.002586601	0	0	0.1003431	
0.265	0.009742969	0	0	0	0	0.002596353	0	0	0.1003457	
0.266	0.009742969	0	0	0	0	0.002606106	0	0	0.1003483	
0.267	0.009742188	0	0	0	0	0.002615858	0	0	0.1003509	
0.268	0.009741407	0	0	0	0	0.002625609	0	0	0.1003536	
0.269	0.009741407	0	0	0	0	0.00263536	0	0	0.1003562	
0.27	0.009740626	0	0	0	0	0.00264511	0	0	0.1003588	
0.271	0.009739845	0	0	0	0	0.00265486	0	0	0.1003615	
0.272	0.009739845	0	0	0	0	0.00266461	0	0	0.1003642	
0.273	0.009739063	0	0	0	0	0.002674359	0	0	0.1003668	
0.274	0.009738281	0	0	0	0	0.002684107	0	0	0.1003695	
0.275	0.009738281	0	0	0	0	0.002693855	0	0	0.1003722	
0.276	0.009737501	0	0	0	0	0.002703602	0	0	0.1003749	
0.277	0.00973672	0	0	0	0	0.002713348	0	0	0.1003776	
0.278	0.00973672	0	0	0	0	0.002723095	0	0	0.1003804	
0.279	0.009735938	0	0	0	0	0.00273284	0	0	0.1003831	
0.28	0.009735157	0	0	0	0	0.002742585	0	0	0.1003858	
0.281	0.009735157	0	0	0	0	0.00275233	0	0	0.1003886	
0.282	0.009734375	0	0	0	0	0.002762074	0	0	0.1003913	
0.283	0.009733594	0	0	0	0	0.002771818	0	0	0.1003941	
0.284	0.009733594	0	0	0	0	0.002781561	0	0	0.1003969	
0.285	0.009732814	0	0	0	0	0.002791303	0	0	0.1003997	
0.286	0.009732032	0	0	0	0	0.002801045	0	0	0.1004025	
0.287	0.009732032	0	0	0	0	0.002810786	0	0	0.1004053	
0.288	0.00973125	0	0	0	0	0.002820527	0	0	0.1004081	
0.289	0.009730469	0	0	0	0	0.002830268	0	0	0.100411	
0.29	0.009729688	0	0	0	0	0.002840007	0	0	0.1004138	
0.291	0.009729688	0	0	0	0	0.002849746	0	0	0.1004166	
0.292	0.009728907	0	0	0	0	0.002859485	0	0	0.1004195	
0.293	0.009728126	0	0	0	0	0.002869223	0	0	0.1004224	
0.294	0.009728126	0	0	0	0	0.002878961	0	0	0.1004253	
0.295	0.009727344	0	0	0	0	0.002888698	0	0	0.1004281	
0.296	0.009726563	0	0	0	0	0.002898434	0	0	0.100431	
0.297	0.009725782	0	0	0	0	0.00290817	0	0	0.1004339	
0.298	0.009725782	0	0	0	0	0.002917905	0	0	0.1004369	
0.299	0.009725001	0	0	0	0	0.002927639	0	0	0.1004398	
0.3	0.009724219	0	0	0	0	0.002937373	0	0	0.1004427	
0.301	0.009724219	0	0	0	0	0.002947107	0	0	0.1004457	
0.302	0.009723438	0	0	0	0	0.00295684	0	0	0.1004486	
0.303	0.009722657	0	0	0	0	0.002966573	0	0	0.1004516	
0.304	0.009721875	0	0	0	0	0.002976304	0	0	0.1004546	
0.305	0.009721875	0	0	0	0	0.002986036	0	0	0.1004576	
0.306	0.009721095	0	0	0	0	0.002995766	0	0	0.1004606	
0.307	0.009720313	0	0	0	0	0.003005496	0	0	0.1004636	
0.308	0.009719532	0	0	0	0	0.003015226	0	0	0.1004666	
0.309	0.009719532	0	0	0	0	0.003024955	0	0	0.1004696	
0.31	0.009718751	0	0	0	0	0.003034683	0	0	0.1004726	
0.311	0.009717969	0	0	0	0	0.003044411	0	0	0.1004757	
0.312	0.009717189	0	0	0	0	0.003054138	0	0	0.1004787	
0.313	0.009717189	0	0	0	0	0.003063865	0	0	0.1004818	
0.314	0.009716407	0	0	0	0	0.003073591	0	0	0.1004849	
0.315	0.009715625	0	0	0	0	0.003083316	0	0	0.100488	
0.316	0.009714845	0	0	0	0	0.003093041	0	0	0.100491	
0.317	0.009714845	0	0	0	0	0.003102765	0	0	0.1004941	
0.318	0.009714063	0	0	0	0	0.003112489	0	0	0.1004973	
0.319	0.009713282	0	0	0	0	0.003122212	0	0	0.1005004	
0.32	0.009712501	0	0	0	0	0.003131934	0	0	0.1005035	
0.321	0.009711719	0	0	0	0	0.003141655	0	0	0.1005067	
0.322	0.009711719	0	0	0	0	0.003151377	0	0	0.1005098	
0.323	0.009710938	0	0	0	0	0.003161098	0	0	0.100513	
0.324	0.009710157	0	0	0	0	0.003170818	0	0	0.1005161	
0.325	0.009709376	0	0	0	0	0.003180537	0	0	0.1005193	
0.326	0.009709376	0	0	0	0	0.003190255	0	0	0.1005225	
0.327	0.009708595	0	0	0	0	0.003199974	0	0	0.1005257	
0.328	0.009707813	0	0	0	0	0.003209691	0	0	0.1005289	
0.329	0.009707032	0	0	0	0	0.003219408	0	0	0.1005321	
0.33	0.00970625	0	0	0	0	0.003229124	0	0	0.1005354	
0.331	0.00970625	0	0	0	0	0.00323884	0	0	0.1005386	
0.332	0.00970547	0	0	0	0	0.003248554	0	0	0.1005419	
0.333	0.009704689	0	0	0	0	0.003258269	0	0	0.1005451	
0.334	0.009703906	0	0	0	0	0.003267983	0	0	0.1005484	
0.335	0.009703126	0	0	0	0	0.003277695	0	0	0.1005517	
0.336	0.009702344	0	0	0	0	0.003287407	0	0	0.100555	
0.337	0.009702344	0	0	0	0	0.003297119	0	0	0.1005583	
0.338	0.009701563	0	0	0	0	0.003306831	0	0	0.1005616	
0.339	0.009700783	0	0	0	0	0.003316541	0	0	0.1005649	
0.34	0.0097	0	0	0	0	0.003326251	0	0	0.1005682	
0.341	0.009699219	0	0	0	0	0.00333596	0	0	0.1005715	
0.342	0.009699219	0	0	0	0	0.003345668	0	0	0.1005749	
0.343	0.009698438	0	0	0	0	0.003355376	0	0	0.1005782	
0.344	0.009697657	0	0	0	0	0.003365084	0	0	0.1005816	
0.345	0.009696876	0	0	0	0	0.003374791	0	0	0.100585	
0.346	0.009696094	0	0	0	0	0.003384496	0	0	0.1005884	
0.347	0.009695313	0	0	0	0	0.003394201	0	0	0.1005918	
0.348	0.009695313	0	0	0	0	0.003403906	0	0	0.1005952	
0.349	0.009694532	0	0	0	0	0.003413611	0	0	0.1005986	
0.35	0.009693751	0	0	0	0	0.003423315	0	0	0.100602	
0.351	0.00969297	0	0	0	0	0.003433017	0	0	0.1006054	
0.352	0.009692187	0	0	0	0	0.003442719	0	0	0.1006089	
0.353	0.009691407	0	0	0	0	0.00345242	0	0	0.1006123	
0.354	0.009690626	0	0	0	0	0.00346212	0	0	0.1006158	
0.355	0.009690626	0	0	0	0	0.00347182	0	0	0.1006193	
0.356	0.009689844	0	0	0	0	0.00348152	0	0	0.1006227	
0.357	0.009689064	0	0	0	0	0.003491218	0	0	0.1006262	
0.358	0.009688281	0	0	0	0	0.003500917	0	0	0.1006297	
0.359	0.0096875	0	0	0	0	0.003510614	0	0	0.1006332	
0.36	0.00968672	0	0	0	0	0.00352031	0	0	0.1006368	
0.361	0.009685938	0	0	0	0	0.003530006	0	0	0.1006403	
0.362	0.009685157	0	0	0	0	0.003539701	0	0	0.1006438	
0.363	0.009685157	0	0	0	0	0.003549395	0	0	0.1006474	
0.364	0.009684375	0	0	0	0	0.003559089	0	0	0.1006509	
0.365	0.009683594	0	0	0	0	0.003568782	0	0	0.1006545	
0.366	0.009682813	0	0	0	0	0.003578475	0	0	0.1006581	
0.367	0.009682032	0	0	0	0	0.003588167	0	0	0.1006617	
0.368	0.009681251	0	0	0	0	0.003597857	0	0	0.1006653	
0.369	0.009680469	0	0	0	0	0.003607548	0	0	0.1006689	
0.37	0.009679688	0	0	0	0	0.003617237	0	0	0.1006725	
0.371	0.009679688	0	0	0	0	0.003626927	0	0	0.1006761	
0.372	0.009678907	0	0	0	0	0.003636615	0	0	0.1006798	
0.373	0.009678125	0	0	0	0	0.003646303	0	0	0.1006834	
0.374	0.009677345	0	0	0	0	0.00365599	0	0	0.1006871	
0.375	0.009676563	0	0	0	0	0.003665676	0	0	0.1006907	
0.376	0.009675782	0	0	0	0	0.003675362	0	0	0.1006944	
0.377	0.009675001	0	0	0	0	0.003685046	0	0	0.1006981	
0.378	0.009674219	0	0	0	0	0.00369473	0	0	0.1007018	
0.379	0.009673439	0	0	0	0	0.003704413	0	0	0.1007055	
0.38	0.009672657	0	0	0	0	0.003714096	0	0	0.1007092	
0.381	0.009671875	0	0	0	0	0.003723777	0	0	0.1007129	
0.382	0.009671875	0	0	0	0	0.003733459	0	0	0.1007167	
0.383	0.009671095	0	0	0	0	0.00374314	0	0	0.1007204	
0.384	0.009670313	0	0	0	0	0.00375282	0	0	0.1007242	
0.385	0.009669532	0	0	0	0	0.003762499	0	0	0.1007279	
0.386	0.009668751	0	0	0	0	0.003772177	0	0	0.1007317	
0.387	0.009667969	0	0	0	0	0.003781855	0	0	0.1007355	
0.388	0.009667188	0	0	0	0	0.003791531	0	0	0.1007393	
0.389	0.009666407	0	0	0	0	0.003801207	0	0	0.1007431	
0.39	0.009665626	0	0	0	0	0.003810883	0	0	0.1007469	
0.391	0.009664844	0	0	0	0	0.003820557	0	0	0.1007507	
0.392	0.009664063	0	0	0	0	0.003830231	0	0	0.1007545	
0.393	0.009663282	0	0	0	0	0.003839904	0	0	0.1007584	
