Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0.027	-0.06	0	1.000166	0.02598896	1	0.1801495	0	0.000237	0.029503	
0.02725	-0.06	0	1.00017	0.02648904	1	0.1959457	0	0.000237	0.029503	
0.0275	-0.06	0	1.00017	0.02648904	1	0.1959457	0	0.000237	0.030007	
0.02775	-0.06	0	1.000166	0.02698913	1	0.1959457	0	0.000237	0.030007	
0.028	-0.06	0	1.000166	0.02698913	1	0.1959457	0	0.000237	0.030512	
0.02825	-0.06	0	1.000166	0.02748921	1	0.1959457	0	0.000237	0.030512	
0.0285	-0.06	0	1.000166	0.02748921	1	0.1959457	0	0.000237	0.031015	
0.02875	-0.06	0	1.00017	0.02798929	1	0.1959457	0	0.000237	0.031015	
0.029	-0.06	0	1.00017	0.02798929	1	0.1959457	0	0.000252	0.031519	
0.02925	-0.06	0	1.000166	0.02848938	1	0.1959457	0	0.000252	0.031519	
0.0295	-0.06	0	1.000166	0.02848938	1	0.1959457	0	0.000255	0.032023	
0.02975	-0.06	0	1.00017	0.02898946	1	0.2113781	0	0.000255	0.032023	
0.03	-0.06	0	1.00017	0.02898946	1	0.2113781	0	0.000238	0.032526	
0.03025	-0.06	0	1.000166	0.02948955	1	0.2113781	0	0.000238	0.032526	
0.0305	-0.06	0	1.000166	0.02948955	1	0.2113781	0	0.000237	0.033029	
0.03075	-0.06	0	1.00017	0.02998963	1	0.2113781	0	0.000237	0.033029	
0.031	-0.06	0	1.00017	0.02998963	1	0.2113781	0	0.000254	0.033533	
0.03125	-0.06	0	1.000166	0.03048971	1	0.2113781	0	0.000254	0.033533	
0.0315	-0.06	0	1.000166	0.03048971	1	0.2113781	0	0.000264	0.034037	
0.03175	-0.06	0	1.000166	0.0309898	1	0.2113781	0	0.000264	0.034037	
0.032	-0.06	0	1.000166	0.0309898	1	0.2113781	0	0.000242	0.034541	
0.03225	-0.06	0	1.000166	0.03148988	1	0.226456	0	0.000242	0.034541	
0.0325	-0.06	0	1.000166	0.03148988	1	0.226456	0	0.000237	0.035044	
0.03275	-0.06	0	1.000173	0.03198997	1	0.226456	0	0.000237	0.035044	
0.033	-0.06	0	1.000173	0.03198997	1	0.226456	0	0.000236	0.039177	
0.03325	-0.06	0	1.000166	0.03249005	1	0.226456	0	0.000236	0.039177	
0.0335	-0.06	0	1.000166	0.03249005	1	0.226456	0	0.000305	0.039695	
0.03375	-0.06	0	1.000166	0.03299013	1	0.226456	0	0.000305	0.039695	
0.034	-0.06	0	1.000166	0.03299013	1	0.226456	0	0.000241	0.040199	
0.03425	-0.06	0	1.000166	0.03349021	1	0.226456	0	0.000241	0.040199	
0.0345	-0.06	0	1.000166	0.03349021	1	0.226456	0	0.000239	0.040702	
0.03475	-0.06	0	1.000166	0.0339903	1	0.2411883	0	0.000239	0.040702	
