Time	X Force	Tension	Length	Velocity	Acceleration	Potential Energy	Damping Force	Spring Tension	
0.098	3.517033	-3.477488	4.964299	-0.6165504	-3.33786	4.649365	6.165504	-9.642992	
0.09900001	3.477489	-3.433137	4.963679	-0.6203651	-3.814697	4.643384	6.203651	-9.636788	
0.1	3.433138	-3.398294	4.963056	-0.6232262	-2.861023	4.637381	6.232262	-9.630556	
0.101	3.398295	-3.353877	4.962429	-0.6270409	-3.814697	4.631344	6.270409	-9.624286	
0.102	3.353878	-3.314195	4.961798	-0.6303787	-3.3378	4.625279	6.303787	-9.617982	
0.103	3.314196	-3.279253	4.961165	-0.6332397	-2.861023	4.61919	6.332397	-9.61165	
0.104	3.279253	-3.234735	4.960528	-0.6370544	-3.814697	4.613069	6.370544	-9.605279	
0.105	3.234736	-3.199726	4.959888	-0.6399154	-2.861023	4.606925	6.399154	-9.59888	
0.106	3.199727	-3.155141	4.959244	-0.6437301	-3.814697	4.600748	6.437301	-9.592443	
0.107	3.155142	-3.129611	4.958599	-0.6456375	-1.907349	4.594556	6.456375	-9.585986	
0.108	3.129612	-3.080197	4.957949	-0.649929	-4.291534	4.588328	6.49929	-9.579487	
0.109	3.080198	-3.045059	4.957296	-0.65279	-2.861023	4.582077	6.5279	-9.572959	
0.11	3.04506	-3.009892	4.95664	-0.655651	-2.861023	4.575803	6.55651	-9.566402	
0.111	3.009893	-2.969923	4.955981	-0.6589889	-3.33786	4.569501	6.589889	-9.559813	
0.112	2.969924	-2.944241	4.95532	-0.6608962	-1.907349	4.563185	6.608963	-9.553204	
0.113	2.944242	-2.899447	4.954656	-0.6647109	-3.814697	4.556837	6.64711	-9.546556	
0.114	2.899448	-2.864161	4.953988	-0.667572	-2.861023	4.550466	6.67572	-9.539881	
0.115	2.864162	-2.828846	4.953318	-0.670433	-2.861023	4.544073	6.70433	-9.533176	
0.116	2.828847	-2.793503	4.952644	-0.673294	-2.861023	4.537656	6.73294	-9.526443	
0.117	2.793504	-2.758132	4.951968	-0.676155	-2.861023	4.531217	6.76155	-9.519682	
0.118	2.758132	-2.722731	4.951289	-0.6790161	-2.861023	4.524755	6.790161	-9.512892	
0.119	2.722732	-2.692075	4.950608	-0.6814002	-2.384186	4.518276	6.814003	-9.506078	
0.12	2.692076	-2.656622	4.949924	-0.6842613	-2.861023	4.511774	6.842613	-9.499235	
0.121	2.656623	-2.621141	4.949236	-0.6871223	-2.861023	4.505249	6.871223	-9.492364	
0.122	2.621142	-2.590404	4.948547	-0.6895065	-2.384186	4.498706	6.895065	-9.485469	
0.123	2.590405	-2.564416	4.947855	-0.6914138	-1.907349	4.49215	6.914138	-9.478555	
0.124	2.564417	-2.52409	4.947161	-0.6947517	-3.33786	4.485567	6.947517	-9.471607	
0.125	2.524091	-2.49805	4.946464	-0.696659	-1.907349	4.478971	6.96659	-9.464641	
0.126	2.498051	-2.457672	4.945764	-0.6999969	-3.33786	4.472348	6.999969	-9.457641	
0.127	2.457673	-2.431579	4.945062	-0.7019042	-1.907349	4.465713	7.019042	-9.450622	
0.128	2.43158	-2.395921	4.944357	-0.7047653	-2.861023	4.459054	7.047653	-9.443574	
0.129	2.395922	-2.365008	4.94365	-0.7071494	-2.384186	4.452379	7.071495	-9.436502	
0.13	2.365009	-2.338844	4.942941	-0.7090568	-1.907349	4.445691	7.090568	-9.429412	
0.131	2.338845	-2.303114	4.942229	-0.7119178	-2.861023	4.43898	7.119178	-9.422293	
