Time	Body_X	Body_Y	Body_Z	Joint_1	
0.024	-6.622619E-07	-0.002592814	-0.01977451	-9.953634	
0.0242	-6.755478E-07	-0.002635852	-0.0197669	-10.12058	
0.0244	-6.890137E-07	-0.002679221	-0.01975909	-10.28889	
0.0246	-7.026612E-07	-0.00272292	-0.0197511	-10.45858	
0.0248	-7.164916E-07	-0.002766949	-0.01974291	-10.62964	
0.025	-7.305067E-07	-0.002811306	-0.01973452	-10.80207	
0.0252	-7.447079E-07	-0.00285599	-0.01972593	-10.97587	
0.0254	-7.590969E-07	-0.002900999	-0.01971713	-11.15104	
0.0256	-7.736753E-07	-0.002946332	-0.01970813	-11.32758	
0.0258	-7.884447E-07	-0.002991989	-0.01969892	-11.50549	
0.026	-8.034065E-07	-0.003037967	-0.01968949	-11.68476	
0.0262	-8.185625E-07	-0.003084266	-0.01967984	-11.8654	
0.0264	-8.339142E-07	-0.003130884	-0.01966998	-12.04741	
0.0266	-8.494632E-07	-0.003177819	-0.01965989	-12.23078	
0.0268	-8.652111E-07	-0.003225071	-0.01964957	-12.41552	
0.027	-8.811596E-07	-0.003272637	-0.01963903	-12.60162	
0.0272	-8.973101E-07	-0.003320516	-0.01962825	-12.78907	
0.0274	-9.136643E-07	-0.003368707	-0.01961723	-12.9779	
0.0276	-9.302239E-07	-0.003417208	-0.01960597	-13.16808	
0.0278	-9.469904E-07	-0.003466018	-0.01959447	-13.35962	
0.028	-9.639656E-07	-0.003515134	-0.01958273	-13.55251	
0.0282	-9.811509E-07	-0.003564556	-0.01957073	-13.74677	
0.0284	-9.98548E-07	-0.003614281	-0.01955848	-13.94237	
0.0286	-1.016158E-06	-0.003664308	-0.01954598	-14.13934	
0.0288	-1.033984E-06	-0.003714635	-0.01953321	-14.33765	
0.029	-1.052026E-06	-0.00376526	-0.01952018	-14.53732	
0.0292	-1.070286E-06	-0.003816181	-0.01950689	-14.73834	
0.0294	-1.088766E-06	-0.003867396	-0.01949333	-14.94071	
0.0296	-1.107467E-06	-0.003918904	-0.01947949	-15.14442	
0.0298	-1.126392E-06	-0.003970703	-0.01946538	-15.34948	
0.03	-1.14554E-06	-0.00402279	-0.01945099	-15.5559	
0.0302	-1.164915E-06	-0.004075164	-0.01943631	-15.76365	
0.0304	-1.184518E-06	-0.004127822	-0.01942135	-15.97274	
0.0306	-1.20435E-06	-0.004180762	-0.0194061	-16.18318	
0.0308	-1.224413E-06	-0.004233983	-0.01939055	-16.39496	
0.031	-1.244709E-06	-0.004287482	-0.01937471	-16.60807	
0.0312	-1.265239E-06	-0.004341257	-0.01935857	-16.82253	
0.0314	-1.286004E-06	-0.004395305	-0.01934212	-17.03831	
0.0316	-1.307006E-06	-0.004449625	-0.01932537	-17.25543	
0.0318	-1.328247E-06	-0.004504213	-0.01930831	-17.47389	
0.032	-1.349729E-06	-0.004559068	-0.01929093	-17.69367	
0.0322	-1.371452E-06	-0.004614187	-0.01927324	-17.91479	
0.0324	-1.393419E-06	-0.004669568	-0.01925522	-18.13723	
0.0326	-1.41563E-06	-0.004725207	-0.01923688	-18.36099	
0.0328	-1.438088E-06	-0.004781104	-0.01921822	-18.58609	
0.033	-1.460794E-06	-0.004837254	-0.01919922	-18.8125	
0.0332	-1.483749E-06	-0.004893656	-0.01917989	-19.04024	
0.0334	-1.506955E-06	-0.004950306	-0.01916022	-19.26929	
0.0336	-1.530413E-06	-0.005007203	-0.0191402	-19.49967	
0.0338	-1.554125E-06	-0.005064343	-0.01911985	-19.73136	
0.034	-1.578093E-06	-0.005121723	-0.01909914	-19.96435	
0.0342	-1.602317E-06	-0.005179341	-0.01907809	-20.19867	
