Time	Length	Velocity	Acceleration	Damping	Tension	2	
0.09100001	4.958437	0.8970753	9.584373	4.958437	4.958437	0	
0.09200001	4.95753	0.9066506	9.575303	4.95753	4.95753	0	
0.093	4.956614	0.9162167	9.566143	4.956614	4.956614	0	
0.094	4.955688	0.9257736	9.556887	4.955688	4.955688	0	
0.09500001	4.954753	0.9353212	9.547531	4.954753	4.954753	0	
0.096	4.953808	0.9448593	9.538085	4.953808	4.953808	0	
0.097	4.952854	0.9543878	9.528539	4.952854	4.952854	0	
0.098	4.95189	0.9639067	9.518903	4.95189	4.95189	0	
0.09900001	4.950917	0.9734159	9.509165	4.950917	4.950917	0	
0.1	4.949934	0.9829152	9.499338	4.949934	4.949934	0	
0.101	4.948941	0.9924046	9.489411	4.948941	4.948941	0	
0.102	4.947939	1.001884	9.479394	4.947939	4.947939	0	
0.103	4.946928	1.011353	9.46928	4.946928	4.946928	0	
0.104	4.945907	1.020812	9.459071	4.945907	4.945907	0	
0.105	4.944877	1.030261	9.448768	4.944877	4.944877	0	
0.106	4.943837	1.039699	9.438374	4.943837	4.943837	0	
0.107	4.942788	1.049127	9.427879	4.942788	4.942788	0	
0.108	4.94173	1.058545	9.417295	4.94173	4.94173	0	
0.109	4.940661	1.067951	9.406615	4.940661	4.940661	0	
0.11	4.939584	1.077347	9.395841	4.939584	4.939584	0	
0.111	4.938498	1.086732	9.384974	4.938498	4.938498	0	
0.112	4.937401	1.096106	9.374014	4.937401	4.937401	0	
0.113	4.936296	1.105469	9.362958	4.936296	4.936296	0	
0.114	4.935181	1.114821	9.351811	4.935181	4.935181	0	
0.115	4.934057	1.124161	9.340569	4.934057	4.934057	0	
0.116	4.932923	1.133491	9.329237	4.932923	4.932923	0	
0.117	4.931781	1.142808	9.317805	4.931781	4.931781	0	
0.118	4.930629	1.152115	9.306287	4.930629	4.930629	0	
0.119	4.929467	1.161409	9.294673	4.929467	4.929467	0	
0.12	4.928297	1.170692	9.282965	4.928297	4.928297	0	
0.121	4.927116	1.179963	9.271166	4.927116	4.927116	0	
0.122	4.925927	1.189223	9.259272	4.925927	4.925927	0	
0.123	4.924729	1.19847	9.247287	4.924729	4.924729	0	
0.124	4.923521	1.207705	9.23521	4.923521	4.923521	0	
0.125	4.922304	1.216928	9.223042	4.922304	4.922304	0	
0.126	4.921078	1.226139	9.21078	4.921078	4.921078	0	
0.127	4.919843	1.235337	9.198427	4.919843	4.919843	0	
0.128	4.918598	1.244523	9.185983	4.918598	4.918598	0	
0.129	4.917345	1.253697	9.173444	4.917345	4.917345	0	
0.13	4.916081	1.262858	9.160817	4.916081	4.916081	0	
0.131	4.91481	1.272006	9.148094	4.91481	4.91481	0	
0.132	4.913528	1.281141	9.135285	4.913528	4.913528	0	
0.133	4.912238	1.290263	9.122382	4.912238	4.912238	0	
0.134	4.910939	1.299373	9.109387	4.910939	4.910939	0	
0.135	4.90963	1.308469	9.096302	4.90963	4.90963	0	
0.136	4.908313	1.317552	9.083127	4.908313	4.908313	0	
0.137	4.906986	1.326622	9.069861	4.906986	4.906986	0	
0.138	4.905651	1.335679	9.056505	4.905651	4.905651	0	
0.139	4.904306	1.344722	9.043059	4.904306	4.904306	0	
0.14	4.902952	1.353751	9.029521	4.902952	4.902952	0	
0.141	4.901589	1.362767	9.015895	4.901589	4.901589	0	
0.142	4.900218	1.371769	9.002176	4.900218	4.900218	0	
0.143	4.898837	1.380758	8.988369	4.898837	4.898837	0	
0.144	4.897447	1.389732	8.97447	4.897447	4.897447	0	
0.145	4.896049	1.398693	8.960485	4.896049	4.896049	0	
0.146	4.894641	1.407639	8.94641	4.894641	4.894641	0	
0.147	4.893224	1.416571	8.932245	4.893224	4.893224	0	
0.148	4.891798	1.425489	8.917989	4.891798	4.891798	0	
0.149	4.890364	1.434393	8.903641	4.890364	4.890364	0	
