Time	A	B	
0.7852	0.2797812	0.401314	
0.7878	0.2771729	0.3976301	
0.7904	0.2779584	0.3929978	
0.793	0.2771031	0.3947701	
0.7956	0.2797524	0.3944577	
0.7982	0.2832892	0.3897632	
0.8008	0.2825487	0.3871688	
0.8034	0.2841749	0.3849439	
0.806	0.2822398	0.3842422	
0.8086	0.2809656	0.3796183	
0.8112	0.2840798	0.3807714	
0.8138	0.2810793	0.3788013	
0.8164	0.2791463	0.3812935	
0.819	0.2753851	0.3772215	
0.8216	0.2715538	0.3754793	
0.8242	0.2671726	0.3764148	
0.8268	0.2647069	0.3762375	
0.8294	0.26013	0.3809904	
0.832	0.2611857	0.3768169	
0.8346	0.2569929	0.3721907	
0.8372	0.2601411	0.3742635	
0.8398	0.2558789	0.3758426	
0.8424	0.2574019	0.3751471	
0.845	0.2552164	0.3748726	
0.8476	0.2586768	0.3746782	
0.8502	0.2618726	0.3768211	
0.8528	0.2613729	0.3810059	
0.8554	0.2631349	0.3849129	
0.858	0.2611238	0.3822891	
0.8606	0.2622596	0.3850858	
0.8631999	0.2625036	0.3843694	
0.8658	0.2636058	0.3855563	
0.8684	0.2670037	0.3889028	
0.871	0.2630637	0.3907989	
0.8736	0.2650223	0.3922794	
0.8762	0.2684922	0.3909688	
0.8788	0.2709882	0.3891859	
0.8814	0.2739298	0.3866055	
0.884	0.2699786	0.3891975	
0.8866	0.264599	0.3893761	
0.8892	0.2591951	0.3889751	
0.8918	0.2591888	0.3933932	
0.8944	0.2574062	0.3951349	
0.897	0.2559941	0.3984963	
0.8996	0.2595116	0.3980942	
0.9022	0.258375	0.3994882	
0.9048	0.2530058	0.4036032	
0.9074	0.2552333	0.4001385	
0.91	0.2528311	0.397296	
0.9126	0.2557273	0.4004715	
0.9152	0.2592333	0.3968613	
0.9177999	0.2564395	0.3954483	
0.9204	0.2576625	0.3989951	
0.923	0.2614116	0.4012685	
0.9256	0.2613049	0.4021447	
0.9281999	0.2564863	0.3996904	
0.9308	0.2576795	0.3947772	
0.9334	0.2588965	0.3908788	
0.936	0.2597776	0.3856193	
0.9386	0.2602504	0.3872651	
0.9412	0.2601272	0.3837011	
0.9438	0.2642421	0.3778171	
0.9464	0.2643268	0.3748512	
0.949	0.261251	0.3730307	
0.9516	0.2614295	0.3710303	
0.9542	0.2622603	0.3670544	
0.9568	0.2666836	0.3682576	
0.9594	0.2622664	0.3680802	
0.962	0.2612391	0.3665346	
0.9646	0.2565531	0.3659425	
0.9672	0.2595255	0.3656722	
0.9698	0.2578781	0.3624952	
0.9724	0.2571842	0.3582959	
0.975	0.261464	0.359777	
0.9776	0.2647508	0.3567965	
0.9802	0.2662746	0.3515396	
0.9827999	0.265828	0.3537657	
0.9854	0.2703234	0.3514635	
0.988	0.2654312	0.3490326	
0.9906	0.2630274	0.3478589	
0.9932	0.2601534	0.3431947	
0.9958	0.2613325	0.338822	
0.9984	0.258563	0.3371543	
1.001	0.2583872	0.3405555	
1.0036	0.2543665	0.338619	
1.0062	0.2562538	0.3425948	
1.0088	0.2547403	0.3375435	
1.0114	0.2554832	0.3370308	
1.014	0.2569748	0.3346642	
1.0166	0.2545724	0.3366938	
1.0192	0.257062	0.3405909	
1.0218	0.2620017	0.3415223	
1.0244	0.2626672	0.3446857	
1.027	0.2616771	0.3470083	
1.0296	0.2640336	0.3429359	
1.0322	0.2672773	0.3457345	
1.0348	0.2638735	0.34945	
1.0374	0.2631018	0.3510818	
1.04	0.2629437	0.3533714	
1.0426	0.2611466	0.3490349	
1.0452	0.2561202	0.3467507	
1.0478	0.252125	0.3456411	
1.0504	0.2487187	0.3476125	
1.053	0.2531877	0.3460231	
1.0556	0.2514347	0.3435399	
1.0582	0.2480473	0.3431332	
1.0608	0.2434094	0.3458604	
1.0634	0.2386791	0.3474024	
1.066	0.234059	0.3443057	
1.0686	0.233077	0.339923	
1.0712	0.2298097	0.3349395	
1.0738	0.2295502	0.3363587	
1.0764	0.2265871	0.3329888	
1.079	0.2273995	0.3299682	
1.0816	0.2326877	0.3334708	
1.0842	0.234664	0.3312397	
1.0868	0.2367578	0.3263323	
1.0894	0.2362399	0.3228316	
1.092	0.2337615	0.3210115	
1.0946	0.2328264	0.3194357	
1.0972	0.2325855	0.3204552	
1.0998	0.2381871	0.3215133	
1.1024	0.2407347	0.3204425	
1.105	0.240158	0.3198294	
1.1076	0.2390922	0.3165506	
1.1102	0.2352827	0.3171452	
1.1128	0.2345242	0.3126017	
1.1154	0.2383887	0.3158066	
1.118	0.2361481	0.3179073	
1.1206	0.2392725	0.321233	
1.1232	0.2407238	0.3220231	
1.1258	0.2448832	0.320286	
1.1284	0.2446971	0.3152615	
1.131	0.244466	0.3147091	
1.1336	0.2406807	0.3102028	
1.1362	0.2422681	0.3049285	
1.1388	0.2446655	0.3079837	
1.1414	0.2462115	0.3055149	
1.144	0.2495289	0.3034654	
1.1466	0.247185	0.3000037	
1.1492	0.2463012	0.2956037	
1.1518	0.2503144	0.2938127	
1.1544	0.2504641	0.2929848	
1.157	0.247322	0.2942947	
1.1596	0.2446466	0.293904	
1.1622	0.241411	0.2967268	
1.1648	0.243944	0.2965366	
1.1674	0.2398105	0.293644	
1.17	0.2445607	0.2948459	
1.1726	0.2496441	0.2958574	
1.1752	0.2517369	0.2999182	
1.1778	0.2549866	0.3005725	
1.1804	0.2532324	0.3010621	
1.183	0.2527842	0.3029326	
1.1856	0.2535031	0.3047828	
1.1882	0.2555595	0.3024902	
1.1908	0.2510577	0.3035534	
1.1934	0.2492512	0.3053866	
1.196	0.2468613	0.3006118	
1.1986	0.2427256	0.2989425	
1.2012	0.2388026	0.2964745	
1.2038	0.2376494	0.2959392	
1.2064	0.242139	0.2918258	
1.209	0.2461194	0.2867782	
1.2116	0.2427914	0.2843487	
1.2142	0.2478336	0.2794017	
1.2168	0.2521392	0.2803885	
1.2194	0.2527873	0.2837573	
1.222	0.2506326	0.2781134	
1.2246	0.2557642	0.2765278	
1.2272	0.2609583	0.2788571	
1.2298	0.2623097	0.2783286	
1.2324	0.259	0.2783096	
1.235	0.2585426	0.273152	
1.2376	0.2632564	0.2678211	
1.2402	0.2640457	0.2700022	
1.2428	0.2643783	0.2724836	
1.2454	0.2626499	0.2711704	
1.248	0.2614101	0.2721907	
1.2506	0.2612738	0.2757304	
1.2532	0.2646348	0.2774584	
1.2558	0.2611434	0.2770216	
1.2584	0.2657126	0.2730457	
1.261	0.2649142	0.26919	
1.2636	0.2675658	0.2707398	
1.2662	0.2705811	0.2658908	
1.2688	0.2689757	0.2614481	
1.2714	0.2736951	0.2627606	
1.274	0.2772918	0.2575162	
1.2766	0.2822149	0.2534002	
1.2792	0.279513	0.2542229	
1.2818	0.2816132	0.2552391	
1.2844	0.2790283	0.2493004	
1.287	0.2776773	0.2517267	
1.2896	0.2796093	0.2497823	
1.2922	0.2837652	0.2438344	
1.2948	0.2807789	0.2426189	
1.2974	0.2828417	0.2456065	
1.3	0.2814825	0.2438015	
1.3026	0.280459	0.2427641	
1.3052	0.2824286	0.2432989	
1.3078	0.284039	0.2469892	
1.3104	0.2874048	0.2465378	
1.313	0.2862086	0.2433682	
1.3156	0.2836691	0.2408578	
1.3182	0.2878942	0.2414903	
1.3208	0.2899693	0.2443406	
1.3234	0.2885189	0.2392944	
1.326	0.2937963	0.2365085	
1.3286	0.293798	0.2343697	
1.3312	0.2926939	0.2348955	
1.3338	0.2915536	0.2365564	
1.3364	0.2909101	0.2331086	
1.339	0.2915602	0.235193	
