Time	FF	Vm	Ie	
0.562	0.5304053	0.03536035	4E-09	
0.564	0.5350449	0.03566966	4E-09	
0.566	0.5393752	0.03595835	4E-09	
0.568	0.5434169	0.03622779	4E-09	
0.5700001	0.5471891	0.03647927	4E-09	
0.572	0.5507098	0.03671399	4E-09	
0.574	0.5539958	0.03693305	4E-09	
0.576	0.5570627	0.03713752	4E-09	
0.578	0.5599252	0.03732835	4E-09	
0.58	0.5625969	0.03750646	4E-09	
0.582	0.5650904	0.03767269	4E-09	
0.5840001	0.5674177	0.03782785	4E-09	
0.586	0.5695899	0.03797266	4E-09	
0.588	0.5716172	0.03810782	4E-09	
0.59	0.5735095	0.03823396	4E-09	
0.592	0.5752754	0.0383517	4E-09	
0.594	0.5769238	0.03846158	4E-09	
0.596	0.5784622	0.03856415	4E-09	
0.598	0.5798981	0.03865987	4E-09	
0.6	0.5812382	0.03874921	0	
0.6020001	0.542489	0.03616593	0	
0.604	0.506323	0.03375487	0	
0.606	0.4725682	0.03150455	0	
0.608	0.4410636	0.02940424	0	
0.61	0.4116594	0.02744396	0	
0.612	0.3842154	0.02561436	0	
0.614	0.358601	0.02390674	0	
0.6160001	0.3346943	0.02231295	0	
0.618	0.3123813	0.02082542	0	
0.62	0.2915559	0.01943706	0	
0.622	0.2721188	0.01814125	0	
0.624	0.2539776	0.01693184	0	
0.626	0.2370457	0.01580305	0	
0.628	0.2212427	0.01474951	0	
0.6300001	0.2064932	0.01376621	0	
0.632	0.192727	0.01284846	0	
0.634	0.1798785	0.0119919	0	
0.636	0.1678866	0.01119244	0	
0.638	0.1566941	0.01044628	0	
0.64	0.1462479	0.009749858	0	
0.642	0.136498	0.009099867	0	
0.6440001	0.1273981	0.008493209	0	
0.646	0.1189049	0.007926995	0	
0.648	0.1109779	0.007398529	0	
0.65	0.1035794	0.006905293	0	
0.652	0.09667411	0.00644494	0	
0.654	0.09022916	0.006015277	0	
0.656	0.08421388	0.005614259	0	
0.6580001	0.07859962	0.005239975	0	
0.66	0.07335965	0.004890643	0	
0.6620001	0.068469	0.0045646	0	
0.664	0.0639044	0.004260293	0	
0.666	0.05964411	0.003976274	0	
0.668	0.05566783	0.003711189	0	
0.67	0.05195665	0.003463776	0	
0.6720001	0.04849287	0.003232858	0	
0.674	0.04526001	0.003017334	0	
0.6760001	0.04224268	0.002816178	0	
0.678	0.03942649	0.002628433	0	
0.68	0.03679806	0.002453204	0	
0.682	0.03434486	0.002289657	0	
0.684	0.0320552	0.002137013	0	
0.686	0.02991819	0.001994546	0	
0.688	0.02792364	0.001861576	0	
0.6900001	0.02606206	0.001737471	0	
0.692	0.02432459	0.00162164	0	
0.694	0.02270295	0.00151353	0	
0.696	0.02118942	0.001412628	0	
0.698	0.0197768	0.001318453	0	
0.7	0.01845834	0.001230556	6E-09	
0.702	0.07722779	0.005148519	6E-09	
0.7040001	0.1320793	0.008805285	6E-09	
0.706	0.183274	0.01221827	6E-09	
0.708	0.2310557	0.01540372	6E-09	
0.71	0.275652	0.0183768	6E-09	
0.712	0.3172752	0.02115168	6E-09	
0.714	0.3561235	0.02374157	6E-09	
0.716	0.392382	0.0261588	6E-09	
0.7180001	0.4262232	0.02841488	6E-09	
0.72	0.4578083	0.03052055	6E-09	
0.7220001	0.4872878	0.03248585	6E-09	
0.724	0.5148019	0.03432013	6E-09	
0.726	0.5404817	0.03603212	6E-09	
0.728	0.5644497	0.03762998	6E-09	
0.73	0.5868196	0.03912131	6E-09	
0.7320001	0.6076984	0.04051322	6E-09	
0.734	0.6271852	0.04181235	6E-09	
0.7360001	0.6453729	0.04302486	6E-09	
0.738	0.662348	0.04415653	6E-09	
0.74	0.6781915	0.04521276	6E-09	
0.742	0.6929787	0.04619858	6E-09	
0.744	0.7067801	0.04711867	6E-09	
0.7460001	0.7196614	0.04797743	6E-09	
0.748	0.731684	0.04877893	6E-09	
0.7500001	0.7429051	0.049527	6E-09	
0.752	0.7533781	0.05022521	6E-09	
0.754	0.7631529	0.05087686	6E-09	
0.756	0.772276	0.05148507	6E-09	
0.758	0.780791	0.05205273	6E-09	
0.7600001	0.7887383	0.05258255	6E-09	
0.762	0.7961557	0.05307705	6E-09	
0.7640001	0.8030787	0.05353858	6E-09	
0.766	0.8095401	0.05396934	6E-09	
0.768	0.8155708	0.05437138	6E-09	
0.77	0.8211994	0.05474662	6E-09	
0.772	0.8264527	0.05509685	6E-09	
0.774	0.8313559	0.05542373	6E-09	
0.776	0.8359322	0.05572881	6E-09	
0.7780001	0.8402033	0.05601356	6E-09	
0.78	0.8441898	0.05627932	6E-09	
0.7820001	0.8479105	0.05652736	6E-09	
0.784	0.8513831	0.05675887	6E-09	
0.786	0.8546242	0.05697495	6E-09	
0.788	0.8576493	0.05717662	6E-09	
0.79	0.8604726	0.05736484	6E-09	
0.7920001	0.8631077	0.05754052	6E-09	
0.794	0.8655672	0.05770448	6E-09	
0.7960001	0.8678628	0.05785752	6E-09	
0.798	0.8700052	0.05800035	6E-09	
0.8	0.8720049	0.05813366	0	
0.802	0.8138712	0.05425808	0	
0.804	0.7596132	0.05064088	0	
0.8060001	0.7089723	0.04726482	0	
0.808	0.6617075	0.04411383	0	
0.8100001	0.6175936	0.04117291	0	
0.812	0.5764207	0.03842805	0	
0.814	0.5379926	0.03586617	0	
0.816	0.5021265	0.0334751	0	
0.818	0.4686514	0.03124342	0	
0.8200001	0.4374079	0.02916053	0	
0.822	0.4082474	0.02721649	0	
0.8240001	0.3810309	0.02540206	0	
0.826	0.3556288	0.02370859	0	
0.8280001	0.3319202	0.02212802	0	
0.83	0.3097922	0.02065281	0	
0.832	0.2891394	0.01927596	0	
0.8340001	0.2698634	0.01799089	0	
0.836	0.2518725	0.0167915	0	
0.8380001	0.235081	0.01567207	0	
0.84	0.219409	0.01462726	0	
0.8420001	0.2047817	0.01365211	0	
0.844	0.1911296	0.01274197	0	
0.846	0.1783876	0.01189251	0	
0.848	0.1664951	0.01109967	0	
0.85	0.1553954	0.01035969	0	
0.8520001	0.1450357	0.009669048	0	
0.854	0.1353667	0.009024445	0	
0.8560001	0.1263422	0.008422815	0	
0.858	0.1179194	0.007861294	0	
0.86	0.1100581	0.007337207	0	
0.862	0.1027209	0.00684806	0	
0.864	0.09587283	0.006391522	0	
0.8660001	0.08948132	0.005965421	0	
0.868	0.08351589	0.005567726	0	
0.8700001	0.07794817	0.005196544	0	
0.872	0.07275163	0.004850108	0	
0.874	0.06790151	0.004526767	0	
0.876	0.06337474	0.004224983	0	
0.878	0.05914976	0.003943318	0	
0.8800001	0.05520644	0.00368043	0	
0.882	0.05152601	0.003435068	0	
0.8840001	0.04809095	0.003206063	0	
0.886	0.04488488	0.002992325	0	
0.8880001	0.04189256	0.002792837	0	
0.89	0.03909972	0.002606648	0	
0.892	0.03649307	0.002432871	0	
