Time	MV	Muscle2	Len	
0.0454	-0.06172387	1.936956	-0.04830194	
0.0456	-0.06159972	1.936956	-0.04830197	
0.0458	-0.06149147	2.092037	-0.048302	
0.046	-0.06139797	2.092037	-0.04830205	
0.0462	-0.06131818	2.092037	-0.0483021	
0.0464	-0.06125111	2.092037	-0.04830215	
0.0466	-0.06119588	2.092037	-0.0483022	
0.0468	-0.06115165	2.266891	-0.04830224	
0.047	-0.06111765	2.266891	-0.04830232	
0.0472	-0.06109316	2.266891	-0.04830238	
0.0474	-0.06107752	2.266891	-0.04830245	
0.0476	-0.06107013	2.266891	-0.04830251	
0.0478	-0.0610704	2.451829	-0.04830257	
0.048	-0.06107781	2.451829	-0.04830266	
0.0482	-0.06109187	2.451829	-0.04830274	
0.0484	-0.0611121	2.451829	-0.04830282	
0.0486	-0.0611381	2.451829	-0.0483029	
0.0488	-0.06116946	2.63938	-0.04830297	
0.049	-0.0612058	2.63938	-0.04830307	
0.0492	-0.06124679	2.63938	-0.04830316	
0.0494	-0.06129211	2.63938	-0.04830326	
0.0496	-0.06134144	2.63938	-0.04830334	
0.0498	-0.06139452	2.82372	-0.04830343	
0.05	-0.06145108	2.82372	-0.04830354	
0.0502	-0.06151088	2.82372	-0.04830365	
0.0504	-0.06157368	2.82372	-0.04830375	
0.0506	-0.06163929	2.82372	-0.04830385	
0.0508	-0.0617075	3.001092	-0.04830394	
0.051	-0.06177811	3.001092	-0.04830406	
0.0512	-0.06185097	3.001092	-0.04830418	
0.0514	-0.0619259	3.001092	-0.04830429	
0.0516	-0.06200277	3.001092	-0.04830439	
0.0518	-0.06208141	3.16916	-0.0483045	
0.052	-0.06216171	3.16916	-0.04830462	
0.0522	-0.06224354	3.16916	-0.04830474	
0.0524	-0.06232678	3.16916	-0.04830485	
0.0526	-0.06241133	3.16916	-0.04830496	
0.0528	-0.06249708	3.326529	-0.04830507	
0.053	-0.06258393	3.326529	-0.04830519	
0.0532	-0.06267181	3.326529	-0.04830532	
0.0534	-0.06276062	3.326529	-0.04830544	
0.0536	-0.0628503	3.326529	-0.04830555	
0.0538	-0.06294076	3.472701	-0.04830565	
0.054	-0.06303193	3.472701	-0.04830578	
0.0542	-0.06312377	3.472701	-0.0483059	
0.0544	-0.06321619	3.472701	-0.04830602	
0.0546	-0.06330916	3.472701	-0.04830613	
0.0548	-0.06340262	3.607675	-0.04830624	
0.055	-0.06349652	3.607675	-0.04830636	
0.0552	-0.0635908	3.607675	-0.04830648	
0.0554	-0.06368544	3.607675	-0.0483066	
0.0556	-0.06378039	3.607675	-0.04830671	
0.0558	-0.06387562	3.731507	-0.04830681	
0.056	-0.06397107	3.731507	-0.04830693	
0.0562	-0.06406675	3.731507	-0.04830705	
0.0564	-0.06416258	3.731507	-0.04830716	
0.0566	-0.06425858	3.731507	-0.04830727	
0.0568	-0.06435468	3.844982	-0.04830737	
0.057	-0.06445088	3.844982	-0.04830749	
0.0572	-0.06454715	3.844982	-0.0483076	
0.0574	-0.06464347	3.844982	-0.04830771	
0.0576	-0.06473982	3.844982	-0.04830781	
0.0578	-0.06483618	3.948367	-0.04830791	
0.058	-0.06493253	3.948367	-0.04830802	
0.0582	-0.06502885	3.948367	-0.04830813	
0.0584	-0.06512514	3.948367	-0.04830823	
0.0586	-0.06522137	3.948367	-0.04830833	
0.0588	-0.06531753	4.042461	-0.04830842	
0.059	-0.06541362	4.042461	-0.04830853	
0.0592	-0.0655096	4.042461	-0.04830864	
0.0594	-0.06560548	4.042461	-0.04830873	
0.0596	-0.06570125	4.042461	-0.04830883	
0.0598	-0.06579689	4.127834	-0.04830892	
0.06	-0.0658924	4.127834	-0.04830902	
0.0602	-0.06598777	4.127834	-0.04830912	
0.0604	-0.06608298	4.127834	-0.04830921	
0.0606	-0.06617804	4.127834	-0.0483093	
0.0608	-0.06627294	4.20505	-0.04830938	
0.061	-0.06636766	4.20505	-0.04830948	
0.0612	-0.0664622	4.20505	-0.04830957	
0.0614	-0.06655657	4.20505	-0.04830966	
0.0616	-0.06665076	4.20505	-0.04830974	
0.0618	-0.06674475	4.274827	-0.04830982	
0.062	-0.06683855	4.274827	-0.04830991	
0.0622	-0.06693214	4.274827	-0.04830999	
0.0624	-0.06702553	4.274827	-0.04831007	
0.0626	-0.06711872	4.274827	-0.04831015	
0.0628	-0.0672117	4.337673	-0.04831023	
0.063	-0.06730446	4.337673	-0.04831031	
0.0632	-0.06739701	4.337673	-0.0483104	
0.0634	-0.06748933	4.337673	-0.04831047	
0.0636	-0.06758144	4.337673	-0.04831054	
0.0638	-0.06767333	4.394057	-0.04831061	
0.064	-0.067765	4.394057	-0.04831069	
0.0642	-0.06785644	4.394057	-0.04831076	
0.06439999	-0.06794765	4.394057	-0.04831083	
0.0646	-0.06803863	4.394057	-0.0483109	
0.0648	-0.06812938	4.444656	-0.04831096	
0.065	-0.0682199	4.444656	-0.04831104	
0.0652	-0.06831019	4.444656	-0.0483111	
0.0654	-0.06840024	4.444656	-0.04831117	
0.0656	-0.06849006	4.444656	-0.04831123	
0.0658	-0.06857964	4.489717	-0.04831129	
0.066	-0.06866899	4.489717	-0.04831136	
0.0662	-0.0687581	4.489717	-0.04831142	
