Time	A	Length	MV	Tension	
6.3974	0.6194202	0.4613796	-0.08706855	0.2643616	
6.3976	0.6194202	0.4613796	-0.08706873	0.2643616	
6.3978	0.6195521	0.4614204	-0.0870689	0.2621244	
6.398	0.6195521	0.4614204	-0.08706907	0.2621244	
6.3982	0.6195521	0.4614204	-0.08706925	0.2621244	
6.3984	0.6195521	0.4614204	-0.08706942	0.2621244	
6.3986	0.6195521	0.4614204	-0.08706959	0.2621244	
6.3988	0.6196845	0.4614613	-0.08706976	0.2599422	
6.399	0.6196845	0.4614613	-0.08706994	0.2599422	
6.3992	0.6196845	0.4614613	-0.08707011	0.2599422	
6.3994	0.6196845	0.4614613	-0.08707028	0.2599422	
6.3996	0.6196845	0.4614613	-0.08707045	0.2599422	
6.3998	0.6195899	0.4614613	-0.08707062	0.2373288	
6.4	0.6195899	0.4614613	-0.08707079	0.2373288	
6.4002	0.6195899	0.4614613	-0.08707096	0.2373288	
6.4004	0.6195899	0.4614613	-0.08707113	0.2373288	
6.4006	0.6195899	0.4614613	-0.0870713	0.2373288	
6.4008	0.6195257	0.4614666	-0.08707146	0.2175122	
6.401	0.6195257	0.4614666	-0.08707163	0.2175122	
6.4012	0.6195257	0.4614666	-0.0870718	0.2175122	
6.4014	0.6195257	0.4614666	-0.08707196	0.2175122	
6.4016	0.6195257	0.4614666	-0.08707213	0.2175122	
6.4018	0.6194928	0.4614773	-0.08707229	0.200523	
6.402	0.6194928	0.4614773	-0.08707246	0.200523	
6.4022	0.6194928	0.4614773	-0.08707263	0.200523	
6.4024	0.6194928	0.4614773	-0.08707279	0.200523	
6.4026	0.6194928	0.4614773	-0.08707295	0.200523	
6.4028	0.6194928	0.4614935	-0.08707311	0.1863771	
6.403	0.6194928	0.4614935	-0.08707327	0.1863771	
6.4032	0.6194928	0.4614935	-0.08707344	0.1863771	
6.4034	0.6194928	0.4614935	-0.08707359	0.1863771	
6.4036	0.6194928	0.4614935	-0.08707376	0.1863771	
6.4038	0.6195233	0.4615149	-0.08707392	0.1750004	
6.404	0.6195233	0.4615149	-0.08707408	0.1750004	
6.4042	0.6195233	0.4615149	-0.08707424	0.1750004	
6.4044	0.6195233	0.4615149	-0.0870744	0.1750004	
6.4046	0.6195233	0.4615149	-0.08707456	0.1750004	
6.4048	0.619584	0.4615417	-0.08707471	0.1663195	
6.405	0.619584	0.4615417	-0.08707487	0.1663195	
6.4052	0.619584	0.4615417	-0.08707503	0.1663195	
6.4054	0.619584	0.4615417	-0.08707519	0.1663195	
6.4056	0.619584	0.4615417	-0.08707535	0.1663195	
6.4058	0.6196733	0.4615732	-0.0870755	0.1601569	
6.406	0.6196733	0.4615732	-0.08707565	0.1601569	
6.4062	0.6196733	0.4615732	-0.08707581	0.1601569	
6.4064	0.6196733	0.4615732	-0.08707596	0.1601569	
6.4066	0.6196733	0.4615732	-0.08707612	0.1601569	
6.4068	0.6197892	0.4616095	-0.08707627	0.1563657	
6.407	0.6197892	0.4616095	-0.08707643	0.1563657	
6.4072	0.6197892	0.4616095	-0.08707657	0.1563657	
6.4074	0.6197892	0.4616095	-0.08707673	0.1563657	
6.4076	0.6197892	0.4616095	-0.08707688	0.1563657	
6.4078	0.6199299	0.4616499	-0.08707704	0.1547402	
6.408	0.6199299	0.4616499	-0.08707719	0.1547402	
6.4082	0.6199299	0.4616499	-0.08707733	0.1547402	
6.4084	0.6199299	0.4616499	-0.08707748	0.1547402	
6.4086	0.6199299	0.4616499	-0.08707763	0.1547402	
6.4088	0.6200932	0.4616942	-0.08707778	0.1550606	
6.409	0.6200932	0.4616942	-0.08707793	0.1550606	
6.4092	0.6200932	0.4616942	-0.08707808	0.1550606	
6.4094	0.6200932	0.4616942	-0.08707823	0.1550606	
6.4096	0.6200932	0.4616942	-0.08707838	0.1550606	
6.4098	0.6202757	0.4617418	-0.08707853	0.1571084	
6.41	0.6202757	0.4617418	-0.08707868	0.1571084	
6.4102	0.6202757	0.4617418	-0.08707882	0.1571084	
6.4104	0.6202757	0.4617418	-0.08707897	0.1571084	
6.4106	0.6202757	0.4617418	-0.08707911	0.1571084	
6.4108	0.6204752	0.4617924	-0.08707926	0.1606364	
6.411	0.6204752	0.4617924	-0.0870794	0.1606364	
6.4112	0.6204752	0.4617924	-0.08707955	0.1606364	
6.4114	0.6204752	0.4617924	-0.08707969	0.1606364	
6.4116	0.6204752	0.4617924	-0.08707983	0.1606364	
6.4118	0.6206892	0.4618454	-0.08707997	0.1653984	
6.412	0.6206892	0.4618454	-0.08708012	0.1653984	
6.4122	0.6206892	0.4618454	-0.08708026	0.1653984	
6.4124	0.6206892	0.4618454	-0.0870804	0.1653984	
6.4126	0.6206892	0.4618454	-0.08708055	0.1653984	
6.4128	0.6209151	0.4619005	-0.08708069	0.1711943	
6.413	0.6209151	0.4619005	-0.08708082	0.1711943	
6.4132	0.6209151	0.4619005	-0.08708096	0.1711943	
6.4134	0.6209151	0.4619005	-0.0870811	0.1711943	
6.4136	0.6209151	0.4619005	-0.08708125	0.1711943	
6.4138	0.6211497	0.4619571	-0.08708138	0.1777655	
6.414	0.6211497	0.4619571	-0.08708152	0.1777655	
6.4142	0.6211497	0.4619571	-0.08708166	0.1777655	
6.4144	0.6211497	0.4619571	-0.0870818	0.1777655	
6.4146	0.6211497	0.4619571	-0.08708194	0.1777655	
6.4148	0.6213917	0.4620149	-0.08708207	0.1849141	
6.415	0.6213917	0.4620149	-0.08708221	0.1849141	
6.4152	0.6213917	0.4620149	-0.08708235	0.1849141	
6.4154	0.6213917	0.4620149	-0.08708248	0.1849141	
6.4156	0.6213917	0.4620149	-0.08708262	0.1849141	
6.4158	0.621638	0.4620734	-0.08708275	0.1924134	
6.416	0.621638	0.4620734	-0.08708289	0.1924134	
6.4162	0.621638	0.4620734	-0.08708302	0.1924134	
6.4164	0.621638	0.4620734	-0.08708315	0.1924134	
6.4166	0.621638	0.4620734	-0.08708329	0.1924134	
6.4168	0.6218879	0.4621323	-0.08708342	0.2001126	
6.417	0.6218879	0.4621323	-0.08708356	0.2001126	
6.4172	0.6218879	0.4621323	-0.08708369	0.2001126	
6.4174	0.6218879	0.4621323	-0.08708382	0.2001126	
6.4176	0.6218879	0.4621323	-0.08708395	0.2001126	
6.4178	0.6221379	0.4621913	-0.08708408	0.2078166	
6.418	0.6221379	0.4621913	-0.08708421	0.2078166	
6.4182	0.6221379	0.4621913	-0.08708435	0.2078166	
6.4184	0.6221379	0.4621913	-0.08708447	0.2078166	
6.4186	0.6221379	0.4621913	-0.08708461	0.2078166	
6.4188	0.6220653	0.4621913	-0.08708473	0.1859976	
6.419	0.6220653	0.4621913	-0.08708487	0.1859976	
6.4192	0.6220653	0.4621913	-0.08708499	0.1859976	
6.4194	0.6220653	0.4621913	-0.08708512	0.1859976	
6.4196	0.6220653	0.4621913	-0.08708525	0.1859976	
6.4198	0.6220306	0.4621981	-0.08708537	0.1677464	
6.42	0.6220306	0.4621981	-0.08708551	0.1677464	
6.4202	0.6220306	0.4621981	-0.08708563	0.1677464	
6.4204	0.6220306	0.4621981	-0.08708576	0.1677464	
6.4206	0.6220306	0.4621981	-0.08708588	0.1677464	
6.4208	0.622035	0.4622117	-0.08708601	0.1530003	
6.421	0.622035	0.4622117	-0.08708613	0.1530003	
6.4212	0.622035	0.4622117	-0.08708626	0.1530003	
6.4214	0.622035	0.4622117	-0.08708639	0.1530003	
6.4216	0.622035	0.4622117	-0.08708651	0.1530003	
6.4218	0.6220758	0.4622319	-0.08708663	0.1416374	
6.422	0.6220758	0.4622319	-0.08708676	0.1416374	
