Time	Hinge	Fy	Tz	
0.485	0	0	0	
0.486	0	0	0	
0.487	0	0	0	
0.488	0	0	0	
0.489	0	0	0	
0.49	0	0	0	
0.491	0	0	0	
0.492	0	0	0	
0.493	0	0	0	
0.494	0	0	0	
0.495	0	0	0	
0.496	0	0	0	
0.497	0	0	0	
0.498	0	0	0	
0.499	0	0	0	
0.5	0	0	0	
0.501	0	0.01886772	0.4	
0.502	-9.574676E-07	-0.0007119887	0.4	
0.503	-2.873401E-06	-0.0008631237	0.4	
0.504	-5.747802E-06	-0.0008238293	0.4	
0.505	-9.580669E-06	-0.000784602	0.4	
0.506	-1.4372E-05	-0.0007472262	0.4	
0.507	-2.01218E-05	-0.0007116199	0.4	
0.508	-2.683007E-05	-0.0006777197	0.4	
0.509	-3.449681E-05	-0.0006454326	0.4	
0.5100001	-4.312201E-05	-0.0006146766	0.4	
0.511	-5.270567E-05	-0.0005853996	0.4	
0.512	-6.324781E-05	-0.0005575083	0.4	
0.513	-7.474842E-05	-0.0005309507	0.4	
0.514	-8.720748E-05	-0.0005056523	0.4	
0.515	-0.000100625	-0.0004815608	0.4	
0.516	-0.000115001	-0.0004586205	0.4	
0.517	-0.0001303355	-0.0004367717	0.4	
0.518	-0.0001466284	-0.0004159622	0.4	
0.5190001	-0.0001638798	-0.0003961436	0.4	
0.52	-0.0001820897	-0.000377275	0.4	
0.521	-0.000201258	-0.0003592931	0.4	
0.522	-0.0002213848	-0.0003421828	0.4	
0.523	-0.0002424701	-0.0003258772	0.4	
0.524	-0.0002645138	-0.0003103539	0.4	
0.525	-0.000287516	-0.0002955645	0.4	
0.526	-0.0003114767	-0.0002814829	0.4	
0.527	-0.0003363958	-0.0002680793	0.4	
0.528	-0.0003622734	-0.0002553016	0.4	
0.529	-0.0003891095	-0.0002431422	0.4	
0.53	-0.000416904	-0.0002315566	0.4	
0.531	-0.000445657	-0.0002205297	0.4	
0.532	-0.0004753685	-0.000210017	0.4	
0.5330001	-0.0005060384	-0.0002000108	0.4	
0.534	-0.0005376668	-0.0001904853	0.4	
0.535	-0.0005702536	-0.0001814105	0.4	
0.536	-0.000603799	-0.0001727641	0.3999999	
0.537	-0.0006383028	-0.0001645386	0.3999999	
0.538	-0.000673765	-0.0001566969	0.3999999	
0.539	-0.0007101857	-0.0001492277	0.3999999	
0.54	-0.0007475649	-0.0001421273	0.3999999	
0.541	-0.0007859026	-0.0001353472	0.3999999	
0.5420001	-0.0008251987	-0.0001289025	0.3999999	
0.543	-0.0008654532	-0.0001227632	0.3999999	
0.544	-0.0009066663	-0.0001169108	0.3999999	
0.545	-0.0009488378	-0.0001113452	0.3999999	
0.546	-0.0009919677	-0.0001060404	0.3999999	
0.5470001	-0.001036056	-0.0001009852	0.3999999	
0.548	-0.001081103	-9.617582E-05	0.3999999	
0.549	-0.001127108	-9.159371E-05	0.3999999	
0.55	-0.001174072	-8.722767E-05	0.3999999	
0.551	-0.001221995	-8.307397E-05	0.3999999	
0.552	-0.001270875	-7.911772E-05	0.3999998	
0.553	-0.001320715	-7.534772E-05	0.3999998	
0.554	-0.001371512	-7.175654E-05	0.3999998	
0.555	-0.001423268	-6.833673E-05	0.3999998	
0.5560001	-0.001475983	-6.508455E-05	0.3999998	
0.557	-0.001529656	-6.198138E-05	0.3999998	
0.558	-0.001584288	-5.902722E-05	0.3999997	
0.559	-0.001639878	-5.622208E-05	0.3999997	
0.56	-0.001696426	-5.353987E-05	0.3999997	
