Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0.222	-1.268523	1.788475	0	0	18.03532	1.200367	2	2	2.022691	0	0	
0.223	-1.271883	1.759299	0	0	17.8177	1.20386	2	2	2.017742	0	0	
0.224	-1.275183	1.739196	0	0	17.59985	1.207312	2	2	2.012881	0	0	
0.225	-1.278424	1.727579	0	0	17.38209	1.210722	2	2	2.008107	0	0	
0.226	-1.281607	1.723743	0	0	17.16493	1.21409	2	2	2.003419	0	0	
0.227	-1.284732	1.727195	0	0	16.94859	1.217415	2	2	1.998815	0	0	
0.228	-1.287802	1.737294	0	0	16.73341	1.220698	2	2	1.994295	0	0	
0.229	-1.290815	1.753555	0	0	16.51968	1.223938	2	2	1.989856	0	0	
0.23	-1.293774	1.775415	0	0	16.30768	1.227135	2	2	1.985499	0	0	
0.231	-1.296679	1.80242	0	0	16.09764	1.230289	2	2	1.981222	0	0	
0.232	-1.299531	1.834182	0	0	15.88972	1.233399	2	2	1.977023	0	0	
0.233	-1.30233	1.870135	0	0	15.68424	1.236467	2	2	1.972901	0	0	
0.234	-1.305079	1.909928	0	0	15.48128	1.239491	2	2	1.968856	0	0	
0.235	-1.307776	1.953262	0	0	15.28098	1.242472	2	2	1.964884	0	0	
0.236	-1.310424	1.999595	0	0	15.08368	1.245411	2	2	1.960987	0	0	
0.237	-1.313024	2.048858	0	0	14.88911	1.248307	2	2	1.957161	0	0	
0.238	-1.315575	2.100522	0	0	14.69771	1.25116	2	2	1.953407	0	0	
0.239	-1.318079	2.154331	0	0	14.50949	1.253971	2	2	1.949722	0	0	
0.24	-1.320537	2.210108	0	0	14.32446	1.256741	2	2	1.946105	0	0	
0.241	-1.32295	2.267504	0	0	14.14275	1.259469	2	2	1.942555	0	0	
0.242	-1.325318	2.326368	0	0	13.96429	1.262155	2	2	1.939072	0	0	
0.243	-1.327642	2.386357	0	0	13.78931	1.264802	2	2	1.935652	0	0	
0.244	-1.329923	2.447398	0	0	13.61765	1.267407	2	2	1.932297	0	0	
0.245	-1.332163	2.509226	0	0	13.44943	1.269973	2	2	1.929003	0	0	
0.246	-1.334361	2.571732	0	0	13.28463	1.272499	2	2	1.925771	0	0	
0.247	-1.336518	2.634713	0	0	13.12323	1.274986	2	2	1.922598	0	0	
0.248	-1.338636	2.698084	0	0	12.9652	1.277434	2	2	1.919484	0	0	
0.249	-1.340715	2.761633	0	0	12.8106	1.279845	2	2	1.916428	0	0	
0.25	-1.342756	2.825212	0	0	12.65943	1.282217	2	2	1.913427	0	0	
0.251	-1.344759	2.888828	0	0	12.5116	1.284552	2	2	1.910483	0	0	
0.252	-1.346726	2.952289	0	0	12.36708	1.28685	2	2	1.907592	0	0	
0.253	-1.348657	3.015572	0	0	12.22584	1.289112	2	2	1.904755	0	0	
0.254	-1.350552	3.078506	0	0	12.08786	1.291338	2	2	1.901969	0	0	
0.255	-1.352413	3.141073	0	0	11.95312	1.293529	2	2	1.899235	0	0	
0.256	-1.35424	3.20318	0	0	11.82154	1.295685	2	2	1.89655	0	0	
0.257	-1.356034	3.264756	0	0	11.69312	1.297807	2	2	1.893915	0	0	
0.258	-1.357795	3.325788	0	0	11.56774	1.299895	2	2	1.891328	0	0	
0.259	-1.359525	3.386143	0	0	11.44545	1.301949	2	2	1.888787	0	0	
0.26	-1.361223	3.445893	0	0	11.3261	1.303971	2	2	1.886293	0	0	
0.261	-1.362891	3.504925	0	0	11.2097	1.30596	2	2	1.883844	0	0	
0.262	-1.364529	3.563217	0	0	11.09612	1.307918	2	2	1.881439	0	0	
0.263	-1.366137	3.620783	0	0	10.98534	1.309844	2	2	1.879078	0	0	
0.264	-1.367717	3.677559	0	0	10.87731	1.311739	2	2	1.876759	0	0	
0.265	-1.369268	3.733503	0	0	10.77202	1.313604	2	2	1.874481	0	0	
0.266	-1.370792	3.788629	0	0	10.66935	1.315439	2	2	1.872245	0	0	
0.267	-1.372289	3.842945	0	0	10.56921	1.317245	2	2	1.870048	0	0	
0.268	-1.373759	3.896405	0	0	10.47161	1.319022	2	2	1.867891	0	0	
0.269	-1.375203	3.94902	0	0	10.37648	1.32077	2	2	1.865772	0	0	
0.27	-1.376621	4.000746	0	0	10.28374	1.32249	2	2	1.86369	0	0	
0.271	-1.378015	4.051635	0	0	10.19336	1.324182	2	2	1.861646	0	0	
0.272	-1.379384	4.101644	0	0	10.10527	1.325848	2	2	1.859637	0	0	
0.273	-1.380729	4.15079	0	0	10.01939	1.327487	2	2	1.857664	0	0	
0.274	-1.382051	4.199056	0	0	9.93574	1.329099	2	2	1.855726	0	0	
0.275	-1.383349	4.246459	0	0	9.854172	1.330686	2	2	1.853822	0	0	
0.276	-1.384625	4.293015	0	0	9.77469	1.332247	2	2	1.851951	0	0	
0.277	-1.385879	4.338745	0	0	9.697201	1.333783	2	2	1.850112	0	0	
0.278	-1.387111	4.383616	0	0	9.621686	1.335295	2	2	1.848306	0	0	
0.279	-1.388322	4.427625	0	0	9.548124	1.336783	2	2	1.846531	0	0	
0.28	-1.389512	4.470819	0	0	9.476386	1.338247	2	2	1.844787	0	0	
0.281	-1.390681	4.513178	0	0	9.40649	1.339687	2	2	1.843073	0	0	
0.282	-1.391831	4.554753	0	0	9.33833	1.341105	2	2	1.841388	0	0	
0.283	-1.39296	4.595533	0	0	9.271886	1.3425	2	2	1.839733	0	0	
0.284	-1.394071	4.635523	0	0	9.207119	1.343873	2	2	1.838105	0	0	
0.285	-1.395162	4.674724	0	0	9.143985	1.345224	2	2	1.836506	0	0	
0.286	-1.396235	4.713154	0	0	9.082439	1.346554	2	2	1.834934	0	0	
0.287	-1.39729	4.750854	0	0	9.022427	1.347863	2	2	1.833389	0	0	
0.288	-1.398327	4.7878	0	0	8.963897	1.349151	2	2	1.83187	0	0	
0.289	-1.399347	4.824043	0	0	8.906823	1.350418	2	2	1.830377	0	0	
0.29	-1.400349	4.859581	0	0	8.851147	1.351666	2	2	1.828909	0	0	
0.291	-1.401334	4.894403	0	0	8.796842	1.352893	2	2	1.827466	0	0	
0.292	-1.402303	4.928555	0	0	8.743879	1.354102	2	2	1.826048	0	0	
0.293	-1.403256	4.962029	0	0	8.692205	1.355291	2	2	1.824653	0	0	
0.294	-1.404193	4.994821	0	0	8.641821	1.356462	2	2	1.823282	0	0	
0.295	-1.405114	5.026984	0	0	8.592645	1.357614	2	2	1.821934	0	0	
0.296	-1.406019	5.058498	0	0	8.544656	1.358748	2	2	1.820608	0	0	
0.297	-1.40691	5.089424	0	0	8.497842	1.359864	2	2	1.819304	0	0	
0.298	-1.407786	5.119705	0	0	8.452133	1.360963	2	2	1.818023	0	0	
0.299	-1.408647	5.149423	0	0	8.407516	1.362044	2	2	1.816762	0	0	
0.3	-1.409495	5.178542	0	0	8.36398	1.363108	2	2	1.815523	0	0	
0.301	-1.410328	5.207108	0	0	8.32144	1.364156	2	2	1.814304	0	0	
0.302	-1.411147	5.235097	0	0	8.279947	1.365187	2	2	1.813105	0	0	
0.303	-1.411953	5.262562	0	0	8.239411	1.366202	2	2	1.811926	0	0	
0.304	-1.412746	5.289487	0	0	8.199842	1.367201	2	2	1.810767	0	0	
0.305	-1.413526	5.315871	0	0	8.161176	1.368185	2	2	1.809626	0	0	
0.306	-1.414293	5.341767	0	0	8.1234	1.369153	2	2	1.808505	0	0	
0.307	-1.415047	5.367161	0	0	8.086512	1.370106	2	2	1.807401	0	0	
0.308	-1.41579	5.392039	0	0	8.050488	1.371044	2	2	1.806316	0	0	
0.309	-1.41652	5.416463	0	0	8.015276	1.371968	2	2	1.805249	0	0	
0.31	-1.417238	5.440406	0	0	7.980855	1.372877	2	2	1.804199	0	0	
0.311	-1.417945	5.463896	0	0	7.947233	1.373773	2	2	1.803166	0	0	
0.312	-1.41864	5.486936	0	0	7.91436	1.374654	2	2	1.80215	0	0	
0.313	-1.419324	5.509535	0	0	7.882229	1.375522	2	2	1.80115	0	0	
0.314	-1.419997	5.531713	0	0	7.850824	1.376376	2	2	1.800167	0	0	
0.315	-1.420659	5.553475	0	0	7.820105	1.377216	2	2	1.799199	0	0	
0.316	-1.42131	5.57482	0	0	7.790074	1.378044	2	2	1.798248	0	0	
0.317	-1.421951	5.595766	0	0	7.760687	1.378859	2	2	1.797311	0	0	
