Time	A1	A2	A3	A4	A5	A6	
0.498	0.0254783	0.002091384	1.156717E-06	1.164168E-06	0.002104858	0.02564239	
0.5	0.0254486	0.002088946	1.155369E-06	1.162811E-06	0.002102405	0.0256125	
0.502	0.02541886	0.002086504	1.154018E-06	1.161452E-06	0.002099947	0.02558256	
0.504	0.02538907	0.002084059	1.152666E-06	1.16009E-06	0.002097486	0.02555258	
0.506	0.02535924	0.002081611	1.151312E-06	1.158727E-06	0.002095022	0.02552256	
0.508	0.02532937	0.002079159	1.149956E-06	1.157363E-06	0.002092554	0.02549249	
0.5100001	0.02529946	0.002076704	1.148598E-06	1.155996E-06	0.002090083	0.0254624	
0.512	0.02526951	0.002074246	1.147238E-06	1.154628E-06	0.002087609	0.02543226	
0.514	0.02523953	0.002071785	1.145877E-06	1.153258E-06	0.002085133	0.02540208	
0.516	0.02520952	0.002069321	1.144514E-06	1.151886E-06	0.002082653	0.02537187	
0.518	0.02517947	0.002066855	1.14315E-06	1.150514E-06	0.002080171	0.02534163	
0.52	0.02514939	0.002064386	1.141784E-06	1.149139E-06	0.002077686	0.02531136	
0.522	0.02511928	0.002061914	1.140418E-06	1.147763E-06	0.002075199	0.02528106	
0.524	0.02508914	0.002059441	1.13905E-06	1.146386E-06	0.002072709	0.02525073	
0.526	0.02505898	0.002056965	1.13768E-06	1.145008E-06	0.002070217	0.02522037	
0.528	0.0250288	0.002054487	1.13631E-06	1.143629E-06	0.002067723	0.02518999	
0.53	0.02499858	0.002052007	1.134938E-06	1.142248E-06	0.002065227	0.02515958	
0.532	0.02496835	0.002049525	1.133565E-06	1.140867E-06	0.002062729	0.02512915	
0.534	0.02493809	0.002047041	1.132192E-06	1.139484E-06	0.00206023	0.0250987	
0.536	0.02490782	0.002044556	1.130817E-06	1.138101E-06	0.002057729	0.02506823	
0.538	0.02487752	0.00204207	1.129442E-06	1.136717E-06	0.002055226	0.02503774	
0.54	0.02484721	0.002039582	1.128066E-06	1.135332E-06	0.002052722	0.02500723	
0.5420001	0.02481689	0.002037092	1.126689E-06	1.133946E-06	0.002050217	0.02497671	
0.544	0.02478654	0.002034601	1.125311E-06	1.132559E-06	0.00204771	0.02494617	
0.546	0.02475619	0.00203211	1.123933E-06	1.131172E-06	0.002045202	0.02491562	
0.548	0.02472581	0.002029617	1.122554E-06	1.129785E-06	0.002042693	0.02488506	
0.55	0.02469543	0.002027123	1.121175E-06	1.128397E-06	0.002040183	0.02485448	
0.552	0.02466504	0.002024628	1.119795E-06	1.127008E-06	0.002037672	0.02482389	
0.554	0.02463464	0.002022132	1.118415E-06	1.125619E-06	0.00203516	0.02479329	
0.5560001	0.02460423	0.002019636	1.117034E-06	1.124229E-06	0.002032648	0.02476269	
0.558	0.02457381	0.002017139	1.115653E-06	1.122839E-06	0.002030135	0.02473207	
0.56	0.02454338	0.002014642	1.114272E-06	1.121449E-06	0.002027621	0.02470145	
0.562	0.02451295	0.002012144	1.11289E-06	1.120058E-06	0.002025107	0.02467082	
