Time	1Vm	2Vm	
0.047	-0.05743897	-0.06457055	
0.0472	-0.05767848	-0.06469083	
0.0474	-0.0577611	-0.06480417	
0.0476	-0.05784952	-0.06459302	
0.0478	-0.05781697	-0.06439552	
0.048	-0.05798529	-0.06447118	
0.0482	-0.0581261	-0.06447888	
0.0484	-0.05793663	-0.06437601	
0.0486	-0.05787162	-0.06417546	
0.0488	-0.05766848	-0.06410908	
0.049	-0.05783793	-0.06420443	
0.0492	-0.05768764	-0.06435285	
0.0494	-0.05758236	-0.06452806	
0.0496	-0.05738242	-0.06446335	
0.0498	-0.05721949	-0.06453462	
0.05	-0.0571321	-0.06450117	
0.0502	-0.05718245	-0.06434227	
0.0504	-0.05720787	-0.06446977	
0.0506	-0.05709267	-0.06427793	
0.0508	-0.05721471	-0.06409228	
0.051	-0.05723387	-0.06394292	
0.0512	-0.05728697	-0.06399266	
0.0514	-0.05718952	-0.06387759	
0.0516	-0.05713052	-0.06387154	
0.0518	-0.05718677	-0.06380387	
0.052	-0.05704487	-0.06393756	
0.0522	-0.05680238	-0.06381043	
0.0524	-0.05661156	-0.06365261	
0.0526	-0.05661027	-0.063796	
0.0528	-0.05644298	-0.06392385	
0.053	-0.05652596	-0.06402382	
0.0532	-0.05631077	-0.06405153	
0.0534	-0.05609762	-0.06405094	
0.0536	-0.05590614	-0.06386622	
0.0538	-0.05566172	-0.06366145	
0.054	-0.05575541	-0.06354322	
0.0542	-0.05588223	-0.06349541	
0.0544	-0.05574792	-0.06353895	
0.0546	-0.05571218	-0.06348535	
0.0548	-0.05556078	-0.06343929	
0.055	-0.05547015	-0.06340224	
0.0552	-0.05554898	-0.06356805	
0.0554	-0.05559012	-0.06348882	
0.0556	-0.05544195	-0.06368423	
0.0558	-0.05549051	-0.063822	
0.056	-0.05537017	-0.06385009	
0.0562	-0.05536346	-0.06363902	
0.0564	-0.05577846	-0.06370506	
0.0566	-0.05637911	-0.0638367	
0.0568	-0.05665124	-0.06396884	
0.057	-0.05715467	-0.06386688	
0.0572	-0.05749854	-0.06388403	
0.0574	-0.05761066	-0.06396976	
0.0576	-0.05792458	-0.06391737	
0.0578	-0.0581941	-0.064008	
0.058	-0.05860095	-0.06383837	
0.0582	-0.05876249	-0.06359856	
0.0584	-0.05913953	-0.06351309	
0.0586	-0.05922244	-0.06365929	
0.0588	-0.05932347	-0.06379549	
0.059	-0.05938375	-0.06377	
0.0592	-0.05932701	-0.06376525	
0.0594	-0.05926287	-0.0635049	
0.0596	-0.05932388	-0.06346152	
0.0598	-0.05943574	-0.06334005	
0.06	-0.05956725	-0.06349596	
0.0602	-0.05949685	-0.06343921	
0.0604	-0.05971719	-0.06330253	
0.0606	-0.05969813	-0.06329125	
0.0608	-0.05961116	-0.06325703	
0.061	-0.05966657	-0.06334557	
0.0612	-0.05991508	-0.06323659	
0.0614	-0.06000818	-0.06332606	
0.0616	-0.05986609	-0.06333215	
0.0618	-0.05975607	-0.06321164	
0.062	-0.05967683	-0.06309818	
0.0622	-0.05977001	-0.06321898	
0.0624	-0.05971094	-0.06313244	
