Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.149	-1.650821	-6.802657	0.0003361949	0.2380719	
0.15	-1.664285	-6.799382	0.0003389368	0.2400516	
0.151	-1.677744	-6.79608	0.0003416778	0.2420315	
0.152	-1.691199	-6.79275	0.000344418	0.2440118	
0.153	-1.704649	-6.789394	0.0003471572	0.2459925	
0.154	-1.718095	-6.78601	0.0003498955	0.2479734	
0.155	-1.731536	-6.782599	0.0003526328	0.2499546	
0.156	-1.744972	-6.77916	0.0003553691	0.2519361	
0.157	-1.758403	-6.775695	0.0003581044	0.2539178	
0.158	-1.771829	-6.772203	0.0003608385	0.2558998	
0.159	-1.785249	-6.768683	0.0003635717	0.2578821	
0.16	-1.798664	-6.765137	0.0003663036	0.2598645	
0.161	-1.812074	-6.761563	0.0003690345	0.2618472	
0.162	-1.825477	-6.757963	0.0003717642	0.2638301	
0.163	-1.838875	-6.754335	0.0003744927	0.2658131	
0.164	-1.852267	-6.750681	0.00037722	0.2677964	
0.165	-1.865653	-6.747	0.000379946	0.2697799	
0.166	-1.879032	-6.743291	0.0003826708	0.2717635	
0.167	-1.892405	-6.739556	0.0003853943	0.2737473	
0.168	-1.905772	-6.735795	0.0003881165	0.2757312	
0.169	-1.919133	-6.732006	0.0003908374	0.2777153	
0.17	-1.932486	-6.72819	0.0003935569	0.2796995	
0.171	-1.945833	-6.724348	0.000396275	0.2816839	
0.172	-1.959173	-6.720479	0.0003989918	0.2836683	
0.173	-1.972507	-6.716583	0.0004017072	0.2856529	
0.174	-1.985833	-6.71266	0.0004044211	0.2876376	
0.175	-1.999152	-6.708711	0.0004071335	0.2896224	
0.176	-2.012464	-6.704735	0.0004098446	0.2916073	
0.177	-2.025768	-6.700733	0.0004125541	0.2935923	
0.178	-2.039065	-6.696704	0.0004152621	0.2955774	
0.179	-2.052355	-6.692648	0.0004179685	0.2975626	
0.18	-2.065637	-6.688566	0.0004206735	0.2995478	
0.181	-2.078911	-6.684458	0.0004233768	0.3015331	
0.182	-2.092178	-6.680323	0.0004260786	0.3035185	
0.183	-2.105437	-6.676161	0.0004287788	0.3055039	
0.184	-2.118688	-6.671973	0.0004314774	0.3074894	
0.185	-2.13193	-6.667758	0.0004341743	0.3094749	
0.186	-2.145165	-6.663517	0.0004368696	0.3114605	
0.187	-2.158391	-6.65925	0.0004395632	0.3134462	
0.188	-2.17161	-6.654956	0.0004422552	0.3154318	
0.189	-2.18482	-6.650637	0.0004449454	0.3174175	
