Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.13	0.08340045	-6.999503	-1.698158E-05	-0.01191464	
0.131	0.08469084	-6.999488	-1.724467E-05	-0.01209899	
0.132	0.08599108	-6.999472	-1.750977E-05	-0.01228475	
0.133	0.08730115	-6.999456	-1.777687E-05	-0.01247192	
0.134	0.08862107	-6.999439	-1.804595E-05	-0.0126605	
0.135	0.08995081	-6.999422	-1.831702E-05	-0.01285047	
0.136	0.09129041	-6.999405	-1.858813E-05	-0.01304186	
0.137	0.09263983	-6.999387	-1.886313E-05	-0.01323465	
0.138	0.09399908	-6.999369	-1.91402E-05	-0.01342885	
0.139	0.09536816	-6.999351	-1.94193E-05	-0.01362445	
0.14	0.09674707	-6.999332	-1.970041E-05	-0.01382145	
0.141	0.09813581	-6.999313	-1.998155E-05	-0.01401986	
0.142	0.09953436	-6.999293	-2.02666E-05	-0.01421968	
0.143	0.1009427	-6.999273	-2.055372E-05	-0.01442089	
0.144	0.1023609	-6.999252	-2.084288E-05	-0.01462351	
0.145	0.103789	-6.999231	-2.113404E-05	-0.01482754	
0.146	0.1052268	-6.99921	-2.142719E-05	-0.01503297	
0.147	0.1066744	-6.999188	-2.172233E-05	-0.0152398	
0.148	0.1081319	-6.999166	-2.201944E-05	-0.01544803	
0.149	0.1095991	-6.999143	-2.231852E-05	-0.01565766	
0.15	0.1110762	-6.999119	-2.261956E-05	-0.0158687	
0.151	0.1125631	-6.999095	-2.292064E-05	-0.01608113	
0.152	0.1140597	-6.999071	-2.322561E-05	-0.01629497	
0.153	0.1155662	-6.999046	-2.353264E-05	-0.01651021	
0.154	0.1170825	-6.999021	-2.384169E-05	-0.01672685	
0.155	0.1186085	-6.998995	-2.415274E-05	-0.01694489	
0.156	0.1201444	-6.998969	-2.446578E-05	-0.01716433	
0.157	0.12169	-6.998942	-2.477885E-05	-0.01738516	
0.158	0.1232455	-6.998915	-2.509582E-05	-0.01760741	
0.159	0.1248107	-6.998888	-2.541484E-05	-0.01783104	
0.16	0.1263857	-6.998859	-2.57359E-05	-0.01805608	
0.161	0.1279705	-6.998831	-2.605895E-05	-0.01828251	
0.162	0.129565	-6.998801	-2.638399E-05	-0.01851034	
0.163	0.1311694	-6.998772	-2.671101E-05	-0.01873957	
0.164	0.1327835	-6.998741	-2.703999E-05	-0.0189702	
0.165	0.1344073	-6.99871	-2.737094E-05	-0.01920223	
0.166	0.136041	-6.998679	-2.770385E-05	-0.01943565	
0.167	0.1376844	-6.998647	-2.803678E-05	-0.01967047	
0.168	0.1393375	-6.998614	-2.837361E-05	-0.01990668	
0.169	0.1410005	-6.99858	-2.871248E-05	-0.02014429	
0.17	0.1426731	-6.998547	-2.905337E-05	-0.02038329	
0.171	0.1443556	-6.998512	-2.939626E-05	-0.02062369	
0.172	0.1460478	-6.998477	-2.974113E-05	-0.02086548	
0.173	0.1477497	-6.998441	-3.008798E-05	-0.02110867	
0.174	0.1494614	-6.998405	-3.043679E-05	-0.02135326	
0.175	0.1511828	-6.998368	-3.078757E-05	-0.02159923	
0.176	0.152914	-6.998331	-3.113836E-05	-0.0218466	
0.177	0.1546549	-6.998292	-3.149304E-05	-0.02209535	
0.178	0.1564056	-6.998253	-3.184978E-05	-0.02234551	
0.179	0.1581659	-6.998214	-3.220853E-05	-0.02259706	
