Time	Length	Ia	II	
3.04	0.50998	56.85035	164.9872	
3.041	0.50998	56.84844	164.9879	
3.042	0.50998	56.84653	164.9885	
3.043	0.50998	56.84464	164.9891	
3.044	0.50998	56.84275	164.9897	
3.045	0.50998	56.84087	164.9903	
3.046	0.50998	56.83899	164.991	
3.047	0.50998	56.83712	164.9916	
3.048	0.50998	56.83527	164.9922	
3.049	0.50998	56.83342	164.9928	
3.05	0.50998	56.83157	164.9934	
3.051	0.50998	56.82973	164.994	
3.052	0.50998	56.8279	164.9946	
3.053	0.50998	56.82608	164.9952	
3.054	0.50998	56.82426	164.9958	
3.055	0.50998	56.82246	164.9964	
3.056	0.50998	56.82065	164.997	
3.057	0.50998	56.81886	164.9975	
3.058	0.50998	56.81708	164.9981	
3.059	0.50998	56.81529	164.9987	
3.06	0.50998	56.81352	164.9993	
3.061	0.50998	56.81176	164.9999	
3.062	0.50998	56.81	165.0004	
3.063	0.50998	56.80825	165.001	
3.064	0.50998	56.8065	165.0016	
3.065	0.50998	56.80477	165.0022	
3.066	0.50998	56.80304	165.0027	
3.067	0.50998	56.80132	165.0033	
3.068	0.50998	56.7996	165.0038	
3.069	0.50998	56.79789	165.0044	
3.07	0.50998	56.79618	165.005	
3.071	0.50998	56.79449	165.0055	
3.072	0.50998	56.7928	165.0061	
3.073	0.50998	56.79112	165.0066	
3.074	0.50998	56.78944	165.0072	
3.075	0.50998	56.78778	165.0077	
3.076	0.50998	56.78611	165.0083	
3.077	0.50998	56.78446	165.0088	
3.078	0.50998	56.78281	165.0094	
3.079	0.50998	56.78117	165.0099	
3.08	0.50998	56.77953	165.0104	
3.081	0.50998	56.7779	165.0109	
3.082	0.50998	56.77628	165.0115	
3.083	0.50998	56.77467	165.012	
3.084	0.50998	56.77305	165.0125	
3.085	0.50998	56.77145	165.0131	
3.086	0.50998	56.76986	165.0136	
3.087	0.50998	56.76826	165.0141	
3.088	0.50998	56.76668	165.0146	
3.089	0.50998	56.7651	165.0151	
3.09	0.50998	56.76353	165.0157	
3.091	0.50998	56.76197	165.0162	
3.092	0.50998	56.76041	165.0167	
3.093	0.50998	56.75885	165.0172	
3.094	0.50998	56.75731	165.0177	
3.095	0.50998	56.75577	165.0182	
3.096	0.50998	56.75424	165.0187	
3.097	0.50998	56.75271	165.0192	
3.098	0.50998	56.75118	165.0197	
3.099	0.50998	56.74967	165.0202	
3.1	0.50998	56.74816	165.0207	
3.101	0.50998	56.74665	165.0212	
3.102	0.50998	56.74516	165.0217	
3.103	0.50998	56.74367	165.0222	
3.104	0.50998	56.74218	165.0226	
3.105	0.50998	56.7407	165.0231	
3.106	0.50998	56.73923	165.0236	
3.107	0.50998	56.73776	165.0241	
3.108	0.50998	56.7363	165.0246	
3.109	0.50998	56.73484	165.025	
3.11	0.50998	56.73339	165.0255	
3.111	0.50998	56.73195	165.026	
