Time	Length	Ia	II	
0.309	0.5	55.00001	162	
0.31	0.5	55.00001	162	
0.311	0.5	55.00001	162	
0.312	0.5	55.00001	162	
0.313	0.5	55.00001	162	
0.314	0.5	55.00001	162	
0.315	0.5	55.00001	162	
0.316	0.5	55.00001	162	
0.317	0.5	55.00001	162	
0.318	0.5	55.00001	162	
0.319	0.5	55.00001	162	
0.32	0.5	55.00001	162	
0.321	0.5	55.00001	162	
0.322	0.5	55.00001	162	
0.323	0.5	55.00001	162	
0.324	0.5	55.00001	162	
0.325	0.5	55.00001	162	
0.326	0.5	55.00001	162	
0.327	0.5	55.00001	162	
0.328	0.5	55.00001	162	
0.329	0.5	55.00001	162	
0.33	0.5	55.00001	162	
0.331	0.5	55.00001	162	
0.332	0.5	55.00001	162	
0.333	0.5	55.00001	162	
0.334	0.5	55.00001	162	
0.335	0.5	55.00001	162	
0.336	0.5	55.00001	162	
0.337	0.5	55.00001	162	
0.338	0.5	55.00001	162	
0.339	0.5	55.00001	162	
0.34	0.5	55.00001	162	
0.341	0.5	55.00001	162	
0.342	0.5	55.00001	162	
0.343	0.5	55.00001	162	
0.344	0.5	55.00001	162	
0.345	0.5	55.00001	162	
0.346	0.5	55.00001	162	
0.347	0.5	55.00001	162	
0.348	0.5	55.00001	162	
0.349	0.5	55.00001	162	
0.35	0.5	55.00001	162	
0.351	0.5	55.00001	162	
0.352	0.5	55.00001	162	
0.353	0.5	55.00001	162	
0.354	0.5	55.00001	162	
0.355	0.5	55.00001	162	
0.356	0.5	55.00001	162	
0.357	0.5	55.00001	162	
0.358	0.5	55.00001	162	
0.359	0.5	55.00001	162	
0.36	0.5	55.00001	162	
0.361	0.5	55.00001	162	
0.362	0.5	55.00001	162	
0.363	0.5	55.00001	162	
0.364	0.5	55.00001	162	
0.365	0.5	55.00001	162	
0.366	0.5	55.00001	162	
0.367	0.5	55.00001	162	
0.368	0.5	55.00001	162	
0.369	0.5	55.00001	162	
0.37	0.5	55.00001	162	
0.371	0.5	55.00001	162	
0.372	0.5	55.00001	162	
0.373	0.5	55.00001	162	
0.374	0.5	55.00001	162	
0.375	0.5	55.00001	162	
0.376	0.5	55.00001	162	
0.377	0.5	55.00001	162	
0.378	0.5	55.00001	162	
0.379	0.5	55.00001	162	
0.38	0.5	55.00001	162	
0.381	0.5	55.00001	162	
0.382	0.5	55.00001	162	
0.383	0.5	55.00001	162	
0.384	0.5	55.00001	162	
0.385	0.5	55.00001	162	
0.386	0.5	55.00001	162	
0.387	0.5	55.00001	162	
0.388	0.5	55.00001	162	
0.389	0.5	55.00001	162	
0.39	0.5	55.00001	162	
0.391	0.5	55.00001	162	
0.392	0.5	55.00001	162	
0.393	0.5	55.00001	162	
0.394	0.5	55.00001	162	
0.395	0.5	55.00001	162	
0.396	0.5	55.00001	162	
0.397	0.5	55.00001	162	
0.398	0.5	55.00001	162	
0.399	0.5	55.00001	162	
0.4	0.5	55.00001	162	
0.401	0.5	55.00001	162	
0.402	0.5	55.00001	162	
0.403	0.5	55.00001	162	
0.404	0.5	55.00001	162	
0.405	0.5	55.00001	162	
0.406	0.5	55.00001	162	
0.407	0.5	55.00001	162	
0.408	0.5	55.00001	162	
0.409	0.5	55.00001	162	
0.41	0.5	55.00001	162	
0.411	0.5	55.00001	162	
0.412	0.5	55.00001	162	
0.413	0.5	55.00001	162	
0.414	0.5	55.00001	162	
0.415	0.5	55.00001	162	
0.416	0.5	55.00001	162	
0.417	0.5	55.00001	162	
0.418	0.5	55.00001	162	
0.419	0.5	55.00001	162	
0.42	0.5	55.00001	162	
0.421	0.5	55.00001	162	
0.422	0.5	55.00001	162	
0.423	0.5	55.00001	162	
0.424	0.5	55.00001	162	
0.425	0.5	55.00001	162	
0.426	0.5	55.00001	162	
0.427	0.5	55.00001	162	
0.428	0.5	55.00001	162	
0.429	0.5	55.00001	162	
0.43	0.5	55.00001	162	
0.431	0.5	55.00001	162	
0.432	0.5	55.00001	162	
0.433	0.5	55.00001	162	
0.434	0.5	55.00001	162	
0.435	0.5	55.00001	162	
0.436	0.5	55.00001	162	
0.437	0.5	55.00001	162	
0.438	0.5	55.00001	162	
0.439	0.5	55.00001	162	
0.44	0.5	55.00001	162	
0.441	0.5	55.00001	162	
0.442	0.5	55.00001	162	
0.443	0.5	55.00001	162	
0.444	0.5	55.00001	162	
0.445	0.5	55.00001	162	
0.446	0.5	55.00001	162	
0.447	0.5	55.00001	162	
0.448	0.5	55.00001	162	
0.449	0.5	55.00001	162	
0.45	0.5	55.00001	162	
0.451	0.5	55.00001	162	
0.452	0.5	55.00001	162	
0.453	0.5	55.00001	162	
0.454	0.5	55.00001	162	
0.455	0.5	55.00001	162	
0.456	0.5	55.00001	162	
0.457	0.5	55.00001	162	
0.458	0.5	55.00001	162	
0.459	0.5	55.00001	162	
0.46	0.5	55.00001	162	
0.461	0.5	55.00001	162	
0.462	0.5	55.00001	162	
0.463	0.5	55.00001	162	
0.464	0.5	55.00001	162	
0.465	0.5	55.00001	162	
0.466	0.5	55.00001	162	
0.467	0.5	55.00001	162	
0.468	0.5	55.00001	162	
0.469	0.5	55.00001	162	
0.47	0.5	55.00001	162	
0.471	0.5	55.00001	162	
0.472	0.5	55.00001	162	
0.473	0.5	55.00001	162	
0.474	0.5	55.00001	162	
0.475	0.5	55.00001	162	
0.476	0.5	55.00001	162	
0.477	0.5	55.00001	162	
0.478	0.5	55.00001	162	
0.479	0.5	55.00001	162	
0.48	0.5	55.00001	162	
0.481	0.5	55.00001	162	
0.482	0.5	55.00001	162	
0.483	0.5	55.00001	162	
0.484	0.5	55.00001	162	
0.485	0.5	55.00001	162	
0.486	0.5	55.00001	162	
0.487	0.5	55.00001	162	
0.488	0.5	55.00001	162	
0.489	0.5	55.00001	162	
0.49	0.5	55.00001	162	
0.491	0.5	55.00001	162	
0.492	0.5	55.00001	162	
0.493	0.5	55.00001	162	
0.494	0.5	55.00001	162	
0.495	0.5	55.00001	162	
0.496	0.5	55.00001	162	
0.497	0.5	55.00001	162	
0.498	0.5	55.00001	162	
0.499	0.5	55.00001	162	
0.5	0.5	55.00001	162	
0.501	0.5	55.00001	162	
0.502	0.5	55.00001	162	
0.503	0.5	55.00001	162	
0.504	0.5	55.00001	162	
0.505	0.5	55.00001	162	
0.506	0.5	55.00001	162	
0.507	0.5	55.00001	162	
0.508	0.5	55.00001	162	
0.509	0.5	55.00001	162	
0.51	0.5	55.00001	162	
0.511	0.5	55.00001	162	
0.512	0.5	55.00001	162	
0.513	0.5	55.00001	162	
0.514	0.5	55.00001	162	
0.515	0.5	55.00001	162	
0.516	0.5	55.00001	162	
0.517	0.5	55.00001	162	
0.518	0.5	55.00001	162	
0.519	0.5	55.00001	162	
0.52	0.5	55.00001	162	
0.521	0.5	55.00001	162	
0.522	0.5	55.00001	162	
0.523	0.5	55.00001	162	
0.524	0.5	55.00001	162	
0.525	0.5	55.00001	162	
0.526	0.5	55.00001	162	
0.527	0.5	55.00001	162	
0.528	0.5	55.00001	162	
0.529	0.5	55.00001	162	
0.53	0.5	55.00001	162	
0.531	0.5	55.00001	162	
0.532	0.5	55.00001	162	
0.533	0.5	55.00001	162	
0.534	0.5	55.00001	162	
0.535	0.5	55.00001	162	
0.536	0.5	55.00001	162	
0.537	0.5	55.00001	162	
0.538	0.5	55.00001	162	
0.539	0.5	55.00001	162	
0.54	0.5	55.00001	162	
0.541	0.5	55.00001	162	
0.542	0.5	55.00001	162	
0.543	0.5	55.00001	162	
0.544	0.5	55.00001	162	
0.545	0.5	55.00001	162	
0.546	0.5	55.00001	162	
0.547	0.5	55.00001	162	
0.548	0.5	55.00001	162	
0.549	0.5	55.00001	162	
0.55	0.5	55.00001	162	
0.551	0.5	55.00001	162	
0.552	0.5	55.00001	162	
0.553	0.5	55.00001	162	
0.554	0.5	55.00001	162	
0.555	0.5	55.00001	162	
0.556	0.5	55.00001	162	
0.557	0.5	55.00001	162	
0.558	0.5	55.00001	162	
0.559	0.5	55.00001	162	
0.56	0.5	55.00001	162	
0.561	0.5	55.00001	162	
0.562	0.5	55.00001	162	
0.563	0.5	55.00001	162	
0.564	0.5	55.00001	162	
0.565	0.5	55.00001	162	
0.566	0.5	55.00001	162	
0.567	0.5	55.00001	162	
0.568	0.5	55.00001	162	
0.569	0.5	55.00001	162	
0.57	0.5	55.00001	162	
0.571	0.5	55.00001	162	
0.572	0.5	55.00001	162	
0.573	0.5	55.00001	162	
0.574	0.5	55.00001	162	
0.575	0.5	55.00001	162	
0.576	0.5	55.00001	162	
0.577	0.5	55.00001	162	
0.578	0.5	55.00001	162	
0.579	0.5	55.00001	162	
0.58	0.5	55.00001	162	
0.581	0.5	55.00001	162	
0.582	0.5	55.00001	162	
0.583	0.5	55.00001	162	
0.584	0.5	55.00001	162	
0.585	0.5	55.00001	162	
0.586	0.5	55.00001	162	
0.587	0.5	55.00001	162	
0.588	0.5	55.00001	162	
0.589	0.5	55.00001	162	
0.59	0.5	55.00001	162	
0.591	0.5	55.00001	162	
0.592	0.5	55.00001	162	
0.593	0.5	55.00001	162	
0.594	0.5	55.00001	162	
0.595	0.5	55.00001	162	
0.596	0.5	55.00001	162	
0.597	0.5	55.00001	162	
0.598	0.5	55.00001	162	
0.599	0.5	55.00001	162	
0.6	0.5	55.00001	162	
0.601	0.5	55.00001	162	
0.602	0.5	55.00001	162	
0.603	0.5	55.00001	162	
0.604	0.5	55.00001	162	
0.605	0.5	55.00001	162	
0.606	0.5	55.00001	162	
0.607	0.5	55.00001	162	
0.608	0.5	55.00001	162	
0.609	0.5	55.00001	162	
0.61	0.5	55.00001	162	
0.611	0.5	55.00001	162	
0.612	0.5	55.00001	162	
0.613	0.5	55.00001	162	
0.614	0.5	55.00001	162	
0.615	0.5	55.00001	162	
0.616	0.5	55.00001	162	
0.617	0.5	55.00001	162	
0.618	0.5	55.00001	162	
0.619	0.5	55.00001	162	
0.62	0.5	55.00001	162	
0.621	0.5	55.00001	162	
0.622	0.5	55.00001	162	
0.623	0.5	55.00001	162	
0.624	0.5	55.00001	162	
0.625	0.5	55.00001	162	
0.626	0.5	55.00001	162	
0.627	0.5	55.00001	162	
0.628	0.5	55.00001	162	
