Time	Child_Y	Joint_Y	Root_Y	
0.350999	2.393977	2.493977	0.3939774	
0.351999	2.390524	2.490524	0.3905242	
0.352999	2.387061	2.487061	0.3870613	
0.353999	2.383589	2.483589	0.3835886	
0.354999	2.380106	2.480106	0.380106	
0.355999	2.376614	2.476614	0.3766136	
0.356999	2.373111	2.473112	0.3731115	
0.3579989	2.3696	2.469599	0.3695995	
0.3589989	2.366078	2.466078	0.3660777	
0.3599989	2.362546	2.462546	0.3625461	
0.3609989	2.359005	2.459005	0.3590047	
0.3619989	2.355453	2.455454	0.3554535	
0.3629989	2.351892	2.451893	0.3518924	
0.3639989	2.348322	2.448322	0.3483216	
0.3649988	2.344741	2.444741	0.344741	
0.3659988	2.341151	2.44115	0.3411505	
0.3669988	2.33755	2.43755	0.3375502	
0.3679988	2.33394	2.43394	0.3339401	
0.3689988	2.33032	2.43032	0.3303202	
0.3699988	2.32669	2.426691	0.3266906	
0.3709988	2.323051	2.423051	0.323051	
0.3719988	2.319402	2.419402	0.3194017	
0.3729987	2.315742	2.415743	0.3157426	
0.3739987	2.312074	2.412074	0.3120736	
0.3749987	2.308395	2.408395	0.3083949	
0.3759987	2.304706	2.404706	0.3047063	
0.3769987	2.301008	2.401008	0.301008	
0.3779987	2.2973	2.3973	0.2972998	
0.3789987	2.293582	2.393582	0.2935818	
0.3799987	2.289854	2.389854	0.289854	
0.3809986	2.286116	2.386117	0.2861164	
0.3819986	2.282369	2.382369	0.282369	
0.3829986	2.278612	2.378612	0.2786117	
0.3839986	2.274845	2.374845	0.2748447	
0.3849986	2.271068	2.371068	0.2710678	
0.3859986	2.267281	2.367281	0.2672812	
0.3869986	2.263485	2.363485	0.2634847	
0.3879986	2.259679	2.359679	0.2596785	
0.3889985	2.255862	2.355862	0.2558623	
0.3899985	2.252037	2.352036	0.2520364	
0.3909985	2.248201	2.348201	0.2482007	
0.3919985	2.244355	2.344355	0.2443552	
0.3929985	2.2405	2.3405	0.2404999	
0.3939985	2.236635	2.336635	0.2366347	
0.3949985	2.23276	2.33276	0.2327598	
0.3959984	2.228875	2.328875	0.228875	
0.3969984	2.22498	2.32498	0.2249805	
0.3979984	2.221076	2.321076	0.2210761	
0.3989984	2.217162	2.317162	0.2171619	
0.3999984	2.213238	2.313238	0.2132379	
0.4009984	2.209304	2.309304	0.2093041	
0.4019984	2.20536	2.305361	0.2053604	
0.4029984	2.201407	2.301407	0.201407	
0.4039983	2.197444	2.297444	0.1974438	
0.4049983	2.193471	2.293471	0.1934707	
0.4059983	2.189488	2.289488	0.1894879	
0.4069983	2.185495	2.285495	0.1854952	
0.4079983	2.181493	2.281493	0.1814927	
0.4089983	2.17748	2.277481	0.1774804	
0.4099983	2.173458	2.273458	0.1734583	
0.4109983	2.169426	2.269426	0.1694264	
0.4119982	2.165385	2.265385	0.1653847	
0.4129982	2.161333	2.261333	0.1613332	
0.4139982	2.157272	2.257272	0.1572718	
0.4149982	2.153201	2.253201	0.1532007	
0.4159982	2.14912	2.24912	0.1491197	
0.4169982	2.145029	2.245029	0.1450289	
0.4179982	2.140928	2.240928	0.1409284	
0.4189982	2.136818	2.236818	0.136818	
0.4199981	2.132698	2.232698	0.1326978	
0.4209981	2.128568	2.228568	0.1285678	
