Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.0408	-0.07	0	-0.03934869	-0.5508644	-0.07	0	0.05676278	-0.348967	
0.0412	-0.07	0	-0.0391321	-0.5508799	-0.07	0	0.05689999	-0.3489446	
0.0416	-0.07	0	-0.03891334	-0.5508954	-0.07	0	0.05703855	-0.348922	
0.042	-0.07	0	-0.03869242	-0.5509109	-0.07	0	0.05717847	-0.3488991	
0.0424	-0.07	0	-0.03846934	-0.5509266	-0.07	0	0.05731975	-0.3488759	
0.0428	-0.07	0	-0.03824409	-0.5509422	-0.07	0	0.05746238	-0.3488525	
0.0432	-0.07	0	-0.03801669	-0.5509579	-0.07	0	0.05760637	-0.3488287	
0.0436	-0.07	0	-0.03778713	-0.5509738	-0.07	0	0.0577517	-0.3488047	
0.044	-0.07	0	-0.03755541	-0.5509896	-0.07	0	0.05789838	-0.3487804	
0.0444	-0.07	0	-0.03732153	-0.5510055	-0.07	0	0.05804643	-0.3487557	
0.0448	-0.07	0	-0.0370855	-0.5510214	-0.07	0	0.05819581	-0.3487308	
0.0452	-0.07	0	-0.0368473	-0.5510374	-0.07	0	0.05834655	-0.3487056	
0.0456	-0.07	0	-0.03660696	-0.5510534	-0.07	0	0.05849864	-0.3486801	
0.046	-0.07	0	-0.03636446	-0.5510694	-0.07	0	0.05865207	-0.3486544	
0.0464	-0.07	0	-0.03611981	-0.5510855	-0.07	0	0.05880685	-0.3486283	
0.0468	-0.07	0	-0.03587301	-0.5511016	-0.07	0	0.05896298	-0.3486019	
0.0472	-0.07	0	-0.03562405	-0.5511178	-0.07	0	0.05912045	-0.3485753	
0.0476	-0.07	0	-0.03537295	-0.551134	-0.07	0	0.05927926	-0.3485483	
0.048	-0.07	0	-0.03511969	-0.5511502	-0.07	0	0.05943942	-0.348521	
0.0484	-0.07	0	-0.03486429	-0.5511664	-0.07	0	0.05960091	-0.3484934	
0.0488	-0.07	0	-0.03460674	-0.5511826	-0.07	0	0.05976374	-0.3484655	
0.0492	-0.07	0	-0.03434704	-0.5511989	-0.07	0	0.05992792	-0.3484373	
0.0496	-0.07	0	-0.0340852	-0.5512151	-0.07	0	0.06009343	-0.3484088	
0.05	-0.07	0	-0.03382121	-0.5512313	-0.07	0	0.06026028	-0.34838	
0.0504	-0.07	0	-0.03355507	-0.5512476	-0.07	0	0.06042847	-0.3483509	
0.0508	-0.07	0	-0.0332868	-0.5512639	-0.07	0	0.06059799	-0.3483214	
0.0512	-0.07	0	-0.03301638	-0.5512802	-0.07	0	0.06076885	-0.3482916	
0.0516	-0.07	0	-0.03274382	-0.5512964	-0.07	0	0.06094104	-0.3482616	
0.052	-0.07	0	-0.03246913	-0.5513126	-0.07	0	0.06111456	-0.3482312	
0.0524	-0.07	0	-0.03219229	-0.5513289	-0.07	0	0.06128941	-0.3482004	
0.0528	-0.07	0	-0.03191332	-0.5513451	-0.07	0	0.06146559	-0.3481694	
0.0532	-0.07	0	-0.03163221	-0.5513613	-0.07	0	0.0616431	-0.348138	
0.0536	-0.07	0	-0.03134895	-0.5513775	-0.07	0	0.06182193	-0.3481062	
0.054	-0.07	0	-0.03106358	-0.5513936	-0.07	0	0.0620021	-0.3480742	
0.0544	-0.07	0	-0.03077606	-0.5514097	-0.07	0	0.06218359	-0.3480418	
0.0548	-0.07	0	-0.03048641	-0.5514258	-0.07	0	0.0623664	-0.3480091	
0.0552	-0.07	0	-0.03019463	-0.5514418	-0.07	0	0.06255053	-0.3479761	
0.0556	-0.07	0	-0.02990072	-0.5514579	-0.07	0	0.06273598	-0.3479427	
0.056	-0.07	0	-0.02960468	-0.5514739	-0.07	0	0.06292276	-0.3479089	
0.0564	-0.07	0	-0.02930652	-0.5514898	-0.07	0	0.06311085	-0.3478749	
0.0568	-0.07	0	-0.02900622	-0.5515057	-0.07	0	0.06330027	-0.3478405	
0.0572	-0.07	0	-0.0287038	-0.5515215	-0.07	0	0.06349099	-0.3478057	
0.0576	-0.07	0	-0.02839926	-0.5515372	-0.07	0	0.06368303	-0.3477706	
