Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.0272	-0.07	0	-0.04708562	-0.350404	-0.07	0	0.05291091	-0.3495718	
0.0276	-0.07	0	-0.04699479	-0.3504162	-0.07	0	0.05300152	-0.3495581	
0.028	-0.07	0	-0.04690257	-0.3504285	-0.07	0	0.05309352	-0.3495441	
0.0284	-0.07	0	-0.04680896	-0.350441	-0.07	0	0.05318689	-0.3495299	
0.0288	-0.07	0	-0.04671396	-0.3504537	-0.07	0	0.05328164	-0.3495154	
0.0292	-0.07	0	-0.04661756	-0.3504665	-0.07	0	0.05337777	-0.3495008	
0.0296	-0.07	0	-0.04651978	-0.3504795	-0.07	0	0.05347529	-0.3494859	
0.03	-0.07	0	-0.04642061	-0.3504927	-0.07	0	0.05357417	-0.3494707	
0.0304	-0.07	0	-0.04632004	-0.350506	-0.07	0	0.05367444	-0.3494553	
0.0308	-0.07	0	-0.04621809	-0.3505194	-0.07	0	0.05377609	-0.3494397	
0.0312	-0.07	0	-0.04611475	-0.350533	-0.07	0	0.05387911	-0.3494239	
0.0316	-0.07	0	-0.04601001	-0.3505468	-0.07	0	0.0539835	-0.3494077	
0.032	-0.07	0	-0.04590389	-0.3505607	-0.07	0	0.05408927	-0.3493914	
0.0324	-0.07	0	-0.04579638	-0.3505748	-0.07	0	0.05419642	-0.3493747	
0.0328	-0.07	0	-0.04568749	-0.350589	-0.07	0	0.05430494	-0.3493579	
0.0332	-0.07	0	-0.0455772	-0.3506033	-0.07	0	0.05441483	-0.3493408	
0.0336	-0.07	0	-0.04546553	-0.3506178	-0.07	0	0.0545261	-0.3493235	
0.034	-0.07	0	-0.04535247	-0.3506325	-0.07	0	0.05463874	-0.3493058	
0.0344	-0.07	0	-0.04523802	-0.3506472	-0.07	0	0.05475274	-0.349288	
0.0348	-0.07	0	-0.04512218	-0.3506622	-0.07	0	0.05486813	-0.3492699	
0.0352	-0.07	0	-0.04500496	-0.3506772	-0.07	0	0.05498488	-0.3492515	
0.0356	-0.07	0	-0.04488636	-0.3506925	-0.07	0	0.05510299	-0.3492329	
0.036	-0.07	0	-0.04476636	-0.3507078	-0.07	0	0.05522248	-0.349214	
0.0364	-0.07	0	-0.04464499	-0.3507232	-0.07	0	0.05534334	-0.3491949	
0.0368	-0.07	0	-0.04452222	-0.3507389	-0.07	0	0.05546556	-0.3491755	
0.0372	-0.07	0	-0.04439808	-0.3507546	-0.07	0	0.05558915	-0.3491559	
0.0376	-0.07	0	-0.04427255	-0.3507704	-0.07	0	0.0557141	-0.3491359	
0.038	-0.07	0	-0.04414563	-0.3507864	-0.07	0	0.05584041	-0.3491158	
0.0384	-0.07	0	-0.04401733	-0.3508026	-0.07	0	0.05596809	-0.3490953	
0.0388	-0.07	0	-0.04388765	-0.3508188	-0.07	0	0.05609714	-0.3490746	
0.0392	-0.07	0	-0.04375659	-0.3508352	-0.07	0	0.05622755	-0.3490536	
0.0396	-0.07	0	-0.04362414	-0.3508517	-0.07	0	0.05635932	-0.3490324	
0.04	-0.07	0	-0.04349031	-0.3508683	-0.07	0	0.05649244	-0.3490108	
