Time	BoxContact	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.2328	-0.07	-0.05482682	0	0.2378312	-0.2616025	
0.2332	-0.07	-0.05482682	0	0.2383073	-0.2611688	
0.2336	-0.07	-0.05786145	0	0.238783	-0.260734	
0.234	-0.07	-0.05786145	0	0.2392584	-0.2602979	
0.2344	-0.07	-0.05786145	0	0.2397333	-0.2598605	
0.2348	-0.07	-0.05786145	0	0.2402079	-0.2594219	
0.2352	-0.07	-0.05786145	0	0.2406821	-0.2589821	
0.2356	-0.07	-0.06028916	0	0.2411558	-0.2585411	
0.236	-0.07	-0.06028916	0	0.2416291	-0.2580988	
0.2364	-0.07	-0.06028916	0	0.242102	-0.2576552	
0.2368	-0.07	-0.06028916	0	0.2425745	-0.2572105	
0.2372	-0.07	-0.06028916	0	0.2430466	-0.2567645	
0.2376	-0.07	-0.06223133	0	0.2435182	-0.2563173	
0.238	-0.07	-0.06223133	0	0.2439893	-0.2558689	
0.2384	-0.07	-0.06223133	0	0.2444601	-0.2554192	
0.2388	-0.07	-0.06223133	0	0.2449303	-0.2549683	
0.2392	-0.07	-0.06223133	0	0.2454001	-0.2545162	
0.2396	-0.07	-0.06378506	0	0.2458695	-0.2540628	
0.24	-0.07	-0.06378506	0	0.2463384	-0.2536082	
0.2404	-0.07	-0.06378506	0	0.2468067	-0.2531524	
0.2408	-0.07	-0.06378506	0	0.2472747	-0.2526954	
0.2412	-0.07	-0.06378506	0	0.2477421	-0.2522372	
0.2416	-0.07	-0.06502805	0	0.248209	-0.2517777	
0.242	-0.07	-0.06502805	0	0.2486755	-0.2513171	
0.2424	-0.07	-0.06502805	0	0.2491414	-0.2508552	
0.2428	-0.07	-0.06502805	0	0.2496068	-0.2503921	
0.2432	-0.07	-0.06502805	0	0.2500718	-0.2499278	
0.2436	-0.07	-0.06602244	0	0.2505362	-0.2494623	
0.244	-0.07	-0.06602244	0	0.251	-0.2489956	
0.2444	-0.07	-0.06602244	0	0.2514634	-0.2485276	
0.2448	-0.07	-0.06602244	0	0.2519262	-0.2480585	
0.2452	-0.07	-0.06602244	0	0.2523884	-0.2475882	
0.2456	-0.07	-0.06681795	0	0.2528502	-0.2471166	
0.246	-0.07	-0.06681795	0	0.2533114	-0.2466439	
0.2464	-0.07	-0.06681795	0	0.253772	-0.24617	
0.2468	-0.07	-0.06681795	0	0.254232	-0.2456948	
0.2472	-0.07	-0.06681795	0	0.2546915	-0.2452185	
0.2476	-0.07	-0.06745436	0	0.2551504	-0.244741	
0.248	-0.07	-0.06745436	0	0.2556088	-0.2442623	
0.2484	-0.07	-0.06745436	0	0.2560665	-0.2437824	
0.2488	-0.07	-0.06745436	0	0.2565237	-0.2433013	
0.2492	-0.07	-0.06745436	0	0.2569803	-0.242819	
0.2496	-0.07	-0.06796349	0	0.2574362	-0.2423356	
0.25	-0.07	-0.06796349	0	0.2578916	-0.2418509	
0.2504	-0.07	-0.06796349	0	0.2583464	-0.2413651	
0.2508	-0.07	-0.06796349	0	0.2588005	-0.2408781	
0.2512	-0.07	-0.06796349	0	0.2592541	-0.2403899	
0.2516	-0.07	-0.06837079	0	0.2597069	-0.2399006	
0.252	-0.07	-0.06837079	0	0.2601592	-0.2394101	
0.2524	-0.07	-0.06837079	0	0.2606109	-0.2389184	
0.2528	-0.07	-0.06837079	0	0.2610619	-0.2384255	
0.2532	-0.07	-0.06837079	0	0.2615122	-0.2379315	
0.2536	-0.07	-0.06869663	0	0.2619619	-0.2374363	
0.254	-0.07	-0.06869663	0	0.2624109	-0.23694	
0.2544	-0.07	-0.06869663	0	0.2628593	-0.2364425	
0.2548	-0.07	-0.06869663	0	0.263307	-0.2359438	
0.2552	-0.07	-0.06869663	0	0.2637541	-0.235444	
0.2556	-0.07	-0.06895731	0	0.2642004	-0.234943	
0.256	-0.07	-0.06895731	0	0.2646461	-0.2344409	
0.2564	-0.07	-0.06895731	0	0.2650911	-0.2339377	
0.2568	-0.07	-0.06895731	0	0.2655354	-0.2334332	
0.2572	-0.07	-0.06895731	0	0.265979	-0.2329277	
0.2576	-0.07	-0.06916585	0	0.2664219	-0.232421	
0.258	-0.07	-0.06916585	0	0.2668641	-0.2319131	
0.2584	-0.07	-0.06916585	0	0.2673056	-0.2314042	
0.2588	-0.07	-0.06916585	0	0.2677464	-0.2308941	
0.2592	-0.07	-0.06916585	0	0.2681864	-0.2303828	
0.2596	-0.07	-0.06933267	0	0.2686257	-0.2298705	
0.26	-0.07	-0.06933267	0	0.2690643	-0.229357	
0.2604	-0.07	-0.06933267	0	0.2695021	-0.2288424	
0.2608	-0.07	-0.06933267	0	0.2699392	-0.2283266	
0.2612	-0.07	-0.06933267	0	0.2703756	-0.2278098	
0.2616	-0.07	-0.06946614	0	0.2708112	-0.2272918	
0.262	-0.07	-0.06946614	0	0.271246	-0.2267727	
0.2624	-0.07	-0.06946614	0	0.2716801	-0.2262525	
0.2628	-0.07	-0.06946614	0	0.2721134	-0.2257312	
0.2632	-0.07	-0.06946614	0	0.2725459	-0.2252088	
0.2636	-0.07	-0.06957291	0	0.2729777	-0.2246853	
0.264	-0.07	-0.06957291	0	0.2734087	-0.2241607	
0.2644	-0.07	-0.06957291	0	0.2738388	-0.2236349	
0.2648	-0.07	-0.06957291	0	0.2742682	-0.2231082	
0.2652	-0.07	-0.06957291	0	0.2746969	-0.2225802	
0.2656	-0.07	-0.06965833	0	0.2751246	-0.2220513	
0.266	-0.07	-0.06965833	0	0.2755516	-0.2215212	
0.2664	-0.07	-0.06965833	0	0.2759778	-0.22099	
0.2668	-0.07	-0.06965833	0	0.2764032	-0.2204578	
0.2672	-0.07	-0.06965833	0	0.2768277	-0.2199245	
0.2676	-0.07	-0.06972666	0	0.2772515	-0.2193901	
0.268	-0.07	-0.06972666	0	0.2776743	-0.2188547	
0.2684	-0.07	-0.06972666	0	0.2780964	-0.2183181	
0.2688	-0.07	-0.06972666	0	0.2785176	-0.2177805	
0.2692	-0.07	-0.06972666	0	0.278938	-0.2172419	
0.2696	-0.07	-0.06978133	0	0.2793575	-0.2167021	
0.27	-0.07	-0.06978133	0	0.2797761	-0.2161614	
0.2704	-0.07	-0.06978133	0	0.2801939	-0.2156196	
0.2708	-0.07	-0.06978133	0	0.2806109	-0.2150767	
0.2712	-0.07	-0.06978133	0	0.2810269	-0.2145328	
0.2716	-0.07	-0.06982507	0	0.2814421	-0.2139878	
