Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0.045	0.3264013	295.6387	295.6387	0	0.3397369	321.3785	321.3785	
0.046	0.3264013	295.313	295.313	0	0.3397369	321.5882	321.5882	
0.047	0.3376116	294.9865	294.9865	0	0.3522249	321.7962	321.7962	
0.048	0.3376116	294.6666	294.6666	0	0.3522249	321.9977	321.9977	
0.049	0.3485586	294.346	294.346	0	0.3644881	322.1976	322.1976	
0.05	0.3485586	294.0321	294.0321	0	0.3644881	322.3909	322.3909	
0.051	0.3592482	293.7174	293.7174	0	0.3765302	322.5828	322.5828	
0.052	0.3592482	293.4094	293.4094	0	0.3765302	322.7684	322.7684	
0.053	0.3696862	293.1007	293.1007	0	0.3883546	322.9525	322.9525	
0.054	0.3696862	292.7986	292.7986	0	0.3883546	323.1302	323.1302	
0.055	0.3798786	292.496	292.496	0	0.3999646	323.3066	323.3066	
0.056	0.3798786	292.2	292.2	0	0.3999646	323.477	323.477	
0.057	0.3898307	291.9034	291.9034	0	0.4113637	323.6459	323.6459	
0.058	0.3898307	291.6136	291.6136	0	0.4113637	323.8088	323.8088	
0.059	0.3995484	291.3232	291.3232	0	0.4225552	323.9705	323.9705	
0.06	0.3995484	291.0394	291.0394	0	0.4225552	324.1261	324.1261	
0.061	0.4090368	290.7552	290.7552	0	0.4335423	324.2806	324.2806	
0.062	0.4090368	290.4776	290.4776	0	0.4335423	324.4292	324.4292	
0.063	0.4183013	290.1996	290.1996	0	0.4443283	324.5766	324.5766	
0.064	0.4183013	289.9282	289.9282	0	0.4443283	324.7183	324.7183	
0.06500001	0.4273473	289.6563	289.6563	0	0.4549163	324.8588	324.8588	
0.066	0.4273473	289.3912	289.3912	0	0.4549163	324.9937	324.9937	
0.067	0.4361797	289.1256	289.1256	0	0.4653095	325.1274	325.1274	
0.068	0.4361797	288.8667	288.8667	0	0.4653095	325.2556	325.2556	
0.06900001	0.4448037	288.6074	288.6074	0	0.475511	325.3827	325.3827	
0.07	0.4448037	288.3548	288.3548	0	0.475511	325.5044	325.5044	
0.071	0.453224	288.1018	288.1018	0	0.4855237	325.6251	325.6251	
0.072	0.453224	287.8554	287.8554	0	0.4855237	325.7402	325.7402	
0.07300001	0.4614457	287.6087	287.6087	0	0.4953507	325.8544	325.8544	
0.074	0.4614457	287.3687	287.3687	0	0.4953507	325.9633	325.9633	
0.075	0.4694733	287.1283	287.1283	0	0.504995	326.0712	326.0712	
0.07600001	0.4694733	286.8947	286.8947	0	0.504995	326.1738	326.1738	
0.07700001	0.4773115	286.6607	286.6607	0	0.5144594	326.2755	326.2755	
0.078	0.4773115	286.4333	286.4333	0	0.5144594	326.3721	326.3721	
0.079	0.4849649	286.2056	286.2056	0	0.5237467	326.4677	326.4677	
0.08000001	0.4849649	285.9847	285.9847	0	0.5237467	326.5582	326.5582	
0.081	0.492438	285.7632	285.7632	0	0.5328598	326.6478	326.6478	
0.082	0.492438	285.5486	285.5486	0	0.5328598	326.7324	326.7324	
0.083	0.499735	285.3336	285.3336	0	0.5418015	326.8161	326.8161	
0.08400001	0.499735	285.1254	285.1254	0	0.5418015	326.8949	326.8949	
0.085	0.5068603	284.9167	284.9167	0	0.5505744	326.9728	326.9728	
0.086	0.5068603	284.7149	284.7149	0	0.5505744	327.0457	327.0457	
0.087	0.5138181	284.5127	284.5127	0	0.5591813	327.1179	327.1179	
0.08800001	0.5138181	284.317	284.317	0	0.5591813	327.1852	327.1852	
0.089	0.5206125	284.1212	284.1212	0	0.5676247	327.2517	327.2517	
0.09	0.5206125	283.9319	283.9319	0	0.5676247	327.3133	327.3133	
0.09100001	0.5272475	283.7425	283.7425	0	0.5759073	327.3743	327.3743	
0.09200001	0.5272475	283.5596	283.5596	0	0.5759073	327.4304	327.4304	
0.093	0.5337272	283.3765	283.3765	0	0.5840317	327.4858	327.4858	
0.094	0.5337272	283.1999	283.1999	0	0.5840317	327.5365	327.5365	
0.09500001	0.5400552	283.0232	283.0232	0	0.5920002	327.5865	327.5865	
0.096	0.5400552	282.853	282.853	0	0.5920002	327.6317	327.6317	
0.097	0.5462355	282.6826	282.6826	0	0.5998154	327.6764	327.6764	
0.098	0.5462355	282.5187	282.5187	0	0.5998154	327.7163	327.7163	
0.09900001	0.5522717	282.3546	282.3546	0	0.6074796	327.7556	327.7556	
0.1	0.5522717	282.197	282.197	0	0.6074796	327.7902	327.7902	
0.101	0.5581676	282.0394	282.0394	0	0.6149954	327.8244	327.8244	
0.102	0.5581676	281.8881	281.8881	0	0.6149954	327.8538	327.8538	
0.103	0.5639266	281.7367	281.7367	0	0.6223649	327.8826	327.8826	
0.104	0.5639266	281.5917	281.5917	0	0.6223649	327.9069	327.9069	
0.105	0.5695522	281.4466	281.4466	0	0.6295906	327.9307	327.9307	
0.106	0.5695522	281.3079	281.3079	0	0.6295906	327.9499	327.9499	
0.107	0.575048	281.1691	281.1691	0	0.6366746	327.9686	327.9686	
0.108	0.575048	281.0367	281.0367	0	0.6366746	327.9828	327.9828	
0.109	0.5804172	280.9041	280.9041	0	0.6436192	327.9964	327.9964	
0.11	0.5804172	280.778	280.778	0	0.6436192	328.0056	328.0056	
0.111	0.5856631	280.6516	280.6516	0	0.6504266	328.0142	328.0142	
0.112	0.5856631	280.5317	280.5317	0	0.6504266	328.0184	328.0184	
0.113	0.5907889	280.4117	280.4117	0	0.6570989	328.0222	328.0222	
0.114	0.5907889	280.298	280.298	0	0.6570989	328.0215	328.0215	
0.115	0.5957978	280.1841	280.1841	0	0.6636382	328.0204	328.0204	
0.116	0.5957978	280.0766	280.0766	0	0.6636382	328.0148	328.0148	
0.117	0.6006929	279.9689	279.9689	0	0.6700467	328.0088	328.0088	
0.118	0.6006929	279.8676	279.8676	0	0.6700467	327.9984	327.9984	
0.119	0.6054772	279.7662	279.7662	0	0.6763263	327.9878	327.9878	
0.12	0.6054772	279.671	279.671	0	0.6763263	327.9726	327.9726	
0.121	0.6101536	279.5757	279.5757	0	0.6824791	327.9572	327.9572	
0.122	0.6101536	279.4866	279.4866	0	0.6824791	327.9373	327.9373	
0.123	0.6147251	279.3974	279.3974	0	0.6885069	327.9171	327.9171	
0.124	0.6147251	279.3145	279.3145	0	0.6885069	327.8925	327.8925	
0.125	0.6191944	279.2314	279.2314	0	0.6944118	327.8677	327.8677	
0.126	0.6191944	279.1545	279.1545	0	0.6944118	327.8385	327.8385	
0.127	0.6235644	279.0775	279.0775	0	0.7001956	327.8091	327.8091	
0.128	0.6235644	279.0067	279.0067	0	0.7001956	327.7753	327.7753	
0.129	0.6278378	278.9358	278.9358	0	0.7058602	327.7412	327.7412	
0.13	0.6278378	278.8709	278.8709	0	0.7058602	327.7029	327.7029	
0.131	0.6320172	278.806	278.806	0	0.7114074	327.6642	327.6642	
0.132	0.6320172	278.7472	278.7472	0	0.7114074	327.6214	327.6214	
0.133	0.6361052	278.6883	278.6883	0	0.7168391	327.5782	327.5782	
0.134	0.6361052	278.6355	278.6355	0	0.7168391	327.5309	327.5309	
0.135	0.6401044	278.5826	278.5826	0	0.7221571	327.4832	327.4832	
0.136	0.6401044	278.5357	278.5357	0	0.7221571	327.4315	327.4315	
0.137	0.6440172	278.4886	278.4886	0	0.7273629	327.3794	327.3794	
0.138	0.6440172	278.4477	278.4477	0	0.7273629	327.3232	327.3232	
0.139	0.6478462	278.4066	278.4066	0	0.7324585	327.2667	327.2667	
0.14	0.6478462	278.3715	278.3715	0	0.7324585	327.2061	327.2061	
0.141	0.6515937	278.3363	278.3363	0	0.7374453	327.1453	327.1453	
0.142	0.6515937	278.307	278.307	0	0.7374453	327.0804	327.0804	
0.143	0.655262	278.2777	278.2777	0	0.7423251	327.0153	327.0153	
0.144	0.655262	278.2543	278.2543	0	0.7423251	326.946	326.946	
0.145	0.6588534	278.2307	278.2307	0	0.7470995	326.8765	326.8765	
0.146	0.6588534	278.213	278.213	0	0.7470995	326.803	326.803	
0.147	0.6623702	278.1953	278.1953	0	0.7517701	326.7293	326.7293	
0.148	0.6623702	278.1834	278.1834	0	0.7517701	326.6515	326.6515	
0.149	0.6658145	278.1714	278.1714	0	0.7563385	326.5736	326.5736	
0.15	0.6658145	278.1652	278.1652	0	0.7563385	326.4916	326.4916	
0.151	0.6691885	278.1588	278.1588	0	0.7608061	326.4095	326.4095	
0.152	0.6691885	278.1583	278.1583	0	0.7608061	326.3233	326.3233	
0.153	0.6724942	278.1577	278.1577	0	0.7651746	326.2371	326.2371	
0.154	0.6724942	278.1628	278.1628	0	0.7651746	326.1468	326.1468	
0.155	0.6757338	278.1679	278.1679	0	0.7694453	326.0564	326.0564	
0.156	0.6757338	278.1785	278.1785	0	0.7694453	325.962	325.962	
0.157	0.6789092	278.1891	278.1891	0	0.7736198	325.8675	325.8675	
0.158	0.6789092	278.2054	278.2054	0	0.7736198	325.769	325.769	
0.159	0.6820223	278.2216	278.2216	0	0.7776994	325.6706	325.6706	
0.16	0.6820223	278.2433	278.2433	0	0.7776994	325.5681	325.5681	
0.161	0.6850752	278.265	278.265	0	0.7816857	325.4655	325.4655	
0.162	0.6850752	278.2923	278.2923	0	0.7816857	325.359	325.359	
0.163	0.6880696	278.3195	278.3195	0	0.7855798	325.2525	325.2525	
0.164	0.6880696	278.3521	278.3521	0	0.7855798	325.1421	325.1421	
0.165	0.6910074	278.3848	278.3848	0	0.7893834	325.0316	325.0316	
0.166	0.6910074	278.4229	278.4229	0	0.7893834	324.9172	324.9172	
0.167	0.6938903	278.4609	278.4609	0	0.7930976	324.8029	324.8029	
0.168	0.6938903	278.5043	278.5043	0	0.7930976	324.6847	324.6847	
0.169	0.6967202	278.5477	278.5477	0	0.7967238	324.5665	324.5665	
0.17	0.6967202	278.5964	278.5964	0	0.7967238	324.4444	324.4444	
0.171	0.6994987	278.6451	278.6451	0	0.8002633	324.3224	324.3224	
0.172	0.6994987	278.6991	278.6991	0	0.8002633	324.1966	324.1966	
0.173	0.7022274	278.7531	278.7531	0	0.8037174	324.0707	324.0707	
0.174	0.7022274	278.8123	278.8123	0	0.8037174	323.9411	323.9411	
0.175	0.704908	278.8715	278.8715	0	0.8070874	323.8115	323.8115	
0.176	0.704908	278.9359	278.9359	0	0.8070874	323.6782	323.6782	
0.177	0.7075422	279.0002	279.0002	0	0.8103743	323.5448	323.5448	
0.178	0.7075422	279.0697	279.0697	0	0.8103743	323.4079	323.4079	
0.179	0.7101313	279.1392	279.1392	0	0.8135795	323.2709	323.2709	
0.18	0.7101313	279.2138	279.2138	0	0.8135795	323.1303	323.1303	
0.181	0.712677	279.2884	279.2884	0	0.8167042	322.9897	322.9897	
0.182	0.712677	279.368	279.368	0	0.8167042	322.8454	322.8454	
0.183	0.7151808	279.4476	279.4476	0	0.8197495	322.7013	322.7013	
0.184	0.7151808	279.5322	279.5322	0	0.8197495	322.5536	322.5536	
0.185	0.717644	279.6168	279.6168	0	0.8227166	322.4059	322.4059	
0.186	0.717644	279.7062	279.7062	0	0.8227166	322.2546	322.2546	
0.187	0.7200682	279.7957	279.7957	0	0.8256066	322.1033	322.1033	
0.188	0.7200682	279.8902	279.8902	0	0.8256066	321.9487	321.9487	
0.189	0.7224545	279.9846	279.9846	0	0.8284206	321.794	321.794	
0.19	0.7224545	280.0837	280.0837	0	0.8284206	321.6359	321.6359	
0.191	0.7248045	280.183	280.183	0	0.8311599	321.4779	321.4779	
0.192	0.7248045	280.287	280.287	0	0.8311599	321.3164	321.3164	
0.193	0.7271194	280.3909	280.3909	0	0.8338253	321.1549	321.1549	
0.194	0.7271194	280.4996	280.4996	0	0.8338253	320.9902	320.9902	
0.195	0.7294005	280.6083	280.6083	0	0.8364182	320.8254	320.8254	
0.196	0.7294005	280.7217	280.7217	0	0.8364182	320.6574	320.6574	
0.197	0.7316489	280.8351	280.8351	0	0.8389392	320.4894	320.4894	
0.198	0.7316489	280.953	280.953	0	0.8389392	320.3182	320.3182	
0.199	0.7338661	281.071	281.071	0	0.8413898	320.147	320.147	
0.2	0.7338661	281.1935	281.1935	0	0.8413898	319.9727	319.9727	
0.201	0.736053	281.316	281.316	0	0.8437709	319.7982	319.7982	
0.202	0.736053	281.443	281.443	0	0.8437709	319.6208	319.6208	
0.203	0.738211	281.57	281.57	0	0.8460834	319.4432	319.4432	
0.204	0.738211	281.7014	281.7014	0	0.8460834	319.2628	319.2628	
0.205	0.7403409	281.8329	281.8329	0	0.8483284	319.0822	319.0822	
0.206	0.7403409	281.9686	281.9686	0	0.8483284	318.8987	318.8987	
0.207	0.7424441	282.1044	282.1044	0	0.8505067	318.7152	318.7152	
0.208	0.7424441	282.2445	282.2445	0	0.8505067	318.5287	318.5287	
0.209	0.7445215	282.3846	282.3846	0	0.8526195	318.3423	318.3423	
0.21	0.7445215	282.529	282.529	0	0.8526195	318.1529	318.1529	
0.211	0.7465741	282.6734	282.6734	0	0.8546677	317.9636	317.9636	
0.212	0.7465741	282.8219	282.8219	0	0.8546677	317.7714	317.7714	
0.213	0.748603	282.9704	282.9704	0	0.8566521	317.5792	317.5792	
0.214	0.748603	283.1231	283.1231	0	0.8566521	317.3843	317.3843	
0.215	0.7506092	283.2757	283.2757	0	0.8585739	317.1893	317.1893	
0.216	0.7506092	283.4324	283.4324	0	0.8585739	316.9917	316.9917	
0.217	0.7525936	283.5891	283.5891	0	0.8604337	316.7941	316.7941	
0.218	0.7525936	283.7498	283.7498	0	0.8604337	316.5938	316.5938	
0.219	0.754557	283.9106	283.9106	0	0.8622327	316.3936	316.3936	
0.22	0.754557	284.0751	284.0751	0	0.8622327	316.1906	316.1906	
0.221	0.7565005	284.2398	284.2398	0	0.8639717	315.9878	315.9878	
0.222	0.7565005	284.4082	284.4082	0	0.8639717	315.7824	315.7824	
0.223	0.7584249	284.5767	284.5767	0	0.8656514	315.5771	315.5771	
0.224	0.7584249	284.7489	284.7489	0	0.8656514	315.3692	315.3692	
0.225	0.760331	284.9211	284.9211	0	0.8672731	315.1614	315.1614	
0.226	0.760331	285.097	285.097	0	0.8672731	314.9512	314.9512	
0.227	0.7622197	285.273	285.273	0	0.8688373	314.741	314.741	
0.228	0.7622197	285.4527	285.4527	0	0.8688373	314.5284	314.5284	
0.229	0.7640916	285.6324	285.6324	0	0.870345	314.3159	314.3159	
0.23	0.7640916	285.8159	285.8159	0	0.870345	314.101	314.101	
0.231	0.7659477	285.9994	285.9994	0	0.8717971	313.8862	313.8862	
0.232	0.7659477	286.1868	286.1868	0	0.8717971	313.669	313.669	
0.233	0.7677888	286.3742	286.3742	0	0.8731943	313.4519	313.4519	
0.234	0.7677888	286.5655	286.5655	0	0.8731943	313.2325	313.2325	
0.235	0.7696154	286.7569	286.7569	0	0.8745375	313.0132	313.0132	
0.236	0.7696154	286.9521	286.9521	0	0.8745375	312.7916	312.7916	
0.237	0.7714285	287.1474	287.1474	0	0.8758276	312.57	312.57	
0.238	0.7714285	287.3467	287.3467	0	0.8758276	312.3463	312.3463	
0.239	0.7732288	287.5461	287.5461	0	0.8770652	312.1227	312.1227	
0.24	0.7732288	287.7494	287.7494	0	0.8770652	311.8968	311.8968	
0.241	0.775017	287.9528	287.9528	0	0.8782513	311.671	311.671	
0.242	0.775017	288.1603	288.1603	0	0.8782513	311.4431	311.4431	
0.243	0.7767938	288.3678	288.3678	0	0.8793865	311.2153	311.2153	
0.244	0.7767938	288.5793	288.5793	0	0.8793865	310.9854	310.9854	
0.245	0.77856	288.7911	288.7911	0	0.8804717	310.7556	310.7556	
0.246	0.77856	289.0067	289.0067	0	0.8804717	310.5237	310.5237	
0.247	0.7803162	289.2226	289.2226	0	0.8815076	310.292	310.292	
0.248	0.7803162	289.4425	289.4425	0	0.8815076	310.0583	310.0583	
0.249	0.7820632	289.6625	289.6625	0	0.882495	309.8246	309.8246	
0.25	0.7820632	289.8866	289.8866	0	0.882495	309.5889	309.5889	
0.251	0.7838017	290.1108	290.1108	0	0.8834345	309.3534	309.3534	
0.252	0.7838017	290.3391	290.3391	0	0.8834345	309.116	309.116	
0.253	0.7855324	290.5675	290.5675	0	0.8843271	308.8786	308.8786	
0.254	0.7855324	290.8001	290.8001	0	0.8843271	308.6395	308.6395	
0.255	0.7872558	291.0327	291.0327	0	0.8851732	308.4004	308.4004	
0.256	0.7872558	291.2695	291.2695	0	0.8851732	308.1595	308.1595	
0.257	0.7889726	291.5064	291.5064	0	0.8859738	307.9188	307.9188	
0.258	0.7889726	291.7474	291.7474	0	0.8859738	307.6763	307.6763	
0.259	0.7906836	291.9886	291.9886	0	0.8867294	307.4339	307.4339	
0.26	0.7906836	292.2338	292.2338	0	0.8867294	307.1898	307.1898	
0.261	0.7923892	292.4792	292.4792	0	0.8874409	306.9459	306.9459	
0.262	0.7923892	292.7287	292.7287	0	0.8874409	306.7003	306.7003	
0.263	0.7940902	292.9784	292.9784	0	0.8881088	306.4548	306.4548	
0.264	0.7940902	293.232	293.232	0	0.8881088	306.2078	306.2078	
0.265	0.795787	293.4859	293.4859	0	0.8887339	305.9608	305.9608	
0.266	0.795787	293.7437	293.7437	0	0.8887339	305.7124	305.7124	
0.267	0.7974805	294.0017	294.0017	0	0.8893169	305.464	305.464	
0.268	0.7974805	294.2635	294.2635	0	0.8893169	305.2144	305.2144	
0.269	0.799171	294.5255	294.5255	0	0.8898584	304.9648	304.9648	
0.27	0.799171	294.7911	294.7911	0	0.8898584	304.7139	304.7139	
0.271	0.800859	295.0569	295.0569	0	0.8903592	304.4631	304.4631	
0.272	0.800859	295.3263	295.3263	0	0.8903592	304.2111	304.2111	
0.273	0.8025452	295.5958	295.5958	0	0.8908197	303.9591	303.9591	
0.274	0.8025452	295.8688	295.8688	0	0.8908197	303.7061	303.7061	
0.275	0.8042301	296.1419	296.1419	0	0.8912409	303.4532	303.4532	
0.276	0.8042301	296.4184	296.4184	0	0.8912409	303.1994	303.1994	
0.277	0.805914	296.695	296.695	0	0.8916233	302.9454	302.9454	
0.278	0.805914	296.9747	296.9747	0	0.8916233	302.6907	302.6907	
0.279	0.8075974	297.2546	297.2546	0	0.8919675	302.4359	302.4359	
0.28	0.8075974	297.5376	297.5376	0	0.8919675	302.1805	302.1805	
0.281	0.8092808	297.8207	297.8207	0	0.8922744	301.925	301.925	
0.282	0.8092808	298.1068	298.1068	0	0.8922744	301.6688	301.6688	
0.283	0.8109643	298.3929	298.3929	0	0.8925444	301.4127	301.4127	
0.284	0.8109643	298.6819	298.6819	0	0.8925444	301.1559	301.1559	
0.285	0.8126486	298.9711	298.9711	0	0.8927783	300.8992	300.8992	
0.286	0.8126486	299.2628	299.2628	0	0.8927783	300.6419	300.6419	
0.287	0.8143339	299.5548	299.5548	0	0.8929766	300.3847	300.3847	
0.288	0.8143339	299.8492	299.8492	0	0.8929766	300.1272	300.1272	
0.289	0.8160205	300.1438	300.1438	0	0.8931402	299.8695	299.8695	
0.29	0.8160205	300.4408	300.4408	0	0.8931402	299.6117	299.6117	
0.291	0.8177087	300.7379	300.7379	0	0.8932695	299.3538	299.3538	
0.292	0.8177087	301.0373	301.0373	0	0.8932695	299.0957	299.0957	
0.293	0.8193988	301.3369	301.3369	0	0.8933654	298.8376	298.8376	
0.294	0.8193988	301.6385	301.6385	0	0.8933654	298.5794	298.5794	
0.295	0.8210911	301.9403	301.9403	0	0.8934283	298.3212	298.3212	
0.296	0.8210911	302.2441	302.2441	0	0.8934283	298.0628	298.0628	
0.297	0.8227857	302.5481	302.5481	0	0.893459	297.8047	297.8047	
0.298	0.8227857	302.8539	302.8539	0	0.893459	297.5464	297.5464	
0.299	0.8244829	303.1599	303.1599	0	0.8934581	297.2883	297.2883	
0.3	0.8244829	303.4676	303.4676	0	0.8934581	297.0302	297.0302	
0.301	0.8261828	303.7754	303.7754	0	0.8934262	296.7722	296.7722	
0.302	0.8261828	304.0848	304.0848	0	0.8934262	296.5144	296.5144	
0.303	0.8278857	304.3944	304.3944	0	0.893364	296.2567	296.2567	
0.304	0.8278857	304.7054	304.7054	0	0.893364	295.9992	295.9992	
0.305	0.8295917	305.0166	305.0166	0	0.8932722	295.7418	295.7418	
0.306	0.8295917	305.3291	305.3291	0	0.8932722	295.4848	295.4848	
0.307	0.8313009	305.6418	305.6418	0	0.8931512	295.2278	295.2278	
0.308	0.8313009	305.9557	305.9557	0	0.8931512	294.9713	294.9713	
0.309	0.8330134	306.2696	306.2696	0	0.8930019	294.7148	294.7148	
0.31	0.8330134	306.5846	306.5846	0	0.8930019	294.4589	294.4589	
0.311	0.8347293	306.8998	306.8998	0	0.8928246	294.2031	294.2031	
0.312	0.8347293	307.2159	307.2159	0	0.8928246	293.9479	293.9479	
0.313	0.8364487	307.5321	307.5321	0	0.8926204	293.6928	293.6928	
0.314	0.8364487	307.8492	307.8492	0	0.8926204	293.4384	293.4384	
0.315	0.8381716	308.1664	308.1664	0	0.8923895	293.184	293.184	
0.316	0.8381716	308.4841	308.4841	0	0.8923895	292.9305	292.9305	
0.317	0.8398981	308.8021	308.8021	0	0.8921328	292.677	292.677	
0.318	0.8398981	309.1206	309.1206	0	0.8921328	292.4245	292.4245	
0.319	0.8416283	309.4392	309.4392	0	0.8918508	292.172	292.172	
0.32	0.8416283	309.7582	309.7582	0	0.8918508	291.9205	291.9205	
0.321	0.8433621	310.0774	310.0774	0	0.8915442	291.6691	291.6691	
0.322	0.8433621	310.3968	310.3968	0	0.8915442	291.4187	291.4187	
0.323	0.8450994	310.7163	310.7163	0	0.8912134	291.1685	291.1685	
0.324	0.8450994	311.0359	311.0359	0	0.8912134	290.9194	290.9194	
0.325	0.8468404	311.3558	311.3558	0	0.8908593	290.6704	290.6704	
0.326	0.8468404	311.6756	311.6756	0	0.8908593	290.4227	290.4227	
0.327	0.848585	311.9955	311.9955	0	0.8904824	290.175	290.175	
0.328	0.848585	312.3153	312.3153	0	0.8904824	289.9286	289.9286	
0.329	0.850333	312.6351	312.6351	0	0.8900833	289.6823	289.6823	
0.33	0.850333	312.9547	312.9547	0	0.8900833	289.4376	289.4376	
0.331	0.8520845	313.2745	313.2745	0	0.8896625	289.1927	289.1927	
0.332	0.8520845	313.5939	313.5939	0	0.8896625	288.9495	288.9495	
0.333	0.8538393	313.9135	313.9135	0	0.8892208	288.7063	288.7063	
0.334	0.8538393	314.2324	314.2324	0	0.8892208	288.4648	288.4648	
0.335	0.8555973	314.5515	314.5515	0	0.8887588	288.2233	288.2233	
0.336	0.8555973	314.8699	314.8699	0	0.8887588	287.9835	287.9835	
0.337	0.8573585	315.1884	315.1884	0	0.8882771	287.7438	287.7438	
0.338	0.8573585	315.5062	315.5062	0	0.8882771	287.5059	287.5059	
0.339	0.8591226	315.824	315.824	0	0.8877761	287.2679	287.2679	
0.34	0.8591226	316.141	316.141	0	0.8877761	287.032	287.032	
0.341	0.8608896	316.458	316.458	0	0.8872567	286.796	286.796	
0.342	0.8608896	316.774	316.774	0	0.8872567	286.562	286.562	
0.343	0.8626593	317.0902	317.0902	0	0.8867193	286.328	286.328	
0.344	0.8626593	317.4052	317.4052	0	0.8867193	286.0962	286.0962	
0.345	0.8644315	317.7202	317.7202	0	0.8861646	285.8643	285.8643	
0.346	0.8644315	318.0341	318.0341	0	0.8861646	285.6346	285.6346	
0.347	0.866206	318.3479	318.3479	0	0.8855932	285.405	285.405	
0.348	0.866206	318.6605	318.6605	0	0.8855932	285.1775	285.1775	
0.349	0.8679828	318.9731	318.9731	0	0.8850056	284.95	284.95	
0.35	0.8679828	319.2841	319.2841	0	0.8850056	284.725	284.725	
0.351	0.8697616	319.5952	319.5952	0	0.8844025	284.4999	284.4999	
0.352	0.8697616	319.9047	319.9047	0	0.8844025	284.2772	284.2772	
0.353	0.871542	320.2143	320.2143	0	0.8837844	284.0545	284.0545	
0.354	0.871542	320.5221	320.5221	0	0.8837844	283.8344	283.8344	
0.355	0.873324	320.83	320.83	0	0.883152	283.6142	283.6142	
0.356	0.873324	321.136	321.136	0	0.883152	283.3966	283.3966	
0.357	0.8751073	321.442	321.442	0	0.8825058	283.179	283.179	
0.358	0.8751073	321.7461	321.7461	0	0.8825058	282.964	282.964	
0.359	0.8768917	322.0503	322.0503	0	0.8818465	282.7491	282.7491	
0.36	0.8768917	322.3523	322.3523	0	0.8818465	282.5368	282.5368	
0.361	0.8786768	322.6544	322.6544	0	0.8811745	282.3246	282.3246	
