Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0.072	0.4491896	284.7847	284.7847	0	0.4881532	327.1467	327.1467	
0.07300001	0.4573081	284.5385	284.5385	0	0.4980129	327.2434	327.2434	
0.074	0.4573081	284.292	284.292	0	0.4980129	327.339	327.339	
0.075	0.4652342	284.0526	284.0526	0	0.5076872	327.4294	327.4294	
0.07600001	0.4652342	283.8128	283.8128	0	0.5076872	327.5186	327.5186	
0.07700001	0.4729727	283.5802	283.5802	0	0.5171793	327.6026	327.6026	
0.078	0.4729727	283.3472	283.3472	0	0.5171793	327.6856	327.6856	
0.079	0.4805281	283.1213	283.1213	0	0.5264918	327.7635	327.7635	
0.08000001	0.4805281	282.8951	282.8951	0	0.5264918	327.8405	327.8405	
0.081	0.4879048	282.676	282.676	0	0.5356277	327.9123	327.9123	
0.082	0.4879048	282.4565	282.4565	0	0.5356277	327.9831	327.9831	
0.083	0.4951073	282.244	282.244	0	0.5445899	328.0488	328.0488	
0.08400001	0.4951073	282.0314	282.0314	0	0.5445899	328.1138	328.1138	
0.085	0.5021398	281.8257	281.8257	0	0.5533811	328.1737	328.1737	
0.086	0.5021398	281.6196	281.6196	0	0.5533811	328.2328	328.2328	
0.087	0.5090065	281.4207	281.4207	0	0.5620039	328.2868	328.2868	
0.08800001	0.5090065	281.2216	281.2216	0	0.5620039	328.3401	328.3401	
0.089	0.5157117	281.0293	281.0293	0	0.570461	328.3885	328.3885	
0.09	0.5157117	280.8368	280.8368	0	0.570461	328.4361	328.4361	
0.09100001	0.5222592	280.6513	280.6513	0	0.5787551	328.4786	328.4786	
0.09200001	0.5222592	280.4656	280.4656	0	0.5787551	328.5207	328.5207	
0.093	0.5286531	280.2868	280.2868	0	0.5868887	328.5577	328.5577	
0.094	0.5286531	280.1078	280.1078	0	0.5868887	328.5941	328.5941	
0.09500001	0.5348972	279.9357	279.9357	0	0.5948644	328.6257	328.6257	
0.096	0.5348972	279.7634	279.7634	0	0.5948644	328.6566	328.6566	
0.097	0.5409954	279.5981	279.5981	0	0.6026847	328.6827	328.6827	
0.098	0.5409954	279.4324	279.4324	0	0.6026847	328.7082	328.7082	
0.09900001	0.5469514	279.2737	279.2737	0	0.6103519	328.729	328.729	
0.1	0.5469514	279.1148	279.1148	0	0.6103519	328.7491	328.7491	
0.101	0.5527688	278.9627	278.9627	0	0.6178687	328.7644	328.7644	
0.102	0.5527688	278.8105	278.8105	0	0.6178687	328.7793	328.7793	
0.103	0.5584512	278.6651	278.6651	0	0.6252372	328.7894	328.7894	
0.104	0.5584512	278.5195	278.5195	0	0.6252372	328.799	328.799	
0.105	0.564002	278.3806	278.3806	0	0.6324598	328.8039	328.8039	
0.106	0.564002	278.2416	278.2416	0	0.6324598	328.8083	328.8083	
0.107	0.5694248	278.1095	278.1095	0	0.6395388	328.808	328.808	
0.108	0.5694248	277.9771	277.9771	0	0.6395388	328.8073	328.8073	
0.109	0.5747229	277.8515	277.8515	0	0.6464764	328.802	328.802	
0.11	0.5747229	277.7257	277.7257	0	0.6464764	328.7962	328.7962	
0.111	0.5798995	277.6067	277.6067	0	0.653275	328.7857	328.7857	
0.112	0.5798995	277.4874	277.4874	0	0.653275	328.7749	328.7749	
0.113	0.584958	277.3749	277.3749	0	0.6599367	328.7595	328.7595	
0.114	0.584958	277.2623	277.2623	0	0.6599367	328.7437	328.7437	
0.115	0.5899013	277.1563	277.1563	0	0.6664635	328.7234	328.7234	
0.116	0.5899013	277.0501	277.0501	0	0.6664635	328.7027	328.7027	
0.117	0.5947326	276.9505	276.9505	0	0.6728577	328.6774	328.6774	
0.118	0.5947326	276.8509	276.8509	0	0.6728577	328.6518	328.6518	
0.119	0.599455	276.7578	276.7578	0	0.6791211	328.6216	328.6216	
0.12	0.599455	276.6647	276.6647	0	0.6791211	328.5912	328.5912	
0.121	0.6040714	276.578	276.578	0	0.6852561	328.5562	328.5562	
