Time	A4	A4Ia	
0.48	0.03715064	1.435261E-08	
0.482	0.03787816	1.435262E-08	
0.484	0.03859112	1.435262E-08	
0.486	0.03928982	1.435262E-08	
0.488	0.03997454	1.435262E-08	
0.49	0.04064557	1.435262E-08	
0.492	0.04130318	1.435262E-08	
0.494	0.04194764	1.435262E-08	
0.496	0.04257921	1.435262E-08	
0.498	0.04319815	1.435262E-08	
0.5	0.04380471	1.435262E-08	
0.502	0.04439914	1.435262E-08	
0.504	0.04498168	1.435262E-08	
0.506	0.04555257	1.435262E-08	
0.508	0.04611205	1.435262E-08	
0.5100001	0.04666033	1.435262E-08	
0.512	0.04719764	1.435262E-08	
0.514	0.04772421	1.435262E-08	
0.516	0.04824025	1.435262E-08	
0.518	0.04874597	1.435262E-08	
0.52	0.04924157	1.435262E-08	
0.522	0.04972727	1.435262E-08	
0.524	0.05020325	1.435262E-08	
0.526	0.05066971	1.435262E-08	
0.528	0.05112684	1.435262E-08	
0.53	0.05157483	1.435262E-08	
0.532	0.05201385	1.435262E-08	
0.534	0.0524441	1.435262E-08	
0.536	0.05286574	1.435262E-08	
0.538	0.05327895	1.435262E-08	
0.54	0.0536839	1.435262E-08	
0.5420001	0.05408075	1.435262E-08	
0.544	0.05446966	1.435262E-08	
0.546	0.05485079	1.435262E-08	
0.548	0.05522431	1.435262E-08	
0.55	0.05559034	1.435262E-08	
0.552	0.05594905	1.435262E-08	
0.554	0.0563006	1.435262E-08	
0.5560001	0.05664512	1.435262E-08	
0.558	0.05698273	1.435262E-08	
0.56	0.0573136	1.435262E-08	
0.562	0.05763785	1.435262E-08	
0.564	0.05795562	1.435263E-08	
0.566	0.05826703	1.435263E-08	
0.568	0.05857223	1.435263E-08	
0.5700001	0.05887131	1.435263E-08	
0.572	0.05916441	1.435263E-08	
0.574	0.05945165	1.435263E-08	
0.576	0.05973314	1.435263E-08	
0.578	0.06000901	1.435263E-08	
0.58	0.06027936	1.435263E-08	
0.582	0.0605443	1.435263E-08	
0.5840001	0.06080394	1.435263E-08	
0.586	0.06105839	1.435263E-08	
0.588	0.06130775	1.435263E-08	
0.59	0.06155211	1.435263E-08	
0.592	0.06179159	1.435263E-08	
0.594	0.06202628	1.435263E-08	
0.596	0.06225628	1.435263E-08	
0.598	0.06248168	1.435263E-08	
0.6	0.06270257	1.435263E-08	
0.6020001	0.06291904	1.435263E-08	
0.604	0.06313119	1.435263E-08	
0.606	0.06333909	1.435263E-08	
0.608	0.06354284	1.435263E-08	
0.61	0.06374251	1.435263E-08	
0.612	0.06393819	1.435263E-08	
0.614	0.06412996	1.435263E-08	
0.6160001	0.06431789	1.435263E-08	
0.618	0.06450205	1.435263E-08	
0.62	0.06468254	1.435263E-08	
0.622	0.06485941	1.435263E-08	
0.624	0.06503276	1.435263E-08	
0.626	0.06520263	1.435263E-08	
0.628	0.06536911	1.435263E-08	
0.6300001	0.06553224	1.435263E-08	
0.632	0.06569212	1.435263E-08	
0.634	0.06584881	1.435263E-08	
0.636	0.06600236	1.435263E-08	
0.638	0.06615283	1.435263E-08	
0.64	0.06630031	1.435263E-08	
0.642	0.06644484	1.435263E-08	
0.6440001	0.06658647	1.435263E-08	
0.646	0.06672528	1.435263E-08	
0.648	0.06686129	1.435263E-08	
0.65	0.0669946	1.435263E-08	
0.652	0.06712524	1.435263E-08	
0.654	0.06725325	1.435263E-08	
0.656	0.06737872	1.435263E-08	
0.6580001	0.06750167	1.435263E-08	
0.66	0.06762216	1.435263E-08	
0.6620001	0.06774024	1.435263E-08	
0.664	0.06785596	1.435263E-08	
0.666	0.06796937	1.435263E-08	
0.668	0.06808051	1.435263E-08	
0.67	0.06818942	1.435263E-08	
0.6720001	0.06829616	1.435263E-08	
0.674	0.06840076	1.435263E-08	
0.6760001	0.06850327	1.435263E-08	
0.678	0.06860373	1.435263E-08	
0.68	0.06870218	1.435263E-08	
0.682	0.06879867	1.435263E-08	
0.684	0.06889322	1.435263E-08	
0.686	0.06898587	1.435263E-08	
0.688	0.06907668	1.435263E-08	
0.6900001	0.06916567	1.435263E-08	
0.692	0.06925289	1.435263E-08	
0.694	0.06933836	1.435263E-08	
0.696	0.06942212	1.435263E-08	
0.698	0.06950421	1.435263E-08	
0.7	0.06958465	1.435263E-08	
