Time	Body_X	Body_Y	Body_Z	Joint_1	
0.131	-2.649785E-05	-0.07373939	-0.1806495	-29.44126	
0.132	-2.704521E-05	-0.07475145	-0.1800736	-29.88602	
0.133	-2.760004E-05	-0.07576585	-0.1794858	-30.33381	
0.134	-2.816238E-05	-0.0767824	-0.1788862	-30.78461	
0.135	-2.873225E-05	-0.0778009	-0.1782744	-31.2384	
0.136	-2.930966E-05	-0.07882117	-0.1776506	-31.69518	
0.137	-2.989464E-05	-0.07984303	-0.1770145	-32.15491	
0.138	-3.04872E-05	-0.08086625	-0.176366	-32.61761	
0.139	-3.108737E-05	-0.08189066	-0.1757052	-33.08324	
0.14	-3.169516E-05	-0.08291603	-0.1750318	-33.5518	
0.141	-3.231056E-05	-0.08394217	-0.1743457	-34.02325	
0.142	-3.293361E-05	-0.08496887	-0.173647	-34.49762	
0.143	-3.356431E-05	-0.08599593	-0.1729355	-34.97484	
0.144	-3.420264E-05	-0.08702311	-0.1722112	-35.45493	
0.145	-3.484863E-05	-0.08805021	-0.1714738	-35.93785	
0.146	-3.550227E-05	-0.08907701	-0.1707235	-36.4236	
0.147	-3.616356E-05	-0.09010329	-0.1699601	-36.91215	
0.148	-3.683249E-05	-0.09112882	-0.1691835	-37.40349	
0.149	-3.750906E-05	-0.09215337	-0.1683937	-37.89761	
0.15	-3.819326E-05	-0.09317672	-0.1675907	-38.39447	
0.151	-3.888506E-05	-0.09419864	-0.1667743	-38.89407	
0.152	-3.958447E-05	-0.09521889	-0.1659445	-39.39637	
0.153	-4.029145E-05	-0.09623724	-0.1651013	-39.90138	
0.154	-4.100599E-05	-0.09725345	-0.1642445	-40.40905	
0.155	-4.172807E-05	-0.09826728	-0.1633743	-40.91939	
0.156	-4.245766E-05	-0.09927847	-0.1624905	-41.43236	
0.157	-4.319472E-05	-0.1002868	-0.1615931	-41.94793	
0.158	-4.393924E-05	-0.1012921	-0.1606821	-42.4661	
0.159	-4.469116E-05	-0.1022939	-0.1597574	-42.98684	
0.16	-4.545046E-05	-0.1032922	-0.1588191	-43.51014	
0.161	-4.62171E-05	-0.1042866	-0.1578671	-44.03595	
0.162	-4.699103E-05	-0.1052769	-0.1569013	-44.56427	
0.163	-4.77722E-05	-0.1062629	-0.1559219	-45.09507	
0.164	-4.777484E-05	-0.1062586	-0.1559155	-42.97187	
0.165	-4.751036E-05	-0.1059582	-0.1562592	-43.23397	
0.166	-4.725555E-05	-0.105647	-0.1565559	-43.40753	
0.167	-4.701815E-05	-0.1053469	-0.1568368	-43.51996	
0.168	-4.679507E-05	-0.1050587	-0.1571064	-43.58473	
0.169	-4.658339E-05	-0.1047813	-0.1573666	-43.61193	
0.17	-4.638091E-05	-0.1045137	-0.1576184	-43.60959	
0.171	-4.618606E-05	-0.1042549	-0.1578625	-43.58411	
0.172	-4.59977E-05	-0.104004	-0.1580997	-43.54062	
0.173	-4.5815E-05	-0.1037603	-0.1583302	-43.48322	
0.174	-4.56374E-05	-0.1035233	-0.1585544	-43.41521	
0.175	-4.546447E-05	-0.1032925	-0.1587726	-43.33921	
0.176	-4.529594E-05	-0.1030676	-0.1589849	-43.25731	
0.177	-4.513159E-05	-0.1028482	-0.1591915	-43.17123	
0.178	-4.49713E-05	-0.1026341	-0.1593925	-43.08228	
0.179	-4.481497E-05	-0.1024253	-0.1595881	-42.99157	
0.18	-4.466253E-05	-0.1022215	-0.1597783	-42.89996	
0.181	-4.451396E-05	-0.1020227	-0.1599633	-42.80814	
0.182	-4.436921E-05	-0.1018288	-0.1601431	-42.71666	
0.183	-4.422828E-05	-0.1016398	-0.1603178	-42.62597	
0.184	-4.409115E-05	-0.1014556	-0.1604874	-42.53643	
0.185	-4.395782E-05	-0.1012763	-0.160652	-42.44833	
0.186	-4.382828E-05	-0.1011018	-0.1608116	-42.36189	
0.187	-4.370254E-05	-0.1009321	-0.1609663	-42.2773	
0.188	-4.358059E-05	-0.1007673	-0.1611162	-42.19472	
0.189	-4.346243E-05	-0.1006073	-0.1612611	-42.11425	
0.19	-4.334806E-05	-0.1004522	-0.1614013	-42.036	
0.191	-4.323748E-05	-0.100302	-0.1615366	-41.96004	
0.192	-4.313068E-05	-0.1001567	-0.1616672	-41.88644	
0.193	-4.302767E-05	-0.1000163	-0.1617929	-41.81524	
0.194	-4.292845E-05	-0.09988078	-0.161914	-41.74649	
0.195	-4.283301E-05	-0.09975025	-0.1620304	-41.68023	
0.196	-4.274134E-05	-0.09962471	-0.162142	-41.61646	
0.197	-4.265346E-05	-0.09950415	-0.162249	-41.55524	
0.198	-4.256935E-05	-0.09938861	-0.1623512	-41.49656	
0.199	-4.248903E-05	-0.09927809	-0.1624489	-41.44044	
0.2	-4.241247E-05	-0.09917262	-0.1625419	-41.3869	
0.201	-4.233968E-05	-0.09907221	-0.1626302	-41.33595	
0.202	-4.227065E-05	-0.09897688	-0.162714	-41.28759	
0.203	-4.22054E-05	-0.09888665	-0.1627931	-41.24182	
0.204	-4.21439E-05	-0.09880152	-0.1628677	-41.19867	
0.205	-4.208617E-05	-0.0987215	-0.1629376	-41.15812	
0.206	-4.203219E-05	-0.09864662	-0.163003	-41.1202	
0.207	-4.198197E-05	-0.09857688	-0.1630637	-41.08489	
0.208	-4.19355E-05	-0.0985123	-0.16312	-41.0522	
0.209	-4.189279E-05	-0.09845289	-0.1631717	-41.02214	
0.21	-4.185383E-05	-0.09839865	-0.1632188	-40.99472	
0.211	-4.181861E-05	-0.09834959	-0.1632614	-40.96991	
0.212	-4.178715E-05	-0.09830572	-0.1632994	-40.94775	
0.213	-4.175943E-05	-0.09826707	-0.1633329	-40.92821	
0.214	-4.173546E-05	-0.0982336	-0.1633619	-40.91131	
0.215	-4.171523E-05	-0.09820536	-0.1633863	-40.89705	
0.216	-4.169874E-05	-0.09818233	-0.1634063	-40.88542	
0.217	-4.168599E-05	-0.09816451	-0.1634217	-40.87643	
0.218	-4.167699E-05	-0.09815191	-0.1634325	-40.87007	
0.219	-4.167173E-05	-0.09814455	-0.1634389	-40.86636	
0.22	-4.167021E-05	-0.0981424	-0.1634407	-40.86528	
0.221	-4.167243E-05	-0.09814548	-0.1634381	-40.86684	
0.222	-4.167839E-05	-0.09815378	-0.1634309	-40.87103	
0.223	-4.168809E-05	-0.0981673	-0.1634192	-40.87786	
0.224	-4.170154E-05	-0.09818605	-0.1634029	-40.88734	
0.225	-4.171874E-05	-0.09821001	-0.1633822	-40.89944	
0.226	-4.173967E-05	-0.09823919	-0.1633569	-40.91418	
0.227	-4.176435E-05	-0.09827358	-0.1633271	-40.93157	
0.228	-4.179278E-05	-0.09831317	-0.1632928	-40.95158	
0.229	-4.182495E-05	-0.09835796	-0.1632539	-40.97424	
