Time	FF	Vm	Intrinsic	External	
0.9720001	0	-0.01499918	-2E-09	5E-10	
0.974	0	-0.0149992	-2E-09	5E-10	
0.9760001	0	-0.01499921	-2E-09	5E-10	
0.978	0	-0.01499923	-2E-09	5E-10	
0.98	0	-0.01499925	-2E-09	5E-10	
0.9820001	0	-0.01499926	-2E-09	5E-10	
0.984	0	-0.01499928	-2E-09	5E-10	
0.9860001	0	-0.01499929	-2E-09	5E-10	
0.988	0	-0.0149993	-2E-09	5E-10	
0.9900001	0	-0.01499932	-2E-09	5E-10	
0.992	0	-0.01499933	-2E-09	5E-10	
0.994	0	-0.01499934	-2E-09	5E-10	
0.9960001	0	-0.01499936	-2E-09	5E-10	
0.998	0	-0.01499937	-2E-09	5E-10	
1	0	-0.01499938	-2E-09	5E-10	
1.002	0	-0.0149994	-2E-09	5E-10	
1.004	0	-0.01499941	-2E-09	5E-10	
1.006	0	-0.01499942	-2E-09	5E-10	
1.008	0	-0.01499943	-2E-09	5E-10	
1.01	0	-0.01499944	-2E-09	5E-10	
1.012	0	-0.01499945	-2E-09	5E-10	
1.014	0	-0.01499946	-2E-09	5E-10	
1.016	0	-0.01499947	-2E-09	5E-10	
1.018	0	-0.01499948	-2E-09	5E-10	
1.02	0	-0.01499949	-2E-09	5E-10	
1.022	0	-0.01499951	-2E-09	5E-10	
1.024	0	-0.01499952	-2E-09	5E-10	
1.026	0	-0.01499952	-2E-09	5E-10	
1.028	0	-0.01499953	-2E-09	5E-10	
1.03	0	-0.01499954	-2E-09	5E-10	
1.032	0	-0.01499955	-2E-09	5E-10	
1.034	0	-0.01499956	-2E-09	5E-10	
1.036	0	-0.01499957	-2E-09	5E-10	
1.038	0	-0.01499958	-2E-09	5E-10	
1.04	0	-0.01499959	-2E-09	5E-10	
1.042	0	-0.0149996	-2E-09	5E-10	
1.044	0	-0.0149996	-2E-09	5E-10	
1.046	0	-0.01499961	-2E-09	5E-10	
1.048	0	-0.01499962	-2E-09	5E-10	
1.05	0	-0.01499963	-2E-09	5E-10	
1.052	0	-0.01499963	-2E-09	5E-10	
1.054	0	-0.01499964	-2E-09	5E-10	
1.056	0	-0.01499965	-2E-09	5E-10	
1.058	0	-0.01499966	-2E-09	5E-10	
1.06	0	-0.01499966	-2E-09	5E-10	
1.062	0	-0.01499967	-2E-09	5E-10	
1.064	0	-0.01499968	-2E-09	5E-10	
1.066	0	-0.01499968	-2E-09	5E-10	
1.068	0	-0.01499969	-2E-09	5E-10	
1.07	0	-0.0149997	-2E-09	5E-10	
1.072	0	-0.0149997	-2E-09	5E-10	
1.074	0	-0.01499971	-2E-09	5E-10	
1.076	0	-0.01499971	-2E-09	5E-10	
1.078	0	-0.01499972	-2E-09	5E-10	
1.08	0	-0.01499972	-2E-09	5E-10	
1.082	0	-0.01499973	-2E-09	5E-10	
1.084	0	-0.01499974	-2E-09	5E-10	
1.086	0	-0.01499974	-2E-09	5E-10	
1.088	0	-0.01499975	-2E-09	5E-10	
1.09	0	-0.01499975	-2E-09	5E-10	
1.092	0	-0.01499976	-2E-09	5E-10	
1.094	0	-0.01499976	-2E-09	5E-10	
1.096	0	-0.01499976	-2E-09	5E-10	
1.098	0	-0.01499977	-2E-09	5E-10	
1.1	0	-0.01499977	-2E-09	5E-10	
1.102	0	-0.01499978	-2E-09	5E-10	
