Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.406	0.1535978	0.09684691	0.009684691	0.01023985	0	5E-09	
0.408	0.1228782	0.1313982	0.01313982	0.008191881	0	5E-09	
0.41	0.09830257	0.1682551	0.01682551	0.006553505	0	5E-09	
0.412	0.07864206	0.2051133	0.02051133	0.005242804	0	5E-09	
0.414	0.06291364	0.240498	0.0240498	0.004194243	0	5E-09	
0.416	0.05033091	0.2735243	0.02735243	0.003355394	0	5E-09	
0.418	0.04026473	0.3037202	0.03037202	0.002684315	0	5E-09	
0.42	0.03221178	0.3308967	0.03308968	0.002147452	0	5E-09	
0.422	0.02576942	0.3550539	0.03550539	0.001717962	0	5E-09	
0.424	0.02061554	0.3763123	0.03763123	0.001374369	0	5E-09	
0.426	0.01649243	0.3948652	0.03948652	0.001099495	0	5E-09	
0.428	0.01319395	0.4109444	0.04109444	0.0008795963	0	5E-09	
0.43	0.01055516	0.4247974	0.04247973	0.0007036771	0	5E-09	
0.432	0.008444125	0.4366713	0.04366713	0.0005629417	0	5E-09	
0.434	0.0067553	0.4468038	0.04468038	0.0004503533	0	5E-09	
0.436	0.00540424	0.4554165	0.04554165	0.0003602826	0	5E-09	
0.438	0.004323392	0.4627119	0.04627119	0.0002882261	0	5E-09	
0.44	0.003458713	0.4688725	0.04688725	0.0002305809	0	5E-09	
0.442	0.002766971	0.4740604	0.04740604	0.0001844647	0	5E-09	
0.444	0.002213576	0.4784182	0.04784182	0.0001475718	0	5E-09	
0.446	0.001770861	0.4820705	0.04820705	0.0001180574	0	5E-09	
0.448	0.001416689	0.4851252	0.04851251	9.444592E-05	0	5E-09	
0.45	0.001133351	0.4876751	0.04876751	7.555673E-05	0	5E-09	
0.452	0.0009066807	0.4898001	0.04898001	6.044538E-05	0	5E-09	
0.454	0.0007253446	0.4915681	0.04915681	4.835631E-05	0	5E-09	
0.456	0.0005802757	0.4930368	0.04930368	3.868504E-05	0	5E-09	
0.458	0.0004642205	0.4942554	0.04942554	3.094803E-05	0	5E-09	
0.46	0.0003713764	0.4952651	0.04952651	2.475843E-05	0	5E-09	
0.462	0.0002971011	0.4961006	0.04961006	1.980674E-05	0	5E-09	
0.464	0.0002376809	0.4967914	0.04967914	1.584539E-05	0	5E-09	
0.466	0.0001901447	0.4973618	0.04973618	1.267631E-05	0	5E-09	
0.468	0.0001521158	0.4978324	0.04978324	1.014105E-05	0	5E-09	
0.47	0.0001216926	0.4982203	0.04982203	8.112841E-06	0	5E-09	
0.472	9.735409E-05	0.4985397	0.04985397	6.490272E-06	0	5E-09	
0.474	7.788327E-05	0.4988025	0.04988026	5.192218E-06	0	5E-09	
0.476	6.230662E-05	0.4990187	0.04990187	4.153774E-06	0	5E-09	
0.478	4.984529E-05	0.4991962	0.04991962	3.323019E-06	0	5E-09	
0.48	3.987623E-05	0.4993421	0.0499342	2.658415E-06	0	5E-09	
0.482	3.190098E-05	0.4994617	0.04994617	2.126732E-06	0	5E-09	
0.484	2.552079E-05	0.4995598	0.04995598	1.701386E-06	0	5E-09	
0.486	2.041663E-05	0.4996401	0.04996401	1.361109E-06	0	5E-09	
0.488	1.63333E-05	0.499706	0.0499706	1.088887E-06	0	5E-09	
0.49	1.306664E-05	0.4997599	0.04997599	8.711095E-07	0	5E-09	
0.492	1.045331E-05	0.499804	0.0499804	6.968876E-07	0	5E-09	
0.494	8.36265E-06	0.4998401	0.049984	5.5751E-07	0	5E-09	
0.496	6.69012E-06	0.4998696	0.04998695	4.46008E-07	0	5E-09	
0.498	5.352096E-06	0.4998936	0.04998936	3.568064E-07	0	5E-09	
0.5	4.281677E-06	0.4999133	0.04999133	2.854451E-07	4E-09	5E-09	
0.502	0.1200034	0.4999293	0.04999293	0.008000229	4E-09	5E-09	
0.504	0.2160027	0.4639424	0.04639424	0.01440018	4E-09	5E-09	
0.506	0.2928022	0.4063531	0.04063531	0.01952014	4E-09	5E-09	
0.508	0.3542418	0.3372419	0.03372419	0.02361612	4E-09	5E-09	
0.5100001	0.4033934	0.263521	0.0263521	0.02689289	4E-09	5E-09	
0.512	0.4427147	0.1897988	0.01897988	0.02951431	4E-09	5E-09	
0.514	0.4741718	0.1190246	0.01190246	0.03161145	4E-09	5E-09	
0.516	0.4993374	0.05296814	0.005296814	0.03328916	4E-09	5E-09	
0.518	0.5194699	0	-0.0007426711	0.03463133	4E-09	5E-09	
