Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.0756	0.1688734	10020.33	0.5264511	0.0008443669	6186.207	
0.076	0.1760249	10020.98	0.5359221	0.0008443669	6185.969	
0.0764	0.1760249	10021.62	0.5359221	0.0008801247	6185.728	
0.0768	0.1760249	10022.3	0.5359221	0.0008801247	6185.484	
0.0772	0.1760249	10022.98	0.5359221	0.0008801247	6185.235	
0.07759999	0.1760249	10023.66	0.5359221	0.0008801247	6184.986	
0.078	0.1832229	10024.34	0.5452036	0.0008801247	6184.73	
0.0784	0.1832229	10025.02	0.5452036	0.0009161144	6184.473	
0.0788	0.1832229	10025.74	0.5452036	0.0009161144	6184.212	
0.0792	0.1832229	10026.45	0.5452036	0.0009161144	6183.945	
0.0796	0.1832229	10027.17	0.5452036	0.0009161144	6183.677	
0.08	0.1904625	10027.88	0.5542996	0.0009161144	6183.405	
0.0804	0.1904625	10028.6	0.5542996	0.0009523125	6183.128	
0.0808	0.1904625	10029.35	0.5542996	0.0009523125	6182.85	
0.0812	0.1904625	10030.1	0.5542996	0.0009523125	6182.564	
0.0816	0.1904625	10030.85	0.5542996	0.0009523125	6182.276	
0.08199999	0.1977392	10031.61	0.5632136	0.0009523125	6181.983	
0.0824	0.1977392	10032.36	0.5632136	0.0009886962	6181.688	
0.0828	0.1977392	10033.15	0.5632136	0.0009886962	6181.39	
0.0832	0.1977392	10033.93	0.5632136	0.0009886962	6181.085	
0.0836	0.1977392	10034.72	0.5632136	0.0009886962	6180.777	
0.084	0.2050487	10035.51	0.5719494	0.0009886962	6180.466	
0.0844	0.2050487	10036.3	0.5719494	0.001025244	6180.151	
0.0848	0.2050487	10037.12	0.5719494	0.001025244	6179.832	
0.0852	0.2050487	10037.95	0.5719494	0.001025244	6179.508	
0.0856	0.2050487	10038.77	0.5719494	0.001025244	6179.18	
0.086	0.2123868	10039.6	0.5805104	0.001025244	6178.848	
0.08639999	0.2123868	10040.42	0.5805104	0.001061934	6178.513	
0.08679999	0.2123868	10041.29	0.5805104	0.001061934	6178.174	
0.0872	0.2123868	10042.15	0.5805104	0.001061934	6177.828	
0.0876	0.2123868	10043.01	0.5805104	0.001061934	6177.479	
0.088	0.2197492	10043.87	0.5889001	0.001061934	6177.125	
0.0884	0.2197492	10044.73	0.5889001	0.001098746	6176.769	
0.0888	0.2197492	10045.63	0.5889001	0.001098746	6176.406	
0.0892	0.2197492	10046.53	0.5889001	0.001098746	6176.039	
0.0896	0.2197492	10047.43	0.5889001	0.001098746	6175.666	
0.09	0.2271323	10048.33	0.5971222	0.001098746	6175.291	
0.0904	0.2271323	10049.22	0.5971222	0.001135661	6174.911	
0.09079999	0.2271323	10050.16	0.5971222	0.001135661	6174.527	
0.09119999	0.2271323	10051.09	0.5971222	0.001135661	6174.137	
0.0916	0.2271323	10052.03	0.5971222	0.001135661	6173.744	
0.092	0.2345321	10052.97	0.6051797	0.001135661	6173.345	
0.0924	0.2345321	10053.9	0.6051797	0.00117266	6172.941	
0.0928	0.2345321	10054.87	0.6051797	0.00117266	6172.535	
0.0932	0.2345321	10055.85	0.6051797	0.00117266	6172.12	
0.0936	0.2345321	10056.82	0.6051797	0.00117266	6171.702	
0.094	0.241945	10057.79	0.6130762	0.00117266	6171.279	
0.0944	0.241945	10058.76	0.6130762	0.001209725	6170.852	
0.0948	0.241945	10059.77	0.6130762	0.001209725	6170.418	
0.09519999	0.241945	10060.78	0.6130762	0.001209725	6169.979	
0.09559999	0.241945	10061.79	0.6130762	0.001209725	6169.537	
0.096	0.2493676	10062.8	0.6208146	0.001209725	6169.09	
0.0964	0.2493676	10063.81	0.6208146	0.001246838	6168.636	
0.0968	0.2493676	10064.86	0.6208146	0.001246838	6168.179	
0.0972	0.2493676	10065.91	0.6208146	0.001246838	6167.715	
0.0976	0.2493676	10066.95	0.6208146	0.001246838	6167.248	
0.098	0.2567966	10068	0.6283983	0.001246838	6166.773	
0.0984	0.2567966	10069.05	0.6283983	0.001283983	6166.295	
0.0988	0.2567966	10070.13	0.6283983	0.001283983	6165.813	
0.0992	0.2567966	10071.22	0.6283983	0.001283983	6165.323	
0.09959999	0.2567966	10072.3	0.6283983	0.001283983	6164.827	
0.09999999	0.2642286	10073.38	0.6358303	0.001283983	6164.328	
0.1004	0.2642286	10074.47	0.6358303	0.001321143	6163.822	
0.1008	0.2642286	10075.59	0.6358303	0.001321143	6163.312	
0.1012	0.2642286	10076.71	0.6358303	0.001321143	6162.795	
0.1016	0.2642286	10077.83	0.6358303	0.001321143	6162.272	
0.102	0.2716606	10078.95	0.6431137	0.001321143	6161.743	
0.1024	0.2716606	10080.07	0.6431137	0.001358303	6161.211	
0.1028	0.2716606	10081.23	0.6431137	0.001358303	6160.674	
0.1032	0.2716606	10082.39	0.6431137	0.001358303	6160.128	
0.1036	0.2716606	10083.55	0.6431137	0.001358303	6159.576	
0.104	0.2790897	10084.71	0.6502514	0.001358303	6159.021	
0.1044	0.2790897	10085.86	0.6502514	0.001395448	6158.459	
0.1048	0.2790897	10087.06	0.6502514	0.001395448	6157.892	
0.1052	0.2790897	10088.25	0.6502514	0.001395448	6157.316	
0.1056	0.2790897	10089.45	0.6502514	0.001395448	6156.736	
0.106	0.2865129	10090.65	0.6572464	0.001395448	6156.149	
0.1064	0.2865129	10091.84	0.6572464	0.001432565	6155.558	
0.1068	0.2865129	10093.07	0.6572464	0.001432565	6154.961	
0.1072	0.2865129	10094.31	0.6572464	0.001432565	6154.355	
0.1076	0.2865129	10095.54	0.6572464	0.001432565	6153.744	
0.108	0.2939276	10096.77	0.6641015	0.001432565	6153.126	
0.1084	0.2939276	10098	0.6641015	0.001469638	6152.503	
0.1088	0.2939276	10099.27	0.6641015	0.001469638	6151.875	
0.1092	0.2939276	10100.54	0.6641015	0.001469638	6151.239	
0.1096	0.2939276	10101.81	0.6641015	0.001469638	6150.596	
0.11	0.3013311	10103.08	0.6708194	0.001469638	6149.948	
0.1104	0.3013311	10104.35	0.6708194	0.001506655	6149.294	
0.1108	0.3013311	10105.66	0.6708194	0.001506655	6148.634	
0.1112	0.3013311	10106.96	0.6708194	0.001506655	6147.966	
0.1116	0.3013311	10108.27	0.6708194	0.001506655	6147.292	
0.112	0.3087208	10109.58	0.6774031	0.001506655	6146.611	
0.1124	0.3087208	10110.88	0.6774031	0.001543604	6145.923	
0.1128	0.3087208	10112.23	0.6774031	0.001543604	6145.232	
0.1132	0.3087208	10113.57	0.6774031	0.001543604	6144.531	
0.1136	0.3087208	10114.92	0.6774031	0.001543604	6143.824	
0.114	0.3160945	10116.26	0.6838549	0.001543604	6143.11	
0.1144	0.3160945	10117.6	0.6838549	0.001580472	6142.39	
0.1148	0.3160945	10118.98	0.6838549	0.001580472	6141.663	
0.1152	0.3160945	10120.36	0.6838549	0.001580472	6140.928	
0.1156	0.3160945	10121.74	0.6838549	0.001580472	6140.186	
0.116	0.3234497	10123.12	0.6901779	0.001580472	6139.438	
0.1164	0.3234497	10124.5	0.6901779	0.001617249	6138.682	
0.1168	0.3234497	10125.92	0.6901779	0.001617249	6137.921	
0.1172	0.3234497	10125.72	0.6901779	0.001617249	6137.151	
0.1176	0.3234497	10125.52	0.6901779	0.001617249	6136.473	
0.118	0.3307843	10125.32	0.6963743	0.001617249	6135.79	
0.1184	0.3307843	10125.12	0.6963743	0.001653921	6135.099	
0.1188	0.3307843	10124.92	0.6963743	0.001653921	6134.4	
0.1192	0.3307843	10124.72	0.6963743	0.001653921	6133.695	
0.1196	0.3307843	10124.52	0.6963743	0.001653921	6132.983	
0.12	0.3380961	10124.32	0.7024468	0.001653921	6132.263	
0.1204	0.3380961	10124.12	0.7024468	0.00169048	6131.539	
0.1208	0.3380961	10123.92	0.7024468	0.00169048	6130.806	
0.1212	0.3380961	10123.72	0.7024468	0.00169048	6130.068	
0.1216	0.3380961	10123.52	0.7024468	0.00169048	6129.321	
0.122	0.3453831	10123.32	0.7083979	0.00169048	6128.567	
0.1224	0.3453831	10123.12	0.7083979	0.001726915	6127.806	
0.1228	0.3453831	10122.92	0.7083979	0.001726915	6127.038	
0.1232	0.3453831	10122.72	0.7083979	0.001726915	6126.264	
0.1236	0.3453831	10122.52	0.7083979	0.001726915	6125.482	
0.124	0.3526434	10122.32	0.7142299	0.001726915	6124.69	
0.1244	0.3526434	10122.12	0.7142299	0.001763217	6123.893	
0.1248	0.3526434	10121.92	0.7142299	0.001763217	6123.087	
0.1252	0.3526434	10121.71	0.7142299	0.001763217	6122.275	
0.1256	0.3526434	10121.51	0.7142299	0.001763217	6121.455	
0.126	0.3598751	10121.31	0.7199454	0.001763217	6120.627	
0.1264	0.3598751	10121.11	0.7199454	0.001799376	6119.792	
0.1268	0.3598751	10120.91	0.7199454	0.001799376	6118.949	
0.1272	0.3598751	10120.71	0.7199454	0.001799376	6118.099	
0.1276	0.3598751	10120.51	0.7199454	0.001799376	6117.241	
0.128	0.3670765	10120.31	0.7255465	0.001799376	6116.376	
0.1284	0.3670765	10120.11	0.7255465	0.001835383	6115.504	
0.1288	0.3670765	10119.91	0.7255465	0.001835383	6114.621	
0.1292	0.3670765	10119.71	0.7255465	0.001835383	6113.733	
0.1296	0.3670765	10119.51	0.7255465	0.001835383	6112.836	
0.13	0.3742459	10119.31	0.7310355	0.001835383	6111.932	
0.1304	0.3742459	10119.11	0.7310355	0.001871229	6111.018	
0.1308	0.3742459	10118.91	0.7310355	0.001871229	6110.098	
0.1312	0.3742459	10118.71	0.7310355	0.001871229	6109.169	
0.1316	0.3742459	10118.51	0.7310355	0.001871229	6108.232	
0.132	0.3813817	10118.31	0.7364148	0.001871229	6107.285	
0.1324	0.3813817	10118.11	0.7364148	0.001906908	6106.332	
0.1328	0.3813817	10117.91	0.7364148	0.001906908	6105.371	
0.1332	0.3813817	10117.71	0.7364148	0.001906908	6104.401	
