Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.058	0.107466	10022.79	0.4320238	0.0005373299	8886.342	
0.0584	0.107466	10023.31	0.4320238	0.0005373299	8886.271	
0.0588	0.107466	10023.82	0.4320238	0.0005373299	8886.195	
0.0592	0.107466	10024.34	0.4320238	0.0005373299	8886.119	
0.0596	0.1139571	10024.86	0.4433833	0.0005373299	8886.043	
0.06	0.1139571	10025.38	0.4433833	0.0005697857	8885.965	
0.0604	0.1139571	10025.93	0.4433833	0.0005697857	8885.886	
0.0608	0.1139571	10026.48	0.4433833	0.0005697857	8885.803	
0.0612	0.1139571	10027.03	0.4433833	0.0005697857	8885.721	
0.0616	0.1205457	10027.58	0.4545156	0.0005697857	8885.635	
0.062	0.1205457	10028.13	0.4545156	0.0006027283	8885.547	
0.0624	0.1205457	10028.71	0.4545156	0.0006027283	8885.458	
0.0628	0.1205457	10029.29	0.4545156	0.0006027283	8885.368	
0.0632	0.1205457	10029.87	0.4545156	0.0006027283	8885.276	
0.0636	0.1272251	10030.46	0.4654253	0.0006027283	8885.183	
0.064	0.1272251	10031.04	0.4654253	0.0006361253	8885.085	
0.06439999	0.1272251	10031.66	0.4654253	0.0006361253	8884.988	
0.0648	0.1272251	10032.27	0.4654253	0.0006361253	8884.889	
0.0652	0.1272251	10032.89	0.4654253	0.0006361253	8884.787	
0.0656	0.1339891	10033.5	0.4761168	0.0006361253	8884.685	
0.066	0.1339891	10034.12	0.4761168	0.0006699453	8884.578	
0.0664	0.1339891	10034.77	0.4761168	0.0006699453	8884.471	
0.0668	0.1339891	10035.42	0.4761168	0.0006699453	8884.362	
0.0672	0.1339891	10036.07	0.4761168	0.0006699453	8884.251	
0.0676	0.1408316	10036.72	0.4865945	0.0006699453	8884.138	
0.068	0.1408316	10037.37	0.4865945	0.0007041581	8884.023	
0.0684	0.1408316	10038.06	0.4865945	0.0007041581	8883.906	
0.06879999	0.1408316	10038.74	0.4865945	0.0007041581	8883.788	
0.0692	0.1408316	10039.43	0.4865945	0.0007041581	8883.666	
0.0696	0.1477469	10040.11	0.4968626	0.0007041581	8883.542	
0.07	0.1477469	10040.8	0.4968626	0.0007387344	8883.417	
0.0704	0.1477469	10041.51	0.4968626	0.0007387344	8883.288	
0.0708	0.1477469	10042.23	0.4968626	0.0007387344	8883.16	
0.0712	0.1477469	10042.95	0.4968626	0.0007387344	8883.027	
0.0716	0.1547292	10043.67	0.5069253	0.0007387344	8882.892	
0.072	0.1547292	10044.39	0.5069253	0.0007736459	8882.755	
0.0724	0.1547292	10045.14	0.5069253	0.0007736459	8882.615	
0.0728	0.1547292	10045.9	0.5069253	0.0007736459	8882.474	
0.07319999	0.1547292	10046.65	0.5069253	0.0007736459	8882.331	
0.0736	0.1617731	10047.41	0.5167868	0.0007736459	8882.183	
0.074	0.1617731	10048.16	0.5167868	0.0008088655	8882.035	
0.0744	0.1617731	10048.95	0.5167868	0.0008088655	8881.883	
0.0748	0.1617731	10049.74	0.5167868	0.0008088655	8881.729	
0.0752	0.1617731	10050.53	0.5167868	0.0008088655	8881.573	
